,close,high,low,open,vol,pct_change,vwap
2003-12-31,17.757404327392578,17.79314260834693,17.60551663333659,17.681461115915177,578367,,39.61
2004-01-02,17.61444664001465,17.89141824565291,17.57424171990791,17.757399726795686,1053055,-0.8050595950974793,39.8
2004-01-05,18.2845401763916,18.2845401763916,17.659121617123695,17.668056186128965,1753599,3.8042270079305496,40.45
2004-01-06,18.065641403198242,18.199659919967786,18.016500644832327,18.16838829717114,1131821,-1.1971795357260007,40.5
2004-01-07,18.427492141723633,18.521305752503256,17.985232879437905,18.003102017576783,1876523,2.002977533149375,41.1
2004-01-08,18.892080307006836,18.945687698282537,18.391745926200763,18.436418752263847,2337337,2.5211687065722854,41.97
2004-01-09,18.887609481811523,19.07076739260346,18.838468748462343,18.851871228866734,2033011,-0.023665076172973976,42.37
2004-01-12,18.829544067382812,18.87421690700908,18.767003363006896,18.807208283120108,1282939,-0.3074259581903549,42.09
2004-01-13,18.99483871459961,19.030576997168296,18.80721400221525,18.80721400221525,1514167,0.8778473160331313,42.42
2004-01-14,19.664926528930664,19.71406602263447,19.061845031097505,19.061845031097505,3127836,3.5277362677263335,43.82
2004-01-15,19.54430389404297,19.65598533277965,19.18692252742524,19.65598533277965,3325200,-0.613389705322509,43.56
2004-01-16,19.539831161499023,19.59790519027028,19.33433746653899,19.566634852724277,2300191,-0.022885095157099133,43.57
2004-01-20,19.352218627929688,19.642590223449755,19.338816138432776,19.539843312078006,1797159,-0.9601543228224263,43.53
2004-01-21,19.28520393371582,19.38795209067404,19.164587913700448,19.38795209067404,1762550,-0.3462894642847325,43.07
2004-01-22,19.19139862060547,19.3164826053716,19.070782556560157,19.298613464690725,1100941,-0.4864107915724669,42.9
2004-01-23,19.401350021362305,19.513031455392614,19.18692171886813,19.20032293166754,1678860,1.0939869725357765,43.23
2004-01-26,19.4996395111084,19.575582718970043,18.896557955369033,19.401359243163192,1710785,0.5066115999034615,43.18
2004-01-27,18.717864990234375,18.874219313309716,18.320277302422014,18.76253783555605,3867913,-4.009174223085854,41.74
2004-01-28,18.539175033569336,19.039508363113214,18.516837975173022,18.82061205477488,3113515,-0.9546492442288002,41.87
2004-01-29,18.159460067749023,18.624056483611604,17.913760003463008,18.583851550098064,1744350,-2.0481761736040216,40.77
2004-01-30,18.458759307861328,18.485563008591665,18.110312469467647,18.181787733647838,2074185,1.6481725722883978,41.05
2004-02-02,18.369417190551758,18.67765917299996,18.186259169030556,18.628518409942444,1550119,-0.4840093303102977,41.3
