,close,high,low,open,vol,pct_change,vwap
2003-12-31,11.3100004196167,11.350000381469727,11.119999885559082,11.279999732971191,474400,,11.26
2004-01-02,11.449999809265137,11.510000228881836,11.329999923706055,11.329999923706055,247500,1.2378371746619488,11.43
2004-01-05,11.420000076293945,11.520000457763672,11.350000381469727,11.5,474600,-0.2620064058596383,11.44
2004-01-06,11.25,11.420000076293945,11.239999771118164,11.350000381469727,420300,-1.488617120474789,11.32
2004-01-07,11.399999618530273,11.399999618530273,11.199999809265137,11.25,444600,1.3333299424913125,11.28
2004-01-08,11.399999618530273,11.420000076293945,11.149999618530273,11.399999618530273,320800,0.0,11.34
2004-01-09,11.170000076293945,11.350000381469727,11.15999984741211,11.319999694824219,454000,-2.0175399116897585,11.27
2004-01-12,11.350000381469727,11.449999809265137,11.229999542236328,11.270000457763672,288800,1.6114619869859848,11.34
2004-01-13,11.239999771118164,11.390000343322754,11.010000228881836,11.359999656677246,700500,-0.969168340568094,11.19
2004-01-14,11.399999618530273,11.4399995803833,11.25,11.300000190734863,239400,1.4234862159271389,11.36
2004-01-15,11.399999618530273,11.510000228881836,11.279999732971191,11.5,371300,0.0,11.42
2004-01-16,11.510000228881836,11.680000305175781,11.449999809265137,11.5,341300,0.9649176669511483,11.57
2004-01-20,11.850000381469727,11.850000381469727,11.5,11.5,421900,2.953954351232202,11.66
2004-01-21,11.829999923706055,11.899999618530273,11.619999885559082,11.899999618530273,425100,-0.16878022885929989,11.77
2004-01-22,11.75,11.930000305175781,11.640000343322754,11.819999694824219,281400,-0.6762461895349903,11.75
2004-01-23,11.779999732971191,11.920000076293945,11.609999656677246,11.729999542236328,160300,0.2553168763505642,11.76
2004-01-26,11.800000190734863,11.8100004196167,11.520000457763672,11.770000457763672,271300,0.16978317671512144,11.64
2004-01-27,11.529999732971191,11.760000228881836,11.4399995803833,11.699999809265137,1891200,-2.2881394355880658,11.65
2004-01-28,11.199999809265137,11.619999885559082,11.15999984741211,11.550000190734863,364500,-2.8620982770917736,11.36
2004-01-29,11.25,11.350000381469727,10.90999984741211,11.300000190734863,480400,0.44643028202109303,11.1
2004-01-30,11.369999885559082,11.369999885559082,11.149999618530273,11.25,502600,1.066665649414067,11.25
2004-02-02,11.229999542236328,11.399999618530273,11.109999656677246,11.369999885559082,303200,-1.231313498081621,11.29
2004-02-03,11.4399995803833,11.550000190734863,11.119999885559082,11.229999542236328,369400,1.8699915111942467,11.36
2004-02-04,11.149999618530273,11.399999618530273,11.149999618530273,11.25,361300,-2.534964794494432,11.23
