,close,high,low,open,vol,pct_change,vwap
2003-12-31,9.630000114440918,10.0,9.539999961853027,9.850000381469727,272300,,9.76
2004-01-02,9.770000457763672,9.899999618530273,9.619999885559082,9.729999542236328,106700,1.45379378669801,9.76
2004-01-05,9.890000343322754,9.949999809265137,9.770000457763672,9.770000457763672,212100,1.228248515216035,9.9
2004-01-06,10.140000343322754,10.149999618530273,9.84000015258789,9.899999618530273,296000,2.527805776759018,9.98
2004-01-07,9.899999618530273,10.119999885559082,9.850000381469727,10.0,155500,-2.3668709730421456,9.99
2004-01-08,9.869999885559082,9.949999809265137,9.789999961853027,9.90999984741211,428600,-0.3030276174459612,9.85
2004-01-09,9.850000381469727,10.100000381469727,9.760000228881836,9.890000343322754,306200,-0.20262922311292675,9.93
2004-01-12,9.979999542236328,10.039999961853027,9.779999732971191,9.8100004196167,218200,1.3197883830660784,9.96
2004-01-13,10.149999618530273,10.149999618530273,9.949999809265137,9.979999542236328,192900,1.7034076562277178,10.0
2004-01-14,10.199999809265137,10.300000190734863,10.180000305175781,10.229999542236328,226600,0.4926127351136067,10.23
2004-01-15,10.59000015258789,10.59000015258789,10.199999809265137,10.199999809265137,502500,3.8235328491722065,10.4
2004-01-16,10.680000305175781,10.680000305175781,10.449999809265137,10.5,390500,0.8498597855628676,10.56
2004-01-20,10.989999771118164,11.0,10.729999542236328,10.899999618530273,476700,2.902616639366107,10.88
2004-01-21,10.789999961853027,11.050000190734863,10.399999618530273,11.050000190734863,227300,-1.8198345171101638,10.75
2004-01-22,10.529999732971191,10.739999771118164,10.449999809265137,10.6899995803833,254900,-2.4096406839762774,10.54
2004-01-23,10.770000457763672,10.779999732971191,10.380000114440918,10.449999809265137,170700,2.2792092201199043,10.56
2004-01-26,10.880000114440918,10.890000343322754,10.40999984741211,10.75,169000,1.0213523862754537,10.69
2004-01-27,10.699999809265137,10.949999809265137,10.619999885559082,10.880000114440918,226900,-1.6544145522284337,10.76
2004-01-28,10.199999809265137,10.760000228881836,10.100000381469727,10.699999809265137,230300,-4.672897279559296,10.44
