,close,high,low,open,vol,pct_change,vwap
2003-12-31,44.246665954589844,44.79999923706055,43.5,43.54666519165039,606000,,66.45
2004-01-02,43.586666107177734,44.186668395996094,43.40666580200195,44.12666702270508,339900,-1.4916374673053623,65.58
2004-01-05,43.66666793823242,44.18000030517578,43.393333435058594,43.48666763305664,640950,0.18354657100398963,65.5
2004-01-06,43.766666412353516,43.88666534423828,43.366668701171875,43.56666564941406,311700,0.22900413254005603,65.6
2004-01-07,44.5,44.6533317565918,43.5,43.633331298828125,495150,1.675552761403587,66.55
2004-01-08,44.599998474121094,45.246665954589844,44.133331298828125,44.939998626708984,290850,0.22471567218222965,67.0
2004-01-09,44.266666412353516,44.68000030517578,43.599998474121094,44.21333312988281,506100,-0.7473813299814225,66.21
2004-01-12,44.599998474121094,44.733333587646484,44.03333282470703,44.33333206176758,631200,0.7530091800058258,66.58
2004-01-13,44.93333435058594,45.15999984741211,44.540000915527344,44.599998474121094,367800,0.747389883114602,67.18
2004-01-14,44.67333221435547,45.06666564941406,44.47999954223633,44.66666793823242,517050,-0.5786397559589873,67.07
2004-01-15,43.99333190917969,44.753334045410156,43.746665954589844,44.66666793823242,375750,-1.5221615927662246,66.19
2004-01-16,44.81999969482422,45.060001373291016,43.893333435058594,44.0,306000,1.8790751911019532,66.94
2004-01-20,45.099998474121094,45.2400016784668,44.72666549682617,44.72666549682617,396000,0.6247183873345996,67.64
2004-01-21,44.233333587646484,45.133331298828125,43.96666717529297,45.133331298828125,654600,-1.9216516979970844,66.38
2004-01-22,44.20000076293945,44.733333587646484,44.133331298828125,44.33333206176758,502800,-0.07535679995943623,66.37
2004-01-23,44.51333236694336,44.753334045410156,44.19333267211914,44.32666778564453,249000,0.7088950194467536,66.56
2004-01-26,45.67333221435547,45.766666412353516,44.366668701171875,44.4466667175293,420750,2.605960474605018,67.7
2004-01-27,45.53333282470703,45.96666717529297,45.20000076293945,45.54666519165039,418350,-0.3065232661181527,68.31
2004-01-28,44.06666564941406,45.65999984741211,43.98666763305664,45.459999084472656,343950,-3.2210846083665867,67.18
2004-01-29,42.7400016784668,44.733333587646484,41.46666717529297,44.040000915527344,762450,-3.01058396725985,63.78
2004-01-30,43.06666564941406,43.439998626708984,42.4466667175293,42.66666793823242,419700,0.7643050026173714,64.72
2004-02-02,42.58000183105469,42.973331451416016,41.9466667175293,42.939998626708984,775350,-1.1300243727273451,63.36
2004-02-03,42.46666717529297,43.01333236694336,42.18000030517578,42.56666564941406,415800,-0.2661687432785942,63.99
2004-02-04,41.80666732788086,42.459999084472656,41.526668548583984,42.253334045410156,223650,-1.5541597476622648,62.72
2004-02-05,41.71333312988281,42.08000183105469,41.220001220703125,41.540000915527344,375000,-0.22325194511689794,62.36
