trade_date,close,open,high,low,vol,pct_change,vwap
20241231,177.7,176.35,177.84,175.92,2917235,0.85,177.23
20241230,176.2,177.02,177.34,175.51,3155019,-1.02,176.27
20241227,178.01,177.92,179.66,177.29,2681567,-0.66,178.14
20241226,179.2,179.02,180.35,178.63,2541452,-0.44,179.39
20241224,180.0,178.41,180.17,177.84,2687998,0.9,179.36
20241223,178.39,175.29,178.65,174.63,5301684,1.6,177.27
20241220,175.58,171.79,176.8,170.66,17593606,2.37,175.25
20241219,171.52,172.93,173.88,170.34,6110512,-0.87,171.91
20241218,173.02,176.03,176.5,172.82,5367723,-1.35,174.6
20241217,175.38,170.58,176.5,170.21,7303481,2.18,175.0
20241216,171.63,171.67,173.34,170.53,7569805,-1.0,171.98
20241213,173.37,173.25,174.92,172.39,4644891,0.1,173.71
20241212,173.19,174.91,175.91,171.99,4999449,-0.68,173.34
20241211,174.37,175.96,176.0,173.84,9428641,-0.74,174.54
20241210,175.67,175.53,176.92,173.83,4022260,-0.51,175.64
20241209,176.57,175.59,178.13,174.38,4317277,0.22,176.75
20241206,176.19,176.0,176.74,174.16,4783789,0.01,175.59
20241205,176.17,174.98,176.72,173.53,5153156,-0.16,175.84
20241204,176.46,180.1,180.45,175.91,6079039,-2.78,177.29
20241203,181.5,182.28,183.51,181.48,4008758,-0.15,182.3
20241202,181.77,182.28,182.7,178.86,3924481,-0.63,181.22
20241129,182.93,183.14,183.54,182.5,2710660,-0.08,182.98
20241127,183.08,181.14,184.24,180.89,5237156,1.07,183.28
20241126,181.14,177.09,181.65,176.67,6766567,2.3,179.64
20241125,177.06,177.02,180.19,176.75,12310485,0.06,177.6
20241122,176.95,174.34,178.86,173.5,10030313,3.04,177.13
20241121,171.73,168.59,172.46,166.92,6682899,2.37,171.02
20241120,167.76,166.91,167.91,165.65,6241457,0.71,167.13
20241119,166.57,165.27,167.1,163.81,5216211,0.17,166.06
20241118,166.28,165.62,166.74,164.8,8081613,0.78,165.91
20241115,164.99,169.63,169.63,164.72,11158352,-2.74,166.17
20241114,169.63,170.0,171.62,168.59,7241879,-0.42,170.16
20241113,170.35,171.67,172.64,169.65,8361961,-0.43,170.8
20241112,171.09,176.01,176.63,171.03,10299997,-1.91,173.28
20241111,174.43,178.57,178.57,172.7,19987887,-12.57,175.14
20241108,199.5,201.16,201.89,199.48,4496504,-0.5,200.27
20241107,200.51,201.95,202.32,199.22,4330766,-0.34,200.43
20241106,201.2,205.79,206.15,200.85,7107766,-0.24,202.05
20241105,201.68,200.49,202.42,198.35,5097754,0.6,201.27
20241104,200.47,203.79,204.24,200.22,3511658,-1.51,201.37
20241101,203.55,204.37,204.73,202.32,4335508,-0.16,203.79
20241031,203.87,201.97,207.32,201.42,8605406,1.18,204.3
20241030,201.5,191.62,202.35,188.54,10201114,6.36,199.23
20241029,189.45,190.49,191.16,188.51,6012469,-0.12,189.49
20241028,189.68,188.09,190.14,187.52,5114660,0.97,189.58
20241025,187.85,189.68,189.88,187.17,3953110,-0.95,188.46
20241024,189.65,188.43,190.47,188.17,6727797,0.94,189.62
20241023,187.88,188.7,189.27,187.5,4197914,-0.47,188.03
20241022,188.76,186.32,189.1,186.23,3548360,1.19,188.19
20241021,186.54,188.71,189.38,185.89,4311602,-1.23,187.04
20241018,188.86,188.97,189.69,188.16,5566508,0.15,188.72
20241017,188.57,190.54,191.62,188.46,4419004,-0.99,189.11
20241016,190.46,190.45,191.04,188.73,5235496,-0.73,190.33
20241015,191.86,194.73,196.25,191.22,6023910,-1.94,192.93
20241014,195.65,194.24,196.34,193.66,3318224,0.75,195.51
20241011,194.19,195.0,195.24,193.58,2970329,-0.08,194.27
20241010,194.35,194.54,194.82,193.28,3557094,-0.21,194.13
20241009,194.75,192.85,194.88,191.95,4071989,0.9,193.98
20241008,193.01,194.34,195.0,192.25,4417297,-0.31,192.94
20241007,193.61,194.41,195.09,192.84,5016973,-0.35,193.78
20241004,194.29,195.1,195.64,193.04,4739344,-0.59,194.1
20241003,195.45,196.87,197.05,194.74,3453796,-0.7,195.63
20241002,196.82,195.66,197.0,194.45,2873032,-0.07,196.34
20241001,196.96,197.65,198.97,196.42,3774948,-0.26,197.2
20240930,197.48,194.85,197.62,194.37,4479766,1.38,196.63
20240927,194.79,192.6,196.13,190.27,4749555,1.51,194.89
20240926,191.9,190.1,192.87,189.62,6144496,0.33,191.29
20240925,191.26,194.0,194.57,190.96,5559981,-1.16,191.71
20240924,193.51,192.95,195.21,191.59,4286500,-0.17,193.76
20240923,193.83,193.7,194.3,192.2,3170492,0.19,193.47
20240920,193.47,193.0,193.82,192.13,11661192,-0.08,193.22
20240919,193.62,193.43,194.16,191.96,3923544,0.35,193.37
20240918,192.94,193.13,195.58,191.78,3216137,-0.26,193.54
20240917,193.45,194.8,196.07,191.82,3506125,-1.16,193.46
20240916,195.73,195.82,196.16,194.46,3235706,0.78,195.39
20240913,194.21,193.86,194.59,191.81,2695946,0.1,193.9
20240912,194.02,194.78,195.07,191.27,4162469,-0.29,193.36
20240911,194.59,197.68,197.68,193.42,4869688,-2.39,194.74
20240910,199.35,196.12,199.47,192.91,5538383,1.49,197.7
20240909,196.42,194.97,196.61,193.94,3550209,1.56,196.03
20240906,193.4,193.47,194.74,192.83,4264531,0.28,193.45
20240905,192.86,196.96,197.13,192.16,5894199,-2.11,193.21
20240904,197.01,198.68,199.88,196.44,4187149,-0.34,197.5
20240903,197.69,196.14,199.95,196.1,4856098,0.7,198.18
20240830,196.31,195.25,196.5,194.17,3750295,0.58,195.7
20240829,195.18,196.0,196.44,193.85,3301950,-0.11,195.44
20240828,195.4,195.52,196.23,194.03,3904787,-0.27,195.02
20240827,195.92,197.99,198.3,195.18,2496013,-0.77,196.09
20240826,197.44,197.56,197.97,196.07,4180504,-0.06,197.34
20240823,197.55,197.25,197.98,196.23,4243977,0.6,197.23
20240822,196.37,197.01,197.54,195.35,3439441,-0.08,196.2
20240821,196.53,196.44,197.34,195.67,3596227,0.19,196.45
20240820,196.15,197.12,197.48,194.13,3623736,-0.37,195.92
20240819,196.87,193.4,197.18,193.35,4305805,1.53,196.39
20240816,193.9,193.88,194.25,192.27,3662784,0.26,193.58
20240815,193.4,194.49,194.99,191.29,4694840,0.21,192.69
20240814,193.0,191.0,193.35,190.47,4146734,0.93,192.59
20240813,191.23,190.56,191.94,189.38,3459991,0.55,190.62
20240812,190.18,190.08,190.57,187.7,4329309,0.13,189.81
20240809,189.93,190.78,191.01,188.1,3201862,-0.25,189.44
20240808,190.4,186.92,190.71,186.92,5743461,1.54,189.79
20240807,187.51,187.9,189.59,185.98,6091543,0.97,187.62
20240806,185.71,185.43,187.82,183.08,4248754,0.73,185.99
20240805,184.36,187.45,189.29,183.04,6415098,-2.6,185.01
20240802,189.29,190.98,193.91,186.46,6001820,-0.22,189.6
20240801,189.71,187.77,190.97,186.77,6405887,2.37,189.73
20240731,185.32,186.39,187.5,183.45,6473949,-0.78,185.72
20240730,186.78,183.59,187.71,182.6,5835973,2.66,186.09
20240729,181.94,184.04,186.13,180.53,4851723,-1.74,182.79
20240726,185.16,183.45,186.85,182.11,6934770,1.64,185.52
20240725,182.17,177.0,186.11,171.8,9413676,3.38,182.29
