trade_date,close,open,high,low,vol,pct_change,vwap
20241231,131.41,132.46,133.19,131.27,2311074,-0.3,131.92
20241230,131.81,131.31,132.61,129.85,2415059,-1.18,131.55
20241227,133.38,133.59,134.5,132.16,2648475,-1.43,133.19
20241226,135.32,134.24,136.27,134.24,2048072,0.24,135.41
20241224,134.99,134.33,135.07,132.83,1676734,0.35,134.22
20241223,134.52,134.81,135.58,132.21,3714789,0.23,133.68
20241220,134.21,128.63,135.82,128.34,15394543,3.76,133.84
20241219,129.35,129.13,131.08,127.91,4745008,1.42,129.18
20241218,127.54,132.03,133.71,127.23,4201152,-3.55,130.31
20241217,132.24,132.2,132.61,130.88,3120225,0.03,131.99
20241216,132.2,131.22,133.28,129.17,4034033,0.95,131.99
20241213,130.95,136.65,137.02,130.75,5256449,-4.74,132.48
20241212,137.47,138.1,139.1,134.4,4254067,-0.99,137.43
20241211,138.84,138.68,140.17,137.21,4029810,0.39,138.76
20241210,138.3,137.19,139.89,136.62,4695504,0.75,138.51
20241209,137.27,137.0,138.97,136.59,3617954,0.26,137.59
20241206,136.92,137.75,138.86,136.56,4246293,0.44,137.34
20241205,136.32,138.84,140.38,135.51,6089617,-1.98,136.89
20241204,139.07,136.55,139.15,134.85,3439849,1.17,137.91
20241203,137.46,136.97,138.37,135.38,4648109,-0.02,137.19
20241202,137.49,136.01,137.6,135.69,3542335,1.01,136.85
20241129,136.11,138.53,139.53,135.83,2663819,-1.57,136.66
20241127,138.28,139.67,140.41,137.68,2655655,-1.0,138.37
20241126,139.67,140.78,141.75,139.18,3222365,-0.89,140.02
20241125,140.93,138.01,141.0,137.75,7867109,2.61,140.12
20241122,137.34,133.3,140.76,133.3,6296996,3.06,137.99
20241121,133.26,134.18,134.95,132.58,4055206,-1.47,133.49
20241120,135.25,130.22,135.38,130.22,5530555,2.9,134.38
20241119,131.44,131.15,131.96,129.87,5155383,-0.57,131.19
20241118,132.19,132.56,133.45,131.58,4467606,-0.23,132.12
20241115,132.5,134.2,134.53,131.31,4749621,-1.53,132.61
20241114,134.56,133.97,136.66,133.15,4730160,1.36,135.05
20241113,132.76,133.83,135.13,131.33,4914758,-0.33,133.01
20241112,133.2,135.65,136.12,133.13,6415695,-3.06,134.04
20241111,137.4,136.0,139.16,135.12,6031492,2.07,137.26
20241108,134.61,134.67,137.71,132.76,19127004,-8.66,134.8
20241107,147.37,141.76,148.64,141.7,10355227,4.58,146.23
20241106,140.91,141.98,142.95,139.41,5051699,2.24,141.02
20241105,137.82,137.55,140.87,137.07,4967887,0.69,139.03
20241104,136.87,136.23,137.55,135.45,2433333,0.3,136.72
20241101,136.46,133.96,136.88,133.81,3547040,1.24,135.97
20241031,134.79,137.7,138.06,134.26,4975481,-1.25,135.55
20241030,136.5,136.47,138.66,136.31,2967909,-0.93,137.36
20241029,137.78,135.33,138.35,135.24,2784315,1.47,137.26
20241028,135.78,136.3,137.3,135.4,3094163,0.89,136.09
20241025,134.58,133.38,135.28,133.17,2507983,1.38,134.57
20241024,132.75,133.55,133.75,131.66,2676730,0.63,132.66
20241023,131.92,135.0,136.2,131.27,3229758,-2.71,132.85
20241022,135.59,136.11,136.35,135.33,2397507,-1.17,135.74
20241021,137.19,135.66,137.99,135.13,2869885,0.54,137.1
20241018,136.45,136.81,136.89,135.16,2370718,0.32,136.25
20241017,136.02,135.7,136.65,135.11,3790309,0.64,135.96
20241016,135.15,134.73,137.4,134.32,3688917,1.41,135.35
20241015,133.27,133.51,134.0,132.3,3439126,-1.13,133.19
20241014,134.79,133.97,134.98,133.42,2199690,0.29,134.37
20241011,134.4,132.3,135.35,132.3,2704521,1.2,134.53
20241010,132.81,135.55,136.37,132.52,3056329,-1.98,133.59
20241009,135.49,133.4,135.76,132.84,3691633,2.26,134.86
20241008,132.5,130.15,134.43,130.15,3200026,1.74,132.71
20241007,130.23,129.09,131.31,128.77,2828096,0.29,130.44
