trade_date,close,open,high,low,vol,pct_change,vwap
20241231,113.11,113.06,113.78,112.55,3460530,0.27,113.02
20241230,112.8,114.13,114.64,112.52,3469307,-1.9,112.94
20241227,114.99,115.01,115.95,114.51,2802599,-0.24,115.04
20241226,115.27,114.2,115.81,113.82,2957730,0.44,115.34
20241224,114.76,114.14,114.83,113.59,1472670,0.39,114.55
20241223,114.31,114.0,114.51,112.96,3732655,0.07,113.77
20241220,114.23,112.64,115.11,112.52,11942766,1.61,114.0
20241219,112.42,111.54,113.3,111.28,7738660,0.44,112.45
20241218,111.93,113.03,114.15,111.85,6089160,-1.2,112.85
20241217,113.29,112.21,113.84,112.2,5741465,0.59,113.2
20241216,112.62,112.7,113.65,112.39,5034637,-0.67,112.91
20241213,113.38,113.85,114.29,112.14,4502160,-0.42,113.49
20241212,113.86,114.4,114.78,113.3,3764687,-0.25,113.88
20241211,114.14,115.31,115.59,114.01,4365895,-1.18,114.48
20241210,115.5,115.08,116.39,114.27,3774970,0.52,115.39
20241209,114.9,115.67,115.87,113.85,4711668,-0.61,114.75
20241206,115.6,115.13,116.2,115.1,5107406,0.01,115.52
20241205,115.59,115.26,116.29,114.89,3075193,-0.33,115.51
20241204,115.97,117.01,117.01,115.29,3545470,-0.28,115.98
20241203,116.29,117.1,117.44,116.07,4537481,-0.45,116.5
20241202,116.81,118.75,118.81,116.59,5310406,-1.65,117.17
20241129,118.77,118.71,119.19,117.86,2523192,-0.15,118.75
20241127,118.95,118.35,120.53,118.1,3249821,0.84,119.34
20241126,117.96,118.64,119.0,117.01,4032346,-0.14,117.8
20241125,118.13,118.28,118.65,117.58,6860539,0.31,118.12
20241122,117.76,117.22,118.0,116.38,5247004,0.43,117.43
20241121,117.26,115.68,117.64,115.14,5538231,1.15,116.71
20241120,115.93,116.69,116.77,115.53,5316805,-1.02,115.94
20241119,117.13,116.54,117.55,115.45,4538399,-0.2,116.88
20241118,117.36,115.58,117.94,115.51,6083938,1.26,117.33
20241115,115.9,114.87,116.35,114.43,6841406,0.76,115.65
