trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,161.07,161.69,157.06,158.04,4475742,-0.97,158.26
2023-01-04,160.89,163.04,159.31,161.4,3477922,2.13,161.1
2023-01-05,160.0,161.13,155.25,155.35,4750293,-3.75,157.49
2023-01-06,157.37,162.22,155.59,161.02,3483405,3.65,160.26
2023-01-09,162.84,165.3,161.18,162.56,3734105,0.96,163.22
2023-01-10,161.98,165.14,161.98,164.62,2351912,1.27,163.99
2023-01-11,163.16,165.51,162.77,165.18,3068956,0.34,164.59
2023-01-12,165.4,166.01,162.62,164.09,2478167,-0.66,164.18
2023-01-13,162.95,164.83,161.9,164.39,1891182,0.18,164.01
2023-01-17,163.35,164.58,161.54,162.38,3320258,-1.22,162.68
2023-01-18,163.95,164.78,161.39,161.49,2627740,-0.55,162.68
2023-01-19,161.06,161.14,157.7,158.7,3082471,-1.73,158.97
2023-01-20,159.37,160.75,156.67,160.68,3841850,1.25,159.36
2023-01-23,162.02,165.63,161.12,165.05,3521865,2.72,164.31
2023-01-24,163.35,165.41,162.81,164.27,2407052,-0.47,164.22
2023-01-25,162.09,164.15,159.75,163.88,2739823,-0.24,162.29
2023-01-26,165.32,166.31,162.33,166.1,3539873,1.35,164.54
2023-01-27,164.48,167.36,163.83,166.19,2453351,0.05,166.08
2023-01-30,164.51,166.5,163.77,164.34,3135567,-1.11,164.83
2023-01-31,164.34,166.86,164.31,166.81,2549376,1.5,166.08
2023-02-01,166.68,173.66,166.57,171.79,4200289,2.99,170.75
2023-02-02,173.03,175.16,171.4,174.43,4206192,1.54,173.51
2023-02-03,172.12,176.41,171.43,173.96,4005655,-0.27,174.48
2023-02-06,172.18,174.45,171.58,172.73,2916609,-0.71,173.01
2023-02-07,173.55,176.92,172.2,176.1,3531556,1.95,175.05
2023-02-08,173.8,174.98,172.58,172.93,3520553,-1.8,173.48
2023-02-09,175.84,177.28,172.5,173.67,2983446,0.43,174.95
2023-02-10,172.33,174.16,171.29,173.61,4003276,-0.03,172.91
2023-02-13,174.51,176.7,174.09,175.55,3975486,1.12,175.58
2023-02-14,174.21,178.16,173.68,177.58,3784226,1.16,176.97
2023-02-15,189.06,191.08,185.91,190.85,7456301,7.47,188.85
2023-02-16,189.27,190.97,187.72,188.57,4481699,-1.19,189.1
2023-02-17,187.85,189.12,186.16,187.48,3774940,-0.58,187.67
2023-02-21,185.45,185.99,180.44,180.92,5117899,-3.5,181.96
2023-02-22,181.61,181.61,177.87,178.77,3512568,-1.19,178.95
2023-02-23,181.9,182.37,178.17,180.61,4501918,1.03,180.35
2023-02-24,179.13,179.71,177.5,178.8,3178011,-1.0,178.64
2023-02-27,181.38,181.69,178.8,179.02,2769497,0.12,179.81
2023-02-28,178.86,181.33,178.41,179.32,2644560,0.17,179.91
2023-03-01,179.7,181.33,178.57,178.97,2600268,-0.2,179.56
2023-03-02,177.03,181.12,175.16,180.41,2906429,0.8,178.59
2023-03-03,181.12,182.57,178.8,182.03,3112385,0.9,181.18
2023-03-06,183.08,184.29,180.9,181.32,2664333,-0.39,182.4
2023-03-07,181.82,182.71,179.36,180.75,2415116,-0.31,180.62
2023-03-08,182.15,183.21,181.01,182.35,3182100,0.89,182.14
2023-03-09,182.89,184.52,179.23,179.41,3627273,-1.61,181.18
2023-03-10,180.55,181.38,177.23,177.65,3166910,-0.98,178.48
2023-03-13,175.74,180.13,175.03,178.42,3310234,0.43,178.26
2023-03-14,180.77,183.77,179.83,182.36,4147371,2.21,181.92
2023-03-15,180.06,181.31,176.26,178.79,3972728,-1.96,178.34
2023-03-16,177.22,183.07,176.12,182.41,3753764,2.02,181.1
2023-03-17,183.15,184.53,180.29,181.64,6216496,-0.42,181.84
2023-03-20,181.89,183.28,180.93,182.83,3033511,0.66,182.5
2023-03-21,184.61,185.62,181.79,184.14,3232914,0.72,183.88
2023-03-22,184.59,187.17,182.13,182.39,3480989,-0.95,184.36
2023-03-23,184.69,188.18,182.83,185.16,2658351,1.52,185.46
2023-03-24,184.82,185.13,181.46,183.44,3401812,-0.93,183.2
2023-03-27,183.99,184.1,180.3,180.59,3617000,-1.55,181.39
2023-03-28,179.56,179.84,176.78,179.44,3319876,-0.64,178.58
2023-03-29,181.83,185.99,181.82,184.89,3577774,3.04,184.35
2023-03-30,186.92,190.71,186.57,189.81,4367129,2.66,189.52
2023-03-31,189.14,193.09,188.88,192.76,3873013,1.55,191.83
2023-04-03,192.02,193.27,189.86,191.84,3120753,-0.48,191.5
2023-04-04,193.09,193.76,189.4,190.7,3633602,-0.59,191.31
2023-04-05,189.96,190.11,184.77,186.06,3368265,-2.43,186.15
2023-04-06,184.47,185.5,182.59,182.93,3010170,-1.68,183.82
2023-04-10,181.43,186.88,180.82,186.63,2573572,2.02,185.31
2023-04-11,187.87,187.96,184.79,185.12,2336387,-0.81,185.92
2023-04-12,186.48,186.48,182.79,183.05,2085418,-1.12,183.85
2023-04-13,183.06,185.8,181.95,184.82,2020153,0.97,184.58
2023-04-14,183.87,186.76,182.81,184.24,1988171,-0.31,184.3
2023-04-17,183.41,185.65,183.16,185.28,2095077,0.56,184.54
2023-04-18,186.6,187.62,184.18,185.29,1745549,0.01,185.36
2023-04-19,183.64,184.75,183.32,184.28,1556048,-0.55,184.15
2023-04-20,181.37,184.94,178.96,182.75,2807939,-0.83,182.69
2023-04-21,182.03,182.96,180.46,182.12,1975284,-0.34,182.06
2023-04-24,182.12,183.14,181.51,182.73,1782021,0.33,182.49
2023-04-25,181.92,181.92,176.97,177.04,3474806,-3.11,178.24
2023-04-26,177.13,178.35,175.58,176.57,3603115,-0.27,176.57
2023-04-27,174.49,174.89,167.36,173.6,4621688,-1.68,171.51
2023-04-28,173.62,176.08,172.28,175.81,3167814,1.27,174.99
2023-05-01,176.65,178.79,176.57,178.41,2573031,1.48,178.03
2023-05-02,180.27,182.37,178.0,179.5,2710801,0.61,179.81
2023-05-03,179.27,180.99,177.91,178.26,1788627,-0.69,178.94
2023-05-04,177.88,178.83,176.4,177.23,2308181,-0.58,177.42
2023-05-05,176.55,180.27,175.51,179.24,3672165,1.13,178.63
2023-05-08,179.63,180.39,177.62,180.34,1936886,0.61,179.6
2023-05-09,178.4,178.58,174.0,175.55,3353256,-2.66,175.65
2023-05-10,177.57,178.16,175.5,177.32,3364890,1.01,177.17
2023-05-11,176.32,176.99,174.69,176.5,2252619,-0.46,175.96
2023-05-12,177.33,178.42,174.82,176.48,1376889,-0.01,176.13
2023-05-15,176.59,180.54,176.2,180.2,2435842,2.11,179.34
2023-05-16,179.47,181.07,178.46,178.65,2179522,-0.86,179.4
2023-05-17,179.84,184.33,179.0,183.71,3002245,2.83,182.9
2023-05-18,184.67,188.67,184.11,187.91,2958954,2.29,187.26
2023-05-19,187.91,188.29,185.47,186.22,3598411,-0.9,186.76
2023-05-22,185.61,188.77,185.17,186.98,2494427,0.41,187.37
2023-05-23,185.49,186.05,183.16,183.67,3864704,-1.77,184.6
2023-05-24,167.62,172.63,165.9,169.28,10367075,-7.83,169.08
2023-05-25,162.74,170.0,158.26,168.49,9915942,-0.47,165.64
2023-05-26,168.58,173.71,167.61,172.53,6794836,2.4,171.89
2023-05-30,174.09,174.79,170.85,173.41,5233094,0.51,172.89
2023-05-31,171.43,175.92,171.27,173.67,7035512,0.15,173.96
2023-06-01,175.16,178.07,172.7,176.33,4361699,1.53,176.21
2023-06-02,178.06,178.73,175.71,176.57,3697378,0.14,177.03
2023-06-05,175.95,176.12,170.54,171.84,3311586,-2.68,172.35
2023-06-06,170.49,175.51,170.29,174.78,3487425,1.71,173.7
2023-06-07,175.07,180.07,175.07,177.13,4061083,1.34,177.63
2023-06-08,178.18,179.26,176.82,178.42,2995541,0.73,178.05
2023-06-09,179.98,182.55,177.83,179.18,3164496,0.43,179.63
2023-06-12,181.68,184.59,181.39,184.29,3845829,2.85,183.32
2023-06-13,186.92,189.08,186.02,188.92,3827942,2.51,188.1
2023-06-14,189.16,190.49,186.45,188.45,4061354,-0.25,188.4
2023-06-15,187.36,188.44,186.05,186.26,3414401,-1.16,187.0
2023-06-16,187.07,188.34,184.38,184.98,6889184,-0.69,185.58
2023-06-21,182.68,184.88,182.01,182.11,2941329,-1.35,182.85
2023-06-22,180.58,183.02,179.94,182.77,2973175,0.36,182.2
2023-06-23,180.8,183.73,180.23,182.6,5021496,-0.09,182.46
2023-06-26,184.48,188.19,182.9,183.0,3317819,0.22,185.13
2023-06-27,183.45,189.15,181.69,188.93,3631856,3.24,186.77
2023-06-28,186.61,187.73,185.19,186.49,3836418,-1.29,186.5
2023-06-29,186.39,187.24,184.23,186.08,2623204,-0.22,185.85
2023-06-30,187.55,191.85,187.38,191.31,3376025,2.81,190.94
2023-07-03,190.5,193.02,188.82,190.84,1367583,-0.25,190.48
2023-07-05,188.98,189.88,186.46,186.59,2693832,-2.23,187.62
2023-07-06,183.55,184.59,181.26,182.85,4204059,-2.0,182.63
2023-07-07,183.04,185.27,181.86,181.98,3038079,-0.48,183.2
2023-07-10,182.57,187.66,182.44,187.62,3367245,3.1,186.71
2023-07-11,188.22,188.62,184.23,187.52,2039664,-0.05,186.38
2023-07-12,189.94,192.53,189.12,191.89,3117722,2.33,191.44
2023-07-13,193.15,195.86,192.39,194.71,3364559,1.47,194.56
2023-07-14,193.83,193.84,188.05,188.52,2922341,-3.18,189.78
2023-07-17,187.16,193.99,187.16,192.84,3249112,2.29,192.01
2023-07-18,191.42,193.28,190.34,192.97,3022883,0.07,191.97
2023-07-19,193.63,193.85,191.8,192.28,2040830,-0.36,192.59
2023-07-20,188.44,190.47,185.37,186.25,3991032,-3.14,187.38
2023-07-21,188.21,190.17,187.3,188.51,8748387,1.21,188.63
2023-07-24,188.0,190.13,187.23,188.92,2663777,0.22,188.84
2023-07-25,189.54,193.42,189.54,192.15,2958713,1.71,192.25
2023-07-26,188.48,189.36,186.49,188.08,2793214,-2.12,187.92
2023-07-27,191.99,194.54,190.21,191.94,3474590,2.05,192.54
2023-07-28,194.73,195.44,192.67,194.86,2884188,1.52,194.73
2023-07-31,195.17,196.51,194.87,195.95,2091850,0.56,195.91
2023-08-01,194.09,196.48,193.29,195.9,1900331,-0.03,195.67
