trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,190.62,192.96,183.0,185.15,1181561,-0.92,185.74
2023-01-04,187.89,190.71,186.0,187.96,1069612,1.52,188.11
2023-01-05,186.05,186.32,180.38,182.07,1488597,-3.13,182.41
2023-01-06,184.23,188.6,179.61,187.19,1294661,2.81,185.69
2023-01-09,190.52,199.09,190.48,192.47,1400843,2.82,194.73
2023-01-10,190.23,194.3,190.23,193.43,1126835,0.5,192.56
2023-01-11,195.36,200.28,194.06,199.93,1144083,3.36,198.63
2023-01-12,199.58,201.8,197.09,199.96,1247128,0.02,199.75
2023-01-13,197.06,201.04,197.06,200.59,961029,0.32,199.64
2023-01-17,200.14,202.61,199.46,200.7,1194526,0.05,200.73
2023-01-18,201.38,205.47,197.67,198.02,1117892,-1.34,199.2
2023-01-19,195.68,199.25,195.65,196.05,987372,-0.99,196.76
2023-01-20,198.24,206.73,198.2,205.9,1248440,5.02,203.71
2023-01-23,206.06,211.63,205.1,211.29,1079305,2.62,209.83
2023-01-24,209.31,210.61,204.84,206.43,908375,-2.3,207.29
2023-01-25,202.0,203.81,198.01,202.5,1273353,-1.9,201.58
2023-01-26,206.27,209.24,205.77,208.46,876704,2.94,207.95
2023-01-27,206.33,212.5,206.0,210.88,1284604,1.16,210.41
2023-01-30,207.07,210.6,206.8,209.12,1122141,-0.83,209.47
2023-01-31,210.33,215.55,208.89,215.16,1633328,2.89,213.76
2023-02-01,213.89,223.99,212.98,222.19,1313864,3.27,219.16
2023-02-02,226.43,232.15,225.81,228.22,1827448,2.71,229.12
2023-02-03,221.68,227.49,221.0,223.66,1199604,-2.0,224.23
2023-02-06,219.02,220.53,216.94,218.34,1174762,-2.38,218.31
2023-02-07,217.85,224.01,215.68,223.65,1021873,2.43,221.29
2023-02-08,223.86,225.95,220.94,221.32,1024159,-1.04,222.24
2023-02-09,224.42,229.43,222.76,224.65,1581913,1.5,225.12
2023-02-10,220.94,224.84,219.84,222.8,1096466,-0.82,222.39
2023-02-13,223.38,225.96,222.85,224.0,1021244,0.54,224.15
2023-02-14,223.37,229.33,222.08,228.04,1373122,1.8,227.19
2023-02-15,226.48,229.32,225.39,229.28,926883,0.54,227.71
2023-02-16,223.75,225.39,221.18,222.13,825508,-3.12,223.39
2023-02-17,219.39,221.24,216.5,219.98,1194063,-0.97,219.13
2023-02-21,215.72,218.43,214.31,215.55,1277456,-2.01,215.84
2023-02-22,215.71,218.46,215.31,216.7,1464950,0.53,216.65
2023-02-23,218.06,221.55,216.12,221.16,2070894,2.06,219.19
2023-02-24,203.19,205.11,191.44,192.53,4971473,-12.95,195.71
2023-02-27,195.0,200.0,194.08,196.68,2251820,2.16,197.68
2023-02-28,195.11,201.67,195.11,198.69,1896134,1.02,199.14
2023-03-01,199.48,200.13,195.18,196.38,1300281,-1.16,196.78
