trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,89.27,89.64,87.85,89.24,1870526,-0.09,88.84
2023-01-04,89.62,91.13,89.26,89.86,1963542,0.69,90.12
2023-01-05,89.22,89.79,87.94,88.22,2374190,-1.83,88.51
2023-01-06,89.14,91.42,89.14,90.81,2287494,2.94,90.77
2023-01-09,90.69,92.49,90.52,92.14,2561359,1.46,92.01
2023-01-10,91.82,92.26,90.75,91.51,3975924,-0.68,91.21
2023-01-11,91.48,91.99,91.28,91.84,5187359,0.36,91.6
2023-01-12,91.79,92.04,90.54,90.69,2505705,-1.25,91.04
2023-01-13,89.98,90.17,89.06,89.22,3709691,-1.62,89.35
2023-01-17,89.16,89.84,88.73,89.23,2575502,0.01,89.28
2023-01-18,89.48,89.56,86.88,86.97,3775894,-2.53,88.02
2023-01-19,86.83,87.16,86.08,86.2,1778570,-0.89,86.42
2023-01-20,85.83,87.33,84.75,86.7,3154215,0.58,85.89
2023-01-23,86.48,87.96,86.14,87.17,2157448,0.54,87.16
2023-01-24,86.87,87.42,85.88,87.2,2225291,0.03,86.95
2023-01-25,86.96,87.05,86.17,86.87,2302685,-0.38,86.67
2023-01-26,86.65,87.83,86.5,87.48,2262892,0.7,87.43
2023-01-27,87.19,87.94,86.78,87.55,1647726,0.08,87.54
2023-01-30,87.42,88.4,87.18,87.36,2866678,-0.22,87.79
2023-01-31,87.57,88.55,86.47,88.39,3338963,1.18,87.64
2023-02-01,87.69,89.55,87.44,89.04,3290360,0.74,88.46
2023-02-02,89.04,89.96,88.03,88.94,2533605,-0.11,89.1
2023-02-03,88.39,88.51,85.59,86.65,2593285,-2.57,86.47
2023-02-06,86.49,87.09,86.15,87.01,2656984,0.42,86.66
2023-02-07,86.62,87.04,85.3,86.81,3160866,-0.23,86.22
2023-02-08,86.33,86.33,84.67,85.02,2901738,-2.06,85.16
2023-02-09,85.2,85.68,83.67,84.0,2779869,-1.2,84.4
2023-02-10,84.44,86.04,84.16,85.97,2053110,2.35,85.51
2023-02-13,86.06,86.75,85.99,86.48,3107217,0.59,86.44
2023-02-14,86.28,86.96,85.4,85.9,1989782,-0.67,86.05
2023-02-15,85.69,86.35,85.38,86.32,1687740,0.49,86.02
2023-02-16,85.44,86.59,84.73,86.11,2054586,-0.24,86.0
2023-02-17,86.06,88.04,85.78,87.74,3127722,1.89,87.44
2023-02-21,86.85,87.3,85.88,86.25,2834637,-1.7,86.35
2023-02-22,85.82,86.87,85.55,86.23,3583220,-0.02,86.3
2023-02-23,85.65,86.37,84.4,86.12,3829357,-0.13,85.72
2023-02-24,84.92,86.32,84.66,85.86,3248145,-0.3,85.59
2023-02-27,86.39,86.91,85.33,85.51,2931407,-0.41,85.95
2023-02-28,84.95,85.75,83.32,83.52,3593964,-2.33,84.12
2023-03-01,83.19,83.22,81.39,81.99,2998017,-1.83,82.09
2023-03-02,81.75,83.73,81.51,83.54,2549241,1.89,82.93
2023-03-03,83.63,84.6,82.81,84.58,2715581,1.24,84.08
2023-03-06,84.5,85.27,84.36,84.85,1735435,0.32,84.82
2023-03-07,85.04,85.62,83.73,84.15,3381040,-0.82,84.3
