trade_date,close,open,high,low,vol,pct_change,vwap
20241231,95.65,95.81,96.65,95.41,921129,0.09,95.76
20241230,95.56,96.24,96.44,95.22,1087512,-1.45,95.74
20241227,96.97,97.51,97.68,96.13,714308,-1.01,96.82
20241226,97.96,96.72,98.11,96.5,929526,1.08,97.7
20241224,96.91,96.13,97.17,96.05,541735,0.32,96.76
20241223,96.6,95.73,96.71,95.4,1316441,0.74,96.3
20241220,95.89,94.25,96.32,93.93,3022585,1.39,95.76
20241219,94.58,94.72,95.78,94.26,1518925,0.49,94.88
20241218,94.12,97.75,97.8,93.97,1961440,-3.33,95.39
20241217,97.36,97.06,98.53,97.02,1549179,0.06,97.65
20241216,97.3,98.41,99.83,97.2,1523397,-1.95,97.88
20241213,99.24,99.72,100.25,98.81,1564632,-0.76,99.43
20241212,100.0,99.19,100.39,99.01,1269983,-0.02,99.89
20241211,100.02,99.29,100.15,98.53,1371440,1.26,99.63
20241210,98.78,99.12,99.6,97.76,1272574,-0.34,98.85
20241209,99.12,97.75,100.32,97.68,1344803,1.08,99.34
20241206,98.06,98.08,99.22,97.79,1467634,0.68,98.27
20241205,97.4,98.67,98.84,97.21,1471215,-0.92,97.51
20241204,98.3,97.53,99.03,97.22,1514297,0.79,98.51
20241203,97.53,97.06,98.18,96.79,1838206,-0.41,97.52
20241202,97.93,95.5,98.7,95.35,3118661,4.16,97.64
20241129,94.02,93.76,94.86,93.68,830762,0.17,94.26
20241127,93.86,93.38,94.53,93.12,1186347,0.82,94.02
20241126,93.1,94.66,94.9,92.83,1678432,-1.63,93.29
20241125,94.64,93.82,94.9,93.05,2914514,1.87,94.14
20241122,92.9,90.96,93.2,90.74,2718440,2.0,92.65
20241121,91.08,88.42,91.2,88.0,2023653,3.55,90.47
20241120,87.96,87.09,88.19,86.56,1516678,0.69,87.5
20241119,87.36,84.85,87.42,84.7,2369893,1.63,86.47
20241118,85.96,87.43,88.18,85.59,2420827,-1.68,86.25
20241115,87.43,88.86,89.56,86.78,2615654,-1.04,87.62
20241114,88.35,88.74,89.54,88.24,2415705,-0.45,88.64
20241113,88.75,89.21,90.16,88.5,2393017,-1.48,89.11
20241112,90.08,91.5,91.5,89.74,2826986,-1.09,90.37
20241111,91.07,91.65,92.18,89.77,3308832,1.9,90.78
20241108,89.37,97.91,98.3,89.27,9002961,-14.4,91.69
20241107,104.4,104.74,104.99,103.19,2559631,-0.3,103.92
20241106,104.71,103.35,105.26,102.82,2178289,3.71,104.3
20241105,100.96,99.8,101.37,98.93,2435701,0.92,100.47
20241104,100.04,100.5,101.06,99.84,1709275,-0.53,100.27
20241101,100.57,101.16,101.87,100.22,1365874,-0.5,100.75
20241031,101.08,101.72,101.97,100.54,1954059,-0.76,101.31
20241030,101.85,102.96,104.13,101.65,2246799,-1.08,102.63
20241029,102.96,102.84,103.85,102.28,1106877,0.11,103.3
20241028,102.85,102.94,103.24,102.24,929050,0.86,102.83
20241025,101.97,103.35,103.71,101.57,898179,-0.81,102.3
20241024,102.8,102.68,104.17,102.68,1188060,0.08,103.28
20241023,102.72,105.46,105.5,102.52,1464821,-2.6,103.34
20241022,105.46,105.98,105.98,105.05,1082037,-0.65,105.45
20241021,106.15,106.5,106.76,105.4,1380420,-0.49,106.11
20241018,106.67,105.2,106.8,104.76,1611613,1.85,106.33
