trade_date,close,open,high,low,vol,pct_change,vwap
20241231,208.51,208.32,208.99,206.26,431680,0.93,207.74
20241230,206.58,207.98,208.23,204.13,483609,-2.29,206.79
20241227,211.43,212.49,214.82,209.66,390166,-1.89,211.48
20241226,215.5,211.55,216.1,210.51,560839,0.94,214.15
20241224,213.5,207.61,213.57,207.43,445547,2.86,211.32
20241223,207.57,211.27,211.99,205.33,956962,-1.65,207.49
20241220,211.06,211.64,214.98,210.6,1463064,-1.18,212.05
20241219,213.58,215.0,218.82,211.46,933414,0.42,214.04
20241218,212.69,228.83,228.97,212.5,962473,-7.05,218.89
20241217,228.81,226.61,231.29,226.1,579638,-0.56,228.96
20241216,230.09,233.14,237.17,229.73,765440,-2.25,231.95
20241213,235.39,235.19,238.11,233.8,513601,-0.14,235.38
20241212,235.72,239.15,241.28,235.36,389425,-1.59,236.9
20241211,239.52,240.35,246.19,237.25,495294,1.0,240.35
20241210,237.16,237.19,239.48,233.94,586552,-0.17,237.22
20241209,237.57,232.0,240.0,231.67,548619,2.25,238.0
20241206,232.35,230.21,240.6,229.54,451361,1.99,233.78
20241205,227.81,235.45,235.45,226.67,522823,-3.18,228.53
20241204,235.29,237.0,237.21,233.6,582463,0.55,235.46
20241203,234.01,233.79,235.61,229.52,538564,-0.06,233.59
20241202,234.14,231.22,235.56,226.53,777906,0.59,232.44
20241129,232.77,228.48,233.67,226.75,312009,1.35,232.05
20241127,229.66,230.33,234.6,228.04,528842,0.76,230.05
20241126,227.93,237.26,237.48,226.52,1581973,-5.23,228.73
20241125,240.52,230.0,241.15,228.52,1387721,6.48,238.81
20241122,225.89,226.3,230.0,216.61,806482,-1.02,223.91
20241121,228.21,225.0,229.29,224.43,474323,1.94,227.34
20241120,223.87,221.0,224.24,219.0,528400,0.58,222.22
20241119,222.58,226.69,227.62,221.56,619134,-3.18,223.6
20241118,229.9,223.83,231.86,223.19,940183,2.78,229.73
20241115,223.69,223.3,229.3,221.2,1074007,0.92,225.82
20241114,221.64,215.59,225.01,213.37,924539,3.07,219.81
20241113,215.03,217.67,219.38,213.18,594113,-1.85,215.81
20241112,219.09,223.35,225.41,218.79,569813,-2.73,221.13
20241111,225.24,223.96,229.0,223.27,665280,2.15,225.64
20241108,220.51,220.94,224.16,216.58,843814,-0.75,220.68
20241107,222.18,224.91,224.91,219.77,959143,-1.19,221.85
20241106,224.85,222.17,225.09,215.19,1178415,5.99,221.31
20241105,212.15,208.55,213.26,206.28,649318,0.65,211.76
20241104,210.78,208.97,216.6,207.38,729906,1.05,211.83
20241101,208.58,204.81,209.31,204.77,868066,1.73,207.53
20241031,205.03,210.65,211.76,204.93,1032305,-2.76,206.5
20241030,210.86,210.44,214.85,210.28,825246,-0.9,212.53
20241029,212.78,207.06,217.5,205.83,1069975,-1.4,213.86
20241028,215.8,219.69,222.83,215.73,791185,-1.6,218.19
20241025,219.3,222.5,226.72,218.48,1143211,1.33,221.73
20241024,216.42,214.48,226.85,213.0,2028474,4.22,220.35
20241023,207.66,208.29,210.35,206.12,1409525,-1.49,207.66
20241022,210.81,212.55,213.41,209.39,1016833,-2.66,211.05
20241021,216.56,219.47,220.0,215.24,767481,-1.43,216.88
20241018,219.7,217.42,219.71,215.18,828083,1.7,218.25
20241017,216.02,217.97,218.66,214.92,840639,-0.01,216.33
20241016,216.05,219.54,219.54,214.26,1482036,-1.41,215.67
