trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,105.22,106.03,104.03,105.17,656439,2.32,104.93
2023-01-04,106.31,106.72,104.89,106.67,531994,1.43,106.14
2023-01-05,106.21,106.92,104.3,105.22,712420,-1.36,105.23
2023-01-06,106.4,109.65,106.13,108.8,528337,3.4,108.46
2023-01-09,109.74,111.26,108.4,109.63,632673,0.76,110.0
2023-01-10,108.88,109.89,108.59,109.41,557871,-0.2,109.35
2023-01-11,109.99,111.72,109.57,111.43,555950,1.85,111.15
2023-01-12,111.64,111.64,110.21,110.84,488148,-0.53,110.9
2023-01-13,110.3,111.68,109.04,111.09,559258,0.23,110.99
2023-01-17,111.16,111.36,109.82,110.14,485626,-0.86,110.33
2023-01-18,110.47,111.37,107.91,108.35,760023,-1.63,109.41
2023-01-19,107.8,107.8,105.52,105.72,573827,-2.43,106.08
2023-01-20,106.17,108.86,106.05,108.68,674301,2.8,107.8
2023-01-23,109.1,110.07,108.56,109.46,482244,0.72,109.54
2023-01-24,109.0,111.07,108.22,110.72,382844,1.15,110.33
2023-01-25,109.47,110.77,109.26,110.69,296149,-0.03,110.29
2023-01-26,111.32,112.14,110.3,110.59,396596,-0.09,110.75
2023-01-27,110.07,112.16,110.07,111.59,531709,0.9,111.26
2023-01-30,110.71,112.56,110.43,111.76,554442,0.15,112.03
2023-01-31,112.4,114.82,111.46,114.79,691151,2.71,113.65
2023-02-01,113.79,117.79,113.08,117.23,634800,2.13,115.59
2023-02-02,118.38,120.56,117.62,118.88,988266,1.41,119.14
2023-02-03,117.58,120.41,117.51,120.04,673453,0.98,119.69
2023-02-06,119.1,120.3,117.84,118.03,475940,-1.67,118.78
2023-02-07,116.9,117.8,114.42,117.43,507155,-0.51,116.41
2023-02-08,116.83,118.32,116.47,117.33,469996,-0.09,117.33
2023-02-09,118.43,118.53,115.34,115.79,687492,-1.31,116.2
2023-02-10,115.82,116.6,114.96,115.3,462766,-0.42,115.53
2023-02-13,115.71,117.32,115.26,117.1,671933,1.56,116.99
2023-02-14,116.23,117.59,115.47,117.04,375011,-0.05,116.93
2023-02-15,116.05,118.92,115.77,118.72,437268,1.44,118.29
2023-02-16,116.44,117.24,115.4,115.96,656561,-2.32,116.38
2023-02-17,115.7,116.09,113.72,115.81,838996,-0.13,115.16
2023-02-21,114.6,115.28,110.94,112.31,1217837,-3.02,112.01
2023-02-22,115.3,115.3,109.43,110.48,1644974,-1.63,110.88
2023-02-23,112.26,113.3,109.66,111.11,1453361,0.57,110.65
2023-02-24,109.61,111.13,108.75,110.35,1048907,-0.68,110.08
2023-02-27,111.47,112.15,109.39,110.34,1025269,-0.01,110.06
2023-02-28,110.2,110.77,109.56,110.06,1292821,-0.25,110.16
2023-03-01,109.47,110.34,109.18,109.77,841563,-0.26,109.76
2023-03-02,109.06,109.98,108.78,109.87,924716,0.09,109.56
2023-03-03,110.58,112.17,109.61,112.06,659081,1.99,111.52
2023-03-06,112.13,113.06,111.59,111.74,691406,-0.29,112.12
2023-03-07,111.91,112.4,110.42,110.72,675019,-0.91,111.0
2023-03-08,111.02,111.93,110.12,111.66,650607,0.85,111.17
2023-03-09,112.03,112.67,108.61,108.88,898715,-2.49,109.77
2023-03-10,109.03,109.03,104.69,104.96,883057,-3.6,105.76
2023-03-13,103.73,104.97,102.7,103.49,873966,-1.4,103.83
2023-03-14,105.41,106.73,104.11,105.54,938171,1.98,105.33
2023-03-15,103.33,103.47,99.95,101.83,1065867,-3.52,101.49
2023-03-16,101.2,104.35,100.11,104.13,1141407,2.26,103.48
2023-03-17,103.95,104.01,101.12,101.32,1994057,-2.7,101.92
2023-03-20,101.99,104.02,101.62,103.76,938623,2.41,103.54
2023-03-21,105.25,105.44,103.94,104.85,873068,1.05,104.73
2023-03-22,104.53,104.85,101.65,101.85,730273,-2.86,103.19
