trade_date,close,open,high,low,vol,pct_change,vwap
20241231,9.41,9.34,9.42,9.33,8289707,0.75,9.39
20241230,9.34,9.36,9.38,9.29,8767809,-1.06,9.34
20241227,9.44,9.4,9.51,9.39,9343801,-0.21,9.45
20241226,9.46,9.45,9.55,9.42,13904434,-0.32,9.47
20241224,9.49,9.44,9.5,9.4,4337184,0.64,9.47
20241223,9.43,9.36,9.45,9.32,14022848,0.32,9.4
20241220,9.4,9.41,9.47,9.32,39566418,0.0,9.41
20241219,9.4,9.46,9.54,9.4,16037118,-0.42,9.45
20241218,9.44,9.65,9.75,9.42,17332895,-2.98,9.57
20241217,9.73,9.74,9.83,9.66,24387219,-1.12,9.72
20241216,9.84,9.92,9.94,9.84,14393200,-0.61,9.87
20241213,9.9,9.96,9.97,9.85,10309344,-0.9,9.91
20241212,9.99,10.03,10.11,9.97,15017149,-0.3,10.03
20241211,10.02,10.26,10.27,9.99,12119711,-1.09,10.04
20241210,10.13,10.16,10.47,10.0,18941161,-0.69,10.12
20241209,10.2,10.25,10.3,10.18,12203430,0.2,10.22
20241206,10.18,10.26,10.32,10.12,10982196,-0.59,10.18
20241205,10.24,10.41,10.41,10.14,15572422,-2.2,10.22
20241204,10.47,10.51,10.51,10.33,17483872,-0.85,10.44
20241203,10.56,10.52,10.62,10.52,10846075,-0.09,10.57
20241202,10.57,10.62,10.64,10.46,26416129,-0.66,10.52
20241129,10.64,10.7,10.71,10.55,17920020,1.33,10.64
20241127,10.5,10.58,10.67,10.45,19233567,1.06,10.51
20241126,10.39,10.53,10.54,10.28,15860036,-0.86,10.36
20241125,10.48,10.59,10.68,10.47,20347122,-0.1,10.55
20241122,10.49,10.45,10.51,10.39,15241446,0.19,10.45
20241121,10.47,10.48,10.49,10.24,28061907,1.26,10.4
20241120,10.34,10.17,10.37,10.1,45662086,4.55,10.27
20241119,9.89,10.24,10.44,9.4,44831559,-2.56,9.96
20241118,10.15,10.24,10.28,10.14,7194406,-0.68,10.17
