trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,138.81,139.52,137.29,139.14,1446167,0.57,138.84
2023-01-04,139.92,140.43,138.07,139.47,580917,0.24,139.27
2023-01-05,138.61,138.99,136.12,136.63,1313241,-2.04,137.01
2023-01-06,138.54,143.07,138.21,142.43,960708,4.25,141.75
2023-01-09,142.31,144.98,140.43,141.1,1011652,-0.93,142.37
2023-01-10,140.72,141.84,140.43,141.41,424319,0.22,141.34
2023-01-11,142.28,144.07,141.5,144.05,816341,1.87,143.53
2023-01-12,144.95,144.95,143.31,144.12,545287,0.05,144.05
2023-01-13,143.24,145.39,143.24,144.7,622723,0.4,144.59
2023-01-17,145.17,145.57,143.05,143.21,1190503,-1.03,144.05
2023-01-18,143.2,143.5,139.44,140.03,939642,-2.22,140.79
2023-01-19,139.62,140.36,137.08,137.67,1381920,-1.69,138.15
2023-01-20,138.55,141.25,137.31,141.1,1058334,2.49,139.67
2023-01-23,141.37,142.06,140.25,141.65,884954,0.39,141.31
2023-01-24,143.05,143.05,139.4,142.67,918443,0.72,141.98
2023-01-25,141.25,141.86,140.07,141.4,1145230,-0.89,141.09
2023-01-26,142.46,142.89,140.34,142.14,927000,0.52,141.61
2023-01-27,141.27,143.0,140.87,142.49,967874,0.25,142.22
2023-01-30,141.77,142.36,140.6,140.91,798361,-1.11,141.44
2023-01-31,141.53,143.6,140.68,143.5,1020562,1.84,142.42
2023-02-01,143.21,144.61,140.97,143.73,1841973,0.16,143.01
2023-02-02,144.07,144.71,141.63,143.1,1912626,-0.44,143.01
2023-02-03,142.59,145.21,142.32,144.94,1301942,1.29,144.38
2023-02-06,144.29,146.61,144.29,145.65,1833327,0.49,145.58
2023-02-07,144.37,145.62,142.61,145.3,1056824,-0.24,144.52
2023-02-08,145.11,145.3,143.28,143.55,832123,-1.2,143.96
2023-02-09,144.74,145.39,142.5,142.94,725566,-0.42,143.55
2023-02-10,142.91,143.86,142.59,143.27,879186,0.23,143.31
2023-02-13,143.53,145.18,143.21,144.4,1146235,0.79,144.43
2023-02-14,143.71,144.57,142.15,142.95,1074256,-1.0,143.26
2023-02-15,142.56,144.82,142.42,144.77,648063,1.27,144.19
2023-02-16,142.98,144.07,142.92,143.13,609380,-1.13,143.38
2023-02-17,142.9,145.42,142.52,145.05,853828,1.34,144.49
2023-02-21,143.59,144.27,141.13,141.6,712559,-2.38,141.89
2023-02-22,142.34,142.76,140.51,140.94,1033469,-0.47,141.43
2023-02-23,140.55,141.88,139.13,141.37,1100654,0.31,140.86
2023-02-24,139.86,140.28,138.69,139.56,1115531,-1.28,139.62
2023-02-27,140.84,141.16,139.44,139.96,1128923,0.29,140.12
2023-02-28,139.95,141.27,139.63,140.17,1046457,0.15,140.43
2023-03-01,139.55,140.92,139.55,140.26,733577,0.06,140.25
2023-03-02,139.58,141.25,139.08,140.94,782702,0.48,140.45
2023-03-03,142.21,142.72,140.76,142.52,589481,1.12,142.18
2023-03-06,142.33,143.31,141.62,141.99,647016,-0.37,142.27
2023-03-07,142.15,142.15,138.67,138.71,876092,-2.31,139.56
2023-03-08,138.78,139.77,138.1,139.39,1145157,0.49,138.97
2023-03-09,140.2,140.52,136.98,137.82,1620443,-1.13,138.5
2023-03-10,137.99,138.37,133.99,134.63,891701,-2.31,135.34
2023-03-13,133.33,135.71,132.23,134.26,1091353,-0.27,134.42
2023-03-14,136.53,137.68,135.12,137.4,1274008,2.34,136.86
2023-03-15,134.67,134.72,130.46,132.92,1619198,-3.26,132.24
2023-03-16,132.22,135.38,131.85,134.75,1194654,1.38,134.46
2023-03-17,134.98,134.98,132.09,133.9,1856032,-0.63,133.75
2023-03-20,135.14,137.47,133.9,137.43,1240690,2.64,136.79
2023-03-21,139.22,139.71,137.61,138.94,960360,1.1,138.6
2023-03-22,138.85,140.46,137.12,137.35,1039297,-1.14,138.5
2023-03-23,137.13,138.73,135.69,137.24,1271244,-0.08,137.41
2023-03-24,135.67,138.25,134.76,138.2,1053874,0.7,137.3
2023-03-27,139.15,139.78,138.17,138.67,784276,0.34,138.76
2023-03-28,138.82,140.08,138.25,140.0,673921,0.96,139.53
2023-03-29,140.86,141.31,140.02,141.1,799206,0.79,140.81
2023-03-30,142.37,142.81,141.0,141.68,585238,0.41,141.55
2023-03-31,142.36,144.34,141.92,144.16,1159745,1.75,143.56
2023-04-03,143.28,144.26,142.21,143.09,1104510,-0.74,143.17
2023-04-04,142.9,142.97,137.8,137.94,964395,-3.6,138.69
2023-04-05,136.95,137.4,133.32,134.58,1605913,-2.44,134.56
2023-04-06,134.15,135.35,133.42,134.16,1175833,-0.31,134.31
2023-04-10,133.23,135.71,132.8,135.68,924272,1.13,135.09
2023-04-11,135.95,136.59,135.57,135.92,1109404,0.18,136.02
2023-04-12,136.89,137.9,136.6,137.42,1232269,1.1,137.32
2023-04-13,137.44,137.47,134.87,137.34,1142152,-0.06,136.72
2023-04-14,137.29,138.92,136.57,137.24,828105,-0.07,137.49
2023-04-17,137.55,138.37,136.91,138.1,999877,0.63,137.71
2023-04-18,138.76,139.21,137.59,138.13,839832,0.02,138.1
2023-04-19,138.12,138.15,136.2,136.46,827020,-1.21,136.73
2023-04-20,135.73,136.87,135.2,136.86,888780,0.29,136.43
2023-04-21,137.21,137.21,135.55,136.47,850357,-0.28,136.36
2023-04-24,136.41,137.15,136.11,136.61,642946,0.1,136.53
2023-04-25,136.34,136.75,134.75,134.83,1064967,-1.3,135.41
2023-04-26,133.48,134.9,132.05,132.66,1149382,-1.61,132.99
2023-04-27,133.34,136.31,132.69,136.26,1393826,2.71,134.95
2023-04-28,135.79,137.19,135.54,136.82,1412938,0.41,136.72
2023-05-01,136.81,138.9,136.62,138.22,1509344,1.02,138.35
2023-05-02,140.09,145.19,139.68,144.43,2050784,4.49,143.11
2023-05-03,144.98,146.69,143.27,143.42,1026806,-0.7,144.35
2023-05-04,143.34,143.63,141.25,141.77,1463039,-1.15,141.97
2023-05-05,142.95,144.06,142.34,143.85,717564,1.47,143.47
2023-05-08,144.3,144.44,142.79,143.85,630893,0.0,143.56
2023-05-09,143.46,144.13,142.85,143.25,601276,-0.42,143.46
2023-05-10,144.5,145.12,141.57,143.52,756407,0.19,143.17
2023-05-11,142.98,142.98,141.51,142.6,720796,-0.64,142.43
2023-05-12,143.86,144.34,142.83,144.25,957496,1.16,143.79
2023-05-15,144.65,145.35,144.03,145.16,1012232,0.63,144.83
2023-05-16,144.53,144.83,142.69,143.4,1083896,-1.21,143.55
2023-05-17,144.28,145.56,143.57,144.76,910398,0.95,144.64
2023-05-18,145.09,147.09,144.27,146.6,856352,1.27,146.16
2023-05-19,147.91,148.27,145.8,146.38,880500,-0.15,146.65
2023-05-22,146.66,147.77,146.02,146.74,730992,0.25,146.69
2023-05-23,145.7,146.48,144.79,144.8,912019,-1.32,145.39
2023-05-24,144.27,144.47,142.57,143.1,952450,-1.17,143.37
2023-05-25,143.66,145.05,143.16,144.56,811865,1.02,144.38
2023-05-26,144.89,147.15,144.82,147.03,725938,1.71,146.62
2023-05-30,146.88,147.7,146.19,146.34,622912,-0.47,146.66
2023-05-31,145.7,145.94,143.45,143.9,1734802,-1.67,144.11
2023-06-01,144.46,145.77,143.51,145.77,838176,1.3,145.18
2023-06-02,147.21,149.98,146.67,149.47,821806,2.54,148.93
2023-06-05,149.3,149.5,147.08,147.59,1431569,-1.26,147.79
2023-06-06,147.45,149.05,147.04,148.09,1292823,0.34,148.14
2023-06-07,148.44,150.3,147.65,149.91,910206,1.23,149.76
2023-06-08,149.6,150.29,149.15,149.2,1198793,-0.47,149.54
2023-06-09,148.99,149.96,148.3,149.33,774457,0.09,149.21
2023-06-12,149.58,150.57,148.73,150.21,581075,0.59,149.91
2023-06-13,150.21,152.73,150.17,152.49,1162132,1.52,152.13
2023-06-14,152.88,153.49,151.51,152.62,934878,0.09,152.61
2023-06-15,152.43,155.91,152.3,155.7,1115921,2.02,155.01
2023-06-16,157.6,157.6,154.67,154.91,1750309,-0.51,155.69
2023-06-21,153.88,155.97,152.93,155.57,820720,0.79,155.34
2023-06-22,155.55,156.04,154.37,155.03,930307,-0.35,154.95
2023-06-23,153.76,156.11,153.36,155.06,1112362,0.02,155.18
2023-06-26,155.35,157.15,155.22,156.37,953820,0.84,156.55
2023-06-27,156.66,158.84,156.22,158.56,797862,1.4,158.24
2023-06-28,158.39,158.57,157.32,157.76,653052,-0.5,157.86
2023-06-29,157.56,159.51,157.02,159.12,689015,0.86,158.94
2023-06-30,160.16,161.65,159.32,160.85,1035481,1.09,160.78
2023-07-03,159.65,160.32,158.11,159.78,374740,-0.67,159.65
2023-07-05,156.92,158.58,156.59,157.44,789756,-1.46,157.69
2023-07-06,156.43,156.6,155.17,155.76,1061486,-1.07,155.79
2023-07-07,155.28,156.8,154.81,156.08,1090847,0.21,156.13
2023-07-10,156.26,157.89,155.9,156.51,1783836,0.28,156.5
2023-07-11,156.89,157.23,155.29,156.55,1064681,0.03,156.3
2023-07-12,157.6,157.68,156.14,156.5,1386615,-0.03,156.71
2023-07-13,156.77,157.42,155.7,157.26,909810,0.49,157.01
2023-07-14,157.08,157.98,155.79,156.53,705823,-0.46,156.46
2023-07-17,156.48,157.49,155.89,156.89,715118,0.23,156.95
2023-07-18,156.73,158.28,156.73,157.85,812532,0.61,157.6
2023-07-19,156.91,157.56,155.21,156.47,888972,-0.87,156.26
2023-07-20,157.1,157.41,155.82,157.08,723048,0.39,156.87
2023-07-21,157.16,157.62,156.45,156.52,645017,-0.36,156.89
2023-07-24,157.04,157.78,156.5,157.22,616584,0.45,157.19
2023-07-25,156.24,157.86,156.24,157.71,624959,0.31,157.43
2023-07-26,156.86,158.42,156.28,157.75,686522,0.03,157.49
2023-07-27,158.25,158.98,156.73,156.85,910110,-0.57,157.68
2023-07-28,157.8,158.35,156.73,157.24,805176,0.25,157.22
2023-07-31,157.83,158.26,156.92,157.59,1365981,0.22,157.42
2023-08-01,156.57,163.7,155.01,158.43,1518282,0.53,159.34
2023-08-02,159.74,160.4,157.38,157.68,1020717,-0.47,158.54
2023-08-03,157.4,157.9,156.31,156.84,941302,-0.53,156.95
2023-08-04,157.38,157.72,155.16,155.57,606286,-0.81,156.12
2023-08-07,156.57,159.71,156.57,159.57,770094,2.57,158.99
2023-08-08,158.99,159.73,157.14,159.47,969430,-0.06,158.86
2023-08-09,159.66,159.66,158.2,158.7,894226,-0.48,158.81
2023-08-10,158.61,159.98,157.47,157.9,721350,-0.5,158.48
2023-08-11,157.86,158.23,156.94,157.21,560420,-0.44,157.48
2023-08-14,157.24,157.68,156.59,157.11,456705,-0.06,157.19
2023-08-15,156.69,156.72,155.4,155.66,530043,-0.92,155.83
2023-08-16,155.52,156.81,154.9,155.04,633989,-0.4,155.53
2023-08-17,155.73,155.73,151.57,152.0,1285692,-1.96,153.31
2023-08-18,151.58,153.89,151.54,153.46,1142328,0.96,153.22
2023-08-21,153.7,154.02,152.05,153.63,616753,0.11,153.37
2023-08-22,154.43,154.84,153.02,153.7,501512,0.05,153.66
2023-08-23,154.62,155.61,153.9,155.29,543730,1.03,155.05
2023-08-24,155.36,156.51,153.81,153.88,567740,-0.91,154.46
2023-08-25,154.65,157.12,154.33,156.58,540078,1.75,156.14
2023-08-28,156.81,158.38,156.81,157.5,418009,0.59,157.74
2023-08-29,157.25,159.49,157.0,158.54,755288,0.66,158.64
2023-08-30,158.95,159.55,158.3,159.27,513912,0.46,159.02
2023-08-31,159.23,160.02,158.49,158.49,735607,-0.49,158.87
2023-09-01,159.24,159.9,158.71,159.62,471290,0.71,159.54
2023-09-05,159.74,159.74,156.07,156.12,774893,-2.19,156.69
2023-09-06,156.25,157.43,155.48,156.1,1641343,-0.01,156.42
2023-09-07,155.97,156.9,154.35,155.64,1069540,-0.29,155.38
2023-09-08,155.13,155.61,152.58,152.92,1018925,-1.75,153.27
2023-09-11,153.49,153.95,151.19,152.47,790226,-0.29,152.23
2023-09-12,151.81,153.03,150.39,150.69,939513,-1.17,151.33
2023-09-13,150.25,151.82,150.13,151.77,1395955,0.72,151.19
2023-09-14,152.71,153.13,150.73,152.13,1151317,0.24,151.83
