trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,297.46,298.4,292.96,295.85,531351,-0.24,295.42
2023-01-04,298.12,300.37,296.6,299.11,587006,1.1,298.67
2023-01-05,298.51,299.3,294.97,296.77,578634,-0.78,296.78
2023-01-06,299.77,305.59,296.29,303.66,688237,2.32,302.57
2023-01-09,304.55,308.62,302.14,302.68,709140,-0.32,304.38
2023-01-10,302.81,303.97,300.3,303.66,558283,0.32,302.89
2023-01-11,303.98,308.59,303.78,308.47,520905,1.58,307.09
2023-01-12,309.46,313.25,305.18,312.1,731204,1.18,311.23
2023-01-13,311.33,313.91,310.47,313.39,677498,0.41,312.27
2023-01-17,313.59,315.69,311.49,313.16,757688,-0.07,313.81
2023-01-18,312.89,314.78,309.64,310.34,903869,-0.9,311.25
2023-01-19,307.37,317.49,307.37,315.16,1154526,1.55,314.65
2023-01-20,315.2,321.52,313.18,321.52,985901,2.02,319.0
2023-01-23,320.99,324.41,318.13,322.1,627901,0.18,322.22
2023-01-24,322.48,324.08,319.27,320.47,490424,-0.51,321.6
2023-01-25,316.54,319.28,312.94,319.07,741195,-0.44,317.15
2023-01-26,319.32,322.11,318.49,320.97,662956,0.6,320.61
2023-01-27,320.25,320.44,313.97,315.49,909319,-1.71,316.74
2023-01-30,315.2,317.83,313.02,313.75,928280,-0.55,314.57
2023-01-31,313.99,316.16,311.8,315.44,791782,0.54,314.98
2023-02-01,313.13,318.65,312.31,316.13,1181468,0.22,316.0
2023-02-02,317.41,319.85,314.89,319.71,1531966,1.13,317.92
2023-02-03,311.79,315.08,306.43,310.45,1586678,-2.9,309.87
2023-02-06,308.2,314.68,307.17,314.5,796945,1.3,312.5
2023-02-07,312.31,317.69,311.28,316.54,635209,0.65,315.01
2023-02-08,314.77,318.58,314.08,316.36,660961,-0.06,316.98
2023-02-09,318.42,320.27,313.49,314.15,884183,-0.7,315.45
2023-02-10,312.91,315.93,312.09,314.58,673336,0.14,314.31
2023-02-13,315.12,318.16,313.91,318.16,515780,1.14,316.97
2023-02-14,318.37,318.4,309.18,309.26,763051,-2.8,311.79
2023-02-15,307.74,312.69,307.06,311.86,467788,0.84,310.75
2023-02-16,307.26,308.82,306.54,307.09,758714,-1.53,307.31
2023-02-17,306.03,307.72,304.54,307.11,592154,0.01,306.88
2023-02-21,304.69,306.78,300.36,301.58,846935,-1.8,301.96
2023-02-22,301.54,304.68,300.86,301.77,622264,0.06,302.46
2023-02-23,302.43,303.84,298.63,301.38,590073,-0.13,301.02
2023-02-24,299.33,301.51,298.21,299.89,675729,-0.49,299.99
2023-02-27,302.28,302.93,298.74,299.51,559463,-0.13,300.34
2023-02-28,299.83,302.97,299.14,300.95,900831,0.48,301.39
2023-03-01,299.23,302.94,297.49,298.64,944716,-0.77,299.57
2023-03-02,297.35,299.25,294.48,298.72,797004,0.03,297.53
2023-03-03,300.16,300.99,296.82,300.97,755874,0.75,299.59
2023-03-06,301.83,303.13,301.24,302.22,575104,0.42,302.15
2023-03-07,303.13,304.18,297.87,298.5,546882,-1.23,299.8
2023-03-08,298.6,300.88,295.7,297.72,627467,-0.26,297.84
2023-03-09,299.2,299.73,292.17,293.75,948373,-1.33,296.28
2023-03-10,293.21,295.42,289.69,291.24,694570,-0.85,291.76
2023-03-13,287.53,294.61,286.35,290.45,1135758,-0.27,291.45
2023-03-14,294.59,294.94,285.51,289.59,1261836,-0.3,289.54
2023-03-15,283.33,284.95,278.03,282.94,1514652,-2.3,281.4
2023-03-16,282.63,297.05,281.23,295.98,1623156,4.61,293.05
2023-03-17,294.49,294.96,291.69,293.57,2935252,-0.81,293.57
2023-03-20,294.23,298.57,293.02,297.41,1305060,1.31,296.55
2023-03-21,300.46,302.29,298.88,301.73,1001731,1.45,300.86
2023-03-22,302.2,304.31,298.39,298.44,1034572,-1.09,301.33
2023-03-23,296.9,301.71,296.17,299.91,956962,0.49,299.66
2023-03-24,297.98,306.17,297.87,306.01,895888,2.03,304.03
2023-03-27,307.6,309.23,305.4,306.01,726338,0.0,307.07
2023-03-28,304.94,306.27,303.26,305.85,573458,-0.05,305.33
2023-03-29,307.65,309.6,306.94,309.51,507044,1.2,308.69
2023-03-30,310.88,311.42,307.01,309.81,517131,0.1,309.11
2023-03-31,311.8,312.24,309.68,312.08,606671,0.73,311.47
2023-04-03,311.34,315.28,311.03,313.85,1135171,0.57,313.83
2023-04-04,313.83,315.61,310.65,315.6,908783,0.56,314.17
2023-04-05,316.65,319.58,314.68,318.29,738682,0.85,318.0
2023-04-06,317.98,319.34,317.24,318.77,465826,0.15,318.36
2023-04-10,317.2,317.87,314.25,316.69,544446,-0.65,316.07
2023-04-11,317.37,318.46,316.09,317.63,565668,0.3,317.66
2023-04-12,318.27,320.08,317.35,318.48,527460,0.27,318.78
2023-04-13,317.8,321.79,316.99,321.68,761939,1.0,320.79
2023-04-14,321.23,322.59,318.85,321.18,465168,-0.16,320.76
2023-04-17,323.18,326.55,322.55,326.45,837641,1.64,324.76
2023-04-18,326.64,329.54,325.41,328.49,1123556,0.62,327.94
2023-04-19,329.0,329.98,324.82,325.72,687265,-0.84,327.22
2023-04-20,326.38,330.7,326.28,329.68,941941,1.22,329.45
2023-04-21,329.12,330.66,327.19,330.2,2028612,0.16,329.78
2023-04-24,330.62,331.35,328.05,328.2,700018,-0.61,328.82
2023-04-25,328.06,330.54,325.91,327.02,947206,-0.36,328.42
2023-04-26,323.92,326.69,322.2,324.03,761611,-0.91,324.2
2023-04-27,324.44,329.65,322.52,329.47,1143989,1.68,326.71
2023-04-28,325.05,325.05,311.15,322.47,1451052,-2.12,318.68
2023-05-01,320.54,324.74,318.14,320.73,815657,-0.54,321.44
2023-05-02,319.95,321.02,315.75,318.23,724300,-0.78,317.92
2023-05-03,319.67,321.15,317.25,317.67,865911,-0.18,318.82
2023-05-04,317.31,321.07,316.58,318.02,699661,0.11,318.2
2023-05-05,318.93,327.25,318.44,325.66,1150386,2.4,325.11
2023-05-08,326.77,330.25,326.6,329.75,919649,1.26,329.43
2023-05-09,330.07,333.61,327.53,332.12,780711,0.72,332.29
2023-05-10,332.23,334.3,329.94,330.97,647785,-0.35,331.5
2023-05-11,331.2,332.62,328.84,332.42,539663,0.44,331.57
2023-05-12,333.69,335.45,331.48,333.36,564658,0.28,333.04
2023-05-15,334.18,335.16,330.83,331.65,561756,-0.51,332.05
2023-05-16,330.8,331.51,327.67,328.18,545337,-1.05,328.99
2023-05-17,330.15,330.15,318.84,319.54,1340192,-2.63,321.88
2023-05-18,319.06,321.98,317.45,321.52,815882,0.62,319.8
2023-05-19,322.79,325.97,321.74,324.39,1274016,0.89,324.0
2023-05-22,322.68,325.03,319.02,322.95,639761,-0.44,322.95
2023-05-23,321.41,321.41,310.4,311.78,885709,-3.46,312.79
2023-05-24,310.77,312.08,308.73,309.41,643017,-0.76,310.24
2023-05-25,310.36,310.36,305.55,308.59,774298,-0.27,308.25
2023-05-26,308.93,311.04,307.56,308.08,575809,-0.17,308.58
2023-05-30,306.92,311.04,306.84,309.26,536135,0.38,309.03
2023-05-31,307.47,308.01,304.33,305.72,1054560,-1.14,305.85
2023-06-01,306.9,310.43,305.53,309.43,928206,1.21,308.83
2023-06-02,309.69,312.0,308.57,311.18,824131,0.57,310.77
2023-06-05,311.25,312.41,308.5,309.76,724163,-0.46,310.49
2023-06-06,311.25,312.7,308.22,309.77,489369,0.0,309.64
2023-06-07,309.47,310.98,306.69,309.66,723561,-0.04,309.3
2023-06-08,310.3,311.37,308.52,310.28,394393,0.2,310.01
2023-06-09,308.08,313.38,306.58,311.7,423879,0.46,311.4
2023-06-12,311.85,316.69,310.88,315.4,638556,1.19,314.74
2023-06-13,314.06,317.6,313.8,316.26,591576,0.27,316.03
2023-06-14,317.02,321.7,315.46,320.27,759586,1.27,319.63
2023-06-15,321.04,330.07,319.4,328.3,1053555,2.51,327.27
2023-06-16,330.25,332.08,326.29,326.63,1464211,-0.51,328.44
2023-06-21,325.4,328.25,324.18,327.1,702120,0.28,326.65
2023-06-22,328.11,330.93,326.61,330.61,809610,1.07,329.41
2023-06-23,330.74,331.92,327.4,328.66,3128197,-0.59,329.13
2023-06-26,328.47,328.81,325.71,327.63,788458,-0.31,327.65
2023-06-27,328.47,331.79,328.28,330.85,571256,0.98,330.5
2023-06-28,330.22,331.13,327.87,330.81,643012,-0.01,330.0
2023-06-29,331.21,339.48,330.17,339.26,1027634,2.55,337.61
2023-06-30,340.85,344.47,339.66,342.32,950015,0.9,342.78
2023-07-03,339.06,339.06,332.06,335.86,376104,-1.89,335.85
2023-07-05,333.84,336.57,331.66,335.63,652851,-0.07,334.92
2023-07-06,334.66,337.14,333.31,334.32,672200,-0.39,335.11
2023-07-07,332.63,335.09,331.61,332.61,824838,-0.51,333.29
2023-07-10,332.77,337.23,331.02,334.7,538858,0.63,334.59
2023-07-11,335.18,337.06,333.77,336.39,504168,0.5,335.76
2023-07-12,338.55,340.34,332.31,333.03,602868,-1.0,333.94
2023-07-13,332.48,335.13,331.49,334.04,459260,0.3,333.83
