trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,56.37,57.57,55.97,57.41,1366238,2.94,57.0
2023-01-04,58.13,59.24,57.89,59.1,1054421,2.94,58.89
2023-01-05,58.48,58.91,57.42,57.85,990347,-2.12,57.95
2023-01-06,58.51,60.1,58.31,59.86,831687,3.47,59.5
2023-01-09,59.97,61.48,59.73,59.91,1195890,0.08,60.41
2023-01-10,58.53,59.04,57.98,58.32,1571640,-2.65,58.5
2023-01-11,58.64,61.14,58.49,60.97,1398342,4.54,60.45
2023-01-12,61.13,61.19,59.42,59.82,1160836,-1.89,60.03
2023-01-13,59.43,60.62,58.79,60.53,803504,1.19,60.09
2023-01-17,60.02,60.2,58.47,58.49,1436182,-3.37,58.93
2023-01-18,58.61,59.45,58.19,58.59,1311152,0.17,58.7
2023-01-19,58.34,58.34,56.24,56.31,1045267,-3.89,56.59
2023-01-20,56.63,57.65,55.97,57.63,1209285,2.34,57.23
2023-01-23,57.78,58.66,57.47,58.66,1072276,1.79,58.11
2023-01-24,58.79,59.42,58.0,59.11,699099,0.77,59.06
2023-01-25,58.4,58.99,58.04,58.97,689697,-0.24,58.67
2023-01-26,59.1,59.33,57.32,57.34,1597195,-2.76,57.64
2023-01-27,57.39,59.08,57.31,58.81,1716813,2.56,58.41
2023-01-30,58.37,59.85,57.92,58.32,1707535,-0.83,58.86
2023-01-31,62.65,66.7,62.3,66.29,6350156,13.67,65.09
2023-02-01,67.05,68.76,65.77,68.5,2124537,3.33,67.38
2023-02-02,69.53,70.37,68.76,68.93,1627795,0.63,69.38
2023-02-03,68.02,68.71,67.27,67.61,952108,-1.91,67.82
2023-02-06,66.93,67.12,65.93,66.08,1318547,-2.26,66.25
2023-02-07,65.51,65.75,64.39,65.24,1197833,-1.27,65.22
2023-02-08,64.72,65.38,64.49,64.83,853453,-0.63,64.93
2023-02-09,65.48,65.86,64.08,64.44,774801,-0.6,64.69
2023-02-10,64.08,64.95,63.88,64.73,764733,0.45,64.57
2023-02-13,64.98,66.67,64.81,66.61,1056115,2.9,66.29
2023-02-14,66.41,66.71,65.44,66.07,875946,-0.81,66.17
2023-02-15,65.5,66.66,65.46,66.61,594929,0.82,66.25
2023-02-16,65.31,66.77,64.98,66.31,741971,-0.45,66.34
2023-02-17,66.07,66.07,64.1,65.84,1178711,-0.71,65.32
2023-02-21,65.2,65.76,63.93,64.3,1433519,-2.34,64.37
2023-02-22,64.55,64.91,63.79,64.11,626397,-0.3,64.31
2023-02-23,64.56,64.77,63.58,64.44,809946,0.51,64.28
2023-02-24,63.75,64.04,63.05,63.55,810387,-1.38,63.55
2023-02-27,64.2,64.87,63.86,63.96,668367,0.65,64.25
2023-02-28,63.76,64.69,63.76,64.26,1017353,0.47,64.34
2023-03-01,64.38,65.58,64.02,65.38,1855891,1.74,65.23
2023-03-02,64.97,66.38,64.61,66.23,915521,1.3,65.84
2023-03-03,66.44,66.77,65.15,66.71,826114,0.72,66.23
2023-03-06,66.72,66.82,65.22,65.51,1004136,-1.8,65.69
2023-03-07,65.39,65.94,64.97,65.01,854385,-0.76,65.27
2023-03-08,65.14,65.69,64.78,65.61,650055,0.92,65.35
2023-03-09,65.76,67.16,65.47,66.03,1497264,0.64,66.47
2023-03-10,66.15,66.39,63.85,64.72,1179255,-1.98,64.99
2023-03-13,63.57,65.0,63.37,64.41,946871,-0.48,64.47
2023-03-14,65.51,66.27,65.11,66.07,830385,2.58,65.82
2023-03-15,65.01,65.54,63.76,65.28,1279196,-1.2,64.88
2023-03-16,64.93,66.07,64.39,65.97,1015732,1.06,65.64
2023-03-17,65.93,65.93,63.63,64.11,2484188,-2.82,64.26
2023-03-20,64.41,65.65,64.09,65.07,1074105,1.5,65.04
2023-03-21,65.81,66.26,64.79,65.53,882172,0.71,65.49
2023-03-22,65.83,66.78,65.1,65.11,938507,-0.64,65.76
2023-03-23,65.12,66.09,64.65,64.91,1205796,-0.31,65.33
2023-03-24,64.18,65.38,63.54,65.35,875752,0.68,64.84
2023-03-27,66.03,66.55,65.54,66.19,928250,1.29,66.08
2023-03-28,66.27,67.21,66.19,66.73,895848,0.82,66.75
2023-03-29,67.4,67.66,67.05,67.48,817377,1.12,67.38
2023-03-30,68.05,68.05,66.44,66.49,930234,-1.47,66.82
2023-03-31,67.03,67.76,66.73,67.71,973058,1.83,67.48
2023-04-03,67.48,67.74,66.76,67.42,860054,-0.43,67.25
2023-04-04,67.22,67.41,64.11,64.46,1165030,-4.39,65.04
2023-04-05,64.1,64.84,62.6,63.26,1698910,-1.86,63.25
2023-04-06,63.21,63.42,62.08,63.25,1159084,-0.02,62.95
2023-04-10,63.06,64.14,62.87,64.11,734308,1.36,63.81
2023-04-11,64.53,64.88,64.1,64.19,728169,0.12,64.43
2023-04-12,64.65,65.14,64.23,64.65,968987,0.72,64.71
2023-04-13,64.56,65.14,63.38,64.97,784715,0.49,64.66
2023-04-14,64.97,66.45,64.92,65.72,1590274,1.15,65.89
2023-04-17,65.77,66.27,65.47,66.16,1127706,0.67,65.94
2023-04-18,66.61,67.18,66.3,67.11,844322,1.44,66.82
2023-04-19,66.98,67.32,66.18,66.47,1162761,-0.95,66.57
2023-04-20,66.09,67.4,66.09,67.34,880752,1.31,66.99
2023-04-21,67.41,67.75,66.77,67.35,697916,0.01,67.31
2023-04-24,67.5,67.95,67.0,67.48,1186025,0.19,67.4
2023-04-25,66.94,68.05,66.88,67.14,1756741,-0.5,67.45
2023-04-26,67.01,67.28,66.08,66.09,1872269,-1.56,66.54
2023-04-27,68.45,68.84,65.2,67.43,2834947,2.03,67.06
2023-04-28,68.32,69.07,66.89,67.17,3274870,-0.39,67.33
2023-05-01,67.8,69.07,67.32,68.99,1276717,2.71,68.8
2023-05-02,68.81,69.09,67.55,68.63,910011,-0.52,68.41
2023-05-03,68.99,69.36,68.12,68.32,972509,-0.45,68.63
2023-05-04,67.96,68.42,67.09,68.05,949143,-0.4,68.03
2023-05-05,68.85,69.4,68.39,69.22,768860,1.72,68.93
2023-05-08,69.48,69.68,68.59,69.15,530438,-0.1,69.1
2023-05-09,68.92,69.08,68.11,68.18,636879,-1.4,68.45
2023-05-10,68.87,68.87,67.18,68.08,679748,-0.15,67.94
2023-05-11,67.66,67.83,66.74,67.27,1235781,-1.19,67.21
2023-05-12,67.54,67.74,65.62,66.13,1321812,-1.69,66.19
2023-05-15,66.11,67.15,66.0,67.08,826774,1.44,66.79
2023-05-16,66.28,66.51,65.49,66.1,776450,-1.46,66.12
2023-05-17,66.37,67.29,66.14,67.16,611054,1.6,66.91
2023-05-18,66.9,68.02,66.62,68.0,628185,1.25,67.63
2023-05-19,68.47,68.59,66.88,67.29,595487,-1.04,67.42
2023-05-22,67.18,67.78,66.43,67.07,847707,-0.33,67.23
2023-05-23,66.38,66.87,65.61,65.63,616127,-2.15,66.06
2023-05-24,65.58,65.59,64.86,65.26,755878,-0.56,65.26
2023-05-25,65.45,65.52,64.47,65.4,805814,0.21,65.17
2023-05-26,65.41,65.81,65.09,65.57,728940,0.26,65.48
2023-05-30,65.52,65.81,64.86,65.59,720368,0.03,65.49
2023-05-31,65.14,65.43,62.83,62.89,4781969,-4.12,63.01
2023-06-01,63.11,63.85,62.89,63.52,1361662,1.0,63.51
2023-06-02,64.36,67.31,64.36,67.28,1371870,5.92,66.68
2023-06-05,67.19,67.58,66.59,67.32,1024840,0.06,67.24
2023-06-06,67.13,68.5,67.0,67.51,670998,0.28,67.75
2023-06-07,67.57,69.0,67.23,68.93,646061,2.1,68.69
2023-06-08,68.62,69.1,68.16,68.59,583762,-0.49,68.59
2023-06-09,68.74,68.75,67.32,67.66,502725,-1.36,67.82
2023-06-12,67.79,67.97,67.1,67.44,650543,-0.33,67.47
2023-06-13,67.56,68.87,67.54,68.57,873284,1.68,68.6
2023-06-14,68.66,69.16,68.02,68.48,638181,-0.13,68.53
2023-06-15,68.66,69.45,67.65,69.35,780758,1.27,68.85
2023-06-16,69.73,70.03,69.21,69.83,1764949,0.69,69.75
2023-06-21,68.57,69.18,68.08,68.7,712377,-0.35,68.7
2023-06-22,68.62,68.62,67.84,67.9,867389,-1.16,68.11
2023-06-23,67.45,68.49,67.05,68.35,1112658,0.66,68.25
2023-06-26,68.35,69.9,68.35,69.78,822817,2.09,69.59
2023-06-27,70.04,71.49,70.04,71.08,937647,1.86,70.96
2023-06-28,70.94,71.37,70.56,70.94,673019,-0.2,71.0
2023-06-29,70.73,71.64,70.73,71.19,651621,0.35,71.19
2023-06-30,71.69,72.02,71.11,71.58,452583,0.55,71.65
2023-07-03,71.11,71.66,70.26,71.18,480542,-0.56,71.11
2023-07-05,70.82,71.08,69.61,69.88,838507,-1.83,70.01
