trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,44.08,44.52,41.32,41.9,6169004,-6.56,42.51
2023-01-04,40.73,41.6,40.19,40.48,9034543,-3.39,40.74
2023-01-05,40.23,40.73,39.73,40.11,7018973,-0.91,40.22
2023-01-06,40.86,41.61,40.28,41.19,5763442,2.69,41.07
2023-01-09,42.32,42.69,41.59,41.66,5736973,1.14,41.94
2023-01-10,41.41,41.66,40.34,41.53,5161859,-0.31,41.09
2023-01-11,42.02,42.44,41.22,42.09,4860059,1.35,41.9
2023-01-12,42.36,44.32,42.25,43.56,5573453,3.49,43.43
2023-01-13,43.38,43.7,42.53,43.55,3488489,-0.02,43.25
2023-01-17,44.12,44.33,42.94,43.36,4279442,-0.44,43.47
2023-01-18,43.64,44.38,42.28,42.32,5408672,-2.4,43.09
2023-01-19,41.93,43.54,41.65,43.38,5662442,2.5,42.78
2023-01-20,43.33,44.03,42.5,43.55,5058164,0.39,43.55
2023-01-23,44.11,44.41,43.53,43.81,3885955,0.6,43.92
2023-01-24,43.38,43.43,42.22,42.55,5032418,-2.88,42.76
2023-01-25,42.37,42.68,41.28,42.58,5276297,0.07,42.17
2023-01-26,43.28,43.84,42.16,43.81,4429359,2.89,43.09
2023-01-27,43.88,45.37,43.88,44.17,5272602,0.82,44.48
2023-01-30,43.43,44.1,42.61,42.65,4942152,-3.44,43.17
2023-01-31,42.44,43.12,41.81,42.82,4097516,0.4,42.72
2023-02-01,42.46,42.53,40.3,41.92,6591703,-2.1,41.34
2023-02-02,41.69,41.84,40.33,40.91,5476969,-2.41,41.08
2023-02-03,41.12,42.01,40.47,40.6,5467914,-0.76,41.1
2023-02-06,40.69,41.16,39.94,40.58,7520586,-0.05,40.53
2023-02-07,40.87,42.25,40.09,42.2,5262281,3.99,41.25
2023-02-08,42.4,42.5,40.41,40.68,5606375,-3.6,41.12
2023-02-09,40.74,41.02,39.58,39.65,5385109,-2.53,40.15
2023-02-10,40.45,42.15,40.37,42.07,7791848,6.1,41.51
2023-02-13,41.77,41.9,40.96,41.06,4536352,-2.4,41.33
2023-02-14,40.67,41.77,40.37,41.02,4719582,-0.1,41.02
2023-02-15,40.6,40.6,39.01,39.9,5623504,-2.73,39.69
2023-02-16,39.81,40.11,38.74,38.77,4574352,-2.83,39.36
2023-02-17,37.91,37.91,36.58,36.79,6911899,-5.11,36.93
2023-02-21,36.7,36.97,36.22,36.76,5075613,-0.08,36.63
2023-02-22,36.44,37.07,35.81,36.57,5463387,-0.52,36.41
2023-02-23,38.57,38.86,36.93,37.78,7876133,3.31,37.88
2023-02-24,37.39,38.05,36.98,37.88,5303774,0.26,37.55
2023-02-27,37.93,38.41,37.47,37.89,4399199,0.03,38.01
2023-02-28,38.57,38.61,37.05,37.07,5287656,-2.16,37.41
2023-03-01,37.04,38.72,36.71,38.28,4747887,3.26,38.1
2023-03-02,38.3,39.14,38.13,38.89,3778067,1.59,38.75
2023-03-03,38.15,39.97,38.05,39.74,4326039,2.19,39.43
2023-03-06,39.17,39.32,38.43,38.78,6502199,-2.42,38.77
2023-03-07,38.43,38.57,37.59,37.79,4253641,-2.55,37.95
2023-03-08,37.55,38.24,36.71,37.17,4729367,-1.64,37.3
2023-03-09,37.23,37.82,35.67,35.75,5388637,-3.82,36.42
2023-03-10,35.55,36.28,34.53,34.72,6513274,-2.88,35.18
2023-03-13,33.47,34.55,32.68,33.34,8909953,-3.97,33.56
2023-03-14,33.38,34.67,32.63,33.64,8129832,0.9,33.83
2023-03-15,31.94,32.36,30.38,30.95,12001204,-8.0,31.27
2023-03-16,30.1,31.75,29.86,31.69,7573484,2.39,31.12
2023-03-17,31.57,31.67,30.36,30.66,15840571,-3.25,30.74
2023-03-20,30.8,32.01,30.63,31.76,6377633,3.59,31.59
2023-03-21,32.61,34.28,32.49,33.84,10832352,6.55,33.5
2023-03-22,33.84,34.4,33.16,33.18,8713024,-1.95,33.75
2023-03-23,33.32,34.06,32.22,32.85,7987633,-0.99,33.2
2023-03-24,32.2,33.49,31.96,33.33,6961906,1.46,32.94
2023-03-27,33.77,34.55,33.29,34.17,7023352,2.52,34.0
2023-03-28,33.92,35.05,33.8,34.67,4842039,1.46,34.61
2023-03-29,35.14,35.24,34.49,34.68,7361027,0.03,34.76
2023-03-30,35.25,35.33,34.06,34.17,6746676,-1.47,34.36
2023-03-31,34.54,34.86,34.19,34.83,6416332,1.93,34.59
2023-04-03,36.93,38.12,36.9,37.86,9725551,8.7,37.61
2023-04-04,38.24,38.24,36.21,36.8,8775258,-2.8,36.87
2023-04-05,36.6,36.88,35.88,36.69,6756238,-0.3,36.49
2023-04-06,36.49,37.22,36.27,36.77,5085024,0.22,36.86
2023-04-10,37.14,38.15,37.02,37.75,5791871,2.67,37.69
2023-04-11,38.27,39.04,37.8,38.56,5135594,2.15,38.6
2023-04-12,38.79,38.98,38.21,38.29,4384067,-0.7,38.46
2023-04-13,38.41,39.28,38.03,39.09,5806742,2.09,38.86
2023-04-14,39.18,39.53,38.79,39.39,4164547,0.77,39.16
2023-04-17,39.43,39.71,38.12,38.14,4516223,-3.17,38.7
2023-04-18,38.14,38.2,37.55,38.07,5017414,-0.18,37.96
2023-04-19,37.26,37.67,36.77,37.46,5545399,-1.6,37.3
2023-04-20,36.74,37.08,36.21,36.65,5916422,-2.16,36.52
2023-04-21,36.69,36.83,35.91,36.19,3390645,-1.26,36.21
2023-04-24,35.98,36.99,35.91,36.79,4042301,1.66,36.57
2023-04-25,36.24,36.36,35.23,35.27,5243789,-4.13,35.5
2023-04-26,35.09,35.48,33.99,34.38,4914266,-2.52,34.67
2023-04-27,34.43,34.97,34.08,34.66,4060758,0.81,34.53
2023-04-28,34.57,36.02,34.36,35.82,3745852,3.35,35.58
2023-05-01,35.14,36.05,34.97,35.87,3412454,0.14,35.73
2023-05-02,35.15,35.3,32.93,33.4,6988926,-6.89,33.57
2023-05-03,32.69,33.96,32.47,33.22,6656508,-0.54,33.37
2023-05-04,33.83,34.89,31.11,31.36,10315446,-5.6,32.21
2023-05-05,32.55,32.71,31.97,32.29,7297067,2.97,32.33
2023-05-08,32.96,33.28,32.08,32.16,5607098,-0.4,32.46
2023-05-09,31.64,32.54,31.54,32.23,5810242,0.22,32.1
2023-05-10,32.37,32.59,31.44,31.88,4886067,-1.09,31.85
2023-05-11,31.25,32.47,31.22,32.16,7426984,0.88,32.04
2023-05-12,32.5,32.66,31.57,32.06,4639723,-0.31,31.99
2023-05-15,32.31,32.59,31.89,32.02,4889184,-0.12,32.16
2023-05-16,31.69,31.83,30.67,30.75,6105285,-3.97,31.0
2023-05-17,31.16,32.06,30.76,31.65,5572168,2.93,31.46
2023-05-18,31.26,31.84,31.12,31.8,5717652,0.47,31.49
2023-05-19,32.39,32.99,32.09,32.48,6772008,2.14,32.47
2023-05-22,32.37,33.25,32.2,32.54,6325945,0.18,32.75
2023-05-23,32.75,33.7,32.54,32.96,5521199,1.29,33.25
2023-05-24,33.4,33.73,32.72,33.42,4309277,1.4,33.34
2023-05-25,32.61,32.71,31.89,32.37,4640801,-3.14,32.36
2023-05-26,32.59,32.8,31.9,32.48,4310223,0.34,32.36
2023-05-30,31.79,32.01,30.85,31.34,5962414,-3.51,31.29
2023-05-31,30.24,30.96,29.81,30.89,10089614,-1.44,30.64
2023-06-01,31.17,31.53,30.63,31.15,4736121,0.84,31.23
2023-06-02,32.03,33.24,31.44,32.74,6472375,5.1,32.59
2023-06-05,33.7,33.79,32.11,32.15,5627055,-1.8,32.53
2023-06-06,31.39,32.54,31.26,32.41,4392539,0.81,32.18
2023-06-07,32.61,33.92,32.57,33.44,5453832,3.18,33.47
2023-06-08,33.32,33.61,32.31,33.05,5653434,-1.17,33.04
2023-06-09,33.03,33.45,32.29,32.48,4612715,-1.72,32.7
2023-06-12,31.8,32.58,31.33,32.14,4537633,-1.05,31.94
2023-06-13,32.73,33.61,32.52,32.77,5950027,1.96,33.01
2023-06-14,33.31,33.54,32.2,32.71,4839992,-0.18,32.74
2023-06-15,32.85,33.9,32.82,33.7,5294438,3.03,33.62
2023-06-16,33.92,34.07,33.15,33.42,9093035,-0.83,33.49
2023-06-21,32.69,33.73,32.61,33.26,3996619,2.12,33.34
2023-06-22,32.85,32.86,32.06,32.28,4076082,-2.95,32.29
2023-06-23,31.66,32.02,31.55,31.67,10520918,-1.89,31.73
2023-06-26,31.55,32.44,31.55,32.11,4168457,1.39,32.16
2023-06-27,31.85,32.3,31.62,31.85,4096777,-0.81,31.95
2023-06-28,31.83,32.37,31.22,32.27,4538395,1.32,31.98
2023-06-29,32.27,33.01,32.24,32.97,3242492,2.17,32.7
2023-06-30,33.39,33.77,32.89,33.22,5139449,0.76,33.43
2023-07-03,33.37,33.54,33.08,33.11,1718167,-0.33,33.28
2023-07-05,33.43,33.51,32.83,33.39,3773218,0.85,33.24
2023-07-06,33.02,33.3,32.09,32.71,4210277,-2.04,32.56
2023-07-07,32.62,34.48,32.58,33.94,5672859,3.76,33.88
2023-07-10,33.92,34.41,33.75,34.1,3514890,0.47,34.08
2023-07-11,34.3,36.39,34.29,36.24,8822281,6.28,35.9
2023-07-12,35.85,36.69,35.77,36.46,7743090,0.61,36.34
2023-07-13,36.56,37.69,36.45,37.52,5971301,2.91,37.28
2023-07-14,37.11,37.15,35.41,35.62,5635363,-5.06,35.84
2023-07-17,35.37,35.68,35.16,35.32,3981753,-0.84,35.4
2023-07-18,35.35,37.18,35.29,36.82,4376984,4.25,36.74
2023-07-19,36.82,37.49,36.73,36.97,3503603,0.41,37.05
2023-07-20,37.48,37.57,36.78,37.15,3524915,0.49,37.12
2023-07-21,37.36,37.9,36.85,37.81,4369043,1.78,37.62
2023-07-24,37.94,38.87,37.79,38.44,4546379,1.67,38.44
2023-07-25,38.16,39.05,38.03,38.72,4782215,0.73,38.67
2023-07-26,38.32,39.18,38.16,39.13,5387910,1.06,38.78
2023-07-27,39.63,39.88,38.51,38.63,4127609,-1.28,39.21
2023-07-28,38.94,39.35,38.44,39.29,2769297,1.71,39.15
2023-07-31,39.53,39.87,39.38,39.62,3897838,0.84,39.64
2023-08-01,39.22,39.53,38.57,39.38,3054335,-0.61,39.09
2023-08-02,38.84,38.9,37.62,38.17,5854484,-3.07,38.13
2023-08-03,39.54,41.19,39.38,40.77,7395438,6.81,40.51
2023-08-04,41.16,41.74,40.75,40.97,7137652,0.49,41.25
2023-08-07,41.02,41.53,40.81,41.26,3076908,0.71,41.26
2023-08-08,40.36,42.52,40.32,42.4,5452895,2.76,41.87
2023-08-09,43.06,44.34,42.97,43.27,5970840,2.05,43.65
2023-08-10,43.24,43.73,42.82,43.2,3617353,-0.16,43.3
2023-08-11,43.2,44.46,43.06,43.92,4156512,1.67,44.01
2023-08-14,43.77,43.83,43.02,43.7,3319326,-0.5,43.57
2023-08-15,43.24,43.31,42.29,42.92,3948365,-1.78,42.7
2023-08-16,43.06,43.66,42.57,42.7,3360991,-0.51,42.92
2023-08-17,43.59,43.71,42.93,43.1,3345219,0.94,43.24
2023-08-18,42.6,43.38,42.5,43.27,3379614,0.39,43.14
2023-08-21,43.56,43.82,42.59,42.96,2603801,-0.72,43.04
2023-08-22,43.05,43.18,41.64,41.69,3710785,-2.96,42.16
2023-08-23,41.14,41.78,40.59,41.63,4607652,-0.14,41.45
2023-08-24,41.18,42.04,41.15,41.32,2737563,-0.74,41.56
2023-08-25,41.85,42.19,41.18,41.81,2577669,1.19,41.79
2023-08-28,42.0,42.51,41.62,41.98,2110451,0.41,41.97
2023-08-29,41.98,42.73,41.71,42.63,2896373,1.55,42.39
2023-08-30,42.88,43.11,42.61,42.78,2589437,0.35,42.86
2023-08-31,42.99,43.09,42.5,42.9,2777193,0.28,42.88
2023-09-01,43.58,44.39,43.54,44.11,3421329,2.82,44.1
2023-09-05,44.42,45.15,44.32,44.35,4229426,0.54,44.71
2023-09-06,44.02,44.4,43.41,43.69,3448408,-1.49,43.73
2023-09-07,43.45,44.01,43.14,43.42,3805468,-0.62,43.46
2023-09-08,43.69,43.8,43.15,43.31,4311387,-0.25,43.39
2023-09-11,43.67,43.78,41.79,41.97,3557958,-3.09,42.27
2023-09-12,42.61,43.35,42.53,43.25,2914063,3.05,43.11
2023-09-13,43.39,43.42,40.22,41.2,11134672,-4.74,41.28
2023-09-14,41.93,42.38,41.42,42.06,5219758,2.09,41.85
2023-09-15,41.84,42.32,41.14,41.55,9349781,-1.21,41.62
2023-09-18,42.04,42.05,41.04,41.79,3345463,0.58,41.62
2023-09-19,42.33,42.4,40.86,41.26,2466440,-1.27,41.37
2023-09-20,41.0,41.59,40.34,40.39,3288827,-2.11,40.91
2023-09-21,40.32,40.55,39.11,39.28,3039240,-2.75,39.64
2023-09-22,39.69,40.16,39.21,39.36,2197724,0.2,39.48
2023-09-25,39.36,40.17,39.36,40.14,1892657,1.98,40.0
2023-09-26,39.72,40.63,39.68,40.17,2827731,0.07,40.2
2023-09-27,41.03,42.03,40.51,41.47,4192184,3.24,41.53
2023-09-28,41.49,41.8,41.08,41.32,2364951,-0.36,41.43
2023-09-29,41.42,41.52,40.13,40.22,3231873,-2.66,40.41
2023-10-02,40.22,40.27,38.21,38.68,4081919,-3.83,38.75
