trade_date,close,open,high,low,vol,pct_change,vwap
20241231,60.48,60.32,61.16,60.04,2286705,0.62,60.4
20241230,60.11,59.78,60.75,59.31,3183919,-0.38,60.11
20241227,60.34,59.23,60.8,59.14,1960342,0.45,60.3
20241226,60.07,59.26,60.65,59.26,2996817,0.2,60.17
20241224,59.95,59.47,59.98,59.0,1378550,0.81,59.65
20241223,59.47,58.48,59.59,58.1,3095640,1.04,59.16
20241220,58.86,57.12,59.49,56.76,15597571,3.25,58.78
20241219,57.01,57.07,57.72,55.74,5168078,0.64,56.91
20241218,56.65,59.06,59.57,56.6,3990089,-2.09,57.47
20241217,57.86,57.6,58.49,57.44,4384484,-0.24,57.88
20241216,58.0,57.11,59.01,56.75,5254801,0.05,58.12
20241213,57.97,58.34,58.54,57.26,3350032,-0.97,57.91
20241212,58.54,58.69,59.0,57.99,2875140,-0.59,58.55
20241211,58.89,57.91,59.02,57.33,4000395,0.8,58.43
20241210,58.42,57.4,58.74,56.72,3194557,1.78,58.2
20241209,57.4,57.1,59.03,56.7,4912270,1.29,57.83
20241206,56.67,57.82,58.47,55.82,3607302,-0.42,56.95
20241205,56.91,56.55,58.12,56.5,3383147,0.89,56.92
20241204,56.41,56.4,56.95,56.02,2892084,1.26,56.37
20241203,55.71,55.21,55.97,54.03,4286949,-0.64,55.46
20241202,56.07,56.02,56.39,55.05,3051001,0.97,56.0
20241129,55.53,55.2,55.56,54.42,1852115,0.02,55.15
20241127,55.52,55.75,56.89,55.18,2704185,0.43,55.73
20241126,55.28,55.48,56.02,54.92,4251129,-3.24,55.35
20241125,57.13,55.59,57.8,55.45,6361125,5.06,57.11
20241122,54.38,53.56,55.1,53.27,3567120,1.91,54.46
20241121,53.36,52.49,53.51,52.05,3044952,1.46,53.2
20241120,52.59,52.1,53.15,51.86,2960215,0.92,52.49
20241119,52.11,51.73,52.8,51.47,3566158,-1.14,52.24
20241118,52.71,53.1,53.49,52.17,5162910,-0.42,52.66
20241115,52.93,53.96,54.18,52.14,7776988,-2.04,52.86
20241114,54.03,56.14,56.48,54.01,4131688,-3.76,54.61
20241113,56.14,56.45,56.99,55.62,2598180,-0.43,56.27
20241112,56.38,55.75,57.07,55.06,5073863,0.8,56.39
20241111,55.93,57.09,57.11,55.56,3247341,-0.57,56.22
20241108,56.25,55.42,56.78,54.58,4553555,1.1,56.14
20241107,55.64,54.38,56.48,54.1,4320074,3.36,55.61
20241106,53.83,55.89,55.91,52.81,6858133,-2.55,53.95
20241105,55.24,55.54,55.65,53.96,5993063,-1.23,54.83
20241104,55.93,56.59,57.77,55.93,4657910,-0.78,56.61
20241101,56.37,57.49,58.95,56.0,6143094,-0.81,56.86
20241031,56.83,62.43,63.2,54.7,18040735,-17.72,57.03
20241030,69.07,68.63,70.0,68.26,3010632,-0.12,69.2
20241029,69.15,69.7,70.0,68.83,3072592,-1.78,69.34
20241028,70.4,69.67,70.97,69.36,2307466,1.57,70.51
20241025,69.31,69.11,69.99,68.55,2383602,1.46,69.43
20241024,68.31,70.35,71.39,67.5,3175440,-1.75,68.64
20241023,69.53,69.33,69.74,68.35,2367694,-0.22,69.21
20241022,69.68,70.0,70.21,69.15,2140859,-0.6,69.63
20241021,70.1,72.46,72.64,70.01,2287639,-2.31,70.64
20241018,71.76,72.8,73.47,71.24,2122135,2.66,71.89
20241017,69.9,70.04,70.63,68.98,4405922,-0.65,69.87
20241016,70.36,70.66,71.35,70.08,2505848,0.51,70.51
20241015,70.0,70.44,71.37,69.87,2606256,-1.53,70.35
20241014,71.09,71.15,71.51,70.39,2295175,-0.28,71.03
20241011,71.29,70.44,71.49,70.38,1751609,0.76,71.18
20241010,70.75,70.68,71.68,70.23,2032974,-0.85,70.83
20241009,71.36,69.54,71.39,69.22,2636499,2.53,71.12
20241008,69.6,70.45,70.82,68.88,2135158,-1.23,69.56
20241007,70.47,70.0,70.94,69.78,1727868,0.2,70.34
20241004,70.33,70.25,70.67,69.71,1827352,1.97,70.25
20241003,68.97,68.95,69.4,68.42,1975836,-1.54,68.87
20241002,70.05,70.84,71.91,70.0,3087748,-0.67,70.36
20241001,70.52,71.72,71.77,70.22,3496369,-2.07,70.75
20240930,72.01,71.61,72.82,71.29,3116702,-3.0,72.2
20240927,74.24,73.61,75.41,72.94,4005493,2.67,74.39
20240926,72.31,71.78,72.57,70.96,3364124,2.48,72.25
20240925,70.56,71.57,71.89,70.29,2771685,-2.15,70.73
20240924,72.11,72.45,73.43,71.58,1988117,0.77,72.21
20240923,71.56,70.0,71.91,69.93,2900268,2.46,71.29
20240920,69.84,70.81,70.97,69.71,7778836,-0.96,70.08
20240919,70.52,71.77,71.87,70.02,3589115,1.22,70.78
20240918,69.67,70.43,71.18,69.46,2380590,-0.78,70.11
20240917,70.22,69.64,71.46,69.35,4554313,2.08,70.34
20240916,68.79,69.13,69.58,67.84,2822392,-0.23,68.69
20240913,68.95,68.63,69.76,68.41,3631849,2.91,69.09
20240912,67.0,65.4,67.53,65.31,3615465,2.34,66.76
20240911,65.47,65.32,65.6,63.62,3727238,0.14,64.78
20240910,65.38,67.05,68.41,64.98,3518165,-5.36,65.77
20240909,69.08,68.41,69.98,68.2,3027154,0.86,69.28
20240906,68.49,70.5,71.8,68.42,2723324,-3.49,69.01
20240905,70.97,69.96,71.21,69.27,2665086,2.17,70.53
20240904,69.46,70.01,70.4,68.94,2234111,-0.93,69.57
20240903,70.11,70.71,71.51,69.62,2671487,-1.99,70.33
20240830,71.53,71.53,71.6,70.53,2685030,0.86,71.25
20240829,70.92,70.59,71.81,69.92,1898043,1.29,70.98
20240828,70.02,70.48,71.12,69.41,2693740,-1.14,69.96
20240827,70.83,71.89,72.2,70.58,5515754,-1.75,71.18
20240826,72.09,72.7,73.78,71.93,4388762,-0.28,72.52
20240823,72.29,70.77,72.71,70.51,2640584,3.12,71.79
20240822,70.1,70.86,71.17,70.02,1815271,-1.1,70.42
20240821,70.88,70.58,70.91,70.23,1922925,1.47,70.69
20240820,69.85,70.73,71.13,69.75,1398001,-1.61,70.22
20240819,70.99,69.53,71.22,69.33,2656173,2.99,70.85
20240816,68.93,68.61,69.31,68.17,2254267,0.35,68.84
20240815,68.69,68.4,69.0,68.01,5870727,2.55,68.51
20240814,66.98,67.93,68.15,66.56,2419066,-1.46,67.03
20240813,67.97,68.0,68.52,67.25,3367190,1.07,68.03
20240812,67.25,67.71,67.98,66.74,2861205,-0.58,67.37
20240809,67.64,68.91,69.51,67.5,3260467,-1.89,68.15
20240808,68.94,68.5,69.4,68.15,3837532,1.52,68.89
20240807,67.91,71.17,72.15,67.88,3575360,-1.65,69.21
20240806,69.05,68.8,70.09,68.4,4649715,-0.1,69.29
