trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,137.77,138.01,132.95,135.05,982484,-1.07,134.65
2023-01-04,136.52,139.46,136.36,137.65,702758,1.93,138.06
2023-01-05,136.09,136.26,133.38,134.05,975276,-2.62,134.3
2023-01-06,134.78,138.81,134.27,138.32,647216,3.19,137.54
2023-01-09,138.4,139.36,137.17,137.37,600105,-0.69,138.05
2023-01-10,136.55,138.45,136.28,138.37,385107,0.73,137.94
2023-01-11,139.94,144.14,139.94,144.03,719642,4.09,142.67
2023-01-12,144.99,146.5,143.24,146.07,665888,1.42,145.49
2023-01-13,144.41,146.53,144.02,145.78,467392,-0.2,145.72
2023-01-17,146.18,147.22,145.28,146.34,486587,0.38,146.35
2023-01-18,146.8,147.45,144.85,145.43,667047,-0.62,145.85
2023-01-19,144.42,146.12,143.97,144.63,515312,-0.55,145.03
2023-01-20,144.87,147.21,143.48,147.16,586913,1.75,146.03
2023-01-23,147.36,149.76,146.27,149.04,677032,1.28,148.87
2023-01-24,149.07,150.1,147.53,148.64,583644,-0.27,148.9
2023-01-25,147.7,148.76,146.23,146.9,636483,-1.17,146.91
2023-01-26,147.97,148.48,146.08,147.31,570777,0.28,146.99
2023-01-27,147.26,150.83,146.77,150.57,866483,2.21,149.25
2023-01-30,149.14,150.68,147.32,147.48,605319,-2.05,148.32
2023-01-31,147.28,151.72,147.28,150.63,1167454,2.14,149.58
2023-02-01,150.13,154.45,149.19,153.0,844723,1.57,151.98
2023-02-02,154.61,161.79,154.61,160.08,1047139,4.63,159.63
2023-02-03,157.5,158.0,154.63,157.24,720713,-1.77,156.6
2023-02-06,155.21,157.6,154.68,156.74,691044,-0.32,156.72
2023-02-07,155.49,158.12,154.03,156.34,1018585,-0.26,156.38
2023-02-08,155.95,157.23,154.4,155.39,549601,-0.61,155.31
2023-02-09,156.1,157.17,154.42,154.71,549396,-0.44,155.59
2023-02-10,153.67,155.63,152.98,155.26,612291,0.36,154.9
2023-02-13,155.62,156.8,154.79,156.5,732623,0.8,156.34
2023-02-14,155.85,156.74,153.73,154.7,591140,-1.15,154.97
2023-02-15,153.31,155.0,153.31,155.0,475986,0.19,154.48
2023-02-16,152.48,153.42,151.61,151.82,670429,-2.05,152.42
2023-02-17,151.78,151.85,149.98,151.42,728016,-0.26,151.06
2023-02-21,150.27,150.61,147.01,147.56,655235,-2.55,147.83
2023-02-22,148.09,149.11,145.43,146.05,779152,-1.02,146.8
2023-02-23,147.32,147.98,144.36,146.01,608710,-0.03,145.74
2023-02-24,144.22,144.46,141.82,142.2,986584,-2.61,142.73
2023-02-27,143.99,144.48,141.62,142.0,574397,-0.14,142.53
2023-02-28,141.64,143.44,140.3,140.36,1296371,-1.15,141.35
2023-03-01,139.26,139.48,133.7,133.92,1675923,-4.59,134.93
2023-03-02,133.3,134.83,132.37,134.16,1208995,0.18,133.97
2023-03-03,135.38,135.62,133.54,134.78,1210081,0.46,134.82
2023-03-06,135.62,137.15,135.55,136.46,1007007,1.25,136.47
2023-03-07,136.39,137.25,132.34,132.39,1017039,-2.98,133.65
2023-03-08,132.32,136.15,132.28,135.25,985722,2.16,135.02
2023-03-09,135.36,136.25,129.46,130.11,1189542,-3.8,131.27
2023-03-10,129.88,130.04,118.2,118.82,3106595,-8.68,121.16
2023-03-13,118.25,121.73,117.68,118.19,2566918,-0.53,119.14
2023-03-14,120.47,120.78,117.73,118.57,2382679,0.32,118.89
2023-03-15,116.38,119.58,115.51,118.96,2291064,0.33,117.74
2023-03-16,117.75,118.18,114.27,116.28,2277279,-2.25,115.98
2023-03-17,114.97,115.76,111.03,113.27,5926086,-2.59,113.15
2023-03-20,113.27,114.5,112.2,114.23,1984942,0.85,113.8
2023-03-21,115.27,116.59,113.94,115.24,1321482,0.88,115.18
2023-03-22,115.26,115.26,109.59,109.72,1382082,-4.79,111.77
2023-03-23,110.02,110.53,108.59,108.76,2298285,-0.87,109.35
2023-03-24,108.61,112.4,107.71,112.32,1712885,3.27,110.43
2023-03-27,114.21,114.4,111.06,111.28,1192098,-0.93,112.2
2023-03-28,110.19,112.24,109.38,111.04,989597,-0.22,111.27
2023-03-29,112.84,115.67,112.8,115.29,1096013,3.83,114.56
2023-03-30,116.72,118.28,116.41,117.34,1119747,1.78,117.34
2023-03-31,117.78,118.94,116.33,118.86,1307246,1.3,117.94
2023-04-03,117.93,119.99,116.73,117.7,922364,-0.98,117.89
2023-04-04,118.27,118.42,115.6,117.37,715684,-0.28,116.99
2023-04-05,116.95,118.24,116.58,117.03,895432,-0.29,117.35
2023-04-06,117.66,118.05,116.07,117.72,604220,0.59,117.22
2023-04-10,116.93,117.83,115.44,117.37,777808,-0.3,116.82
2023-04-11,117.38,118.26,116.3,116.45,1421957,-0.78,117.01
2023-04-12,118.13,118.15,114.89,115.01,1001495,-1.24,116.28
2023-04-13,114.81,115.12,112.2,113.13,1233491,-1.63,113.48
2023-04-14,113.68,114.65,111.34,112.12,590178,-0.89,112.26
2023-04-17,112.19,116.99,112.19,116.96,1180469,4.32,115.65
2023-04-18,116.86,117.24,114.49,116.79,1009905,-0.15,116.24
2023-04-19,115.83,119.14,115.6,118.53,787238,1.49,118.16
2023-04-20,117.88,118.48,116.69,117.19,752556,-1.13,117.49
2023-04-21,117.82,118.22,115.82,117.77,746414,0.49,117.37
2023-04-24,117.87,118.65,116.81,117.4,683915,-0.31,117.54
2023-04-25,117.44,118.34,113.41,114.08,1787372,-2.83,114.41
2023-04-26,114.04,114.73,113.03,113.6,1080171,-0.42,113.77
2023-04-27,113.69,116.69,113.69,116.14,1205383,2.24,115.5
2023-04-28,116.22,117.93,115.64,117.52,1196355,1.19,117.35
2023-05-01,117.32,118.1,115.14,115.29,658041,-1.9,115.96
2023-05-02,114.44,114.95,111.39,113.14,729769,-1.86,112.85
2023-05-03,114.02,116.88,112.75,114.98,866444,1.63,115.09
2023-05-04,114.81,116.16,113.38,115.04,800442,0.05,115.02
2023-05-05,116.2,117.74,115.86,117.01,721607,1.71,117.02
2023-05-08,116.51,116.87,114.88,115.79,606534,-1.04,115.83
2023-05-09,114.53,115.34,112.93,114.73,510630,-0.92,114.35
2023-05-10,116.12,116.46,114.83,115.73,736898,0.87,115.75
2023-05-11,114.67,115.39,113.21,113.96,561626,-1.53,114.05
2023-05-12,114.17,114.47,111.78,113.06,798545,-0.79,112.79
2023-05-15,113.45,114.87,113.03,114.34,1072703,1.13,114.1
2023-05-16,117.05,117.05,111.11,111.2,828200,-2.75,112.32
2023-05-17,111.37,113.38,110.69,112.65,908561,1.3,112.34
2023-05-18,111.83,112.46,109.98,110.64,961390,-1.78,110.88
2023-05-19,111.52,113.07,109.55,109.59,895478,-0.95,110.71
2023-05-22,109.81,112.28,108.76,111.38,806082,1.63,110.91
2023-05-23,111.34,114.11,111.27,111.78,735702,0.36,112.48
2023-05-24,111.32,111.77,108.14,108.23,757935,-3.18,109.04
2023-05-25,108.21,108.21,104.71,105.26,1219282,-2.74,105.71
2023-05-26,105.93,106.41,104.75,105.78,865875,0.49,105.63
2023-05-30,106.33,107.49,105.66,106.48,843703,0.66,106.48
2023-05-31,106.29,107.77,105.58,107.38,2355177,0.85,107.02
2023-06-01,106.55,106.94,104.94,106.35,735297,-0.96,106.43
2023-06-02,106.98,110.07,106.98,109.19,971438,2.67,109.09
2023-06-05,109.15,110.13,107.85,109.24,627640,0.05,109.22
2023-06-06,109.77,112.65,109.07,111.88,796371,2.42,111.67
2023-06-07,112.75,115.92,111.2,115.26,1138051,3.02,114.33
2023-06-08,114.52,115.12,112.65,114.08,810741,-1.02,113.81
2023-06-09,114.37,114.84,113.75,114.13,662683,0.04,114.15
2023-06-12,113.83,115.19,113.6,114.52,791090,0.34,114.22
2023-06-13,114.66,117.29,114.04,115.52,865960,0.87,115.62
2023-06-14,116.4,117.16,114.35,115.39,1014119,-0.11,115.72
2023-06-15,114.67,115.25,113.45,114.66,960476,-0.63,114.31
2023-06-16,107.65,113.53,107.65,109.26,2919458,-4.71,109.96
2023-06-21,107.41,108.19,106.13,107.14,1112804,-0.73,107.17
2023-06-22,107.32,107.32,104.18,104.91,924289,-2.08,104.92
2023-06-23,104.45,105.36,102.98,103.23,1350341,-1.6,103.53
2023-06-26,103.34,108.41,103.34,108.37,1497578,4.98,107.61
2023-06-27,108.2,110.14,107.26,109.67,1475860,1.2,109.22
2023-06-28,109.58,109.58,105.9,106.5,1295297,-2.89,106.9
2023-06-29,105.74,108.5,105.51,108.49,972313,1.87,107.87
2023-06-30,109.52,109.64,106.88,108.6,1509370,0.1,108.18
2023-07-03,108.74,111.91,108.58,111.12,532113,2.32,110.99
2023-07-05,110.82,113.43,109.73,111.93,1289716,0.73,112.07
2023-07-06,110.04,112.26,108.14,111.93,1062613,0.0,111.06
2023-07-07,111.27,113.19,111.03,111.97,705167,0.04,112.2
2023-07-10,111.25,111.88,110.4,111.06,870000,-0.81,111.01
2023-07-11,111.8,113.5,111.25,113.28,713784,2.0,112.9
2023-07-12,114.82,114.99,112.65,112.69,1137191,-0.52,113.63
2023-07-13,112.89,114.1,111.58,113.81,961667,0.99,113.38
2023-07-14,113.93,114.56,112.68,114.42,679842,0.54,114.09
2023-07-17,114.1,114.28,112.38,112.42,632452,-1.75,112.87
2023-07-18,112.5,113.32,111.08,111.84,760335,-0.52,111.92
2023-07-19,113.59,115.55,112.5,114.28,880185,2.18,114.64
2023-07-20,114.65,116.45,113.19,116.03,908779,1.53,115.51
2023-07-21,116.34,118.53,115.47,117.93,1342209,1.64,117.73
2023-07-24,117.71,119.02,116.85,117.81,762206,-0.1,117.7
2023-07-25,119.07,120.38,117.26,118.42,982209,0.52,118.92
2023-07-26,118.41,122.2,118.41,121.87,1164939,2.91,121.14
2023-07-27,122.06,124.18,120.34,120.38,1325016,-1.22,122.23
2023-07-28,122.2,122.27,120.42,121.06,894267,0.56,121.1
2023-07-31,121.2,122.3,119.55,120.27,1863917,-0.65,120.48
2023-08-01,119.99,120.32,116.6,116.81,1080716,-2.88,117.39
2023-08-02,115.86,117.33,115.42,116.96,880241,0.13,116.66
2023-08-03,116.5,117.29,114.25,117.11,898954,0.13,116.3
2023-08-04,117.04,117.36,114.86,115.55,1157485,-1.33,116.24
2023-08-07,115.72,119.14,115.72,118.87,637073,2.87,118.17
2023-08-08,116.58,117.57,115.09,117.22,600621,-1.39,116.84
2023-08-09,116.77,118.62,116.05,117.16,971653,-0.05,117.6
2023-08-10,117.97,119.09,116.05,116.45,674276,-0.61,117.02
2023-08-11,115.77,117.89,115.43,116.86,469701,0.35,117.01
2023-08-14,116.06,116.6,114.21,114.64,701995,-1.9,114.76
2023-08-15,113.28,113.58,111.18,111.55,978122,-2.7,112.09
2023-08-16,111.29,112.46,111.08,111.7,726630,0.13,111.84
2023-08-17,111.7,112.83,111.13,111.18,686179,-0.47,111.79
2023-08-18,109.89,111.14,109.48,110.15,848203,-0.93,110.14
2023-08-21,109.92,110.15,108.23,109.35,674416,-0.73,109.17
2023-08-22,109.78,109.97,108.65,109.49,542375,0.13,109.39
2023-08-23,110.05,112.4,110.05,112.23,493810,2.5,111.76
2023-08-24,112.55,113.97,110.97,111.16,631521,-0.95,111.9
2023-08-25,111.65,112.37,110.17,110.37,755447,-0.71,110.69
2023-08-28,111.12,112.83,110.73,110.79,915034,0.38,111.41
2023-08-29,111.08,112.49,110.39,112.19,530152,1.26,111.97
2023-08-30,112.09,112.92,111.71,112.75,602710,0.5,112.54
2023-08-31,112.78,112.78,110.96,111.33,1251288,-1.26,111.43
2023-09-01,112.03,112.68,111.43,111.92,803032,0.53,111.99
2023-09-05,111.51,112.57,111.12,111.36,767913,-0.5,111.54
2023-09-06,110.97,111.66,109.53,110.96,625322,-0.36,110.63
2023-09-07,110.48,112.03,110.39,111.35,741291,0.35,111.19
2023-09-08,111.58,111.79,109.82,110.06,591108,-1.16,110.25
2023-09-11,110.06,110.27,107.68,107.81,983255,-2.04,108.32
2023-09-12,107.23,108.14,105.83,106.95,1056593,-0.8,106.97
2023-09-13,106.91,107.72,105.49,106.03,1001849,-0.86,106.34
2023-09-14,107.23,109.43,106.83,109.22,981496,3.01,108.71
2023-09-15,109.03,109.43,108.18,108.83,1892239,-0.36,108.79
2023-09-18,108.86,108.89,106.52,107.48,836899,-1.24,107.59
2023-09-19,107.18,107.92,106.17,106.98,757330,-0.47,106.89
2023-09-20,108.14,109.48,107.2,107.41,697680,0.4,107.99
2023-09-21,106.41,106.9,98.45,98.5,2527718,-8.3,101.0
2023-09-22,98.67,98.79,96.71,96.9,2000321,-1.62,97.58
2023-09-25,96.15,96.72,95.7,96.55,1452200,-0.36,96.29
2023-09-26,95.68,96.86,93.8,94.26,1352560,-2.37,94.82
2023-09-27,94.94,95.96,94.14,94.63,1358328,0.39,94.85
2023-09-28,94.97,97.01,94.06,96.24,1162167,1.7,95.88
2023-09-29,98.07,99.13,95.92,97.01,1938087,0.8,97.15
2023-10-02,96.5,96.85,93.86,95.15,1464952,-1.92,94.89
2023-10-03,95.67,95.67,93.06,94.19,1727324,-1.01,94.2
2023-10-04,94.91,95.56,92.27,94.81,1194259,0.66,94.22
2023-10-05,94.92,95.4,92.69,94.97,1181205,0.17,94.18
2023-10-06,93.44,95.39,92.37,94.75,1106326,-0.23,94.0
2023-10-09,94.04,97.75,94.04,97.35,1124108,2.74,96.94
2023-10-10,96.97,98.99,96.34,97.35,1061867,0.0,97.85
2023-10-11,97.78,99.39,97.51,98.33,883990,1.01,98.26
2023-10-12,97.85,98.0,94.13,95.23,1024600,-3.15,95.19
2023-10-13,95.76,96.46,93.88,95.82,987534,0.62,95.41
2023-10-16,96.72,98.22,95.08,97.78,1209416,2.05,97.62
2023-10-17,96.91,99.28,96.83,97.81,832726,0.03,98.05
2023-10-18,96.63,97.19,94.47,94.56,1001279,-3.32,95.35
2023-10-19,93.94,95.32,91.55,91.79,1248503,-2.93,93.22
2023-10-20,92.28,92.89,91.35,92.12,1314775,0.36,92.04
2023-10-23,91.32,92.71,90.62,91.45,1538391,-0.73,91.78
2023-10-24,90.44,93.68,90.17,92.62,1734862,1.28,92.74
2023-10-25,92.21,92.45,88.82,89.15,2085098,-3.75,89.48
2023-10-26,89.64,91.84,89.3,91.1,1107138,2.19,91.05
2023-10-27,91.71,91.71,88.41,88.83,1076509,-2.49,89.24
2023-10-30,90.08,91.58,88.87,90.16,1668389,1.5,90.11
2023-10-31,91.02,91.07,87.93,90.25,1405482,0.1,89.83
