trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,177.49,179.17,176.36,178.67,392028,1.22,178.12
2023-01-04,181.25,182.28,179.82,182.16,487110,1.95,181.37
2023-01-05,179.6,180.25,176.8,178.58,647649,-1.97,178.59
2023-01-06,180.32,183.86,179.68,183.64,250334,2.83,183.14
2023-01-09,184.06,187.24,183.32,184.78,290493,0.62,185.35
2023-01-10,183.67,185.63,182.74,185.03,260337,0.14,184.53
2023-01-11,185.25,188.36,185.0,187.82,367071,1.51,187.35
2023-01-12,188.73,189.08,186.06,188.2,329566,0.2,187.71
2023-01-13,186.74,191.09,186.1,190.5,301298,1.22,189.8
2023-01-17,190.57,190.62,188.1,188.71,494480,-0.94,189.1
2023-01-18,189.09,190.21,184.38,184.59,529858,-2.18,186.34
2023-01-19,183.28,184.5,179.6,181.53,400197,-1.66,181.45
2023-01-20,182.21,185.83,181.75,185.77,452593,2.34,184.21
2023-01-23,186.17,187.92,184.68,187.14,416386,0.74,186.68
2023-01-24,185.91,186.68,181.56,185.19,540175,-1.04,185.04
2023-01-25,183.19,183.41,179.17,180.5,1140854,-2.53,180.53
2023-01-26,181.95,183.99,179.82,183.48,387106,1.65,182.72
2023-01-27,182.14,183.81,180.88,182.8,320014,-0.37,182.44
2023-01-30,181.98,183.55,180.42,181.03,413492,-0.97,181.59
2023-01-31,182.1,184.93,180.87,184.74,445850,2.05,183.67
2023-02-01,183.05,188.23,181.5,186.91,540165,1.17,184.82
2023-02-02,179.12,185.15,179.12,183.89,1306939,-1.62,182.85
2023-02-03,181.78,183.12,176.13,176.71,595212,-3.9,177.99
2023-02-06,175.32,176.39,173.44,174.11,461972,-1.47,174.51
2023-02-07,173.99,179.78,173.08,179.05,603859,2.84,177.07
2023-02-08,177.78,180.12,177.78,178.96,439563,-0.05,179.18
2023-02-09,180.14,180.71,175.1,176.43,518997,-1.41,176.97
2023-02-10,176.04,177.42,175.27,176.89,489137,0.26,176.76
2023-02-13,177.29,180.72,177.29,180.7,525448,2.15,180.12
2023-02-14,180.09,181.81,177.77,179.67,593116,-0.57,179.59
2023-02-15,178.12,181.59,177.89,181.03,413967,0.76,180.66
2023-02-16,178.81,179.35,177.06,177.54,299725,-1.93,178.08
2023-02-17,177.5,178.01,175.93,177.98,412029,0.25,177.27
2023-02-21,176.12,177.45,173.27,174.56,733388,-1.92,174.46
2023-02-22,174.85,178.3,174.33,177.93,913600,1.93,177.07
2023-02-23,178.62,180.41,175.36,177.24,985264,-0.39,177.43
2023-02-24,174.27,177.88,173.64,177.15,589153,-0.05,175.85
2023-02-27,179.29,180.86,176.45,177.36,596431,0.12,177.8
2023-02-28,176.65,179.12,176.16,178.41,945703,0.59,178.41
2023-03-01,177.45,180.18,176.78,177.36,385360,-0.59,178.03
2023-03-02,176.69,177.92,175.38,177.8,448745,0.25,177.14
2023-03-03,178.22,179.57,175.75,179.53,410950,0.97,178.34
