trade_date,close,open,high,low,vol,pct_change,vwap
20241231,594.32,607.17,607.17,592.28,508018,-1.65,596.02
20241230,604.32,601.2,607.24,591.14,645307,-1.09,602.26
20241227,610.98,620.95,622.46,606.55,381221,-2.06,611.13
20241226,623.8,630.0,630.0,620.96,422246,-1.18,624.01
20241224,631.25,619.67,631.78,619.07,259941,1.14,628.55
20241223,624.14,634.64,642.53,616.97,590783,-1.2,625.51
20241220,631.69,607.95,633.21,605.09,7025215,2.6,630.5
20241219,615.68,620.54,626.58,608.0,1316458,0.94,615.89
20241218,609.96,637.0,638.87,604.14,1526032,-4.06,616.63
20241217,635.76,642.93,648.69,632.0,1489094,-2.09,637.31
20241216,649.3,652.0,654.0,603.33,1732622,0.68,641.96
20241213,644.91,635.29,648.91,635.0,550691,1.34,644.69
20241212,636.41,648.01,657.75,635.81,667455,-0.94,643.55
20241211,642.45,646.68,651.14,633.86,637436,0.78,643.88
20241210,637.45,647.22,659.68,633.31,927398,-0.8,639.78
20241209,642.59,687.69,687.97,631.03,1166246,-6.56,647.04
20241206,687.69,689.73,698.67,680.24,934835,-0.3,691.46
20241205,689.78,688.01,695.94,677.4,729597,0.35,688.79
20241204,687.39,667.09,689.39,667.09,811657,2.62,682.02
20241203,669.87,652.82,675.48,638.0,1362257,5.26,660.02
20241202,636.39,649.2,649.39,634.95,858790,-1.63,638.81
20241129,646.96,639.38,652.23,639.0,397386,1.89,646.52
20241127,634.96,632.1,636.37,625.81,499995,0.44,631.84
20241126,632.16,622.6,633.0,621.22,618471,2.13,627.75
20241125,619.0,639.54,639.99,607.2,1381348,-2.82,619.4
20241122,636.95,635.5,641.2,623.5,607420,0.9,635.16
20241121,631.27,621.99,640.51,611.0,883811,3.52,631.64
20241120,609.82,609.18,613.25,598.95,571629,-0.06,606.36
20241119,610.2,598.3,618.07,598.01,969384,1.7,611.23
20241118,600.0,601.04,610.33,592.0,669411,0.11,602.58
20241115,599.35,599.53,602.0,594.42,682691,-0.86,599.08
20241114,604.56,601.0,609.37,592.21,721381,0.54,603.08
20241113,601.29,600.0,617.15,599.72,849881,1.03,606.95
20241112,595.18,609.11,609.35,591.74,1387067,-3.4,597.2
20241111,616.14,611.06,624.84,588.02,1789851,2.15,614.04
20241108,603.18,540.0,611.88,515.0,3957395,28.68,578.18
20241107,468.75,465.5,471.0,462.81,822575,2.01,467.59
20241106,459.52,459.03,462.64,450.72,707860,4.18,457.26
20241105,441.09,433.97,442.77,433.97,652306,2.21,440.58
20241104,431.57,425.84,435.5,424.99,478779,1.35,431.74
20241101,425.84,426.82,430.16,424.57,594987,0.55,426.72
20241031,423.5,435.96,436.9,422.38,875268,-3.53,425.85
20241030,439.0,443.33,445.48,438.76,427463,-1.13,441.14
20241029,444.0,444.96,447.63,443.7,488655,-0.17,444.99
20241028,444.77,449.1,449.1,443.25,442307,0.06,445.69
20241025,444.52,446.12,449.83,442.71,322693,0.32,444.72
20241024,443.12,442.58,446.75,438.17,263307,0.1,443.42
20241023,442.69,447.52,449.2,440.67,386314,-1.54,443.53
20241022,449.61,445.1,455.17,443.44,624768,1.27,450.64
20241021,443.98,439.0,444.16,435.29,334368,1.35,440.35
20241018,438.05,438.78,438.78,434.0,228561,0.82,437.27
20241017,434.48,436.0,437.9,432.73,363218,0.15,434.96
20241016,433.83,433.36,435.4,428.5,375993,-0.07,431.94
20241015,434.12,437.98,438.04,424.57,624875,-0.88,431.31
20241014,437.98,437.14,440.89,435.44,306920,0.69,438.91
20241011,434.98,430.19,436.55,428.77,334063,1.45,434.03
20241010,428.76,430.78,432.91,424.34,494068,-0.78,427.44
20241009,432.14,424.4,432.86,422.21,470625,1.21,429.66
20241008,426.99,424.06,433.48,420.49,787113,1.46,428.23
20241007,420.83,421.0,425.23,416.88,681576,-0.23,421.87
20241004,421.8,418.0,422.33,413.68,611525,1.63,419.88
20241003,415.05,404.17,415.11,403.16,908932,2.61,411.9
20241002,404.51,400.0,406.0,397.53,584956,1.33,403.42
20241001,399.22,399.87,400.78,395.37,745694,-0.1,399.32
20240930,399.6,395.5,400.33,394.24,544363,1.08,398.52
20240927,395.34,394.12,395.59,388.37,397593,0.53,393.62
20240926,393.25,396.23,398.74,391.97,444854,-0.51,395.55
20240925,395.26,394.39,395.8,392.02,521578,0.41,394.87
20240924,393.66,395.59,395.69,388.35,279634,-0.07,392.06
20240923,393.94,394.29,397.32,392.0,471450,0.17,395.17
20240920,393.29,387.07,393.58,387.06,1202603,0.91,391.84
20240919,389.74,390.0,391.55,383.03,461703,1.76,389.12
20240918,383.01,383.5,387.61,380.5,402092,0.11,383.54
20240917,382.57,384.03,386.14,376.53,377408,-0.83,381.17
20240916,385.77,380.99,386.54,379.98,480096,1.62,383.92
20240913,379.61,382.98,385.0,375.71,477093,-1.27,381.25
20240912,384.51,364.88,384.73,364.6,934298,6.3,379.04
20240911,361.71,357.82,364.49,353.91,373727,0.66,360.97
20240910,359.35,364.89,366.98,357.1,294439,-1.38,359.9
20240909,364.39,358.61,369.44,358.61,740834,2.75,365.9
20240906,354.62,356.42,357.5,346.71,497933,-0.07,352.03
20240905,354.86,353.53,356.34,352.11,235797,-0.14,354.31
20240904,355.35,351.72,356.73,349.02,522127,0.05,353.95
20240903,355.16,361.35,363.22,354.52,506779,-2.69,356.46
20240830,364.97,363.13,366.27,361.44,416330,0.82,364.23
20240829,362.0,364.03,368.86,361.97,315106,-0.12,364.43
20240828,362.45,363.43,368.13,361.59,316721,-0.27,363.38
20240827,363.43,360.49,364.46,357.85,285785,0.82,362.55
20240826,360.49,369.11,370.64,358.1,568399,-2.75,362.06
20240823,370.7,375.69,376.05,369.43,463836,-0.53,371.79
20240822,372.69,375.94,377.25,372.44,295043,-0.64,373.57
20240821,375.1,373.06,378.89,371.45,533965,0.55,374.19
20240820,373.05,374.45,375.73,370.04,345569,-0.01,372.65
20240819,373.07,373.75,376.42,370.96,429942,-0.17,373.0
20240816,373.69,374.99,377.19,372.0,484229,0.0,374.17
20240815,373.69,366.15,378.25,366.15,435286,0.84,374.1
20240814,370.57,368.8,371.93,365.99,386001,0.43,370.14
20240813,368.97,368.03,370.82,364.78,512572,0.26,367.67
20240812,368.03,368.1,375.95,366.14,535859,0.83,369.65
20240809,365.0,367.27,370.35,359.31,977222,-0.94,364.88
20240808,368.46,350.9,371.99,344.0,1460320,5.5,363.95
20240807,349.24,330.0,367.95,323.89,3366645,18.39,350.43
20240806,295.0,289.4,298.7,286.19,1062002,3.09,294.29
20240805,286.16,279.64,291.75,279.02,681639,-2.12,286.68
20240802,292.36,294.1,295.36,287.14,929097,-2.43,291.0
20240801,299.63,300.0,302.72,296.09,848611,-0.13,298.31
20240731,300.01,307.49,308.56,299.0,662384,-1.55,302.64
20240730,304.72,309.96,314.37,304.48,346329,-1.39,306.43
