trade_date,close,open,high,low,vol,pct_change,vwap
20241231,43.95,44.04,44.23,43.71,15946254,0.09,43.94
20241230,43.91,43.89,44.14,43.55,15409395,-0.97,43.93
20241227,44.34,44.24,44.78,44.06,17239997,-0.47,44.34
20241226,44.55,44.21,44.58,44.1,15644399,0.38,44.4
20241224,44.38,43.93,44.41,43.93,12050500,1.12,44.25
20241223,43.89,43.9,44.11,42.78,33819661,-0.63,43.59
20241220,44.17,43.2,44.4,43.1,72799000,1.82,44.07
20241219,43.38,43.97,44.48,43.31,38583594,-0.28,43.69
20241218,43.5,45.14,45.43,43.35,40267028,-3.44,44.37
20241217,45.05,45.19,45.19,44.62,32572864,-0.92,44.95
20241216,45.47,45.59,45.68,45.16,27075852,-0.44,45.45
20241213,45.67,46.09,46.1,45.38,29025727,-0.89,45.65
20241212,46.08,46.14,46.47,45.92,24017313,0.0,46.22
20241211,46.08,46.0,46.16,45.47,34402922,0.72,45.87
20241210,45.75,45.91,46.29,45.59,32630137,-0.35,45.9
20241209,45.91,46.56,46.74,45.9,32883313,-1.8,46.15
20241206,46.75,47.06,47.06,46.4,26664227,-0.53,46.66
20241205,47.0,46.56,47.24,46.5,30966504,1.36,47.02
20241204,46.37,46.69,46.78,46.13,24610821,-0.96,46.35
20241203,46.82,47.37,47.48,46.65,35025766,-0.47,46.89
20241202,47.04,47.74,47.82,46.85,35233305,-0.99,47.16
20241129,47.51,47.8,48.08,47.5,23259274,-0.54,47.73
20241127,47.77,47.82,47.98,47.65,23136063,0.04,47.8
20241126,47.75,47.51,47.84,47.21,29619844,0.53,47.63
20241125,47.5,47.26,47.74,47.16,42360704,1.06,47.5
20241122,47.0,46.37,47.22,46.28,37598856,1.16,46.94
20241121,46.46,46.39,47.05,46.3,44805145,0.87,46.68
20241120,46.06,46.57,46.64,45.92,27743715,-0.75,46.11
20241119,46.41,45.99,46.62,45.95,27907688,-0.66,46.4
20241118,46.72,46.75,47.02,46.49,32265407,-0.06,46.78
20241115,46.75,45.62,46.84,45.62,39685661,1.85,46.46
20241114,45.9,45.95,46.16,45.73,35640415,0.07,45.97
20241113,45.87,46.2,46.48,45.83,34425461,0.02,46.07
20241112,45.86,46.14,46.45,45.84,38018317,-0.48,46.08
20241111,46.08,45.6,46.52,45.58,42587555,2.11,46.2
20241108,45.13,45.14,45.5,44.95,38147032,0.8,45.22
20241107,44.77,45.04,45.23,44.51,45481676,-1.41,44.87
20241106,45.41,44.8,45.55,44.0,106883880,8.43,45.16
20241105,41.88,41.51,42.01,41.38,29906059,1.33,41.81
20241104,41.33,41.61,42.02,41.11,30852833,-1.03,41.43
20241101,41.76,42.15,42.43,41.75,31086547,-0.14,42.0
20241031,41.82,42.29,42.55,41.8,27871586,-1.16,42.01
20241030,42.31,41.71,42.9,41.64,36903875,-0.52,42.44
20241029,42.53,42.59,42.81,42.47,21176313,-0.21,42.59
20241028,42.62,42.07,42.74,42.01,24199098,1.74,42.5
20241025,41.89,42.92,42.98,41.79,27079965,-1.78,42.1
20241024,42.65,42.32,42.66,41.97,28241020,0.73,42.4
20241023,42.34,42.2,42.47,42.02,27930317,0.09,42.29
20241022,42.3,41.65,42.4,41.57,34715864,1.29,42.14
20241021,41.76,42.25,42.41,41.74,26335262,-1.32,41.95
20241018,42.32,42.43,42.65,42.11,30343313,-0.66,42.38
20241017,42.6,42.83,43.0,42.46,31708563,-0.47,42.77
