trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,50.49,51.49,50.2,50.9,1248840,1.62,50.73
2023-01-04,51.65,52.17,51.0,51.41,1084544,1.0,51.53
2023-01-05,50.78,52.04,50.62,51.75,1410101,0.66,51.53
2023-01-06,52.6,53.27,51.47,53.14,1154549,2.69,52.79
2023-01-09,53.54,55.35,53.28,54.42,1739980,2.41,54.68
2023-01-10,54.5,55.13,53.9,54.93,1457197,0.94,54.81
2023-01-11,55.22,55.54,54.64,55.25,1863068,0.58,55.15
2023-01-12,55.6,56.1,54.92,55.97,1896712,1.3,55.72
2023-01-13,55.5,55.96,55.29,55.94,1804296,-0.05,55.73
2023-01-17,55.85,56.02,55.02,55.79,1924478,-0.27,55.69
2023-01-18,56.12,56.41,55.25,55.64,2532291,-0.27,55.67
2023-01-19,55.18,55.69,54.97,55.46,1689965,-0.32,55.31
2023-01-20,55.9,57.12,55.64,57.03,1529823,2.83,56.51
2023-01-23,57.0,57.89,56.76,57.8,1202444,1.35,57.49
2023-01-24,57.46,57.75,55.77,55.87,1251415,-3.34,56.5
2023-01-25,55.23,55.47,54.34,55.47,1168620,-0.72,55.07
2023-01-26,55.98,56.15,55.2,55.85,963842,0.69,55.67
2023-01-27,55.32,56.69,54.88,56.44,1422203,1.06,56.08
2023-01-30,56.03,57.23,55.95,56.26,2105586,-0.32,56.46
2023-01-31,56.16,57.06,55.61,57.04,1918110,1.39,56.53
2023-02-01,56.68,57.37,56.1,57.24,2657061,0.35,56.76
2023-02-02,56.98,60.86,53.07,59.63,5522813,4.18,57.99
2023-02-03,58.89,59.83,57.67,57.75,2449331,-3.15,58.55
2023-02-06,57.23,57.71,56.42,57.48,2016729,-0.47,57.23
2023-02-07,57.71,58.38,55.76,56.41,2117265,-1.86,56.75
2023-02-08,55.88,56.32,54.69,54.73,1701296,-2.98,55.26
2023-02-09,54.88,55.37,53.63,53.9,1752532,-1.52,54.22
2023-02-10,53.51,53.78,52.88,53.48,1528499,-0.78,53.38
2023-02-13,53.54,54.8,53.3,54.77,1631462,2.41,54.34
2023-02-14,54.68,55.77,54.31,55.76,1470655,1.81,55.39
2023-02-15,55.44,57.86,55.37,57.76,1465731,3.59,57.19
2023-02-16,56.81,57.11,55.99,56.21,1806647,-2.68,56.51
2023-02-17,56.24,56.54,55.78,56.35,1548006,0.25,56.2
2023-02-21,55.84,56.13,55.37,55.87,2786270,-0.85,55.8
2023-02-22,56.13,56.75,55.77,56.36,1990755,0.88,56.34
2023-02-23,56.31,56.56,55.32,56.32,1975993,-0.07,56.04
2023-02-24,55.7,56.21,55.0,55.68,1548546,-1.14,55.46
2023-02-27,56.16,56.38,54.79,54.94,1728092,-1.33,55.26
2023-02-28,54.8,55.68,54.59,55.25,2224641,0.56,55.29
2023-03-01,55.05,55.68,53.7,53.72,2266318,-2.77,54.26
2023-03-02,53.29,55.06,53.18,55.04,2162896,2.46,54.29
2023-03-03,55.51,56.39,55.33,56.09,1202573,1.91,55.98
2023-03-06,56.25,56.46,55.1,55.12,1659443,-1.73,55.43
2023-03-07,54.88,55.32,53.87,53.89,1052276,-2.23,54.24
2023-03-08,53.7,54.7,53.57,54.56,1079313,1.24,54.38
2023-03-09,54.74,54.91,53.54,53.75,1612800,-1.48,53.96
2023-03-10,53.67,53.67,51.49,51.64,1658542,-3.93,52.26
2023-03-13,51.27,52.46,50.86,51.52,2016452,-0.23,51.73
2023-03-14,52.28,52.76,51.43,52.07,1967509,1.07,52.1
2023-03-15,51.23,51.74,50.51,51.21,1775010,-1.65,51.16
2023-03-16,50.96,51.75,50.16,51.23,2042817,0.04,51.12
2023-03-17,51.07,51.28,49.99,50.6,2766042,-1.23,50.57
2023-03-20,50.93,51.24,50.11,50.85,1382961,0.49,50.68
2023-03-21,51.61,52.03,50.85,51.77,1660354,1.81,51.6
2023-03-22,51.77,52.83,51.49,51.77,2022274,0.0,52.08
2023-03-23,51.72,52.53,51.09,51.63,1461710,-0.27,51.77
2023-03-24,51.27,52.07,50.6,52.06,1442769,0.83,51.69
2023-03-27,52.42,52.57,51.3,51.75,1418587,-0.6,51.78
2023-03-28,51.57,52.42,51.49,52.39,1009292,1.24,52.13
2023-03-29,52.83,53.4,52.7,52.98,1286171,1.13,53.05
2023-03-30,53.54,53.66,52.89,53.35,1002090,0.7,53.28
2023-03-31,53.69,54.21,53.45,54.17,1101888,1.54,53.91
2023-04-03,53.98,54.55,53.83,54.14,1384464,-0.06,54.13
2023-04-04,54.1,54.1,52.88,53.32,1914711,-1.51,53.27
2023-04-05,53.24,53.65,52.03,52.27,1691223,-1.97,52.49
2023-04-06,51.98,52.16,51.1,51.73,1931143,-1.03,51.6
2023-04-10,51.3,51.48,50.57,51.15,1711600,-1.12,51.06
2023-04-11,51.44,52.12,51.03,51.49,1686863,0.66,51.71
2023-04-12,51.8,51.85,49.69,49.88,1915146,-3.13,50.44
2023-04-13,49.99,51.1,49.95,50.88,1498257,2.0,50.75
2023-04-14,50.58,50.58,49.09,49.17,1608847,-3.36,49.46
2023-04-17,49.39,50.36,48.85,50.33,1879041,2.36,49.74
2023-04-18,50.27,51.16,49.88,51.04,2128246,1.41,50.69
2023-04-19,51.0,51.58,50.83,51.33,1372262,0.57,51.21
2023-04-20,50.76,51.05,50.42,50.73,1241831,-1.17,50.75
2023-04-21,50.96,51.25,50.39,51.2,929512,0.93,50.98
2023-04-24,51.59,51.72,50.96,51.39,1002681,0.37,51.32
2023-04-25,51.34,52.54,50.85,50.85,1583946,-1.05,51.35
2023-04-26,50.56,50.85,50.22,50.36,993425,-0.96,50.5
2023-04-27,50.8,51.88,50.53,51.81,1192886,2.88,51.43
2023-04-28,51.95,52.65,51.86,52.27,1155877,0.89,52.26
