trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,64.75,64.75,62.84,63.57,1036321,-1.06,63.43
2023-01-04,63.75,64.36,63.44,64.1,1036311,0.83,63.97
2023-01-05,63.67,64.09,62.05,62.35,1399872,-2.73,62.5
2023-01-06,63.13,63.28,62.67,63.0,1182495,1.04,63.03
2023-01-09,63.09,64.78,63.06,63.28,1258792,0.44,63.73
2023-01-10,63.41,63.86,63.15,63.84,1102794,0.88,63.62
2023-01-11,64.34,64.93,63.88,64.69,1061506,1.33,64.52
2023-01-12,64.68,64.8,63.79,64.24,979872,-0.7,64.2
2023-01-13,63.94,65.65,63.77,65.61,1203338,2.13,64.98
2023-01-17,65.81,67.36,65.81,66.52,1993310,1.39,66.64
2023-01-18,66.22,66.83,65.22,65.24,1672283,-1.92,65.67
2023-01-19,65.24,65.5,64.46,64.46,1286570,-1.2,65.0
2023-01-20,64.43,64.9,63.62,64.8,8070996,0.53,64.61
2023-01-23,64.86,65.59,64.6,65.06,1000019,0.4,65.15
2023-01-24,65.08,65.87,64.64,65.69,1460932,0.97,65.5
2023-01-25,65.54,66.86,65.0,66.86,847502,1.78,66.31
2023-01-26,66.46,66.47,65.21,65.69,1414018,-1.75,65.63
2023-01-27,65.68,65.69,64.94,65.38,780851,-0.47,65.41
2023-01-30,65.16,65.65,64.42,64.56,903446,-1.25,64.82
2023-01-31,64.89,65.14,64.5,65.13,1963431,0.88,64.91
2023-02-01,65.08,66.25,64.93,65.71,1333273,0.89,65.61
2023-02-02,65.64,66.32,64.92,65.38,1648114,-0.5,65.51
2023-02-03,65.14,65.73,64.12,65.38,1196363,0.0,65.16
2023-02-06,65.05,65.42,64.62,65.2,963813,-0.28,65.16
2023-02-07,64.74,65.03,63.61,64.35,1113377,-1.3,64.17
2023-02-08,63.79,64.39,63.58,63.61,825617,-1.15,63.78
2023-02-09,63.94,64.31,62.75,63.14,932501,-0.74,63.22
2023-02-10,63.05,63.78,62.52,63.59,977475,0.71,63.42
2023-02-13,63.83,64.49,63.45,64.45,572770,1.35,64.21
2023-02-14,64.3,64.38,63.37,63.89,863001,-0.87,63.9
2023-02-15,63.78,64.15,63.14,64.15,732711,0.41,63.73
2023-02-16,63.61,64.37,63.39,63.99,1037110,-0.25,64.09
2023-02-17,63.9,64.28,63.55,64.22,873785,0.36,64.09
2023-02-21,63.91,64.04,63.45,63.48,727690,-1.15,63.64
2023-02-22,63.98,64.33,63.38,63.64,729400,0.25,63.86
2023-02-23,63.96,64.08,63.37,63.73,558790,0.14,63.73
2023-02-24,63.21,63.8,62.91,63.57,1281254,-0.25,63.55
2023-02-27,63.98,64.32,63.55,63.82,894745,0.39,63.86
2023-02-28,63.52,64.51,63.39,63.45,1582769,-0.58,63.64
2023-03-01,63.57,63.65,62.43,62.85,765414,-0.95,62.88
2023-03-02,62.62,64.42,62.55,64.39,1067573,2.45,63.99
2023-03-03,64.63,65.79,64.51,65.57,1529976,1.83,65.44
2023-03-06,65.67,66.32,65.49,65.81,1307810,0.37,65.92
2023-03-07,65.78,66.09,64.69,65.01,1586736,-1.22,65.19
2023-03-08,63.69,64.29,60.96,62.29,2632312,-4.18,62.33
2023-03-09,63.08,63.23,61.09,61.12,1750052,-1.88,62.06
2023-03-10,61.07,61.54,60.28,60.36,1366450,-1.24,60.72
2023-03-13,60.46,61.94,60.35,61.11,1498177,1.24,61.35
2023-03-14,61.52,61.82,60.18,61.12,1479250,0.02,60.87
2023-03-15,60.62,60.99,60.17,60.65,1326927,-0.77,60.61
2023-03-16,60.43,61.48,60.32,61.22,929609,0.94,61.15
2023-03-17,61.26,61.27,60.3,60.5,2424234,-1.18,60.62
2023-03-20,60.69,61.35,60.62,61.21,1020397,1.17,61.05
2023-03-21,61.35,61.61,60.81,61.21,1106810,0.0,61.11
2023-03-22,61.21,62.34,61.21,61.26,946135,0.08,61.69
2023-03-23,61.09,61.24,60.33,60.63,1355665,-1.03,60.8
2023-03-24,60.92,61.81,60.42,61.77,1373412,1.88,61.41
2023-03-27,61.98,62.42,61.65,61.87,903854,0.16,62.01
2023-03-28,61.89,62.35,61.77,61.79,890535,-0.13,61.96
2023-03-29,62.12,62.63,61.84,62.49,742917,1.13,62.47
2023-03-30,62.67,62.78,62.01,62.34,1158110,-0.24,62.36
2023-03-31,62.66,63.16,62.58,63.06,1167460,1.15,62.94
2023-04-03,62.73,62.93,62.35,62.87,1291988,-0.3,62.72
2023-04-04,62.86,63.33,61.63,61.72,935311,-1.83,61.99
2023-04-05,62.16,62.3,61.64,61.75,1249780,0.05,61.85
2023-04-06,61.57,61.93,60.9,61.48,1774609,-0.44,61.37
2023-04-10,61.1,61.54,60.85,61.52,954746,0.07,61.34
2023-04-11,61.58,62.13,61.27,62.04,793859,0.85,61.94
2023-04-12,61.94,62.18,61.25,61.38,980365,-1.06,61.66
2023-04-13,61.34,61.88,61.16,61.86,957028,0.78,61.63
2023-04-14,61.52,61.81,61.05,61.6,1306560,-0.42,61.44
2023-04-17,61.97,62.52,61.39,62.52,1671423,1.49,62.15
2023-04-18,62.59,62.71,61.67,62.48,1233374,-0.06,62.24
2023-04-19,62.66,62.98,62.35,62.94,1526416,0.74,62.76
2023-04-20,62.86,63.29,62.67,62.86,1179197,-0.13,62.96
2023-04-21,63.39,63.79,62.69,62.77,7518777,-0.14,62.83
2023-04-24,63.07,63.14,62.24,62.38,1288726,-0.62,62.57
2023-04-25,62.47,62.9,62.37,62.75,1106015,0.59,62.67
2023-04-26,62.39,62.97,62.39,62.8,1516035,0.08,62.75
2023-04-27,62.85,64.1,62.65,64.05,1306555,1.99,63.65
2023-04-28,63.9,63.91,62.53,63.87,1481989,-0.28,63.65
