trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,96.09,96.13,91.65,91.87,876767,-4.21,92.58
2023-01-04,91.78,92.51,89.73,91.33,1384238,-0.59,91.23
2023-01-05,91.93,92.03,88.2,89.58,1409726,-1.92,89.43
2023-01-06,90.72,93.25,90.56,92.88,958196,3.68,92.49
2023-01-09,92.86,95.35,92.29,94.25,1245214,1.48,94.36
2023-01-10,94.94,95.43,92.75,93.74,907777,-0.54,93.64
2023-01-11,94.88,95.17,93.95,94.65,569754,0.97,94.45
2023-01-12,94.89,97.34,94.27,96.65,990531,2.11,96.36
2023-01-13,96.65,96.91,95.73,96.54,595876,-0.11,96.41
2023-01-17,97.07,98.43,96.74,97.29,730076,0.78,97.36
2023-01-18,97.14,98.35,93.98,94.1,904022,-3.28,95.28
2023-01-19,93.97,95.84,93.65,94.59,742273,0.52,94.89
2023-01-20,95.08,96.25,92.46,93.66,1118443,-0.98,93.33
2023-01-23,93.25,93.59,90.75,91.95,1373360,-1.83,91.85
2023-01-24,91.31,93.18,90.8,92.84,964332,0.97,92.43
2023-01-25,92.01,93.15,90.74,93.13,1112808,0.31,92.09
2023-01-26,93.66,96.02,92.3,95.89,1283168,2.96,94.88
2023-01-27,96.13,96.38,93.79,93.83,887274,-2.15,94.66
2023-01-30,93.51,93.91,92.6,93.32,740360,-0.54,93.2
2023-01-31,93.44,95.44,93.11,95.27,1026174,2.09,94.65
2023-02-01,95.24,96.66,94.54,96.25,847809,1.03,95.67
2023-02-02,95.73,95.87,93.36,94.89,1296604,-1.41,94.19
2023-02-03,95.04,95.97,93.78,94.29,1159883,-0.63,94.28
2023-02-06,94.36,95.79,93.59,95.73,1216008,1.53,94.9
2023-02-07,95.52,95.76,93.67,95.13,1191348,-0.63,94.71
2023-02-08,94.6,99.4,93.96,94.39,1846736,-0.78,95.47
2023-02-09,92.73,94.94,91.65,92.38,1623357,-2.13,92.96
2023-02-10,93.24,95.6,92.72,95.07,1358873,2.91,95.09
2023-02-13,94.6,94.73,93.28,94.44,1681650,-0.66,94.1
2023-02-14,94.68,96.13,94.05,96.09,1140539,1.75,95.21
2023-02-15,95.89,96.21,95.12,96.16,986159,0.07,95.91
2023-02-16,95.63,96.09,94.37,94.37,810100,-1.86,95.04
2023-02-17,93.85,94.76,92.82,94.39,752551,0.02,94.13
2023-02-21,93.93,94.43,93.03,93.03,1257825,-1.44,93.46
2023-02-22,93.19,95.47,92.88,94.66,811878,1.75,94.74
2023-02-23,95.5,96.39,94.6,95.21,608829,0.58,95.27
2023-02-24,94.95,95.16,94.19,94.86,696294,-0.37,94.7
2023-02-27,94.77,95.75,94.0,94.02,796794,-0.89,94.56
2023-02-28,93.75,93.75,91.87,92.39,1327075,-1.73,92.45
2023-03-01,92.05,93.0,91.78,92.07,661654,-0.35,92.32
2023-03-02,91.95,95.03,91.56,94.38,856556,2.51,93.91
2023-03-03,94.06,95.84,93.77,95.55,1052772,1.24,95.25
2023-03-06,95.28,95.52,94.33,94.86,985248,-0.72,94.8
2023-03-07,94.03,94.62,93.04,94.01,884540,-0.9,93.97
2023-03-08,94.01,94.33,92.93,93.66,630872,-0.37,93.54
2023-03-09,93.68,94.54,91.79,91.81,1016390,-1.98,92.53
2023-03-10,91.65,91.76,89.12,89.53,1040691,-2.48,89.97
2023-03-13,88.03,88.65,86.14,88.41,1760605,-1.25,87.88
2023-03-14,97.44,103.5,96.7,101.21,39934106,14.48,100.99
2023-03-15,98.45,98.67,92.4,93.63,6957250,-7.49,94.66
2023-03-16,92.0,94.87,92.0,93.57,2220336,-0.06,93.83
2023-03-17,93.21,93.78,88.97,89.11,3876813,-4.77,89.94
2023-03-20,89.48,93.21,89.43,91.94,2494303,3.18,92.06
2023-03-21,93.18,94.06,91.7,94.03,1623148,2.27,93.1
2023-03-22,94.42,94.99,92.44,92.52,1097643,-1.61,93.58
2023-03-23,92.8,94.46,89.88,90.49,1553049,-2.19,91.74
2023-03-24,89.96,91.33,88.56,90.87,1370909,0.42,90.57
2023-03-27,91.79,93.47,91.32,92.7,1322046,2.01,92.76
2023-03-28,92.57,94.17,92.32,93.45,1318993,0.81,93.65
2023-03-29,94.55,94.66,93.3,93.84,1430434,0.42,93.87
2023-03-30,94.7,94.8,91.65,92.23,1337451,-1.72,92.49
2023-03-31,92.86,93.66,91.82,92.4,1290326,0.18,92.26
2023-04-03,93.03,94.78,92.45,93.51,1067750,1.2,93.79
2023-04-04,93.87,93.87,90.87,91.43,1571642,-2.22,91.48
2023-04-05,90.98,91.06,88.79,89.23,1774751,-2.41,89.43
2023-04-06,89.09,89.82,87.44,89.44,1528452,0.24,89.16
2023-04-10,89.72,91.13,89.5,91.1,841101,1.86,90.72
2023-04-11,91.44,93.0,91.23,92.11,1017844,1.11,92.33
2023-04-12,92.14,92.7,91.17,91.45,1096003,-0.72,91.73
2023-04-13,91.19,91.32,89.94,90.26,1347784,-1.3,90.44
2023-04-14,90.82,91.61,90.16,91.32,1019712,1.17,91.13
2023-04-17,91.5,92.64,90.64,92.63,992469,1.43,92.0
2023-04-18,92.92,94.69,92.6,94.61,951213,2.14,94.02
2023-04-19,94.67,94.68,92.97,93.59,776218,-1.08,93.55
2023-04-20,92.41,93.83,92.1,93.25,798895,-0.36,93.25
2023-04-21,93.53,93.53,91.5,92.0,715008,-1.34,92.13
2023-04-24,92.09,92.57,91.29,92.13,859390,0.14,91.85
2023-04-25,91.23,91.23,87.75,88.4,1781227,-4.05,88.41
2023-04-26,88.04,90.18,88.04,89.03,1093437,0.71,89.25
2023-04-27,88.93,90.01,88.32,89.67,819195,0.72,89.47
2023-04-28,89.12,90.7,88.69,90.55,693262,0.98,90.11
2023-05-01,90.67,91.09,89.45,89.52,838273,-1.14,89.76
2023-05-02,88.93,89.15,86.7,88.18,1226382,-1.5,88.02
2023-05-03,91.9,91.94,87.1,87.83,1681790,-0.4,88.42
2023-05-04,87.35,89.27,86.06,86.44,1084319,-1.58,86.7
2023-05-05,87.5,88.38,86.85,87.6,990397,1.34,87.82
2023-05-08,87.74,88.38,87.24,87.27,1180291,-0.38,87.58
