trade_date,close,open,high,low,vol,pct_change,vwap
20241231,4968.42,4990.0,5007.23,4963.26,103521,-0.45,4976.65
20241230,4990.87,4992.5,5016.48,4938.04,139836,-0.92,4987.79
20241227,5037.39,5060.0,5078.64,5016.13,111569,-1.15,5036.12
20241226,5096.04,5094.06,5125.84,5092.8,65161,-0.53,5104.87
20241224,5122.94,5086.27,5122.94,5050.69,78635,1.18,5102.84
20241223,5063.12,5066.79,5071.39,5005.12,159683,0.29,5049.52
20241220,5048.59,4955.43,5085.21,4955.43,452023,1.37,5037.45
20241219,4980.4,4997.08,5020.66,4946.84,278277,0.75,4981.18
20241218,4943.35,5154.96,5167.27,4939.85,307383,-4.1,5018.91
20241217,5154.96,5129.0,5177.25,5109.84,201282,0.05,5148.82
20241216,5152.13,5206.64,5231.4,5141.19,294254,-1.44,5170.86
20241213,5227.61,5240.0,5260.41,5213.6,141122,-0.78,5233.36
20241212,5268.93,5300.0,5337.24,5255.64,147903,-0.45,5284.96
20241211,5293.0,5253.32,5295.55,5218.78,193944,2.08,5273.09
20241210,5185.33,5174.0,5223.67,5111.57,252985,0.69,5193.46
20241209,5149.6,5240.0,5280.3,5142.08,270034,-2.84,5176.96
20241206,5300.34,5260.0,5337.2,5260.0,169089,0.23,5297.83
20241205,5287.94,5253.88,5330.0,5200.0,181912,0.85,5296.24
20241204,5243.16,5200.0,5248.67,5161.77,200178,0.55,5224.88
20241203,5214.38,5224.28,5258.2,5204.17,181560,-0.19,5220.74
20241202,5224.28,5206.41,5233.19,5185.04,205109,0.43,5214.73
20241129,5201.98,5177.36,5230.0,5177.36,132703,-0.41,5208.19
20241127,5223.15,5187.69,5230.0,5161.0,168555,0.16,5208.88
20241126,5214.72,5110.0,5215.0,5110.0,161010,2.07,5178.59
20241125,5108.83,5213.0,5237.0,5073.68,443523,-1.32,5137.88
20241122,5177.15,5202.54,5216.0,5140.84,227747,-0.65,5173.4
20241121,5210.92,5050.62,5211.66,5016.44,241812,3.88,5147.45
20241120,5016.43,4966.81,5019.05,4907.03,166305,0.79,4972.98
20241119,4976.99,4993.8,4993.8,4937.11,203850,-0.81,4966.88
20241118,5017.78,4969.39,5029.43,4930.95,229030,0.86,5004.75
20241115,4975.19,4970.0,4979.78,4932.5,233239,0.08,4962.89
20241114,4970.98,4958.0,4995.0,4951.95,238226,-0.33,4971.32
20241113,4987.44,4998.0,5033.96,4972.35,196125,-0.71,4996.8
20241112,5022.92,5029.01,5050.74,4996.21,300020,-0.84,5018.94
20241111,5065.4,4936.0,5069.44,4936.0,174634,2.47,5042.04
20241108,4943.27,4922.83,4975.6,4922.83,280042,0.46,4945.8
20241107,4920.87,5013.22,5017.02,4913.04,329674,-1.61,4942.89
20241106,5001.19,5036.64,5060.5,4942.13,271392,1.75,4993.58
20241105,4914.98,4770.0,4916.01,4770.0,383927,2.9,4871.64
20241104,4776.46,4771.99,4825.0,4728.25,199820,0.58,4783.3
20241101,4749.11,4669.0,4790.11,4669.0,518991,1.56,4744.6
20241031,4676.25,4734.0,4856.6,4643.83,513112,4.76,4709.23
20241030,4463.93,4385.0,4477.88,4385.0,315529,0.82,4451.79
20241029,4427.54,4332.21,4440.87,4332.21,199848,1.84,4413.6
20241028,4347.59,4379.99,4379.99,4320.07,195178,-0.01,4341.71
20241025,4347.82,4375.0,4375.0,4334.16,146032,0.21,4351.92
20241024,4338.73,4300.08,4341.29,4289.33,159643,0.6,4326.51
20241023,4313.01,4354.1,4370.34,4270.6,177451,-1.48,4313.98
20241022,4377.78,4331.73,4395.0,4330.84,124241,0.32,4372.11
20241021,4363.72,4323.23,4376.11,4323.23,132111,0.3,4359.53
20241018,4350.82,4370.77,4377.77,4334.5,144540,-0.46,4356.78
20241017,4370.77,4360.0,4394.95,4357.02,146847,0.77,4374.64
20241016,4337.27,4300.41,4355.92,4278.85,123682,0.68,4332.29
20241015,4307.77,4278.35,4371.17,4274.51,182637,0.23,4322.51
20241014,4297.72,4297.42,4318.19,4284.1,139704,0.3,4296.29
