trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,46.48,46.74,45.76,46.01,6282742,-0.56,46.07
2023-01-04,46.41,46.68,46.05,46.5,6197602,1.06,46.42
2023-01-05,46.31,46.55,45.68,45.76,6346238,-1.59,46.08
2023-01-06,46.15,46.37,45.47,46.33,8980863,1.25,46.11
2023-01-09,46.43,46.47,45.57,45.59,7688391,-1.6,45.95
2023-01-10,45.7,46.19,45.59,46.06,5892270,1.03,46.0
2023-01-11,46.19,46.19,44.35,45.81,11767250,-0.54,45.2
2023-01-12,45.85,46.73,45.76,46.71,10165524,1.96,46.48
2023-01-13,46.75,46.79,46.27,46.53,6060152,-0.39,46.51
2023-01-17,46.47,46.55,45.99,46.04,6707469,-1.05,46.22
2023-01-18,46.05,46.17,45.01,45.09,6572539,-2.06,45.36
2023-01-19,44.79,45.81,44.79,45.46,7546086,0.82,45.46
2023-01-20,45.54,45.71,45.01,45.62,5414391,0.35,45.52
2023-01-23,45.62,46.07,45.56,45.85,5085152,0.5,45.8
2023-01-24,45.84,45.95,45.44,45.84,6100879,-0.02,45.75
2023-01-25,45.51,46.13,45.44,46.12,5050281,0.61,45.92
2023-01-26,46.26,46.38,45.83,46.35,4858258,0.5,46.2
2023-01-27,46.21,46.35,45.74,45.91,7336488,-0.95,46.07
2023-01-30,45.84,45.97,45.64,45.81,7455774,-0.22,45.79
2023-01-31,45.88,46.36,45.57,46.25,10902461,0.96,46.08
2023-02-01,46.62,47.71,46.5,47.54,15305040,2.79,47.13
2023-02-02,47.65,48.19,47.1,48.07,12435208,1.11,47.83
2023-02-03,48.0,48.87,47.87,48.5,13028754,0.89,48.58
2023-02-06,48.23,48.23,47.55,47.66,6015477,-1.73,47.79
2023-02-07,47.07,48.27,47.05,48.09,5284059,0.9,47.77
2023-02-08,47.94,48.25,47.39,47.59,6169465,-1.04,47.7
2023-02-09,47.77,47.95,46.97,47.06,4633106,-1.11,47.37
2023-02-10,47.09,47.34,46.86,47.23,5400496,0.36,47.18
2023-02-13,47.37,47.97,47.37,47.69,6177137,0.97,47.74
2023-02-14,47.64,47.97,46.98,47.28,5390043,-0.86,47.46
2023-02-15,47.08,47.42,46.96,47.29,4057600,0.02,47.25
2023-02-16,46.79,46.98,46.43,46.48,6152223,-1.71,46.71
2023-02-17,46.35,46.79,46.24,46.54,7973395,0.13,46.55
2023-02-21,46.15,46.37,45.93,46.23,8177309,-0.67,46.13
2023-02-22,46.07,46.99,46.07,46.61,10653719,0.82,46.63
2023-02-23,46.61,47.27,46.39,47.18,7733973,1.22,46.86
2023-02-24,46.79,47.2,46.47,47.01,8910859,-0.36,46.91
2023-02-27,47.29,47.49,46.69,46.82,7524551,-0.4,47.06
2023-02-28,46.8,47.03,46.71,46.72,7207203,-0.21,46.83
2023-03-01,46.76,46.88,46.44,46.82,7522625,0.21,46.71
2023-03-02,46.69,47.4,46.56,47.25,4591863,0.92,47.06
2023-03-03,47.38,47.95,47.22,47.82,8236844,1.21,47.69
2023-03-06,47.79,48.11,47.56,47.74,6288883,-0.17,47.81
2023-03-07,47.77,47.95,46.8,47.02,7311539,-1.51,47.16
2023-03-08,46.84,47.07,46.68,46.89,5738598,-0.28,46.87
2023-03-09,47.19,47.52,46.72,47.06,6083590,0.36,47.15
2023-03-10,47.06,47.39,46.2,46.48,7840426,-1.23,46.62
2023-03-13,46.33,48.05,46.21,47.6,10575727,2.41,47.54
2023-03-14,47.99,48.41,47.77,48.31,10208348,1.49,48.15
2023-03-15,47.7,48.0,47.41,47.97,10654266,-0.7,47.77
2023-03-16,47.55,48.4,47.32,48.3,7845500,0.69,48.02
2023-03-17,48.18,48.29,47.8,47.95,10689321,-0.72,48.03
2023-03-20,48.05,48.85,47.93,48.83,9053930,1.84,48.59
2023-03-21,48.83,48.95,48.38,48.84,6580586,0.02,48.68
2023-03-22,48.83,49.22,48.06,48.07,10462004,-1.58,48.55
2023-03-23,47.97,48.4,47.64,47.94,7203649,-0.27,48.05
2023-03-24,47.9,48.31,47.52,48.22,10069270,0.58,48.0
2023-03-27,48.42,48.61,48.15,48.33,5754234,0.23,48.32
2023-03-28,48.49,48.87,48.1,48.6,7820125,0.56,48.55
2023-03-29,49.0,49.46,48.92,49.08,9333250,0.99,49.16
2023-03-30,49.31,49.66,49.1,49.6,8146422,1.06,49.46
2023-03-31,49.8,50.21,49.69,50.03,11585750,0.87,50.0
2023-04-03,49.98,49.98,49.38,49.72,11373043,-0.62,49.66
2023-04-04,49.77,50.39,49.67,50.07,9726852,0.7,50.12
2023-04-05,50.18,50.87,50.14,50.74,7175363,1.34,50.66
2023-04-06,50.8,50.8,49.74,50.08,9622887,-1.3,50.13
2023-04-10,49.9,50.35,49.67,50.34,5185738,0.52,50.12
2023-04-11,50.46,50.86,50.44,50.73,5832840,0.77,50.74
2023-04-12,51.04,51.69,50.95,51.11,9666746,0.75,51.27
2023-04-13,51.3,51.76,51.2,51.5,6397660,0.76,51.49
2023-04-14,51.39,51.83,51.39,51.77,9464957,0.52,51.61
2023-04-17,51.98,52.21,51.51,51.74,5930754,-0.06,51.74
2023-04-18,51.96,52.05,51.41,51.61,7082813,-0.25,51.64
2023-04-19,52.25,52.92,52.06,52.89,10602313,2.48,52.66
2023-04-20,52.85,53.2,52.47,52.62,11486844,-0.51,52.75
2023-04-21,53.05,53.21,50.59,51.11,24525083,-2.87,51.52
2023-04-24,51.2,51.54,50.43,51.34,11731708,0.45,51.22
2023-04-25,51.45,51.78,50.98,51.11,14788083,-0.45,51.32
2023-04-26,52.7,52.7,50.0,51.1,20199110,-0.02,51.07
2023-04-27,50.9,52.07,50.64,52.03,9057277,1.82,51.69
2023-04-28,51.88,52.86,51.72,52.12,13505157,0.17,52.37
2023-05-01,52.2,52.86,52.09,52.8,7483555,1.3,52.68
2023-05-02,52.82,53.47,52.24,52.9,8739242,0.19,52.78
2023-05-03,53.13,53.48,52.58,52.69,7358699,-0.4,52.88
2023-05-04,52.43,52.77,51.91,51.94,8878422,-1.42,52.21
2023-05-05,52.05,52.12,51.12,51.54,9163109,-0.77,51.51
2023-05-08,51.24,53.42,51.17,53.12,14045418,3.07,52.92
2023-05-09,53.14,53.52,52.75,53.09,11125196,-0.06,53.24
2023-05-10,53.34,53.67,52.82,53.22,6123024,0.24,53.14
2023-05-11,53.16,53.65,53.0,53.39,9018359,0.32,53.36
2023-05-12,53.41,53.47,52.94,53.34,8251113,-0.09,53.16
2023-05-15,53.37,54.0,53.37,53.68,11013719,0.64,53.78
2023-05-16,53.71,54.08,53.36,53.77,5515473,0.17,53.79
2023-05-17,53.93,54.04,52.86,53.41,7134402,-0.67,53.4
2023-05-18,53.41,53.58,53.21,53.44,8038656,0.06,53.43
2023-05-19,53.53,53.78,53.18,53.64,8495922,0.37,53.54
2023-05-22,53.64,54.17,53.6,53.68,7007805,0.07,53.83
2023-05-23,53.26,53.58,51.38,51.5,12851258,-4.06,52.12
2023-05-24,51.4,52.31,51.23,51.93,10569016,0.83,51.96
2023-05-25,51.96,51.96,51.34,51.54,8922770,-0.75,51.61
2023-05-26,51.51,51.92,50.93,51.06,8497676,-0.93,51.2
2023-05-30,51.22,51.53,50.41,50.49,9862891,-1.12,50.79
2023-05-31,50.46,51.75,50.09,51.48,15443852,1.96,51.22
2023-06-01,51.3,51.85,50.98,51.5,8584090,0.04,51.55
2023-06-02,51.59,51.94,51.48,51.82,5608176,0.62,51.71
2023-06-05,51.96,52.15,51.24,51.4,7686949,-0.81,51.48
2023-06-06,51.33,51.52,50.34,50.67,12634075,-1.42,50.6
2023-06-07,50.58,50.84,50.43,50.7,6631414,0.06,50.65
2023-06-08,50.63,51.12,50.4,51.07,4288317,0.73,50.96
2023-06-09,51.13,51.54,50.91,51.28,5210574,0.41,51.3
2023-06-12,51.22,51.49,50.84,51.2,5694817,-0.16,51.19
2023-06-13,51.05,51.45,50.93,51.16,5802074,-0.08,51.23
2023-06-14,53.6,53.9,52.69,53.31,11002743,4.2,53.25
2023-06-15,53.23,54.09,52.91,53.98,7402996,1.26,53.7
2023-06-16,54.51,54.69,54.05,54.32,13022918,0.63,54.36
2023-06-21,53.94,54.1,53.59,53.96,5770027,-0.15,53.93
2023-06-22,54.13,54.66,54.0,54.64,4083613,1.26,54.43
2023-06-23,54.5,54.75,53.85,53.97,9538141,-1.23,54.16
2023-06-26,53.92,53.97,53.2,53.5,6548488,-0.87,53.59
2023-06-27,53.5,53.69,53.04,53.49,6084906,-0.02,53.44
2023-06-28,53.58,53.92,53.34,53.45,5305953,-0.07,53.56
2023-06-29,53.32,53.72,53.14,53.29,6896516,-0.3,53.36
