,close,high,low,open,vol,pct_change,vwap
2003-12-31,7.4688920974731445,7.489086580364809,7.440797576095432,7.471525697280525,793382,,84.99
2004-01-02,7.496986389160156,7.5347387025714605,7.475914551879891,7.475914551879891,1345024,0.37615072383381243,85.48
2004-01-05,7.549664497375488,7.5558098158323315,7.496107544806401,7.496107544806401,1728538,0.7026571142172422,85.68
2004-01-06,7.719994068145752,7.729651871742115,7.568983975401568,7.5716175759568,1979366,2.256121061134242,87.21
2004-01-07,7.7322845458984375,7.757745471648358,7.720870502675222,7.7349189070743565,2497382,0.15920320202573723,88.04
2004-01-08,7.866612911224365,7.876270712157795,7.774426264101452,7.774426264101452,2235648,1.7372403269507508,89.19
2004-01-09,7.871005535125732,7.918415670784792,7.823594638530381,7.857835249787685,2076608,0.05583882098862958,89.92
2004-01-12,7.926314830780029,7.92719219005852,7.866612548359337,7.871003149432094,1212339,0.7026966936749091,90.0
2004-01-13,7.989530086517334,8.007089451491204,7.935095750723835,7.935095750723835,2535552,0.7975365234272891,90.93
2004-01-14,8.102787971496582,8.104542690195212,7.989528717142075,8.007088079106337,1327757,1.4175788031685954,91.75
2004-01-15,8.198488235473633,8.224827284503087,8.077327392440067,8.124738289442123,1712179,1.1810782204063397,92.9
2004-01-16,8.249407768249512,8.260821809508098,8.178292203719845,8.222191367336453,1704000,0.6210844159726614,93.71
2004-01-20,8.321403503417969,8.331939427031786,8.254678523651371,8.331939427031786,1603123,0.8727382278950424,94.49
2004-01-21,8.400416374206543,8.400416374206543,8.268721200711893,8.321399270109753,1476800,0.9495137539733634,94.87
2004-01-22,8.578646659851074,8.58742634050033,8.428513968561555,8.463632691158585,2341069,2.1216839464266,96.78
2004-01-23,8.57776927947998,8.58128176079153,8.480314663679994,8.56020991666687,3624294,-0.010227491653203025,97.23
2004-01-26,8.648883819580078,8.660297098668819,8.494361306661121,8.578645621947825,2556454,0.8290563406761153,97.45
2004-01-27,8.567233085632324,8.640982248370191,8.543527644317694,8.640104128148156,2890893,-0.9440609407066591,97.66
2004-01-28,8.459247589111328,8.60411238793613,8.44783354233902,8.602356146606096,2805466,-1.2604477483178722,97.29
2004-01-29,8.328083992004395,8.475086378198416,8.309599310710599,8.468044667507025,3518874,-1.5505350295665354,95.0
2004-01-30,8.179325103759766,8.208373126592948,8.168762533145836,8.203972627690733,3887846,-1.786231843812447,93.0
2004-02-02,8.092179298400879,8.19957038912864,8.036723706105192,8.179324890459643,3675187,-1.0654400485784365,92.15
2004-02-03,8.081612586975098,8.100097266324699,8.048162557420294,8.089534701398568,2067520,-0.13057930424094089,91.68
2004-02-04,8.045524597167969,8.107143017271852,8.010314507346205,8.080734686989732,2259277,-0.4465444169557298,91.48
2004-02-05,8.131791114807129,8.243583463088665,8.107143592433795,8.186367063069076,4335885,1.0722298663971008,92.81
2004-02-06,8.268229484558105,8.328087099431649,8.122108211323297,8.168762041537127,3440717,1.6778390864287784,93.29
2004-02-09,8.344809532165527,8.381780421214112,8.300796169390006,8.353612052137516,2216563,0.9261964456894312,94.76
2004-02-10,8.337767601013184,8.352732191105606,8.272629101564743,8.32280301092076,2445581,-0.08438696084315245,94.39
2004-02-11,8.481250762939453,8.519980941748564,8.346571727255535,8.346571727255535,2542822,1.7208822408150803,95.85
2004-02-12,8.407312393188477,8.479493403478282,8.407312393188477,8.45924713819406,1826688,-0.8717861529818793,95.92
2004-02-13,8.229496002197266,8.415229317934593,8.203087680539412,8.385300141027543,4025075,-2.1150206234191615,93.82
2004-02-17,8.28319263458252,8.306080106167261,8.212772462010586,8.230377505153568,4113229,0.6524899261256989,93.94
2004-02-18,8.20396900177002,8.274389159736112,8.191644863793504,8.274389159736112,2771840,-0.95643837234618,93.47
2004-02-19,8.197805404663086,8.2928730667928,8.186363198143425,8.221573273839876,2137498,-0.07512945387292413,93.59
2004-02-20,8.100980758666992,8.211893454534383,8.048165625158203,8.197808503433105,2430131,-1.1811044690206662,92.06
2004-02-23,8.071054458618164,8.164360599874708,8.06489162392151,8.122988433154612,3398003,-0.36941576508264795,92.12
2004-02-24,8.001510620117188,8.063127498004876,7.967180181337171,8.063127498004876,2330163,-0.8616450162434286,91.0
2004-02-25,8.05960464477539,8.082490578902085,7.988303340770233,7.988303340770233,1813056,0.7260382122363795,91.41
2004-02-26,8.005910873413086,8.059607159976306,7.97950407678872,8.059607159976306,2005722,-0.6662085018911079,90.93
2004-02-27,7.939894676208496,8.063129995993839,7.935493414787591,8.005913597522072,2335616,-0.8245932067995398,90.77
2004-03-01,8.145872116088867,8.15379499483457,7.992707649767753,7.997109672912933,1710362,2.5942087178759676,91.82
2004-03-02,8.016475677490234,8.142351417313765,8.009433203237926,8.133549659600748,1584038,-1.5884909160685523,91.38
2004-03-03,7.965421676635742,8.03408257406016,7.88619973559873,8.01647752873731,1413184,-0.6368634161499243,90.26
2004-03-04,7.886197090148926,7.968060218272608,7.845704583990734,7.944293872808744,2356518,-0.9946063084042223,89.53
2004-03-05,7.987429618835449,8.017358046570825,7.822821359001133,7.864194288111982,1687642,1.28366724200919,90.43
2004-03-08,7.854508399963379,7.987426609171838,7.851867186122119,7.987426609171838,986048,-1.6641300795768421,89.99
2004-03-09,7.69342565536499,7.8738789553164334,7.681982677294583,7.853632688763164,2192026,-2.050831654838381,87.95
2004-03-10,7.575468063354492,7.768243121388851,7.5613846400346105,7.737435060689856,3033574,-1.5332258644527363,87.09
2004-03-11,7.570188045501709,7.629165254421527,7.556984261079288,7.5728284972198585,1934835,-0.06969889924458572,86.18
2004-03-12,7.643249034881592,7.677579486302926,7.600997227938853,7.605398489616883,1383194,0.9651145908230907,86.69
2004-03-15,7.5129714012146,7.6441295991974005,7.490964331646076,7.6441295991974005,2309261,-1.7044797712653659,85.55
2004-03-16,7.567546844482422,7.60979864528427,7.5305759465939826,7.534977207632331,1609485,0.726416225396509,85.99
2004-03-17,7.714550495147705,7.727754280362505,7.576350571399779,7.576350571399779,1853952,1.9425535604376876,87.42
2004-03-18,7.592194080352783,7.692543448693844,7.5376181348660936,7.692543448693844,1841229,-1.5860472346623689,86.31
2004-03-19,7.430225372314453,7.653810769832073,7.430225372314453,7.653810769832073,3847859,-2.1333583720874016,85.71
2004-03-22,7.218084335327148,7.380930964086849,7.157347096643142,7.380930964086849,5262861,-2.855109049286142,82.1
2004-03-23,7.156469345092773,7.251537059199871,7.114217536322446,7.226889534987257,2752755,-0.8536197053394812,81.49
2004-03-24,7.022669315338135,7.145904623721424,7.022669315338136,7.094850301128936,2688230,-1.8696374329666643,80.44
2004-03-25,7.124776840209961,7.148543948568036,7.0129845348450255,7.044673758350607,4883891,1.453970282337158,80.35
2004-03-26,7.322836399078369,7.383575182029661,7.1916789567961805,7.1960809812847,3230784,2.7798703497718513,83.26
2004-03-29,7.380932807922363,7.456635418404506,7.354526002820794,7.354526002820794,1600397,0.7933593716678677,84.22
2004-03-30,7.443429946899414,7.452233231394196,7.380931891104931,7.3941364363892434,1340480,0.846737676706244,84.29
2004-03-31,7.467196941375732,7.482161532988038,7.398537579319091,7.429346404355019,1097830,0.31930164784070847,84.56
2004-04-01,7.437267303466797,7.559622941767609,7.408218529724962,7.455751985129548,2184755,-0.4008148994048333,84.86
2004-04-02,7.490961074829102,7.52617267599625,7.451350502991378,7.52617267599625,2328346,0.7219556481084854,85.01
2004-04-05,7.59483528137207,7.59483528137207,7.510330148753286,7.512971363287766,1395008,1.386660610105217,85.84
2004-04-06,7.696063995361328,7.708386609830006,7.548180415085901,7.572827169854669,2273818,1.3328625340636835,87.04
2004-04-07,7.552578926086426,7.720707176301001,7.552578926086426,7.711025016612681,2456486,-1.8643954800971696,86.61
2004-04-08,7.495362281799316,7.609795014193663,7.4610326146640915,7.609795014193663,2038438,-0.7575775751178737,85.26
2004-04-12,7.611558437347412,7.658211492950995,7.504167377201496,7.504167377201496,2212019,1.550240684566373,86.32
2004-04-13,7.4231858253479,7.6353267872217865,7.394137803930869,7.6335675032457475,2651878,-2.4748231725480685,84.69
2004-04-14,7.304348945617676,7.4240633676573085,7.298186876582363,7.423182963092898,3023578,-1.6008878468922738,83.58
2004-04-15,7.36948823928833,7.455752637649553,7.31931432865949,7.40293751304089,2513741,0.891787812379019,83.94
2004-04-16,7.478640079498291,7.493604669915017,7.3439610544946925,7.402937485673618,1560410,1.4811318868527268,84.6
2004-04-19,7.61420202255249,7.62300378327781,7.499768452300735,7.500648094332138,3317120,1.8126549962716343,85.85
2004-04-20,7.629167079925537,7.750641620511858,7.614203245082423,7.614203245082423,2585536,0.1965413752973877,87.32
2004-04-21,7.750635147094727,7.784965576467113,7.605393605002085,7.630041112318551,3886029,1.592153716082656,87.61
2004-04-22,7.892360210418701,7.918768538530538,7.578990284175123,7.578990284175123,2381965,1.8285606357963946,88.39
2004-04-23,7.847466468811035,7.887958217604184,7.727752031780898,7.8800361013636175,1637658,-0.5688252995396992,88.8
2004-04-26,7.6731743812561035,7.935489903626621,7.659970602835572,7.869471011523964,1972096,-2.220998181357481,88.08
2004-04-27,7.668774604797363,7.75767944417806,7.641486640916155,7.711026394544317,2926336,-0.0573397167864198,87.39
2004-04-28,7.538496017456055,7.684618759761229,7.483920853145127,7.675815477158534,1823962,-1.6988188342347388,85.8
2004-04-29,7.316906452178955,7.58175676963268,7.281593280558278,7.560568254540814,2664602,-2.9394399726946796,83.86
2004-04-30,7.233922958374023,7.362816994065431,7.221563497395944,7.362816994065431,2006630,-1.1341335897525284,82.55
2004-05-03,7.309845924377441,7.309845924377441,7.186249793262537,7.2127346785014455,2273818,1.049540704819485,82.01
2004-05-04,7.323089122772217,7.379589293030147,7.252462762225536,7.292189324883532,1815782,0.18116932329053093,82.85
2004-05-05,7.336330413818359,7.389300181438435,7.301017235404975,7.345159473571177,1830323,0.18081564793424043,83.11
2004-05-06,7.167708873748779,7.318672844274241,7.122684424272853,7.318672844274241,4083238,-2.2984452792907617,81.67
2004-05-07,7.036167621612549,7.159764511023674,7.027340092171901,7.133279627253319,3442534,-1.8351924506586847,80.42
2004-05-10,6.897561073303223,6.943468497806046,6.7713168036443285,6.824286555694088,3487066,-1.9699153823961923,77.77
2004-05-11,7.036167621612549,7.112091873266929,6.919634592112671,6.919634592112671,2670054,2.009500848724599,79.75
2004-05-12,7.01762580871582,7.027337081634498,6.8331131535592124,7.01409464542243,1755802,-0.2635214777967354,78.4
2004-05-13,6.9964399337768555,7.0352850400820826,6.946118351158359,7.005268227909966,2228378,-0.30189519242608265,79.29
2004-05-14,6.98319673538208,7.068831485247553,6.886084745298395,6.9655401490303825,2109325,-0.18928481513634798,79.17
2004-05-17,6.788973808288574,6.930226489172925,6.781028498018689,6.930226489172925,1819418,-2.781289636441542,77.16
2004-05-18,6.912571430206299,6.921400489860127,6.778381812829622,6.806631896153914,2404685,1.8205641295423236,38.89
2004-05-19,6.965541839599609,7.1368106157489315,6.912572067688507,6.956714309430626,3269408,0.7662909516108929,39.89
2004-05-20,6.923163890838623,6.963774192525157,6.859600638987367,6.963774192525157,3306669,-0.6083941455934494,39.2
2004-05-21,6.914336204528809,7.025572849158925,6.871959939115305,6.923163732363625,1353658,-0.12750942270045584,39.31
2004-05-24,6.930227279663086,7.036166802410246,6.886085046702388,6.886085046702388,2634611,0.2298279207752385,39.31
2004-05-25,7.18625020980835,7.214500296610972,6.90021282052858,6.939057933250218,3236691,3.694293416560357,39.92
2004-05-26,7.283357620239258,7.301014202110309,7.142104965270847,7.186246419948475,2986771,1.3512945916963615,41.03
2004-05-27,7.329268932342529,7.465224531937021,7.297487680212317,7.318674671532752,1755347,0.6303591625885785,41.77
2004-05-28,7.316906452178955,7.366345810627092,7.2780628815754,7.34515806068455,1675373,-0.16867275955751992,41.44
2004-06-01,7.38400411605835,7.38577008111038,7.302783496356031,7.35575326612289,1633114,0.9170223005845912,41.51
2004-06-02,7.459923267364502,7.491706032180345,7.410485451381997,7.424610104434635,1607667,1.0281569472726515,42.21
2004-06-03,7.491709232330322,7.544678999351628,7.415785746569892,7.502302726644905,1968006,0.4260897039635392,42.43
2004-06-04,7.489941120147705,7.564099384837355,7.4775808992666,7.535848544465178,1542688,-0.0236009183990582,42.6
2004-06-07,7.715949535369873,7.717715500736771,7.534086473714501,7.534086473714501,1146906,3.01749254896293,43.23
2004-06-08,7.680633068084717,7.715946239139895,7.608241526511189,7.671805540470235,1242330,-0.4577073388474795,43.43
2004-06-09,7.6153059005737305,7.707120782103425,7.6153059005737305,7.6453219510048145,1801696,-0.8505440493237426,43.36
2004-06-10,7.6047139167785645,7.677106264620399,7.595886384150026,7.659449669063829,1067386,-0.13908809355075435,43.2
2004-06-14,7.46345853805542,7.636494032079314,7.459926608061459,7.636494032079314,1170534,-1.857471303575109,42.54
2004-06-15,7.558802604675293,7.645319563931305,7.507598049786624,7.507598049786624,1169171,1.2774783451093619,42.87
2004-06-16,7.576460361480713,7.599414078247218,7.463457742456918,7.519958669394117,1001043,0.23360521141930768,42.74
2004-06-17,7.830715179443359,7.867794316859333,7.557037325712276,7.576459876768138,3034029,3.355852282357308,43.99
2004-06-18,7.846604824066162,7.857198314440535,7.760087111021634,7.834245369388138,1747622,0.20291434765133953,44.28
2004-06-21,7.7653913497924805,7.853674351533767,7.7512666816338385,7.80423648267861,804742,-1.035014201614859,44.12
2004-06-22,7.774214744567871,7.800698860622664,7.6806339128004595,7.751261027827694,1236877,0.11362459891510746,43.85
2004-06-23,7.862496376037598,7.8854500889654044,7.742431448156908,7.760088032693796,984230,1.13556975682223,44.34
2004-06-24,7.781277656555176,7.8995766368023554,7.747728916909244,7.851904004780283,1152358,-1.0329889592057717,44.36
2004-06-25,7.8377814292907715,7.8536720589054605,7.740670155723886,7.745966522162295,1402733,0.7261503217019349,44.18
2004-06-28,7.721247673034668,7.8978136092629585,7.694762017450761,7.836014766433394,1237331,-1.4868206941903495,44.26
2004-06-29,7.625898838043213,7.726541997251398,7.569397146856378,7.72477603247079,2657786,-1.2348889587423417,43.22
2004-06-30,7.728308200836182,7.728308200836182,7.541148792672245,7.654151435764199,1868947,1.3429153070072308,43.21
2004-07-01,7.482882022857666,7.760091122584537,7.468756596573881,7.760091122584537,1674918,-3.175677931063381,42.77
2004-07-02,7.369877815246582,7.504068967849729,7.3451596609359475,7.504068967849729,1624026,-1.5101695745822874,41.77
2004-07-06,7.323969841003418,7.392830987530832,7.313376348179523,7.371642471584332,1098285,-0.6229136410944469,41.62
2004-07-07,7.417550086975098,7.435206673936487,7.27100026216569,7.345158539523025,1154630,1.2777257143764986,41.8
