trade_date,close,open,high,low,vol,pct_change,vwap
20241231,131.29,130.99,131.88,130.2,1604821,0.78,131.06
20241230,130.27,129.74,131.1,128.57,1073572,-0.28,130.3
20241227,130.63,130.81,132.17,130.19,968871,-1.04,130.87
20241226,132.0,131.12,132.3,131.0,775635,0.06,131.91
20241224,131.92,130.12,132.09,129.79,1023345,1.08,131.63
20241223,130.51,127.36,130.68,127.0,1565548,1.05,129.94
20241220,129.16,126.71,130.25,126.4,6056856,2.79,128.87
20241219,125.65,129.66,131.33,125.38,2484038,-2.54,126.75
20241218,128.92,136.0,136.91,128.59,2512966,-5.09,131.34
20241217,135.83,137.0,137.76,135.52,2194737,-1.52,136.14
20241216,137.93,139.0,139.94,137.74,2604568,0.46,138.8
20241213,137.3,138.78,139.98,136.01,2001306,-1.71,137.17
20241212,139.69,137.14,140.7,136.92,2180795,1.47,139.78
20241211,137.66,137.3,138.8,136.86,1613240,1.31,137.81
20241210,135.88,136.69,138.96,135.54,1326727,-1.03,137.03
20241209,137.29,137.66,138.53,136.23,1406393,-0.43,137.45
20241206,137.88,138.35,139.7,137.66,1131192,1.07,138.27
20241205,136.42,137.29,138.0,135.97,1379641,-0.97,136.66
20241204,137.75,135.88,137.79,133.57,2098630,0.45,136.13
20241203,137.13,138.35,138.59,136.88,1524117,-0.91,137.39
20241202,138.39,140.12,140.46,137.75,1677314,-1.14,138.66
20241129,139.99,140.09,141.41,139.0,1344161,-0.51,140.4
20241127,140.71,141.11,142.0,140.3,1543226,0.2,140.88
20241126,140.43,139.49,141.05,138.93,2211896,1.25,140.19
20241125,138.69,136.78,140.97,135.55,4551754,2.41,139.23
20241122,135.43,134.31,135.72,132.66,2324198,2.87,134.65
20241121,131.65,132.73,132.77,131.49,2090553,-0.1,132.03
20241120,131.78,131.25,131.97,130.11,1446912,-0.29,131.45
20241119,132.16,131.8,133.42,130.96,1901323,-0.38,132.44
20241118,132.67,129.66,132.84,129.19,1872105,1.87,132.11
20241115,130.23,131.34,132.42,130.02,1659026,-1.34,130.66
20241114,132.0,134.35,135.11,131.3,2215320,-2.62,133.32
20241113,135.55,135.39,136.4,134.76,1551983,1.31,135.68
20241112,133.8,135.0,136.77,133.73,1552635,-1.47,134.49
20241111,135.8,136.73,137.93,135.41,2027114,-0.21,136.38
20241108,136.08,132.75,137.09,131.19,1689729,3.05,135.71
20241107,132.05,129.84,132.71,129.84,2405884,2.05,131.94
20241106,129.4,136.5,136.92,127.91,2591220,-3.95,130.27
20241105,134.72,130.73,134.72,130.29,977609,2.42,133.81
20241104,131.54,130.3,132.45,130.3,1081005,1.04,131.41
20241101,130.18,131.93,132.71,130.08,1183310,-0.6,130.75
20241031,130.97,130.81,132.16,130.1,1776844,-0.8,131.23
20241030,132.02,130.88,133.65,130.88,1462792,0.85,132.48
20241029,130.91,131.2,131.52,129.44,3146904,-0.52,130.23
20241028,131.59,132.78,133.41,131.34,2286053,-0.72,131.86
20241025,132.54,134.66,134.9,131.61,2186080,-0.72,132.69
20241024,133.5,130.63,136.06,129.0,4562512,8.43,134.12
20241023,123.12,121.97,123.37,121.16,1866558,0.32,122.72
20241022,122.73,123.16,123.92,122.64,1151421,-0.64,123.0
20241021,123.52,124.99,126.01,123.38,1901070,-1.72,124.14
20241018,125.68,125.5,125.98,124.66,1500591,0.6,125.61
20241017,124.93,124.16,125.68,122.83,2472286,0.45,124.82
20241016,124.37,122.49,124.57,122.08,1148350,1.3,124.05
20241015,122.77,122.95,123.81,122.39,1619573,0.56,123.03
20241014,122.09,121.24,122.39,120.9,897807,0.13,121.96
20241011,121.93,120.22,122.13,120.15,877261,2.02,121.77
20241010,119.51,119.73,120.66,119.05,1448735,-1.15,119.59
20241009,120.9,120.48,121.81,120.25,907260,-0.11,121.05
20241008,121.03,120.0,121.93,119.7,1487724,1.52,121.13
20241007,119.22,120.13,120.45,118.24,1209091,-1.34,119.21
20241004,120.84,122.74,122.89,120.54,1086832,-1.37,121.12
20241003,122.52,124.55,125.22,122.12,1539113,-1.98,122.79
20241002,124.99,122.81,125.43,122.57,1861319,1.0,124.74
20241001,123.75,124.82,124.97,121.74,1300344,-0.59,123.45
20240930,124.48,123.17,124.84,122.53,1716692,1.06,124.1
20240927,123.17,124.1,124.15,122.89,1742399,-0.25,123.34
20240926,123.48,123.14,123.82,122.06,1734750,0.92,123.27
20240925,122.36,123.5,124.06,121.73,1761590,-0.81,122.67
20240924,123.36,121.81,123.59,121.17,1380876,1.27,122.82
20240923,121.81,122.14,122.83,120.84,1190446,0.17,121.65
20240920,121.6,121.27,122.29,120.75,3501663,-0.73,121.55
20240919,122.49,122.0,122.59,120.7,1830966,1.78,122.0
20240918,120.35,118.8,121.23,117.85,1582737,1.84,119.88
20240917,118.17,119.76,120.79,117.97,1760861,-1.11,119.03
20240916,119.5,119.13,120.52,117.91,1108730,0.71,119.23
20240913,118.66,118.0,119.18,117.1,1270925,1.0,118.67
20240912,117.48,117.11,117.96,116.17,1343861,0.31,117.2
20240911,117.12,115.37,117.41,113.93,1632972,0.27,116.33
20240910,116.8,115.39,117.04,114.71,1239315,1.34,116.42
20240909,115.26,113.78,115.56,112.49,1512150,1.51,114.92
20240906,113.55,114.06,115.24,112.38,1572002,-0.53,113.57
20240905,114.15,114.98,115.34,113.76,1571962,-0.56,114.27
20240904,114.79,115.65,116.66,114.67,1323699,-0.75,115.08
20240903,115.66,114.67,116.1,114.48,1704046,0.45,115.46
20240830,115.14,115.49,115.89,114.28,2467292,0.45,114.99
20240829,114.62,115.46,115.73,114.1,1106680,-0.43,114.76
20240828,115.11,115.36,116.31,114.79,989508,-0.2,115.34
20240827,115.34,115.62,116.43,115.21,992932,-1.18,115.61
20240826,116.72,117.49,118.39,116.54,951451,-0.26,116.99
20240823,117.03,113.86,117.65,113.54,1637954,3.7,116.69
20240822,112.85,112.12,113.16,111.75,795720,0.54,112.73
20240821,112.24,111.81,112.49,110.82,917655,0.66,111.97
20240820,111.5,112.17,112.67,110.76,1116827,-0.89,111.45
20240819,112.5,111.83,112.64,111.25,788580,0.69,112.34
20240816,111.73,111.6,111.92,110.89,1330943,1.05,111.52
20240815,110.57,111.41,112.12,110.38,1006989,0.07,111.0
20240814,110.49,110.58,111.47,109.5,1132320,0.13,110.73
20240813,110.35,108.75,110.76,107.86,1069332,2.3,110.05
20240812,107.87,108.89,109.04,107.54,826539,-1.16,107.96
20240809,109.14,109.06,110.1,107.93,852528,0.42,109.25
20240808,108.68,107.15,109.36,106.27,1290848,2.22,108.48
20240807,106.32,109.19,110.22,106.15,1968853,-1.66,107.59
20240806,108.12,105.98,110.36,105.17,2112799,1.41,108.48
20240805,106.62,108.96,109.44,106.13,2217892,-3.41,107.5
20240802,110.38,111.31,111.88,108.79,1798532,-1.79,110.1
20240801,112.39,112.9,113.53,110.77,2188877,-0.28,111.96
20240731,112.71,112.17,114.51,110.83,2083159,0.63,112.57
20240730,112.0,110.71,112.13,110.26,1957127,1.32,111.34
20240729,110.54,110.9,112.24,109.88,2462471,-0.01,110.95
20240726,110.55,110.0,112.21,108.57,3503941,2.9,110.14
20240725,107.43,104.07,110.55,103.05,4384195,9.29,108.07
20240724,98.3,98.91,99.85,97.85,1914502,-0.87,98.77
20240722,98.77,97.84,98.83,96.38,1317463,0.96,98.11
20240719,97.83,97.48,97.89,96.85,1478210,0.76,97.51
20240718,97.09,97.48,99.56,96.59,1523750,-0.85,97.6
20240717,97.92,96.66,98.36,96.66,1364834,0.71,97.78
20240716,97.23,96.58,97.9,96.14,2414612,1.44,97.2
20240715,95.85,94.65,96.31,94.65,1431761,1.27,95.81
20240712,94.65,93.98,95.48,93.31,1130120,1.64,94.68
20240711,93.12,91.5,93.86,91.18,1173241,3.52,93.07
20240710,89.95,88.93,90.02,88.32,787392,1.33,89.52
20240709,88.77,87.81,89.35,87.81,965873,0.46,88.74
20240708,88.36,87.27,88.56,87.25,1093607,1.32,88.24
20240705,87.21,86.95,87.48,86.19,1073119,-0.21,87.02
20240703,87.39,87.01,87.98,86.46,578558,0.36,87.4
20240702,87.08,86.07,87.09,85.74,849571,1.29,86.67
20240701,85.97,88.77,88.78,85.83,1501761,-3.52,86.35
20240628,89.11,89.09,90.0,88.28,2251388,0.69,88.89
20240627,88.5,88.37,89.34,87.55,1452327,0.37,88.52
20240626,88.17,87.62,88.26,87.1,1356756,-0.15,87.89
20240625,88.3,88.96,89.2,86.88,1381362,-1.08,88.09
20240624,89.26,91.04,91.32,89.07,1943314,-1.24,89.66
20240621,90.38,90.79,90.79,89.9,3747016,0.22,90.39
20240620,90.18,88.67,90.6,88.44,2280970,1.7,90.14
20240618,88.67,88.01,88.93,87.51,1526861,1.49,88.6
20240617,87.37,86.56,87.65,86.09,1422626,0.54,87.12
20240614,86.9,88.2,88.69,86.55,1860365,-2.4,87.17
20240613,89.04,88.77,89.32,88.0,1185052,0.02,88.91
20240612,89.02,89.52,90.54,88.89,1071171,2.16,89.5
20240611,87.14,86.92,87.5,86.43,1142766,-0.55,87.05
20240610,87.62,84.99,87.68,84.68,1889285,2.32,87.04
20240607,85.63,84.77,85.82,84.24,1652156,-0.43,85.36
20240606,86.0,86.02,86.59,85.4,3077718,-0.49,86.03
