,close,high,low,open,vol,pct_change,vwap
2003-12-31,17.979999542236328,18.25,17.84000015258789,18.1200008392334,1114600,,18.04
2004-01-02,18.260000228881836,18.520000457763672,18.06999969482422,18.100000381469727,1080500,1.557289731780953,18.32
2004-01-05,18.56999969482422,18.56999969482422,17.989999771118164,18.260000228881836,1603800,1.6976969444504997,18.27
2004-01-06,18.600000381469727,18.709999084472656,18.239999771118164,18.549999237060547,1678900,0.16155458879123508,18.51
2004-01-07,18.920000076293945,18.940000534057617,18.729999542236328,18.75,4502300,1.7204284315123886,18.82
2004-01-08,18.989999771118164,19.0,18.649999618530273,18.969999313354492,2029300,0.36997724387921593,18.91
2004-01-09,18.780000686645508,19.079999923706055,18.649999618530273,18.799999237060547,942000,-1.1058403739006017,18.89
2004-01-12,18.6200008392334,18.899999618530273,18.549999237060547,18.799999237060547,1625100,-0.8519693373913784,18.65
2004-01-13,18.43000030517578,18.540000915527344,18.18000030517578,18.5,3412100,-1.0204109854671684,18.44
2004-01-14,19.06999969482422,19.479999542236328,18.450000762939453,18.450000762939453,2420100,3.4725956541015623,19.15
2004-01-15,19.1299991607666,19.350000381469727,18.8799991607666,19.219999313354492,1079700,0.3146275139095378,19.14
2004-01-16,19.399999618530273,19.440000534057617,19.290000915527344,19.3799991607666,1571800,1.4113981683669508,19.4
2004-01-20,19.200000762939453,19.469999313354492,19.15999984741211,19.3700008392334,1558800,-1.0309219563065741,19.3
2004-01-21,18.850000381469727,19.139999389648438,18.40999984741211,19.100000381469727,2267700,-1.82291858105188,18.81
2004-01-22,18.479999542236328,19.079999923706055,18.25,18.950000762939453,1244900,-1.962869133929157,18.49
2004-01-23,18.280000686645508,18.469999313354492,18.1200008392334,18.420000076293945,1466200,-1.0822449163687464,18.31
2004-01-26,18.110000610351562,18.290000915527344,17.899999618530273,18.280000686645508,2251800,-0.9299785005923988,18.05
2004-01-27,18.579999923706055,18.690000534057617,18.219999313354492,18.360000610351562,2767900,2.5952473634144546,18.42
2004-01-28,18.309999465942383,18.979999542236328,18.290000915527344,18.649999618530273,1958100,-1.4531779271924616,18.58
2004-01-29,16.850000381469727,17.75,16.0,17.5,7297200,-7.973780049466061,16.69
2004-01-30,16.56999969482422,16.809999465942383,16.399999618530273,16.489999771118164,2095800,-1.6617251056767368,16.61
2004-02-02,16.450000762939453,16.639999389648438,16.020000457763672,16.270000457763672,3163500,-0.7241939293592625,16.35
2004-02-03,16.299999237060547,16.709999084472656,16.200000762939453,16.450000762939453,2306500,-0.9118633369115003,16.5
2004-02-04,15.770000457763672,16.149999618530273,15.729999542236328,16.149999618530273,3148600,-3.2515264055463344,15.89
2004-02-05,15.760000228881836,15.880000114440918,15.699999809265137,15.8100004196167,1690200,-0.06341299043470805,15.78
2004-02-06,15.850000381469727,15.920000076293945,15.699999809265137,15.739999771118164,2488900,0.5710669497514198,15.82
2004-02-09,15.859999656677246,16.350000381469727,15.859999656677246,16.0,2694300,0.06308690830827413,16.01
2004-02-10,16.100000381469727,16.290000915527344,15.949999809265137,16.0,1274400,1.5132454602004852,16.14
2004-02-11,16.110000610351562,16.350000381469727,15.920000076293945,16.049999237060547,1976400,0.06211322139684228,16.12
2004-02-12,15.869999885559082,16.200000762939453,15.8100004196167,16.100000381469727,1345500,-1.4897623569192553,15.96
2004-02-13,15.960000038146973,16.18000030517578,15.819999694824219,15.890000343322754,984400,0.5671087160484811,15.97
2004-02-17,16.229999542236328,16.280000686645508,15.989999771118164,16.0,1294500,1.6917262120552223,16.16
2004-02-18,16.010000228881836,16.329999923706055,15.979999542236328,16.1299991607666,1424600,-1.3555102868732294,16.08
2004-02-19,15.489999771118164,16.06999969482422,15.319999694824219,16.020000457763672,1990500,-3.247972831540613,15.57
2004-02-20,15.170000076293945,15.539999961853027,14.960000038146973,15.5,3942500,-2.065846995174736,15.16
2004-02-23,14.930000305175781,15.300000190734863,14.699999809265137,15.25,1545500,-1.5820683580167527,14.95
2004-02-24,14.649999618530273,14.920000076293945,14.520000457763672,14.649999618530273,3976400,-1.8754231809924304,14.69
2004-02-25,15.0600004196167,15.119999885559082,14.729999542236328,14.75,3952100,2.798640353326909,15.02
2004-02-26,15.100000381469727,15.319999694824219,14.899999618530273,15.0,1600500,0.26560398896751103,15.14
2004-02-27,15.430000305175781,15.5,15.140000343322754,15.329999923706055,1967400,2.1854299031079494,15.35
2004-03-01,15.630000114440918,15.630000114440918,15.350000381469727,15.430000305175781,1947300,1.296175018208201,15.55
2004-03-02,15.640000343322754,15.75,15.529999732971191,15.630000114440918,1548800,0.06398099045819006,15.67
2004-03-03,15.539999961853027,15.770000457763672,15.3100004196167,15.529999732971191,904100,-0.6393886142874727,15.48
2004-03-04,15.600000381469727,15.649999618530273,15.430000305175781,15.600000381469727,834600,0.3861030872843285,15.52
2004-03-05,15.470000267028809,15.649999618530273,15.270000457763672,15.449999809265137,1112000,-0.8333340465512928,15.47
