trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,81.87,82.16,78.58,79.22,6213410,-3.81,79.66
2023-01-04,78.9,79.92,77.64,79.66,4831652,0.56,78.99
2023-01-05,79.37,81.57,78.92,80.99,3301921,1.67,80.75
2023-01-06,81.1,82.89,79.9,81.6,2961694,0.75,81.74
2023-01-09,81.94,83.65,81.22,83.13,3717158,1.88,82.79
2023-01-10,83.8,84.09,79.66,80.23,3567509,-3.49,80.49
2023-01-11,80.49,81.97,79.76,81.25,2817045,1.27,81.09
2023-01-12,81.34,83.64,80.54,83.43,2924317,2.68,82.77
2023-01-13,82.48,84.19,81.88,84.01,2072642,0.7,83.32
2023-01-17,84.45,85.14,83.11,83.13,2764166,-1.05,83.81
2023-01-18,83.86,84.47,81.35,81.81,2650392,-1.59,82.37
2023-01-19,82.55,82.96,80.51,82.54,2256404,0.89,81.97
2023-01-20,82.12,83.64,81.3,83.6,1700289,1.28,83.09
2023-01-23,83.89,84.28,81.96,82.67,2410421,-1.11,82.83
2023-01-24,82.17,83.13,80.07,82.11,2632900,-0.68,81.8
2023-01-25,81.31,82.11,79.92,80.97,2683268,-1.39,80.87
2023-01-26,81.58,82.3,80.1,82.26,2834507,1.59,81.52
2023-01-27,81.89,82.83,80.24,80.31,2923932,-2.37,80.79
2023-01-30,79.53,80.88,79.08,79.94,2546096,-0.46,80.14
2023-01-31,79.92,82.01,79.75,81.88,2171928,2.43,81.43
2023-02-01,81.21,83.77,80.53,82.44,2421644,0.68,82.41
2023-02-02,82.34,84.09,81.58,82.2,3237436,-0.29,82.49
2023-02-03,82.08,83.69,81.83,83.07,2393958,1.06,83.14
2023-02-06,83.26,83.71,82.35,83.12,2104165,0.06,83.11
2023-02-07,83.21,83.58,80.01,81.44,2990813,-2.02,81.52
2023-02-08,81.76,82.26,80.6,81.32,1802130,-0.15,81.42
2023-02-09,82.12,84.35,81.83,83.91,3077579,3.18,83.47
2023-02-10,84.08,88.19,84.08,87.47,4156813,4.24,87.4
2023-02-13,86.32,86.62,83.78,83.96,3286122,-4.01,84.55
2023-02-14,83.45,83.73,81.96,83.06,2117967,-1.07,82.84
2023-02-15,81.99,82.61,81.06,82.56,2441458,-0.6,82.12
2023-02-16,80.92,86.27,79.93,82.85,4259391,0.35,83.94
2023-02-17,81.66,83.59,79.64,79.97,3330551,-3.48,80.76
2023-02-21,78.79,81.78,78.76,81.07,3523412,1.38,80.6
2023-02-22,82.23,84.13,81.62,82.94,3690419,2.31,83.14
2023-02-23,82.19,84.23,81.58,83.79,2489806,1.02,83.06
2023-02-24,83.35,83.5,81.28,83.12,2260312,-0.8,82.85
2023-02-27,83.12,83.98,82.19,82.83,2810887,-0.35,82.84
2023-02-28,83.05,84.96,82.88,83.41,3417562,0.7,83.75
2023-03-01,83.31,84.16,82.44,82.69,2164872,-0.86,83.01
2023-03-02,82.0,84.44,80.84,84.37,2800237,2.03,83.59
