trade_date,close,open,high,low,vol,pct_change,vwap
20241231,342.77,344.48,345.0,341.06,458689.0,-0.12,342.71
20241230,343.18,347.23,347.23,340.98,567111.0,-1.57,343.8
20241227,348.65,349.3,351.13,346.31,543737.0,-0.89,348.12
20241226,351.78,349.14,353.29,349.14,478428.0,-0.12,351.95
20241224,352.19,347.82,352.44,345.9,372905.0,0.78,350.26
20241223,349.47,348.91,354.0,346.57,997716.0,-0.58,349.24
20241220,351.5,347.76,357.05,342.19,2219945.0,-0.36,351.78
20241219,352.77,356.88,361.65,351.28,1247278.0,-1.53,353.89
20241218,358.26,369.67,373.24,357.75,810581.0,-3.44,363.19
20241217,371.03,375.84,377.35,369.84,960980.0,-2.1,371.71
20241216,378.98,379.01,383.89,377.2,994557.0,-0.21,379.52
20241213,379.78,382.8,385.13,376.01,804084.0,-2.23,379.41
20241212,388.45,385.58,390.29,382.3,805743.0,2.63,386.82
20241211,378.49,378.0,380.21,372.65,1138959.0,0.14,376.88
20241210,377.96,368.79,396.24,366.53,1738179.0,3.28,379.79
20241209,365.96,400.77,400.77,365.87,1955596.0,-9.2,375.66
20241206,403.06,405.95,407.61,400.94,825619.0,-0.27,403.86
20241205,404.14,400.0,404.87,396.05,744796.0,0.5,402.55
20241204,402.12,399.21,404.25,397.42,1380356.0,1.13,402.16
20241203,397.61,394.87,398.8,393.11,1187354.0,0.81,396.56
20241202,394.43,395.95,397.74,391.8,1175090.0,-0.64,394.88
20241129,396.97,390.94,397.27,389.96,553485.0,1.84,395.06
20241127,389.81,394.01,396.27,389.31,870163.0,-0.12,392.04
20241126,390.29,388.0,394.38,382.73,1145221.0,1.51,390.98
20241125,384.47,389.68,391.01,382.5,1082376.0,-0.98,384.73
20241122,388.27,385.32,391.99,383.15,1066547.0,1.15,388.74
20241121,383.84,388.52,389.94,383.06,946339.0,-1.36,385.86
20241120,389.12,386.16,389.94,383.95,669592.0,1.11,387.71
20241119,384.84,380.0,389.48,379.22,897023.0,-0.05,385.76
20241118,385.02,386.3,391.32,384.68,854995.0,-1.17,387.06
20241115,389.56,394.71,396.27,387.82,1027689.0,-1.19,389.91
20241114,394.25,402.61,407.61,392.06,1853781.0,-2.95,395.92
20241113,406.22,409.52,415.27,396.97,2845739.0,3.63,408.1
20241112,392.0,395.71,397.51,389.29,1534470.0,-1.02,392.25
20241111,396.04,393.05,401.23,393.0,792500.0,0.59,396.74
