trade_date,close,open,high,low,vol,pct_change,vwap
20241231,60.3,60.15,60.69,59.89,5002949,0.35,60.32
20241230,60.09,59.95,60.63,59.78,4815422,-1.14,60.22
20241227,60.78,61.11,61.15,60.43,4406160,-1.12,60.74
20241226,61.47,61.79,62.11,61.46,4901988,-1.24,61.71
20241224,62.24,61.7,62.43,61.61,2534205,1.07,62.17
20241223,61.58,61.67,61.94,60.96,8403223,-0.47,61.45
20241220,61.87,61.1,62.88,61.1,12228137,0.21,62.01
20241219,61.74,62.01,62.75,61.25,8049418,0.65,61.81
20241218,61.34,64.1,64.15,61.3,9646820,-4.59,62.43
20241217,64.29,64.15,64.87,63.97,7465945,-0.79,64.4
20241216,64.8,64.91,65.35,64.55,7133652,0.33,64.86
20241213,64.59,66.26,66.43,64.22,6197766,-2.37,64.88
20241212,66.16,65.83,66.74,65.41,9923313,0.9,66.34
20241211,65.57,65.31,65.79,64.93,7421223,1.14,65.51
20241210,64.83,64.58,65.11,64.32,7208356,0.39,64.84
20241209,64.58,65.65,65.68,63.74,9992731,-1.25,64.39
20241206,65.4,65.79,66.06,65.12,9873004,0.28,65.56
20241205,65.22,63.91,65.42,63.51,10556551,2.08,64.77
20241204,63.89,62.99,64.14,62.67,12113575,4.84,63.74
20241203,60.94,60.84,60.99,60.41,5925055,0.66,60.79
20241202,60.54,61.56,62.11,60.51,7778500,-1.59,60.89
20241129,61.52,62.1,62.13,61.52,3819961,-0.85,61.67
20241127,62.05,62.55,62.69,61.51,5711074,-1.05,61.92
20241126,62.71,62.07,62.74,61.85,6534676,1.15,62.51
20241125,62.0,62.13,62.59,61.81,13929926,-0.02,62.17
20241122,62.01,60.33,62.43,60.24,11244266,3.38,61.9
20241121,59.98,58.91,60.07,58.71,7465149,1.87,59.73
20241120,58.88,58.96,59.22,58.19,6215434,0.26,58.69
20241119,58.73,58.41,59.05,57.67,9263211,-0.14,58.54
20241118,58.81,58.68,59.38,58.46,5871004,0.31,58.95
20241115,58.63,59.27,59.44,58.52,6715211,-2.14,58.82
20241114,59.91,59.01,60.73,58.79,7423074,1.08,60.07
20241113,59.27,60.89,61.27,59.19,9304496,-2.02,59.98
20241112,60.49,59.29,60.78,59.17,15501973,2.06,60.34
20241111,59.27,58.98,59.38,58.31,12840415,0.78,58.88
20241108,58.81,58.0,59.43,58.0,8146852,1.03,58.99
20241107,58.21,58.0,59.14,57.81,7890586,0.9,58.46
20241106,57.69,57.7,58.26,57.19,10719907,2.69,57.84
20241105,56.18,56.27,56.77,55.88,10276442,-0.35,56.2
20241104,56.38,58.39,58.4,56.37,10696301,-3.77,57.05
20241101,58.59,56.34,58.96,56.25,18881844,5.06,58.24
20241031,55.77,55.17,57.42,55.02,13950270,0.07,56.47
20241030,55.73,57.36,58.0,55.51,28255739,-7.87,56.34
20241029,60.49,60.76,60.79,59.94,21860868,-0.18,60.48
20241028,60.6,59.85,61.25,59.84,11841282,1.95,60.81
20241025,59.44,59.84,59.86,59.23,6009270,0.0,59.49
20241024,59.44,59.27,59.63,58.97,7017594,0.71,59.36
20241023,59.02,59.56,59.58,58.42,9438899,-1.44,58.95
