trade_date,close,open,high,low,vol,pct_change,vwap
20241231,348.6,349.87,351.34,347.41,317383,0.05,348.74
20241230,348.41,348.62,350.54,345.77,366490,-0.78,348.5
20241227,351.15,352.32,355.01,349.39,239427,-0.85,351.07
20241226,354.15,351.96,354.71,351.68,295662,0.08,353.87
20241224,353.85,350.26,353.93,350.11,182030,0.77,352.45
20241223,351.13,349.94,351.99,347.77,466762,-0.07,350.57
20241220,351.38,348.31,355.79,346.27,2030943,0.48,351.55
20241219,349.7,355.01,358.22,349.36,667183,-0.28,351.6
20241218,350.69,362.24,363.73,350.27,643171,-2.92,355.64
20241217,361.23,365.0,366.05,360.48,622445,-1.56,362.18
20241216,366.97,365.63,367.88,363.1,669907,-0.15,366.48
20241213,367.51,368.22,369.96,365.83,576815,-0.83,367.43
20241212,370.57,370.2,372.9,368.13,537509,0.11,370.95
20241211,370.15,380.39,380.39,368.68,1315331,-2.0,372.53
20241210,377.72,379.89,381.53,375.08,638403,-1.49,378.67
20241209,383.42,383.86,387.9,382.71,1017577,1.01,384.74
20241206,379.6,380.39,382.86,379.35,747426,0.27,380.5
20241205,378.57,376.82,381.93,375.27,784568,0.06,379.5
20241204,378.33,377.55,378.88,375.05,505265,0.69,377.6
20241203,375.74,378.39,379.55,371.68,464440,-0.41,375.04
20241202,377.3,377.57,378.81,373.36,562767,0.6,377.06
20241129,375.04,372.44,377.55,372.31,362901,1.08,375.49
20241127,371.03,377.28,379.66,370.13,549521,-1.69,372.38
20241126,377.39,375.67,377.69,373.5,393417,0.56,376.33
20241125,375.27,375.0,377.64,373.89,723971,0.71,375.58
20241122,372.62,366.9,373.35,365.52,407083,1.02,371.42
20241121,368.86,362.2,370.64,360.04,511992,2.19,368.53
20241120,360.95,361.67,363.06,357.73,481409,-0.25,360.64
20241119,361.86,359.52,364.93,358.12,418969,-0.59,362.12
20241118,364.02,362.03,365.86,361.66,476035,0.6,364.08
20241115,361.85,362.92,365.33,360.28,530828,-0.52,362.19
20241114,363.73,365.21,367.0,361.59,620550,-0.71,363.67
20241113,366.34,360.05,367.08,359.37,960102,3.17,365.2
20241112,355.08,358.79,359.69,354.69,472169,-0.93,355.86
20241111,358.43,360.18,360.18,357.0,523441,0.55,358.86
20241108,356.46,351.94,357.1,351.61,733399,0.49,354.97
20241107,354.72,357.01,360.23,354.22,625794,-0.36,356.1
20241106,356.01,365.23,370.21,352.89,1150843,0.44,357.48
20241105,354.46,328.0,356.69,325.67,1342422,8.86,351.79
20241104,325.62,329.83,330.38,324.74,686483,-0.88,326.29
20241101,328.51,328.82,331.51,328.26,387137,-0.14,329.31
20241031,328.98,330.01,331.0,327.33,624668,-0.86,329.06
20241030,331.84,329.44,333.98,327.95,514866,0.21,332.3
20241029,331.14,333.93,334.01,329.99,335750,-1.05,331.61
20241028,334.66,331.74,335.56,329.6,588192,1.67,334.14
20241025,329.17,334.36,334.74,328.26,604384,-1.0,329.88
20241024,332.48,332.14,333.26,329.41,474532,0.76,331.95
20241023,329.97,330.14,333.12,328.78,388348,-0.22,330.37
20241022,330.7,331.69,332.86,326.46,569803,-0.88,330.31
20241021,333.63,335.15,337.0,333.09,465386,-0.56,334.19
20241018,335.51,335.0,340.82,333.08,1533591,0.76,335.6
20241017,332.99,335.0,335.0,332.0,474249,-0.26,333.07
20241016,333.87,333.67,335.0,331.24,716854,0.36,333.36
20241015,332.68,337.39,339.78,332.24,545303,-1.68,334.95
20241014,338.37,335.25,338.78,333.61,439574,0.68,337.57
20241011,336.07,333.73,337.6,333.03,407302,0.97,336.04
