trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,89.78,92.62,89.54,90.08,2619445,0.01,90.42
2023-01-04,91.62,94.93,91.3,92.82,3177540,3.04,93.32
2023-01-05,89.63,91.43,88.69,91.06,3406616,-1.9,90.61
2023-01-06,91.39,94.72,91.28,94.05,3668605,3.28,93.44
2023-01-09,94.8,96.34,93.58,94.42,4384129,0.39,95.1
2023-01-10,93.6,95.47,92.39,95.44,3196205,1.08,94.16
2023-01-11,96.15,99.49,95.75,98.63,4095117,3.34,98.05
2023-01-12,99.43,99.63,96.58,97.88,2581752,-0.76,97.72
2023-01-13,96.32,100.15,95.56,99.65,3229379,1.81,98.95
2023-01-17,99.8,101.1,99.19,100.41,3493422,0.76,100.39
2023-01-18,100.14,101.39,98.68,98.73,2670947,-1.67,99.26
2023-01-19,94.29,95.51,91.09,94.87,5115563,-3.91,93.91
2023-01-20,95.97,101.09,95.81,100.94,4136707,6.4,99.56
2023-01-23,101.05,104.01,100.57,103.79,3567350,2.82,103.25
2023-01-24,102.47,105.51,102.47,103.2,3621418,-0.57,104.12
2023-01-25,101.68,113.05,99.91,112.48,10490270,8.99,109.31
2023-01-26,112.88,114.17,110.97,112.46,4884024,-0.02,112.37
2023-01-27,113.67,115.73,112.84,113.93,3612448,1.31,114.51
2023-01-30,112.82,113.8,111.43,111.43,4310801,-2.19,112.54
2023-01-31,112.46,115.32,111.23,115.3,4298582,3.47,114.23
2023-02-01,109.49,114.04,108.45,112.71,6732359,-2.25,111.7
2023-02-02,114.53,119.26,113.86,118.03,5893539,4.72,117.86
2023-02-03,115.67,119.81,114.66,118.25,3205720,0.19,118.26
2023-02-06,116.48,116.9,114.29,114.55,2541933,-3.13,114.91
2023-02-07,114.46,117.76,114.27,116.94,2953622,2.09,116.48
2023-02-08,115.4,116.19,114.11,114.14,2322250,-2.39,114.85
2023-02-09,114.61,115.44,111.91,112.56,2180322,-1.38,113.19
2023-02-10,111.98,112.77,111.15,112.36,1666613,-0.18,112.02
2023-02-13,111.95,114.45,111.46,114.29,2157400,1.72,113.66
2023-02-14,113.38,114.31,111.23,112.32,2831086,-1.72,112.37
2023-02-15,110.77,112.84,109.99,111.62,2097163,-0.62,111.81
2023-02-16,109.93,110.73,108.58,108.62,2284435,-2.69,109.48
2023-02-17,107.98,108.53,106.35,108.25,2651615,-0.34,107.77
2023-02-21,107.44,107.44,104.98,105.31,3325311,-2.72,105.69
2023-02-22,105.72,106.6,104.97,105.74,2120176,0.41,105.67
2023-02-23,106.7,107.99,104.47,106.63,2031039,0.84,106.09
2023-02-24,104.73,106.87,104.45,106.76,1932037,0.12,105.91
2023-02-27,108.08,108.66,105.96,106.16,1792413,-0.56,106.68
2023-02-28,106.56,107.68,106.14,106.21,2777526,0.05,106.71
2023-03-01,106.61,106.93,105.25,105.73,1976205,-0.45,106.02
2023-03-02,103.88,105.68,103.06,105.35,2178733,-0.36,104.61
2023-03-03,106.28,107.47,105.38,106.89,1725484,1.46,106.82
2023-03-06,106.75,107.36,105.25,105.65,1758656,-1.16,106.06
2023-03-07,105.05,105.59,102.4,102.74,2823060,-2.75,103.2
2023-03-08,103.26,103.97,101.48,102.18,2338535,-0.55,102.32
2023-03-09,101.93,102.32,97.97,98.29,2790606,-3.81,99.24
2023-03-10,97.0,98.76,93.92,95.61,5669086,-2.73,95.92
2023-03-13,92.19,93.55,88.24,90.87,7336442,-4.96,91.43
2023-03-14,94.37,96.59,91.65,93.55,5396238,2.95,93.45
2023-03-15,89.13,90.59,87.21,90.49,6946199,-3.27,89.37
2023-03-16,88.5,92.12,87.09,91.1,3983691,0.67,90.47
2023-03-17,90.18,90.21,87.08,87.35,6716512,-4.12,87.84
2023-03-20,88.57,91.14,87.29,87.87,4952734,0.6,88.8
2023-03-21,91.43,93.32,90.9,92.07,4360699,4.78,92.37
2023-03-22,92.31,92.89,88.57,88.62,2689854,-3.75,90.41
2023-03-23,88.94,90.39,85.97,87.55,4584145,-1.21,88.03
2023-03-24,85.78,88.27,84.56,88.07,3069230,0.59,86.74
2023-03-27,90.83,91.32,88.25,89.34,2466911,1.44,89.31
2023-03-28,88.33,89.96,88.31,88.73,1941800,-0.68,89.01
2023-03-29,90.52,91.76,89.84,91.65,2629821,3.29,90.94
2023-03-30,93.01,93.79,91.48,91.7,3410907,0.05,92.26
2023-03-31,92.44,93.83,91.55,93.63,2534044,2.1,93.07
2023-04-03,93.53,94.82,92.75,93.79,2060463,0.17,93.74
2023-04-04,94.89,95.37,92.55,94.09,2927152,0.32,93.66
2023-04-05,93.09,93.09,90.5,92.35,2853837,-1.85,91.52
2023-04-06,92.41,93.17,91.89,92.43,2045893,0.09,92.48
2023-04-10,90.95,92.93,90.02,92.72,2422007,0.31,92.22
2023-04-11,93.6,96.54,93.05,95.84,2899840,3.36,95.28
2023-04-12,96.68,96.88,92.8,93.17,3419221,-2.79,93.91
2023-04-13,93.05,93.99,92.05,93.36,2438938,0.2,93.42
2023-04-14,95.21,95.91,93.4,94.04,2752929,0.73,94.15
2023-04-17,93.0,95.29,91.53,95.26,2505449,1.3,94.21
