trade_date,close,open,high,low,vol,pct_change,vwap
20241231,91.93,91.54,92.57,91.23,803804,0.55,91.99
20241230,91.43,92.08,92.96,91.06,835615,-0.99,91.55
20241227,92.34,91.85,92.81,91.7,671742,-0.29,92.24
20241226,92.61,92.26,92.69,91.93,760843,-0.22,92.47
20241224,92.81,92.2,92.81,91.39,451163,0.31,92.22
20241223,92.52,92.72,93.44,91.91,961607,-0.98,92.43
20241220,93.44,92.42,94.71,92.28,2784782,1.64,93.49
20241219,91.93,92.35,92.72,91.22,1639443,-0.5,91.92
20241218,92.39,94.43,94.92,92.27,1513262,-2.22,93.35
20241217,94.49,93.79,96.09,93.42,1938489,0.54,94.53
20241216,93.98,94.76,96.14,93.85,1945779,-0.92,94.6
20241213,94.85,96.41,96.73,94.78,1387406,-1.93,95.23
20241212,96.72,99.41,99.41,96.63,1731922,-2.58,97.57
20241211,99.28,99.35,100.47,98.58,1171699,0.2,99.21
20241210,99.08,99.6,100.08,97.87,1552150,-0.18,99.12
20241209,99.26,98.6,100.37,98.6,1720500,0.57,99.54
20241206,98.7,99.39,101.53,97.24,3660082,-4.39,99.13
20241205,103.23,103.57,104.47,103.02,1842869,-1.67,103.64
20241204,104.98,103.45,106.63,102.8,1876983,1.64,105.32
20241203,103.29,102.74,104.0,101.4,1307381,0.28,103.09
20241202,103.0,104.13,104.86,102.75,1763757,-1.4,103.33
20241129,104.46,103.48,104.71,103.34,740330,1.0,104.3
20241127,103.43,102.02,103.55,101.78,1207790,0.77,103.13
20241126,102.64,102.75,103.49,101.09,1300567,0.23,102.21
20241125,102.4,101.76,103.32,101.47,3084275,1.59,102.54
20241122,100.8,99.95,101.19,99.5,1122679,0.89,100.51
20241121,99.91,99.08,100.04,98.13,990449,0.84,99.61
20241120,99.08,98.7,99.18,97.98,876205,0.03,98.85
20241119,99.05,98.94,99.9,98.0,843459,-0.43,99.12
20241118,99.48,99.28,99.96,98.91,895851,-0.15,99.44
20241115,99.63,100.4,100.96,98.93,1415076,-0.23,99.65
20241114,99.86,101.38,101.72,99.66,1321211,-1.98,100.6
20241113,101.88,102.38,103.89,101.62,1732088,-0.12,102.26
20241112,102.0,103.5,103.59,99.77,1797887,-1.5,101.56
20241111,103.55,103.8,104.81,102.87,877672,-0.19,103.63
20241108,103.75,103.45,104.57,102.99,679183,0.41,103.96
20241107,103.33,104.37,104.37,102.25,1124888,-0.43,103.13
20241106,103.78,107.84,107.84,101.36,1231483,-1.36,102.92
20241105,105.21,103.97,105.54,103.25,632510,0.33,105.03
20241104,104.86,106.06,106.38,104.57,690784,-0.94,105.14
20241101,105.85,104.92,106.26,104.92,714025,1.12,105.83
20241031,104.68,105.03,105.38,104.45,1131593,-0.49,104.81
20241030,105.2,103.96,105.83,103.96,1414455,0.64,104.98
20241029,104.53,105.12,105.44,104.41,831248,-0.93,104.69
20241028,105.51,108.01,108.01,105.42,939638,-2.14,105.81
20241025,107.82,107.44,108.32,107.05,3270373,0.48,107.67
20241024,107.3,105.8,109.04,105.45,3239608,1.88,107.75
20241023,105.32,105.61,106.21,104.7,902683,-0.48,105.25
20241022,105.83,106.4,106.48,105.21,1999677,-0.83,105.67
20241021,106.72,107.95,108.38,106.6,764905,-1.42,107.03
20241018,108.26,106.78,108.55,106.54,714679,1.39,107.94
20241017,106.78,108.46,108.73,106.6,1167078,-1.64,107.42
20241016,108.56,108.53,109.03,107.95,683573,0.01,108.67
20241015,108.55,107.46,109.37,107.46,828898,0.81,108.59
20241014,107.68,106.93,107.75,106.73,509389,0.88,107.46
20241011,106.74,106.53,107.22,106.15,876976,0.41,106.77
20241010,106.3,105.49,106.51,105.49,674415,-0.47,106.17
20241009,106.8,105.6,106.91,105.08,434315,1.13,106.57
20241008,105.61,105.18,105.94,105.06,661299,0.11,105.6
20241007,105.49,106.48,106.83,104.91,1151069,-0.41,105.51
20241004,105.92,107.37,108.06,105.01,1047380,-0.98,106.05
20241003,106.97,107.23,107.56,106.45,2000104,-0.77,106.94
20241002,107.8,107.54,108.88,106.77,1076940,-0.52,107.84
20241001,108.36,109.84,110.13,108.25,1175946,-1.79,108.94
20240930,110.34,109.98,110.68,109.63,766616,0.51,110.25
20240927,109.78,110.08,111.44,109.48,644811,0.22,110.13
20240926,109.54,108.77,109.8,108.04,784365,1.04,109.36
20240925,108.41,110.21,110.21,108.29,1465726,-1.31,108.66
20240924,109.85,110.25,110.5,109.07,961031,0.04,109.65
20240923,109.81,110.51,111.0,109.35,684842,-0.62,109.83
