trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,162.19,162.44,160.32,161.75,1940864,-0.86,161.37
2023-01-04,162.17,162.36,159.35,160.35,1912395,-0.87,160.77
2023-01-05,159.96,160.88,158.73,160.56,1610079,0.13,160.07
2023-01-06,162.09,163.89,161.32,163.15,1216371,1.61,163.07
2023-01-09,163.64,165.13,162.39,162.42,1323620,-0.45,163.39
2023-01-10,163.26,165.35,162.35,164.67,1126569,1.39,164.39
2023-01-11,165.11,166.23,162.21,162.83,1225794,-1.12,163.01
2023-01-12,162.71,163.4,161.58,162.35,1041570,-0.29,162.32
2023-01-13,161.78,163.44,161.62,161.74,1390667,-0.38,162.25
2023-01-17,161.74,162.78,161.2,161.62,1264602,-0.07,161.82
2023-01-18,161.47,161.98,160.4,160.43,1139780,-0.74,160.84
2023-01-19,160.44,161.96,159.8,160.42,1357951,-0.01,160.57
2023-01-20,161.35,161.78,158.78,159.7,1612858,-0.45,159.82
2023-01-23,160.19,161.03,158.98,159.22,1107649,-0.3,159.94
2023-01-24,159.54,159.54,155.2,158.93,1087757,-0.18,157.97
2023-01-25,158.78,160.95,158.74,160.93,1110286,1.26,159.97
2023-01-26,161.2,162.65,160.28,162.36,1067295,0.89,161.71
2023-01-27,163.05,164.08,161.14,161.62,1626610,-0.46,162.16
2023-01-30,161.92,163.7,161.85,162.75,1175801,0.7,163.05
2023-01-31,164.59,166.55,163.32,166.35,2114641,2.21,165.37
2023-02-01,165.55,165.97,157.72,158.56,2352102,-4.68,160.83
2023-02-02,159.0,159.32,155.28,156.02,2643082,-1.6,156.42
2023-02-03,156.89,157.25,153.49,154.31,1501519,-1.1,154.51
2023-02-06,154.79,155.15,151.79,152.1,1560018,-1.43,152.89
2023-02-07,151.85,154.85,150.65,154.37,1511588,1.49,153.59
2023-02-08,154.04,156.04,153.38,155.41,1009532,0.67,155.36
2023-02-09,155.74,156.15,153.03,153.09,1057677,-1.49,153.93
2023-02-10,153.8,157.21,153.51,157.05,1313638,2.59,156.59
2023-02-13,156.92,157.93,156.19,156.64,1419456,-0.26,156.71
2023-02-14,157.3,158.23,155.05,155.41,1100701,-0.79,156.04
2023-02-15,154.66,157.28,154.06,156.84,1483645,0.92,156.26
2023-02-16,156.19,158.85,155.5,158.48,1609315,1.05,157.91
2023-02-17,158.7,161.56,157.97,159.48,1991204,0.63,159.98
2023-02-21,158.8,159.91,158.18,158.84,1239353,-0.4,159.2
2023-02-22,158.99,159.6,157.27,158.14,945262,-0.44,158.09
2023-02-23,157.86,159.31,156.52,157.52,848539,-0.39,157.67
2023-02-24,157.21,157.72,153.41,156.6,1101181,-0.58,156.52
2023-02-27,156.89,157.35,153.66,154.68,1010208,-1.23,154.88
2023-02-28,154.06,154.67,152.84,153.63,1852890,-0.68,153.67
2023-03-01,153.14,154.92,152.6,154.57,965535,0.61,154.29
2023-03-02,154.55,154.83,152.8,152.98,1360461,-1.03,153.43
2023-03-03,153.61,154.49,151.74,154.21,1315950,0.8,153.73
2023-03-06,153.58,154.93,152.72,154.52,1143890,0.2,154.14
2023-03-07,154.86,155.19,151.22,151.31,1400154,-2.08,151.91
2023-03-08,151.56,151.76,148.73,149.97,1544480,-0.89,149.74
2023-03-09,150.68,150.89,147.3,148.14,1381955,-1.22,148.31
2023-03-10,148.39,150.77,147.24,147.74,1071840,-0.27,148.54
2023-03-13,146.96,149.95,146.22,146.53,1363006,-0.82,147.24
2023-03-14,147.5,148.71,145.65,147.44,1005531,0.62,147.14
2023-03-15,146.25,148.22,145.65,147.75,1404224,0.21,147.33
2023-03-16,147.44,150.63,147.22,150.16,1158948,1.63,149.58
2023-03-17,149.97,150.65,148.53,150.13,2946209,-0.02,149.89
2023-03-20,151.01,152.49,150.97,151.95,1031362,1.21,151.68
2023-03-21,152.76,154.6,152.58,154.1,1173197,1.41,153.67
2023-03-22,154.37,154.96,151.5,151.53,722121,-1.67,153.43
2023-03-23,151.47,151.76,148.67,149.05,830624,-1.64,150.04
2023-03-24,148.98,154.64,148.38,154.47,1179811,3.64,153.3
2023-03-27,155.53,156.47,154.15,154.74,814743,0.17,154.92
2023-03-28,154.78,156.58,154.78,156.04,852780,0.84,155.94
2023-03-29,156.64,157.25,155.68,157.0,638096,0.62,156.62
2023-03-30,157.6,157.74,156.04,157.36,495077,0.23,156.94
2023-03-31,158.33,159.0,156.94,158.12,1310347,0.48,157.74
2023-04-03,159.0,161.19,158.51,160.26,1024322,1.35,160.44
2023-04-04,160.09,161.09,159.02,160.95,846986,0.43,160.39
2023-04-05,161.93,165.84,161.62,165.28,1451310,2.69,164.77
2023-04-06,165.91,166.72,163.83,164.28,870166,-0.61,164.56
2023-04-10,163.79,165.37,163.73,164.31,641439,0.02,164.36
2023-04-11,165.26,165.26,164.03,164.48,676516,0.1,164.45
2023-04-12,163.94,164.58,162.35,163.36,798093,-0.68,163.66
2023-04-13,163.67,165.36,163.38,165.3,703646,1.19,164.8
2023-04-14,165.11,165.62,164.46,165.05,781815,-0.15,164.96
2023-04-17,164.98,165.32,163.93,165.3,724213,0.15,164.93
2023-04-18,165.41,165.91,164.13,165.33,730254,0.02,165.06
2023-04-19,165.39,165.47,161.94,162.44,1086456,-1.75,162.85
2023-04-20,162.32,164.01,161.94,163.9,1223693,0.9,162.93
2023-04-21,164.93,165.74,163.72,164.66,788236,0.46,164.71
2023-04-24,164.71,166.12,164.3,165.63,504179,0.59,165.57
2023-04-25,165.82,166.54,165.13,166.0,565197,0.22,165.9
2023-04-26,164.96,165.84,163.18,163.43,885698,-1.55,163.74
2023-04-27,162.94,165.52,162.94,165.33,636622,1.16,164.76
2023-04-28,165.01,165.71,163.56,164.78,985852,-0.33,164.45
2023-05-01,165.1,165.33,162.73,164.72,1509285,-0.04,164.08
2023-05-02,166.41,168.96,164.37,167.06,1776743,1.42,167.37
2023-05-03,167.59,168.51,164.19,164.82,1390494,-1.34,165.44
2023-05-04,164.76,165.81,163.73,164.52,958429,-0.18,164.76
2023-05-05,165.47,167.27,162.99,165.9,1012871,0.84,165.85
2023-05-08,165.47,166.78,164.7,166.12,750804,0.13,165.93
2023-05-09,167.41,171.48,166.05,166.16,1190410,0.02,167.56
2023-05-10,166.2,167.49,164.95,167.39,822894,0.74,166.69
2023-05-11,167.3,170.5,167.3,169.8,1165572,1.44,169.43
2023-05-12,170.18,170.22,168.04,169.35,2355263,-0.27,169.28
2023-05-15,169.31,171.92,168.95,171.68,1810277,1.38,170.96
2023-05-16,171.72,173.1,171.28,172.93,1374312,0.73,172.57
2023-05-17,173.3,173.67,171.59,173.11,1784162,0.1,172.95
2023-05-18,172.57,173.54,169.72,173.14,1648604,0.02,172.33
2023-05-19,173.45,174.93,171.44,171.73,1772068,-0.81,172.26
2023-05-22,172.27,172.27,168.18,170.6,1651886,-0.66,170.28
2023-05-23,170.06,170.56,168.03,169.62,1348739,-0.57,169.59
2023-05-24,169.87,170.49,169.03,169.42,1552402,-0.12,169.73
2023-05-25,168.44,169.29,166.62,168.54,1914709,-0.52,168.31
2023-05-26,168.28,169.61,166.58,166.8,1018256,-1.03,167.43
2023-05-30,165.82,166.84,163.16,164.42,1639874,-1.43,165.29
2023-05-31,162.39,169.17,161.8,168.52,5084934,2.49,167.72
2023-06-01,168.93,171.61,168.55,170.93,1539467,1.43,170.57
2023-06-02,171.3,173.66,170.72,172.85,1865062,1.12,172.69
2023-06-05,173.22,173.97,172.02,173.01,1226131,0.09,172.92
2023-06-06,173.35,173.96,171.36,172.7,992869,-0.18,172.5
2023-06-07,172.43,173.73,171.36,171.92,1054790,-0.45,172.38
2023-06-08,172.2,174.99,170.63,174.76,1066060,1.65,174.04
2023-06-09,174.93,176.56,174.3,176.51,793799,1.0,175.98
2023-06-12,176.45,177.66,175.52,177.6,843565,0.62,177.16
2023-06-13,176.73,178.83,176.44,178.07,1273252,0.26,177.68
2023-06-14,177.45,178.56,175.46,177.33,1097099,-0.42,177.39
2023-06-15,177.86,180.45,176.84,180.15,1154101,1.59,179.48
2023-06-16,179.46,181.68,178.79,181.26,2001124,0.62,180.8
2023-06-21,183.69,185.0,183.23,184.05,1728991,0.73,184.09
2023-06-22,184.41,186.08,183.33,186.07,1690725,1.1,185.35
2023-06-23,186.39,186.94,185.06,185.87,2244518,-0.11,186.15
2023-06-26,185.6,186.47,184.65,185.96,1535611,0.05,185.82
2023-06-27,183.27,187.29,181.91,186.97,1412745,0.54,186.47
