trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,443.09,443.86,433.32,438.52,1978075,-0.71,437.68
2023-01-04,442.29,444.55,437.85,441.69,2097322,0.72,441.3
2023-01-05,439.74,441.57,434.98,435.53,2169298,-1.39,437.12
2023-01-06,448.0,468.65,447.17,467.15,5174492,7.26,463.7
2023-01-09,467.21,471.02,462.57,463.16,2384764,-0.85,466.3
2023-01-10,461.6,466.39,460.0,465.73,1649860,0.55,464.71
2023-01-11,464.69,468.74,463.51,468.54,1576394,0.6,466.82
2023-01-12,469.2,469.21,463.16,466.72,1628205,-0.39,466.13
2023-01-13,465.23,469.78,463.4,469.45,1405912,0.58,467.36
2023-01-17,469.33,474.51,468.59,470.92,1539915,0.31,470.9
2023-01-18,469.02,472.9,462.94,463.86,1925470,-1.5,465.83
2023-01-19,460.73,462.01,452.83,454.2,1919451,-2.08,455.54
2023-01-20,458.49,464.68,454.18,464.48,2588637,2.26,460.66
2023-01-23,464.32,479.11,462.05,476.57,2709439,2.6,475.03
2023-01-24,476.03,477.53,471.15,476.09,1510226,-0.1,474.38
2023-01-25,473.43,475.92,468.72,474.9,1329768,-0.25,473.19
2023-01-26,477.14,482.43,475.76,482.08,1576405,1.51,480.2
2023-01-27,483.49,492.52,481.65,486.9,2034069,1.0,488.12
2023-01-30,484.08,489.14,484.08,486.89,1855941,0.0,487.08
2023-01-31,486.84,494.76,485.65,494.5,1924081,1.56,491.97
2023-02-01,491.76,503.5,488.29,501.05,2080208,1.32,496.7
2023-02-02,508.1,513.68,504.56,507.27,2287366,1.24,507.74
2023-02-03,503.1,505.45,496.68,498.9,1844148,-1.65,500.58
2023-02-06,498.56,501.25,496.45,499.67,1740105,0.15,499.23
2023-02-07,496.18,502.0,491.73,500.58,1927275,0.18,497.38
2023-02-08,495.5,496.37,486.07,488.25,2062928,-2.46,489.87
2023-02-09,489.69,493.44,483.03,485.17,1517341,-0.63,487.31
2023-02-10,483.12,485.09,480.08,484.55,1536847,-0.13,483.07
2023-02-13,486.25,491.14,485.87,490.81,1452837,1.29,489.53
2023-02-14,489.42,492.17,483.23,487.68,1257327,-0.64,487.53
2023-02-15,487.21,495.63,485.86,495.49,1423417,1.6,492.47
2023-02-16,488.06,494.96,488.05,488.54,1455951,-1.4,490.58
2023-02-17,488.7,492.03,486.34,491.81,1340437,0.67,489.84
2023-02-21,485.36,488.43,481.22,486.25,1811982,-1.13,485.82
2023-02-22,488.36,489.85,481.27,482.03,1331969,-0.87,484.72
2023-02-23,483.4,483.45,472.8,477.91,1546431,-0.85,477.65
2023-02-24,473.49,475.21,469.73,473.52,1587611,-0.92,472.56
2023-02-27,477.34,477.78,470.68,471.99,1501749,-0.32,472.53
2023-02-28,470.61,473.79,468.84,469.23,1918221,-0.58,470.45
2023-03-01,466.25,467.67,460.35,463.89,1759327,-1.14,463.72
2023-03-02,462.62,472.38,460.88,470.69,2407400,1.47,468.89
2023-03-03,460.17,461.3,450.96,460.59,5354215,-2.15,456.64
2023-03-06,461.81,473.72,460.84,468.16,3104742,1.64,469.11
2023-03-07,471.09,479.92,470.02,470.17,2659077,0.43,472.6
