trade_date,close,open,high,low,vol,pct_change,vwap
20241231,342.16,351.86,351.86,339.72,2217252,-2.05,344.1
20241230,349.31,347.61,352.88,344.34,2420813,-1.6,349.34
20241227,354.99,361.15,361.92,349.85,3327555,-2.76,354.41
20241226,365.08,365.75,366.64,361.94,1180282,-0.19,364.84
20241224,365.79,361.07,366.0,359.26,1289523,1.19,363.84
20241223,361.5,358.49,365.73,354.23,2699874,-0.22,360.29
20241220,362.29,347.0,365.44,345.05,5168242,3.21,359.74
20241219,351.03,364.93,365.0,349.75,4375856,0.53,353.87
20241218,349.18,376.42,379.18,345.47,4752453,-7.24,358.47
20241217,376.42,386.75,388.0,373.24,3812422,-3.03,378.6
20241216,388.2,368.76,389.0,364.89,5142707,5.48,381.89
20241213,368.02,366.0,370.29,361.52,3107106,0.69,366.89
20241212,365.5,360.47,365.84,357.55,2189780,0.7,363.65
20241211,362.97,348.19,364.9,348.19,3510971,4.67,360.27
20241210,346.77,353.6,357.26,344.6,2391006,-1.93,350.61
20241209,353.6,365.65,366.59,351.77,2832101,-3.3,356.73
20241206,365.65,364.0,371.27,360.99,3224161,0.22,366.38
20241205,364.84,361.2,366.25,358.6,3167281,0.19,363.5
20241204,364.16,353.1,366.44,348.5,4990246,4.06,360.82
20241203,349.95,345.0,351.95,343.4,3257184,0.91,349.5
20241202,346.8,344.9,354.34,336.56,5395281,0.24,346.57
20241129,345.97,349.5,350.16,344.72,2424925,-0.47,347.44
20241127,347.59,359.22,359.22,340.52,10737551,-4.59,346.26
20241126,364.3,363.0,367.35,359.25,6171715,0.17,363.89
20241125,363.68,375.0,377.42,360.78,4970301,-2.3,366.23
20241122,372.26,359.68,372.56,357.95,3400683,4.11,367.74
20241121,357.55,354.5,362.4,351.5,4478125,2.11,358.65
20241120,350.15,357.31,357.31,344.47,2476533,-0.89,348.41
20241119,353.29,341.54,354.34,338.53,2843031,3.01,348.76
20241118,342.97,339.97,347.3,336.75,2378295,1.85,342.68
20241115,336.75,340.4,343.01,332.75,3453228,-2.21,336.35
20241114,344.36,347.89,351.09,343.53,2559772,-1.01,346.85
20241113,347.88,345.6,359.45,344.09,4732106,1.28,352.95
20241112,343.5,339.81,343.89,336.53,2927574,0.32,340.81
20241111,342.42,334.0,342.79,331.88,3297693,3.75,338.52
20241108,330.03,330.55,333.15,323.24,2816032,-0.23,327.79
20241107,330.78,322.5,333.22,320.45,3521052,3.37,328.1
20241106,320.0,317.17,324.66,316.75,4197320,4.04,319.83
20241105,307.58,300.0,308.89,298.62,2231827,2.91,305.68
20241104,298.88,300.52,302.93,295.08,2285518,-1.4,299.83
20241101,303.13,296.79,304.38,295.71,2968057,2.11,301.67
20241031,296.87,306.12,307.41,294.68,3445665,-3.44,297.87
20241030,307.45,311.5,315.48,307.14,2056552,-1.12,310.38
20241029,310.94,303.24,313.15,300.4,3148546,3.19,309.68
20241028,301.32,301.15,305.0,295.31,3378638,0.23,301.48
20241025,300.62,305.22,311.35,295.13,6021387,-1.26,301.61
20241024,304.47,302.11,305.91,301.0,1977322,1.73,303.94
20241023,299.3,307.14,308.07,298.32,3061654,-2.99,301.55
20241022,308.51,309.0,311.56,304.26,2250351,-0.34,308.03
20241021,309.55,309.66,317.0,308.11,3274459,-0.19,310.98
20241018,310.15,310.34,313.88,306.81,2878665,-0.06,310.51
20241017,310.34,310.0,313.74,306.24,3039647,1.34,310.61
20241016,306.24,303.85,307.21,299.27,2872826,1.3,304.79
20241015,302.31,309.55,310.52,300.69,3752682,-2.64,304.36
20241014,310.52,321.57,323.94,309.6,4420500,-3.03,313.32
20241011,320.21,314.92,322.59,313.0,4536652,1.68,318.7
20241010,314.92,297.72,315.53,297.0,7828082,5.56,310.87
20241009,298.34,293.74,298.77,292.5,2515798,1.82,296.61
20241008,293.01,287.88,295.25,286.78,2845387,2.1,291.74
20241007,286.97,291.0,293.0,285.79,2296339,-1.8,288.3
20241004,292.24,288.16,292.56,283.8,3094816,2.99,289.49
20241003,283.75,279.0,286.9,278.56,3276286,1.25,283.82
20241002,280.24,274.89,282.15,274.86,2570222,1.85,279.71
20241001,275.15,282.26,282.97,272.67,3109332,-1.9,276.32
20240930,280.47,284.0,285.41,278.2,2834371,-1.89,280.98
20240927,285.86,283.8,286.45,281.15,2878943,1.56,284.55
20240926,281.48,291.25,292.38,277.88,4499086,-1.74,282.12
20240925,286.47,290.0,291.73,285.54,2900574,-0.72,288.02
20240924,288.54,294.89,295.4,285.28,4110711,-1.57,289.31
20240923,293.14,297.78,302.16,292.57,5480606,-2.24,296.69
20240920,299.85,284.13,300.45,283.88,17875086,8.1,295.74
20240919,277.38,276.0,283.99,273.75,6050332,3.84,279.38
20240918,267.12,269.49,272.02,263.45,3129543,-0.6,267.81
20240917,268.72,270.2,272.4,267.32,2760881,0.34,269.73
20240916,267.81,260.77,270.05,259.35,3698598,3.35,267.25
20240913,259.13,257.0,261.58,256.0,2117304,0.79,259.56
20240912,257.1,255.68,258.38,252.48,2590286,1.41,256.29
20240911,253.53,247.73,254.58,242.25,2625986,2.34,249.34
20240910,247.74,248.75,250.33,243.55,2143371,0.47,247.49
20240909,246.58,249.12,249.5,244.17,3148073,0.08,246.86
20240906,246.39,255.8,257.4,244.49,4297887,-3.92,247.56
20240905,256.43,255.4,259.0,252.67,3912066,-1.11,255.98
20240904,259.32,260.44,267.2,258.41,4336524,-2.73,261.62
20240903,266.6,275.78,277.51,265.29,5273180,-3.85,270.43
20240830,277.28,277.78,284.11,273.35,6567649,2.07,278.02
20240829,271.67,262.01,285.73,261.33,13033520,2.83,277.23
20240828,264.2,269.8,270.72,261.48,6264633,-2.09,264.71
20240827,269.83,261.81,270.43,260.75,3644540,1.49,267.38
20240826,265.87,271.06,271.74,265.27,3531561,-2.09,268.34
20240823,271.54,270.1,273.6,266.81,3216729,1.46,270.62
20240822,267.64,275.24,278.5,267.23,4400336,-2.04,272.5
20240821,273.21,267.01,274.42,265.64,5210371,2.51,271.29
20240820,266.53,269.36,270.12,264.4,3844714,-0.09,267.01
20240819,266.78,264.0,270.98,262.6,5365699,1.61,266.87
20240816,262.54,260.44,262.64,257.85,3478997,0.79,260.59
20240815,260.49,260.25,263.65,257.52,5850656,1.67,260.62
20240814,256.22,250.0,258.96,249.26,5653672,3.27,254.88
20240813,248.11,242.0,248.97,240.01,5058242,3.66,246.41
20240812,239.34,242.0,242.87,235.6,3715787,-0.65,239.67
20240809,240.9,242.18,246.01,238.8,5906266,0.16,241.73
20240808,240.52,233.88,242.04,229.72,6476219,4.27,238.34
20240807,230.67,238.37,243.5,230.1,9083938,-0.44,236.23
20240806,231.69,230.19,235.24,221.56,10453004,4.34,230.01
20240805,222.05,201.54,224.12,200.81,10821473,1.91,218.49
20240802,217.89,217.15,221.48,211.14,8875922,-2.82,215.31
20240801,224.22,232.0,232.2,221.66,9741016,-3.34,225.67
20240731,231.96,234.67,236.91,228.21,11980415,-0.72,232.8
20240730,233.65,247.55,248.33,226.22,25524192,-9.72,234.56
20240729,258.81,259.51,265.5,257.45,10805540,1.03,261.62
20240726,256.16,259.95,260.54,251.26,9523785,0.79,255.53
20240725,254.15,258.39,262.79,250.22,10467168,-1.55,256.9
20240724,258.14,270.0,275.44,257.36,14580797,-3.99,263.53
20240723,268.88,269.02,277.0,258.77,33417977,1.88,270.5
20240722,263.91,285.01,285.01,261.59,49128641,-13.46,268.87
20240719,304.96,294.51,316.75,290.1,42145704,-11.1,306.03
20240718,343.05,351.74,352.2,336.34,4543027,-3.35,342.03
20240717,354.94,360.0,363.6,350.72,3452524,-3.82,356.38
20240716,369.05,378.24,379.33,368.5,2556561,-2.2,370.96
20240715,377.37,371.67,383.57,364.21,3505651,1.63,376.98
20240712,371.32,368.2,374.49,367.75,2600976,0.24,370.89
20240711,370.43,375.69,379.78,367.5,3093612,-1.07,372.26
20240710,374.45,385.0,385.02,365.59,5804770,-2.96,372.48
20240709,385.88,392.51,398.33,383.2,2960921,-1.24,387.94
20240708,390.71,390.37,397.12,379.79,2976524,0.26,388.02
20240705,389.68,387.87,391.47,385.31,1908993,0.65,389.64
20240703,387.18,384.25,390.08,382.38,1456647,0.55,387.52
20240702,385.05,382.27,387.17,381.47,3189197,-1.81,384.41
20240701,392.15,385.28,392.74,377.92,2865816,2.34,387.77
20240628,383.19,389.33,393.29,381.78,8152117,-1.06,384.49
20240627,387.29,381.0,391.54,379.94,3248450,1.82,387.62
20240626,380.37,385.59,387.51,379.75,2793773,-1.65,382.36
20240625,386.76,379.75,387.81,379.54,3146279,2.34,385.0
20240624,377.93,375.1,381.76,374.0,5400883,-0.71,379.4
20240621,380.63,380.63,381.0,370.7,54077450,-0.4,379.75
20240620,382.14,390.26,393.25,379.2,5715578,-1.89,383.63
20240618,389.51,390.0,393.29,386.66,4072771,-0.24,390.46
20240617,390.43,382.75,394.64,376.55,4605024,1.3,388.91
20240614,385.44,382.0,388.35,381.15,3358320,0.69,385.4
20240613,382.81,387.85,389.89,380.94,3958500,-1.18,383.92
20240612,387.37,390.25,390.71,378.87,5809359,0.71,385.34
20240611,384.63,372.86,385.0,370.14,6993828,2.69,379.12
20240610,374.57,367.1,384.98,367.1,15558106,7.29,378.79
20240607,349.12,343.0,349.92,337.13,4326856,2.53,345.77
20240606,340.49,342.93,349.34,336.19,4674024,-0.49,342.97
20240605,342.18,334.61,342.59,316.39,15973391,11.98,330.93
20240604,305.58,310.0,312.38,303.5,7397039,-1.01,306.81
20240603,308.69,319.37,319.48,305.11,4332098,-1.59,309.11
20240531,313.67,329.76,329.77,306.5,5312672,-0.71,313.42
20240530,315.92,346.15,346.63,314.13,6102590,-9.61,324.93
20240529,349.52,342.01,353.54,341.96,2613653,0.78,349.86
20240528,346.82,358.64,358.84,343.11,3224561,-1.32,348.62
20240524,351.47,342.67,355.75,340.81,2659395,2.66,351.72
20240523,342.35,350.0,350.41,341.27,1801895,-0.89,345.3
20240522,345.42,350.0,352.94,342.86,1741095,-1.12,347.25
20240521,349.32,343.05,351.65,340.52,1876097,0.16,348.09
20240520,348.75,346.0,349.59,344.65,2135983,0.82,346.91
20240517,345.93,340.0,346.28,338.71,2005998,2.03,344.13
20240516,339.06,343.0,344.08,338.83,2046656,-1.18,341.19
20240515,343.12,333.21,344.37,330.93,3111635,4.12,339.42
20240514,329.55,319.19,330.79,319.18,2635805,3.25,327.04
