trade_date,close,open,high,low,vol,pct_change,vwap
20241231,182.7,183.88,184.15,181.92,2040952,-0.53,182.68
20241230,183.68,182.56,184.55,180.78,1852104,0.17,183.26
20241227,183.37,183.32,185.19,182.14,1572178,-0.95,183.28
20241226,185.13,186.95,187.89,184.97,1253643,-1.71,185.87
20241224,188.35,187.15,188.39,186.66,908538,0.66,187.67
20241223,187.12,187.13,188.28,185.34,2647936,0.1,186.62
20241220,186.94,181.59,187.74,181.15,6169856,2.27,186.07
20241219,182.79,192.66,193.69,182.21,6209805,-10.57,184.87
20241218,204.39,207.97,210.31,204.31,3488460,-1.91,205.9
20241217,208.38,210.0,212.41,208.03,3224962,-1.61,208.97
20241216,211.8,211.4,213.89,211.12,3051319,0.27,212.27
20241213,211.22,210.75,211.98,209.4,1370337,-0.17,211.21
20241212,211.59,210.67,211.75,209.34,1466522,0.29,211.14
20241211,210.97,210.14,212.49,209.79,1505375,0.39,211.3
20241210,210.14,209.16,210.81,206.86,1957791,0.88,209.79
20241209,208.3,220.15,221.29,206.34,3939967,-6.89,209.88
20241206,223.71,223.57,225.03,223.41,1328715,0.22,223.91
20241205,223.22,223.37,224.53,221.64,1005988,-0.17,223.28
20241204,223.6,221.86,224.24,221.86,1032502,0.43,223.19
20241203,222.65,223.66,225.26,220.3,1385623,0.0,222.35
20241202,222.64,225.42,225.79,221.75,1938195,-1.4,222.8
20241129,225.79,224.8,226.61,224.33,981446,0.78,225.7
20241127,224.05,228.08,228.08,222.74,1261159,-1.07,224.29
20241126,226.47,225.29,228.12,225.12,1351902,1.15,226.76
20241125,223.9,222.69,224.05,221.5,2324554,0.97,223.43
20241122,221.76,221.5,222.77,220.88,1413910,0.12,221.84
20241121,221.49,219.23,221.83,218.13,1057203,1.25,220.91
20241120,218.75,217.17,218.77,216.21,1011119,0.36,217.99
20241119,217.97,215.33,218.58,214.5,1231229,0.82,217.54
20241118,216.2,215.32,218.29,214.66,1603275,0.46,216.3
20241115,215.2,216.1,216.64,213.89,1792798,-0.85,215.11
20241114,217.05,223.0,223.07,216.68,1541876,-2.94,218.26
20241113,223.62,224.25,225.61,223.25,1049104,-0.49,224.09
20241112,224.73,224.11,225.44,223.59,899411,0.28,224.62
20241111,224.11,225.72,227.35,223.8,1185258,-0.71,224.95
20241108,225.72,221.65,227.24,220.2,1598262,2.82,225.87
20241107,219.52,217.0,219.87,216.72,1354767,1.15,218.86
20241106,217.02,215.33,217.51,213.24,2141709,3.84,216.23
20241105,208.99,207.7,210.21,207.14,1064060,0.69,208.99
20241104,207.56,205.24,207.7,205.01,926639,0.94,206.98
20241101,205.62,205.95,207.11,204.88,1099617,-0.09,205.82
20241031,205.81,207.46,208.0,205.65,1165711,-0.98,206.26
20241030,207.85,209.06,209.33,207.38,884461,-0.62,208.03
20241029,209.14,208.18,209.84,206.98,1285654,0.26,208.85
20241028,208.59,208.54,209.49,207.77,960860,0.57,208.47
20241025,207.41,210.14,210.95,207.2,1241496,-0.82,208.21
20241024,209.13,210.13,210.77,208.36,897997,-0.28,209.57
20241023,209.71,209.16,211.47,209.16,838565,-0.87,209.95
20241022,211.54,210.07,212.76,209.67,1053103,0.0,211.4
20241021,211.55,212.9,213.55,210.86,823766,-1.15,211.72
20241018,214.02,213.91,214.2,212.83,1247788,0.09,213.75
20241017,213.82,214.77,215.37,212.77,1156271,0.42,213.67
20241016,212.93,210.82,213.4,210.82,1140648,1.06,212.58
20241015,210.7,212.25,213.05,210.03,1317080,-0.38,211.14
20241014,211.5,208.52,212.22,208.25,937307,1.66,210.92
20241011,208.05,207.4,208.05,206.19,1347610,0.93,207.53
20241010,206.13,208.61,209.27,205.61,1015089,-1.44,207.14
20241009,209.14,207.0,209.31,206.51,976794,1.02,208.61
20241008,207.02,206.0,207.33,205.46,1050755,1.25,206.61
20241007,204.47,203.0,206.01,202.8,1260786,-0.21,204.71
20241004,204.91,205.74,206.12,202.84,1747350,0.18,204.4
20241003,204.55,204.39,204.91,203.14,1389767,-0.37,204.1
20241002,205.3,203.24,205.5,202.38,1113721,0.71,204.77
20241001,203.86,205.19,205.48,202.18,1518457,-0.98,203.53
20240930,205.88,203.48,206.18,203.3,1819718,1.74,205.53
20240927,202.35,207.67,208.0,202.29,2332092,-2.25,203.4
20240926,207.01,208.82,211.57,206.48,2012486,-0.1,208.78
20240925,207.21,208.1,209.59,204.16,1940089,1.15,207.49
20240924,204.85,203.99,205.63,202.46,1689413,0.42,204.54
20240923,203.99,204.45,204.78,203.05,1239060,-0.08,203.88
20240920,204.16,203.79,204.7,202.65,3160626,0.21,203.99
20240919,203.74,204.97,205.38,202.3,1125563,1.17,203.47
20240918,201.38,203.95,204.78,201.04,1333565,-1.17,202.26
20240917,203.77,205.53,206.86,203.37,1194721,-0.58,204.05
20240916,204.95,208.05,208.69,204.29,1116367,-1.36,205.55
20240913,207.77,205.92,209.12,205.34,1029848,0.85,207.73
20240912,206.02,205.5,207.49,201.92,1338843,-74.87,204.78
20240911,819.83,813.87,820.96,795.37,355592,0.42,812.36
20240910,816.42,807.02,817.99,805.11,272515,1.45,813.31
20240909,804.72,785.67,807.08,785.67,463194,2.92,802.09
20240906,781.9,797.54,800.32,778.89,370469,-2.13,783.66
20240905,798.92,800.39,800.39,787.36,391336,-0.73,795.45
20240904,804.78,800.0,805.78,796.92,260679,0.67,802.22
20240903,799.4,805.12,812.0,795.3,332885,-0.71,801.18
20240830,805.12,800.2,807.01,795.4,391260,0.73,803.9
20240829,799.25,801.88,807.98,797.4,281341,0.18,801.57
20240828,797.79,804.5,805.91,793.29,351649,-0.23,799.8
20240827,799.59,795.0,799.85,793.91,296651,0.75,798.07
20240826,793.66,790.46,794.82,787.45,236587,0.65,792.93
20240823,788.5,786.05,791.65,784.28,257045,0.49,788.32
20240822,784.64,783.34,789.82,778.07,291683,0.22,783.78
20240821,782.95,778.96,783.97,776.74,300396,1.07,781.48
20240820,774.66,772.0,777.5,767.49,320798,0.22,774.26
20240819,772.98,764.86,773.32,764.86,468367,1.06,770.73
20240816,764.86,768.3,768.3,760.92,267507,-0.38,764.98
20240815,767.74,766.19,772.76,764.14,307273,0.6,768.5
20240814,763.16,757.18,766.14,757.18,244963,0.53,761.96
20240813,759.12,762.7,766.98,752.69,362741,-0.07,757.2
20240812,759.63,751.68,759.72,749.96,319495,0.53,757.77
20240809,755.65,747.49,755.98,743.88,204371,0.7,752.66
20240808,750.43,741.59,753.49,740.19,346755,1.38,749.38
20240807,740.19,750.55,757.52,739.36,299009,-0.7,745.45
20240806,745.4,740.24,754.15,740.24,379693,0.75,748.54
