trade_date,close,open,high,low,vol,pct_change,vwap
20241217,63.48,63.49,63.5,63.43,13629168,0.0,63.48
20241216,63.48,63.48,63.49,63.47,6883063,0.65,63.48
20241213,63.07,63.06,63.16,63.02,1151075,0.03,63.08
20241212,63.05,63.08,63.23,63.03,1743921,-0.3,63.11
20241211,63.24,62.5,63.25,62.23,7728953,1.61,62.87
20241210,62.24,62.5,62.5,62.21,1732107,-0.21,62.3
20241209,62.37,61.85,62.37,61.85,2866880,0.87,62.23
20241206,61.83,61.9,62.16,61.72,2714439,-0.47,61.92
20241205,62.12,62.19,62.2,61.88,2992263,0.45,62.03
20241204,61.84,61.75,61.97,61.52,1797071,0.23,61.82
20241203,61.7,61.43,62.08,61.18,4220938,0.44,61.75
20241202,61.43,60.94,61.48,60.81,1974060,0.52,61.3
20241129,61.11,61.0,61.21,60.91,771192,0.18,61.08
20241127,61.0,60.95,61.04,60.7,1498457,0.41,60.94
20241126,60.75,61.28,61.29,60.75,1943660,-0.88,60.94
20241125,61.29,60.98,61.3,60.93,2622243,0.51,61.17
20241122,60.98,59.9,61.5,59.82,4590875,2.21,60.82
20241121,59.66,59.09,59.84,58.91,1187628,1.12,59.62
20241120,59.0,58.72,59.04,58.68,1406954,0.2,58.93
20241119,58.88,58.51,58.98,58.39,1096677,0.17,58.81
20241118,58.78,59.1,59.13,58.58,1723957,-0.54,58.81
20241115,59.1,58.99,59.35,58.73,1486410,0.32,59.12
20241114,58.91,59.15,59.38,58.91,1084760,-0.41,59.19
20241113,59.15,59.21,59.52,59.08,1363671,-0.17,59.29
20241112,59.25,59.53,59.76,59.15,1275796,-0.35,59.37
20241111,59.46,59.6,59.96,59.35,1019133,0.08,59.6
20241108,59.41,59.81,59.98,59.34,2179069,-0.85,59.57
20241107,59.92,60.01,60.21,59.85,2129641,-0.05,59.97
20241106,59.95,59.6,60.05,59.48,4195863,2.51,59.89
20241105,58.48,58.5,58.92,58.29,1575745,-0.36,58.51
20241104,58.69,58.92,59.21,58.52,1993093,-0.07,58.96
20241101,58.73,58.51,58.83,58.5,1703825,0.22,58.73
20241031,58.6,58.95,58.95,58.57,1172437,-0.63,58.72
20241030,58.97,58.62,59.25,58.52,1686177,0.53,59.01
20241029,58.66,58.88,58.9,58.62,1923153,-0.26,58.73
20241028,58.81,59.29,59.32,58.74,1322689,-0.47,58.93
20241025,59.09,59.5,59.5,59.0,2466800,-0.69,59.13
20241024,59.5,59.5,59.73,59.25,2903167,0.17,59.51
20241023,59.4,59.5,59.64,59.35,2169024,-0.87,59.45
20241022,59.92,60.14,60.32,59.56,2567062,-0.43,59.94
20241021,60.18,60.34,60.4,60.14,772446,-0.18,60.25
20241018,60.29,60.0,60.39,59.95,908357,0.33,60.17
20241017,60.09,60.3,60.34,59.94,2017141,-0.32,60.09
20241016,60.28,60.57,60.71,60.23,1449028,-0.63,60.44
20241015,60.66,60.72,60.75,60.52,2214179,0.02,60.62
20241014,60.65,60.5,60.73,60.5,979479,0.33,60.62
20241011,60.45,60.71,60.82,60.43,1368332,-0.43,60.55
20241010,60.71,60.78,60.84,60.5,1894568,-0.41,60.63
20241009,60.96,60.87,61.0,60.78,1012572,0.35,60.9
20241008,60.75,60.69,60.81,60.55,673863,0.23,60.73
20241007,60.61,60.53,60.64,60.5,892647,0.03,60.58
20241004,60.59,60.75,60.75,60.5,791923,-0.2,60.57
20241003,60.71,60.51,60.71,60.39,775908,0.43,60.57
20241002,60.45,60.09,60.61,60.09,1525073,0.37,60.45
20241001,60.23,60.45,60.52,60.04,1323822,-0.56,60.32
20240930,60.57,60.3,60.57,60.05,1382351,0.4,60.39
20240927,60.33,60.08,60.37,60.08,1583220,0.07,60.28
20240926,60.29,59.86,60.3,59.81,1811735,0.72,60.16
20240925,59.86,60.18,60.45,59.79,1578711,-0.47,59.98
20240924,60.14,59.4,60.18,59.4,1416546,0.65,59.99
20240923,59.75,59.93,59.95,59.5,2894636,-0.42,59.75
