trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,87.21,88.47,86.56,88.34,6543524,-0.29,87.8
2023-01-04,88.69,88.81,87.15,87.45,7330629,-1.01,87.78
2023-01-05,87.2,87.63,85.98,86.0,8441617,-1.66,86.4
2023-01-06,86.84,87.41,86.5,87.09,8957731,1.27,87.07
2023-01-09,87.61,88.66,86.92,86.99,10415879,-0.11,87.43
2023-01-10,86.38,86.87,84.15,86.19,10828278,-0.92,85.97
2023-01-11,87.06,87.18,84.95,85.33,10221114,-1.0,85.5
2023-01-12,85.37,85.54,84.64,84.79,10466200,-0.63,84.93
2023-01-13,84.34,85.95,84.16,85.5,10209532,0.84,85.52
2023-01-17,85.67,86.1,84.73,84.97,12365317,-0.62,85.2
2023-01-18,85.18,85.33,83.7,83.86,9495031,-1.31,84.38
2023-01-19,83.97,84.54,83.34,83.75,11430438,-0.13,83.69
2023-01-20,83.75,83.76,83.05,83.29,13008020,-0.55,83.28
2023-01-23,83.29,83.72,83.05,83.48,14720129,0.23,83.41
2023-01-24,83.05,83.48,82.26,82.35,14708641,-1.35,82.61
2023-01-25,81.75,82.34,81.2,82.09,18389668,-0.32,81.75
2023-01-26,82.77,84.01,82.36,83.92,9263352,2.23,83.41
2023-01-27,84.01,84.36,83.29,84.04,7480945,0.14,83.95
2023-01-30,84.14,84.62,83.28,83.34,8539969,-0.83,83.75
2023-01-31,83.77,84.73,83.36,84.46,8189930,1.34,84.14
2023-02-01,84.26,84.42,82.98,83.76,7420332,-0.83,83.83
2023-02-02,82.85,83.26,81.82,82.51,11244336,-1.49,82.52
2023-02-03,83.0,83.87,81.96,82.11,7256715,-0.48,82.58
2023-02-06,82.23,82.9,81.56,81.62,8319383,-0.6,81.88
2023-02-07,81.52,82.94,80.99,82.31,15264844,0.85,82.08
2023-02-08,84.14,86.4,84.01,85.17,17068661,3.47,85.53
2023-02-09,85.52,86.76,85.4,86.23,10703364,1.24,86.21
2023-02-10,86.49,86.74,85.68,85.84,7718531,-0.45,86.04
2023-02-13,85.76,86.71,85.34,86.04,7818895,0.23,85.87
2023-02-14,86.04,86.15,84.38,84.75,7497442,-1.5,84.97
2023-02-15,84.17,84.69,84.0,84.58,6436934,-0.2,84.36
2023-02-16,83.74,84.84,83.63,84.22,8317914,-0.43,84.29
2023-02-17,84.35,84.97,84.12,84.8,7320785,0.69,84.69
2023-02-21,84.35,84.81,83.54,83.88,7245918,-1.08,83.98
2023-02-22,83.82,84.02,83.24,83.49,5614633,-0.46,83.55
2023-02-23,83.68,84.15,83.02,83.17,7283000,-0.38,83.38
2023-02-24,82.76,82.99,81.83,82.11,9271016,-1.27,82.2
2023-02-27,82.37,82.6,81.02,81.22,7933262,-1.08,81.57
2023-02-28,81.22,81.32,79.6,79.98,9559078,-1.53,80.15
2023-03-01,79.37,79.71,78.48,78.95,7444449,-1.29,78.92
2023-03-02,78.55,78.88,77.89,77.96,10098899,-1.25,78.18
2023-03-03,78.46,78.47,77.76,78.32,12145875,0.46,78.17
2023-03-06,78.5,79.46,78.17,79.43,10156055,1.42,78.97
2023-03-07,79.13,79.46,76.82,77.02,9669609,-3.03,77.42
2023-03-08,76.91,77.21,76.14,76.41,6657020,-0.79,76.6
2023-03-09,76.56,76.66,73.39,73.72,11040352,-3.52,74.48
2023-03-10,73.73,74.83,73.59,73.81,7852492,0.12,74.09
2023-03-13,73.22,74.31,72.66,73.03,7165375,-1.06,73.45
2023-03-14,73.49,73.61,71.6,72.34,8180508,-0.94,72.4
2023-03-15,71.71,72.22,71.34,72.19,7989934,-0.21,71.83
2023-03-16,71.86,72.9,71.4,72.6,6640090,0.57,72.35
