trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,65.14,66.23,61.56,61.57,967785,-4.02,62.42
2023-01-04,62.3,63.57,61.12,63.06,1006715,2.42,62.83
2023-01-05,61.84,62.48,59.58,59.82,1057449,-5.14,60.19
2023-01-06,60.3,61.96,57.98,60.96,1073246,1.91,60.54
2023-01-09,61.52,64.36,61.52,62.88,881320,3.15,63.24
2023-01-10,61.99,63.43,61.99,62.96,913795,0.13,62.87
2023-01-11,63.58,65.87,62.9,65.86,1016493,4.61,65.16
2023-01-12,66.19,66.85,64.76,66.75,874486,1.35,66.15
2023-01-13,65.56,67.88,65.56,67.62,945044,1.3,67.41
2023-01-17,67.54,68.52,66.16,67.68,803575,0.09,67.75
2023-01-18,68.42,69.32,67.12,67.65,1020697,-0.04,67.85
2023-01-19,66.93,67.87,66.75,67.25,1211540,-0.59,67.21
2023-01-20,67.61,69.86,67.61,69.75,899162,3.72,69.03
2023-01-23,70.0,73.0,69.04,72.79,1325348,4.36,72.26
2023-01-24,72.26,74.0,71.86,73.03,1285140,0.33,72.97
2023-01-25,70.86,71.67,67.82,71.3,854993,-2.37,70.09
2023-01-26,72.74,73.54,72.07,72.95,683993,2.31,72.72
2023-01-27,72.0,73.62,71.95,72.72,827338,-0.32,72.86
2023-01-30,71.58,71.98,70.42,70.59,910000,-2.93,70.87
2023-01-31,71.01,72.38,70.39,72.28,768479,2.39,71.88
2023-02-01,72.35,76.14,71.87,75.76,1500832,4.81,74.29
2023-02-02,76.59,79.3,76.59,77.99,1910539,2.94,78.19
2023-02-03,75.36,78.2,75.0,76.2,976302,-2.3,76.75
2023-02-06,74.94,75.42,73.58,74.01,1127355,-2.87,74.31
2023-02-07,73.62,75.16,72.37,74.6,1465600,0.8,74.21
2023-02-08,73.75,74.84,71.33,74.63,2411578,0.04,73.45
2023-02-09,77.38,79.66,75.14,77.3,4214285,3.58,77.84
2023-02-10,76.43,77.55,74.91,76.65,1804136,-0.84,76.26
2023-02-13,77.15,77.7,75.98,77.04,2439610,0.51,76.95
2023-02-14,76.45,78.98,75.76,77.55,1805596,0.66,77.37
2023-02-15,77.19,77.98,76.74,77.42,1918577,-0.17,77.38
2023-02-16,75.63,76.8,74.77,75.86,1446264,-2.01,76.18
2023-02-17,75.35,75.67,74.17,74.96,1194769,-1.19,74.73
2023-02-21,73.7,74.45,73.28,73.67,1391706,-1.72,73.76
2023-02-22,74.69,75.62,73.76,74.57,1058494,1.22,74.39
2023-02-23,75.52,75.98,73.11,74.83,593092,0.35,74.47
2023-02-24,73.63,73.79,72.51,72.92,741263,-2.55,72.96
2023-02-27,72.84,73.54,71.61,72.86,1332646,-0.08,72.78
2023-02-28,72.79,74.01,72.79,72.93,1497082,0.1,73.19
2023-03-01,72.86,73.52,71.72,72.02,837651,-1.25,72.25
2023-03-02,71.1,73.94,70.96,73.18,1115720,1.61,73.04
2023-03-03,73.44,74.97,73.44,74.45,740232,1.74,74.49
2023-03-06,74.66,76.17,74.04,74.47,815471,0.03,74.82
2023-03-07,74.62,75.39,72.37,72.86,988191,-2.16,73.24
2023-03-08,72.89,73.22,71.85,72.39,543670,-0.65,72.45
2023-03-09,71.69,73.25,70.39,70.68,1198875,-2.36,71.23
2023-03-10,70.29,70.33,67.08,67.45,1312885,-4.57,68.13
2023-03-13,66.49,69.09,65.19,68.06,1246083,0.9,67.89
2023-03-14,69.58,70.87,68.96,69.99,1005707,2.84,69.93
2023-03-15,68.85,69.45,67.46,68.67,947625,-1.89,68.41
2023-03-16,68.44,70.17,67.54,69.44,1289160,1.12,69.41
2023-03-17,69.0,69.76,68.07,69.56,2005940,0.17,69.31
2023-03-20,69.11,69.57,67.96,68.31,889999,-1.8,68.52
2023-03-21,68.83,70.87,68.83,70.68,957971,3.47,70.18
2023-03-22,70.68,70.68,67.69,67.75,1081420,-4.15,68.83
2023-03-23,68.48,70.88,68.11,69.1,715805,1.99,69.43
2023-03-24,68.81,68.81,67.25,68.51,591914,-0.85,68.15
2023-03-27,69.12,70.06,68.09,68.81,568251,0.44,68.85
2023-03-28,68.77,68.96,67.51,68.26,791247,-0.8,68.12
2023-03-29,69.09,70.49,68.71,70.29,809349,2.97,70.03
2023-03-30,71.25,71.66,69.68,70.15,821360,-0.2,70.32
2023-03-31,70.34,73.46,69.9,73.22,1743960,4.38,72.7
2023-04-03,71.41,73.24,71.34,73.22,1627399,0.0,72.45
2023-04-04,73.57,73.79,72.15,72.51,1392009,-0.97,72.63
2023-04-05,71.94,72.31,69.09,69.33,1141518,-4.39,69.78
2023-04-06,68.47,69.26,67.54,69.23,672274,-0.14,68.84
2023-04-10,68.57,69.44,67.55,69.16,586821,-0.1,68.91
2023-04-11,68.8,69.09,66.76,68.18,1083053,-1.42,68.09
2023-04-12,69.0,69.8,66.42,66.52,919650,-2.43,67.33
2023-04-13,67.09,68.29,66.91,67.67,963793,1.73,67.77
2023-04-14,67.06,68.14,66.27,67.65,808818,-0.03,67.27
2023-04-17,67.84,68.98,67.5,68.75,639250,1.63,68.4
2023-04-18,69.74,69.74,67.95,68.7,775347,-0.07,68.62
2023-04-19,68.15,69.18,67.98,69.01,644144,0.45,68.74
2023-04-20,68.0,68.48,66.6,66.74,1114945,-3.29,67.25
2023-04-21,66.33,67.03,65.3,67.02,1448805,0.42,66.42
2023-04-24,67.09,67.46,65.59,65.82,1026574,-1.79,66.16
2023-04-25,65.02,65.4,62.36,62.38,935044,-5.23,63.0
2023-04-26,63.23,63.96,62.66,63.22,1231149,1.35,63.35
2023-04-27,63.83,64.07,62.71,63.83,801125,0.96,63.62
2023-04-28,63.12,64.28,62.28,63.48,2882304,-0.55,63.52
2023-05-01,63.28,65.33,62.54,65.18,2052775,2.68,64.73
2023-05-02,64.97,65.32,63.09,63.46,2207136,-2.64,63.89
2023-05-03,62.72,64.45,61.85,62.61,2604551,-1.34,63.05
2023-05-04,61.03,62.17,57.07,57.2,3735947,-8.64,58.68
2023-05-05,57.82,58.37,55.62,56.7,2347135,-0.87,56.4
2023-05-08,57.0,58.95,56.85,58.63,2588420,3.4,58.27
2023-05-09,57.82,58.5,56.9,57.81,1875634,-1.4,57.63
2023-05-10,58.97,59.29,57.83,58.52,1733967,1.23,58.37
2023-05-11,58.57,58.6,56.69,57.54,1936193,-1.67,57.4
2023-05-12,57.5,58.16,56.62,57.59,980707,0.09,57.33
2023-05-15,57.42,59.8,57.14,59.7,1698206,3.66,59.4
2023-05-16,58.93,59.4,57.9,58.49,1421233,-2.03,58.5
2023-05-17,59.03,61.3,58.79,60.76,2103518,3.88,60.32
2023-05-18,61.01,61.94,60.37,61.64,1222351,1.45,61.31
2023-05-19,61.9,62.3,61.34,61.55,1656961,-0.15,61.76
2023-05-22,61.67,63.65,61.35,63.4,1114627,3.01,63.2
2023-05-23,63.0,64.54,62.74,62.88,1427794,-0.82,63.59
2023-05-24,62.29,62.91,61.18,61.49,926940,-2.21,61.55
2023-05-25,62.62,62.62,60.61,61.64,1201123,0.24,61.45
2023-05-26,62.04,63.52,61.65,62.5,1150422,1.4,62.38
2023-05-30,63.59,63.64,61.18,61.7,1219889,-1.28,61.95
2023-05-31,61.27,62.08,60.45,61.85,3357299,0.24,61.6
2023-06-01,61.29,63.51,60.3,62.42,1392088,0.92,62.39
2023-06-02,63.31,65.59,62.82,64.91,1349950,3.99,64.78
2023-06-05,64.7,66.42,63.98,66.23,1209729,2.03,65.76
