trade_date,close,open,high,low,vol,pct_change,vwap
20241231,423.7,425.5,427.8,421.46,767462,-0.22,423.45
20241230,424.64,427.24,427.9,421.73,771239,-1.26,424.71
20241227,430.06,432.33,435.17,427.09,734044,-0.87,429.77
20241226,433.84,431.79,435.45,430.44,433517,0.23,433.9
20241224,432.84,430.61,433.59,428.71,382576,0.11,431.98
20241223,432.38,432.63,432.63,427.0,1079926,-0.03,430.75
20241220,432.49,426.01,436.5,425.74,2420626,1.37,432.01
20241219,426.63,428.07,431.06,421.97,1757472,0.15,426.33
20241218,426.0,443.2,445.31,424.51,1415516,-3.97,431.53
20241217,443.59,436.57,444.94,435.0,1355677,1.18,441.98
20241216,438.42,440.33,441.4,436.0,940070,-0.46,438.35
20241213,440.44,440.0,442.12,437.02,880564,0.22,440.06
20241212,439.48,447.63,447.63,438.46,867306,-1.91,440.33
20241211,448.03,447.96,449.76,446.08,1666930,0.92,448.02
20241210,443.96,447.13,448.69,441.0,1209408,-1.21,444.99
20241209,449.41,445.0,453.25,444.12,1179935,1.22,450.46
20241206,444.0,446.5,448.96,442.97,1123986,-0.92,444.89
20241205,448.12,457.98,458.37,447.93,1148127,-1.78,451.04
20241204,456.26,459.0,462.23,453.3,1051331,-0.65,455.94
20241203,459.25,464.01,465.54,458.95,1165757,-0.8,460.64
20241202,462.95,463.7,464.3,458.85,1266396,-0.63,461.85
20241129,465.9,466.0,469.09,464.17,732155,-0.02,466.86
20241127,466.0,461.91,467.06,461.09,1247387,1.08,465.11
20241126,461.04,456.64,463.34,454.39,1629034,-0.36,459.98
20241125,462.69,448.0,469.39,446.7,3244345,3.59,462.8
20241122,446.65,435.93,447.5,432.21,2129180,2.08,443.63
20241121,437.54,412.75,442.05,410.96,4143047,8.05,432.61
20241120,404.96,404.16,408.94,400.64,1306345,1.22,403.51
20241119,400.09,399.51,402.62,397.75,1073421,-1.1,400.6
20241118,404.53,396.21,406.98,396.14,1414892,1.4,404.71
20241115,398.95,392.67,399.57,390.0,1164454,1.09,397.65
20241114,394.64,390.42,395.52,387.79,1215396,1.33,393.46
20241113,389.45,391.05,392.13,387.03,1454115,-1.09,389.5
20241112,393.75,402.19,402.19,393.12,1140275,-2.21,395.52
20241111,402.65,397.18,402.88,393.17,1101043,2.18,399.54
