trade_date,close,open,high,low,vol,pct_change,vwap
20241231,150.86,151.14,152.48,150.52,457685,-0.07,151.13
20241230,150.97,151.83,152.26,150.28,480403,-1.09,151.17
20241227,152.63,151.89,153.62,151.89,478197,-0.25,152.76
20241226,153.02,152.41,153.51,152.19,443193,-0.26,152.82
20241224,153.42,152.47,153.49,152.13,212708,0.31,153.1
20241223,152.94,152.33,153.46,150.89,576258,-0.1,152.2
20241220,153.1,151.68,154.1,151.68,1344274,1.04,153.05
20241219,151.52,150.13,152.59,149.07,1097349,0.18,151.28
20241218,151.25,155.42,156.04,151.25,970610,-2.73,152.2
20241217,155.49,153.19,156.54,152.35,1114353,1.86,155.31
20241216,152.65,154.79,155.5,152.18,688616,-1.52,153.44
20241213,155.0,156.1,157.07,154.82,623852,-0.69,155.51
20241212,156.07,155.35,158.53,155.35,905229,0.24,156.74
20241211,155.69,158.02,159.7,155.24,892938,-1.75,156.08
20241210,158.46,159.0,160.0,156.76,972575,0.16,158.71
20241209,158.2,158.17,160.5,157.77,839349,0.54,158.48
20241206,157.35,159.06,159.17,156.72,951276,-0.74,157.27
20241205,158.52,160.07,160.07,158.17,530957,-1.07,158.74
20241204,160.24,161.58,162.21,160.09,508293,-1.05,160.66
20241203,161.94,161.61,162.5,161.1,643975,0.27,161.89
20241202,161.51,162.47,162.95,161.2,788088,-0.71,161.78
20241129,162.66,162.24,163.77,161.67,427483,-0.4,162.93
20241127,163.32,162.05,163.88,161.64,670272,0.65,163.07
20241126,162.27,162.85,163.3,161.58,755350,-0.1,162.28
20241125,162.44,163.68,165.32,162.18,1414105,-0.7,162.95
20241122,163.59,164.0,165.1,163.4,589234,-0.18,164.11
20241121,163.89,161.32,164.25,160.33,650298,1.59,163.51
20241120,161.32,161.38,162.02,160.01,763610,0.1,161.0
20241119,161.16,160.26,162.88,158.52,761186,-0.59,161.39
20241118,162.11,160.88,162.72,160.76,890485,1.04,162.17
20241115,160.44,156.75,162.13,156.32,2698315,2.3,160.59
20241114,156.84,159.92,160.28,156.1,939021,-2.31,157.15
20241113,160.55,161.82,162.59,159.78,796407,-0.71,160.63
20241112,161.7,160.65,162.56,160.41,980273,0.96,161.74
20241111,160.17,160.49,162.48,159.78,776776,0.5,160.63
20241108,159.37,155.9,160.48,155.78,942799,2.03,159.41
20241107,156.2,155.83,157.01,155.43,524857,0.66,156.2
20241106,155.18,154.58,155.38,152.06,794636,0.7,154.38
20241105,154.1,154.11,154.4,152.34,611882,-0.15,153.75
20241104,154.33,155.37,156.24,154.0,554238,-0.62,154.52
20241101,155.29,155.92,156.99,155.05,1094682,0.3,155.83
20241031,154.83,155.49,156.4,154.29,873748,-0.71,155.02
20241030,155.93,155.5,156.66,153.55,660949,-0.02,155.9
20241029,155.96,155.3,157.44,154.96,699771,0.03,156.26
20241028,155.92,155.68,157.37,155.18,507895,0.57,156.06
20241025,155.04,157.79,158.42,153.76,814736,-1.87,155.42
20241024,157.99,157.59,160.95,156.91,1230953,0.55,158.66
20241023,157.12,159.84,159.94,155.19,1445330,-0.22,156.73
20241022,157.47,151.33,159.15,151.33,2043173,6.85,157.01
20241021,147.37,149.05,149.75,146.91,1434096,-1.52,148.07
20241018,149.65,149.1,150.59,147.96,631082,0.46,149.46
20241017,148.96,149.71,150.32,148.6,582137,0.02,149.27
20241016,148.93,149.22,150.88,148.63,524441,-0.28,149.1
20241015,149.35,148.29,151.44,148.08,861190,0.23,149.87
20241014,149.0,149.21,149.95,147.02,678788,0.22,149.09
20241011,148.67,148.55,149.44,147.68,480139,0.58,148.55
20241010,147.81,149.28,149.28,147.3,425749,-0.81,147.87
20241009,149.01,149.09,149.99,148.13,539233,0.15,149.12
20241008,148.78,147.21,149.4,146.53,748123,1.28,148.36
20241007,146.9,150.75,150.75,146.17,639519,-2.58,147.31
20241004,150.79,152.11,152.49,150.42,500565,-0.88,151.01
20241003,152.13,154.98,155.09,151.79,558854,-1.76,152.72
20241002,154.86,154.49,155.38,152.98,577787,0.59,154.81
20241001,153.95,154.81,155.35,153.69,490529,-0.84,154.26
20240930,155.25,155.09,155.59,153.55,934300,0.29,155.1
20240927,154.8,154.66,156.52,154.46,712303,0.25,155.18
20240926,154.42,152.04,154.5,152.04,647537,1.27,153.96
20240925,152.49,153.59,154.16,151.89,697058,-0.39,152.57
20240924,153.08,153.61,154.68,152.21,788005,-0.58,152.99
20240923,153.98,153.22,155.0,153.0,678384,0.65,154.03
20240920,152.99,155.1,155.1,152.56,1456258,-1.37,153.23
20240919,155.12,155.84,156.88,154.51,519520,-0.23,155.3
20240918,155.48,155.2,157.06,155.1,439996,0.06,155.64
20240917,155.38,156.37,156.8,154.57,475720,-0.63,155.48
20240916,156.36,155.34,157.23,155.22,618457,1.28,156.36
20240913,154.38,155.02,155.51,153.33,570725,-0.25,154.22
20240912,154.76,153.51,154.97,151.88,762431,0.78,154.17
20240911,153.56,152.13,153.97,149.52,928861,0.46,152.28
20240910,152.86,154.59,155.41,151.24,656076,-0.93,153.22
20240909,154.29,152.96,155.64,152.56,911747,0.89,154.53
20240906,152.93,154.24,155.03,152.02,827029,-0.84,152.92
20240905,154.23,155.26,155.51,152.28,756089,-0.75,153.64
