trade_date,close,open,high,low,vol,pct_change,vwap
20241231,120.75,120.61,121.43,120.02,632254,0.17,120.61
20241230,120.55,121.0,121.0,119.43,722595,-0.66,120.37
20241227,121.35,120.39,122.08,120.1,1054398,0.21,121.43
20241226,121.09,120.25,121.35,120.04,532840,0.27,120.99
20241224,120.76,120.07,120.81,120.07,308089,0.42,120.61
20241223,120.25,120.05,120.41,118.92,887429,0.06,119.96
20241220,120.18,116.94,120.49,116.7,3035845,1.75,119.69
20241219,118.11,116.92,119.28,116.65,1358486,0.49,118.33
20241218,117.53,120.3,120.81,117.49,1245736,-2.63,118.61
20241217,120.7,120.82,122.94,120.23,1756490,-0.54,121.0
20241216,121.35,120.31,123.07,119.84,2414275,0.06,121.84
20241213,121.28,120.87,121.93,120.43,1428096,0.41,121.35
20241212,120.78,121.48,121.69,120.62,1302873,-0.18,121.1
20241211,121.0,121.93,122.28,120.8,1438763,-0.8,121.08
20241210,121.97,121.56,122.26,119.52,1381262,0.14,121.58
20241209,121.8,121.39,122.25,121.15,1395967,0.19,121.66
20241206,121.57,122.5,122.65,121.15,1371045,-0.69,121.53
20241205,122.42,122.33,123.17,122.08,1051711,0.11,122.48
20241204,122.29,122.89,123.4,121.77,1046807,-0.56,122.23
20241203,122.98,125.31,125.44,122.91,1204134,-0.5,123.83
20241202,123.6,125.77,125.85,123.42,1083291,-1.73,124.02
20241129,125.78,126.31,126.36,125.25,608746,-0.24,125.83
20241127,126.08,125.98,127.53,125.88,1124872,0.5,126.36
20241126,125.45,125.36,125.63,124.63,1147776,0.22,125.22
20241125,125.18,125.01,125.6,124.69,1567542,0.47,125.17
20241122,124.6,124.07,125.05,123.98,1177096,0.5,124.73
20241121,123.98,122.39,124.09,121.85,1518725,1.47,123.53
20241120,122.18,121.7,122.43,121.27,1421935,0.41,122.02
20241119,121.68,120.13,121.76,119.89,2174240,0.98,121.13
20241118,120.5,119.67,121.09,119.32,1551339,0.34,120.43
20241115,120.09,119.12,120.34,118.95,3085924,0.57,119.9
20241114,119.41,118.97,120.54,118.96,1590687,0.67,119.71
20241113,118.62,120.75,120.82,117.9,1415341,-1.21,118.85
20241112,120.07,119.49,120.74,119.49,1524378,0.28,120.16
20241111,119.73,117.79,119.92,117.77,1291680,1.64,119.5
20241108,117.8,117.65,119.36,117.15,2924663,0.65,118.04
20241107,117.04,122.15,123.17,115.59,3656216,-3.73,118.04
20241106,121.57,122.75,123.67,120.98,1550103,-1.51,121.85
20241105,123.43,121.63,123.53,121.41,739824,1.48,122.91
20241104,121.63,121.04,122.01,120.26,872439,0.28,121.26
20241101,121.29,124.19,124.54,121.09,976353,-2.36,122.07
20241031,124.22,123.72,125.36,123.72,900049,0.06,124.63
20241030,124.14,124.78,125.0,123.5,1002653,0.17,123.98
20241029,123.93,125.89,125.89,123.77,823271,-2.13,124.31
20241028,126.63,127.48,127.64,126.51,939520,0.05,126.78
20241025,126.57,130.06,130.15,126.46,1275942,-2.47,127.32
20241024,129.77,130.0,131.66,129.18,1569941,-0.17,130.01
20241023,129.99,128.04,130.04,127.85,1388448,1.37,129.58
20241022,128.23,127.6,128.53,126.96,746202,0.21,128.12
20241021,127.96,129.02,129.35,127.32,889040,-0.73,127.97
20241018,128.9,128.78,129.28,127.87,776112,0.36,128.82
20241017,128.44,128.52,128.95,128.04,1137338,-0.02,128.46
20241016,128.47,127.6,128.87,127.38,780230,0.85,128.35
20241015,127.39,126.43,128.06,126.4,1889576,1.44,127.49
20241014,125.58,124.92,125.94,124.75,798566,0.57,125.56
20241011,124.87,124.13,125.21,123.92,789753,0.96,124.8
20241010,123.68,124.75,125.53,123.59,788712,-0.67,123.95
20241009,124.52,125.39,126.11,124.09,1870224,-0.77,124.7
20241008,125.48,126.1,126.55,125.4,842882,0.15,125.76
20241007,125.29,126.7,126.7,125.03,947789,-1.33,125.46
20241004,126.98,126.15,127.27,125.7,683771,-0.45,126.86
20241003,127.55,128.76,128.93,127.3,868538,-0.89,127.72
20241002,128.7,127.43,129.0,126.75,763534,0.0,128.51
20241001,128.7,128.58,129.53,127.97,780374,0.23,128.76
20240930,128.41,128.0,128.48,126.72,1116401,0.81,128.17
20240927,127.38,126.21,127.89,126.04,979756,1.43,127.36
