trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,144.56,145.42,142.83,144.71,1069230,1.13,144.26
2023-01-04,146.97,147.89,145.85,147.22,905618,1.73,147.07
2023-01-05,145.3,145.73,141.84,142.38,995833,-3.29,142.87
2023-01-06,144.15,147.03,142.89,146.93,1023006,3.2,146.38
2023-01-09,145.46,150.73,145.29,147.67,1043434,0.5,148.34
2023-01-10,147.8,149.71,146.3,149.62,1049710,1.32,148.38
2023-01-11,151.32,152.23,150.12,151.64,1039229,1.35,151.13
2023-01-12,152.37,152.49,150.25,150.78,854283,-0.57,151.15
2023-01-13,149.04,152.09,148.96,151.81,728148,0.68,151.14
2023-01-17,152.26,152.38,148.73,150.6,1754710,-0.8,150.39
2023-01-18,151.4,151.94,147.66,147.8,1048738,-1.86,149.1
2023-01-19,146.63,146.84,144.53,146.08,1134194,-1.16,145.92
2023-01-20,146.42,150.37,145.24,150.29,1277937,2.88,148.61
2023-01-23,150.41,152.54,148.68,151.67,1182511,0.92,151.2
2023-01-24,151.09,152.18,149.53,151.07,699082,-0.4,151.17
2023-01-25,149.01,150.29,147.78,149.82,754311,-0.83,149.51
2023-01-26,148.68,149.93,147.69,149.28,968175,-0.36,149.04
2023-01-27,148.32,150.21,148.04,149.75,764140,0.31,149.52
2023-01-30,149.46,150.25,147.74,147.91,758630,-1.23,148.48
2023-01-31,148.5,152.27,148.02,152.21,1321136,2.91,150.98
2023-02-01,151.15,154.28,150.24,153.09,834130,0.58,152.16
2023-02-02,154.24,156.87,153.42,156.62,1653630,2.31,155.6
2023-02-03,153.75,154.99,150.27,150.69,1129811,-3.79,151.48
2023-02-06,149.71,150.41,148.72,149.12,889975,-1.04,149.25
2023-02-07,148.18,150.28,147.39,149.71,1140545,0.4,148.95
2023-02-08,148.93,149.6,148.27,148.66,936039,-0.7,148.78
2023-02-09,149.9,149.9,142.27,143.3,1858659,-3.61,144.12
2023-02-10,142.78,143.8,141.47,143.55,1410956,0.17,143.16
2023-02-13,144.33,145.65,141.94,145.38,1907131,1.27,144.95
2023-02-14,147.92,156.31,147.92,155.72,2512434,7.11,153.32
2023-02-15,156.5,161.22,156.17,161.17,1703268,3.5,159.62
2023-02-16,158.11,162.16,157.39,159.24,1353203,-1.2,160.29
2023-02-17,158.6,159.99,157.82,159.66,1045670,0.26,159.24
2023-02-21,158.09,159.11,154.83,155.51,1285101,-2.6,156.16
2023-02-22,155.54,157.63,154.88,156.54,1047761,0.66,156.62
2023-02-23,156.78,157.58,154.58,156.11,1157874,-0.27,155.89
2023-02-24,153.59,156.43,152.81,155.89,730282,-0.14,155.17
2023-02-27,157.87,159.2,156.52,157.05,880600,0.74,157.41
2023-02-28,156.41,158.53,155.49,156.67,1394623,-0.24,157.0
2023-03-01,155.82,157.87,155.53,155.83,886830,-0.54,156.24
2023-03-02,155.13,159.36,154.92,159.19,1078658,2.16,157.81
2023-03-03,160.06,161.01,158.06,160.63,892543,0.9,160.13
2023-03-06,160.66,160.95,157.91,158.27,876148,-1.47,158.79
2023-03-07,157.82,158.75,154.68,155.15,1031137,-1.97,155.77
2023-03-08,155.27,158.05,154.74,157.03,1128318,1.21,157.05
2023-03-09,157.68,158.71,154.7,154.98,1179328,-1.31,156.24
2023-03-10,156.67,157.78,154.17,155.39,1467626,0.26,155.81
2023-03-13,154.46,156.58,153.47,155.13,1234751,-0.17,155.33
2023-03-14,157.92,158.91,155.43,157.87,1168623,1.77,157.43
2023-03-15,155.38,157.04,153.72,156.53,1375050,-0.85,155.67
2023-03-16,155.98,157.29,154.59,156.08,1329855,-0.29,155.89
2023-03-17,155.54,155.54,151.26,151.96,2548329,-2.64,152.57
2023-03-20,152.89,154.28,152.39,154.17,1737649,1.45,153.65
2023-03-21,155.72,156.19,154.22,155.65,1137906,0.96,155.23
2023-03-22,155.77,157.75,153.48,153.5,1120826,-1.38,155.66
2023-03-23,153.5,157.36,153.07,154.91,1253966,0.92,155.4
2023-03-24,154.57,158.75,153.64,158.18,1113903,2.11,157.14
2023-03-27,159.48,160.56,157.89,158.04,926738,-0.09,158.57
2023-03-28,157.8,158.97,157.31,158.01,690726,-0.02,158.02
2023-03-29,159.83,160.07,158.19,160.03,1075696,1.28,159.48
2023-03-30,161.66,162.01,160.62,161.06,732413,0.64,161.21
2023-03-31,161.4,163.75,161.4,163.28,1716252,1.38,162.88
2023-04-03,163.17,164.47,162.5,163.77,1104524,0.3,163.51
2023-04-04,163.95,164.55,161.77,162.63,1622058,-0.7,162.68
2023-04-05,162.19,164.09,161.73,163.85,1747691,0.75,163.5
2023-04-06,162.86,164.88,161.9,164.77,1102448,0.56,164.17
2023-04-10,163.27,164.31,162.32,163.71,907863,-0.64,163.38
