trade_date,close,open,high,low,vol,pct_change,vwap
20241231,79.84,79.59,80.22,79.18,1545796,0.2,79.71
20241230,79.68,79.59,79.89,78.68,2296960,-0.14,79.53
20241227,79.79,79.45,80.32,79.4,983125,-0.27,79.9
20241226,80.01,79.85,80.23,79.55,921173,-0.31,79.97
20241224,80.26,79.9,80.3,79.42,994146,0.68,79.98
20241223,79.72,79.52,79.73,78.46,1872554,0.25,79.49
20241220,79.52,77.87,79.66,77.79,5974133,2.04,79.12
20241219,77.93,77.95,78.81,77.42,2636654,-0.42,78.24
20241218,78.26,80.3,80.45,78.19,1891651,-2.78,78.95
20241217,80.5,80.8,81.2,80.06,2001413,-0.83,80.57
20241216,81.17,82.34,82.48,81.13,1264216,-0.88,81.62
20241213,81.89,82.02,82.47,81.55,1193441,0.33,82.0
20241212,81.62,82.01,82.02,81.09,1443428,0.05,81.61
20241211,81.58,82.75,83.05,81.45,1798429,-1.45,81.75
20241210,82.78,83.0,83.07,81.16,2412777,-0.29,82.6
20241209,83.02,83.76,84.21,83.01,1718438,-1.11,83.39
20241206,83.95,84.94,85.15,83.23,2040972,-1.14,83.85
20241205,84.92,84.63,85.92,84.38,2526275,0.69,85.37
20241204,84.34,84.6,85.4,83.99,2256080,-0.47,84.44
20241203,84.74,86.25,86.48,84.65,1364852,-1.21,85.15
20241202,85.78,87.96,88.0,85.34,2390365,-2.25,86.0
20241129,87.75,88.38,88.61,87.65,1243975,-0.69,87.9
20241127,88.36,88.0,88.65,87.77,1571243,0.71,88.31
20241126,87.74,87.83,88.07,87.23,2022775,0.15,87.68
20241125,87.61,86.9,87.62,86.35,3432859,1.31,87.44
20241122,86.48,87.54,87.98,86.39,2740005,-0.7,86.92
20241121,87.09,86.23,87.09,85.83,2028987,1.13,86.75
20241120,86.12,85.73,86.17,85.51,1738422,0.56,85.95
20241119,85.64,83.56,85.74,83.56,2589841,1.86,85.13
20241118,84.08,83.16,84.25,83.01,2404367,0.48,83.92
20241115,83.68,82.03,83.75,82.03,4816336,1.89,83.47
20241114,82.13,82.25,82.88,81.99,1698871,-0.06,82.38
20241113,82.18,83.17,83.24,81.75,1720476,-0.69,82.33
20241112,82.75,83.59,83.83,82.63,1968949,-0.99,83.07
20241111,83.58,82.99,84.06,82.93,2209295,0.58,83.65
20241108,83.1,81.8,83.43,81.37,2012253,2.03,82.97
20241107,81.45,81.15,82.12,80.67,2577347,0.34,81.47
20241106,81.17,81.9,82.5,81.05,3552814,-0.98,81.65
20241105,81.97,81.0,81.97,80.52,1875286,1.2,81.55
20241104,81.0,80.93,81.34,80.2,2855045,-0.16,80.73
20241101,81.13,82.62,82.82,81.04,2104209,-1.54,81.55
20241031,82.4,83.14,83.8,82.11,3122977,-1.01,82.71
20241030,83.24,82.19,84.4,81.8,2449660,0.12,83.26
20241029,83.14,83.61,84.07,82.59,2384084,-1.59,83.16
20241028,84.48,84.12,84.83,84.02,1585377,0.68,84.56
20241025,83.91,86.27,86.4,83.79,1681899,-2.0,84.29
20241024,85.62,86.25,86.31,85.39,1063211,-0.44,85.74
20241023,86.0,85.71,86.38,85.56,2307556,0.2,85.95
20241022,85.83,84.38,86.03,84.15,1831988,1.44,85.55
20241021,84.61,85.66,85.79,84.31,1873897,-0.96,84.66
20241018,85.43,84.76,85.5,84.12,1627123,0.93,85.17
20241017,84.64,86.02,86.23,84.33,2310325,-1.54,84.95
20241016,85.96,85.37,86.28,84.94,1725135,1.05,85.8
20241015,85.07,84.79,85.64,84.58,2083618,0.63,85.21
20241014,84.54,83.75,84.7,83.64,928579,1.11,84.49
20241011,83.61,83.39,83.84,83.2,1521109,0.72,83.6
20241010,83.01,84.33,84.96,82.96,1825572,-1.71,83.37
20241009,84.45,84.69,85.22,84.0,2217724,-0.52,84.58
20241008,84.89,84.86,85.44,84.5,1233017,0.27,84.97
20241007,84.66,85.37,85.47,84.36,1524810,-1.76,84.76
20241004,86.18,86.05,86.3,85.53,1462254,-0.54,86.07
