trade_date,close,open,high,low,vol,pct_change,vwap
20241231,74.98,74.88,75.5,74.35,1938190,1.06,74.83
20241230,74.19,73.84,74.62,72.79,2271180,-0.58,73.99
20241227,74.62,74.12,75.22,73.69,1851568,-0.51,74.4
20241226,75.0,74.88,75.89,74.51,1630831,-0.11,75.17
20241224,75.08,74.77,75.29,73.46,1162537,0.44,74.54
20241223,74.75,73.93,75.37,73.64,2912036,0.52,74.54
20241220,74.36,74.0,75.55,73.97,7562094,-0.46,74.64
20241219,74.7,74.99,76.4,73.89,3907324,-0.35,74.7
20241218,74.96,77.5,78.4,74.86,4055785,-4.12,76.15
20241217,78.18,79.43,80.07,78.16,3501752,-1.75,78.8
20241216,79.57,78.46,80.27,78.03,4431492,-0.59,79.45
20241213,80.04,81.0,82.11,79.17,2841256,-1.21,80.02
20241212,81.02,81.16,81.81,79.86,3392740,-0.25,81.1
20241211,81.22,81.76,82.71,80.82,4461543,-1.65,81.64
20241210,82.58,80.8,82.64,80.6,3759485,1.1,81.89
20241209,81.68,81.6,84.27,81.2,5315801,2.98,82.89
20241206,79.32,79.8,81.06,79.0,4859176,1.47,79.93
20241205,78.17,79.65,79.77,77.25,4167660,-1.41,78.12
20241204,79.29,77.59,79.41,77.46,5639969,2.34,78.7
20241203,77.48,75.44,77.67,74.8,6471340,1.97,76.65
20241202,75.98,72.51,76.07,71.56,4352188,5.35,74.62
20241129,72.12,72.32,73.12,71.51,3620653,-2.49,72.05
20241127,73.96,74.0,76.42,73.68,5266895,1.07,75.0
20241126,73.18,73.15,74.19,71.94,4401274,0.29,72.88
20241125,72.97,71.38,74.7,71.34,10007977,4.35,73.21
20241122,69.93,66.58,70.11,66.58,7098539,4.62,69.14
20241121,66.84,65.63,67.45,65.16,4123750,2.31,66.66
20241120,65.33,64.95,65.41,63.4,4684344,0.83,64.53
20241119,64.79,63.65,65.1,62.95,3936996,0.34,64.38
20241118,64.57,65.27,65.94,64.25,3265634,1.29,64.87
20241115,63.75,64.73,64.73,63.44,3617408,-1.67,63.95
20241114,64.83,63.43,65.31,63.15,3997868,3.13,64.5
20241113,62.86,63.06,63.9,62.43,4185410,0.19,63.22
20241112,62.74,64.24,64.24,62.29,5910043,-2.86,62.76
20241111,64.59,64.49,66.73,63.8,5764695,1.08,65.33
20241108,63.9,65.83,65.83,63.6,5543254,-3.63,64.14
20241107,66.31,64.17,67.76,63.77,6269414,4.79,66.61
20241106,63.28,65.49,65.73,62.88,8082262,-3.92,63.7
20241105,65.86,66.0,66.55,64.62,4820887,-0.89,65.83
20241104,66.45,67.28,68.45,66.18,6223070,-0.2,67.03
20241101,66.58,68.02,68.94,66.57,10975872,-3.42,67.61
20241031,68.94,65.9,72.6,63.36,27389125,-20.89,68.8
20241030,87.15,88.0,88.96,86.55,4610109,-1.8,87.7
20241029,88.75,88.5,89.41,87.43,3325261,0.03,88.75
20241028,88.72,87.84,92.46,87.27,5818859,1.68,89.35
20241025,87.25,88.83,88.98,87.13,2855467,-1.56,87.65
20241024,88.63,88.07,88.99,87.11,2221828,0.96,88.09
20241023,87.79,87.31,88.13,86.73,2065002,0.23,87.65
20241022,87.59,88.99,89.62,86.23,2637776,-1.87,87.85
20241021,89.26,89.73,90.4,88.09,2214065,-0.87,89.0
20241018,90.04,91.69,91.78,89.81,3016307,-0.99,90.53
20241017,90.94,91.0,91.24,89.1,3116570,0.1,90.46
20241016,90.85,90.01,91.54,89.27,3262922,-0.63,90.76
20241015,91.43,92.78,94.18,91.15,4636082,-3.19,92.16
20241014,94.44,95.5,95.68,93.32,2231488,-1.73,94.38
20241011,96.1,94.47,97.44,94.08,2860634,1.22,96.36
20241010,94.94,93.74,94.96,93.13,2112090,1.32,94.49
20241009,93.7,93.74,94.17,92.05,2213015,-0.22,93.45
20241008,93.91,93.28,94.17,91.19,3317646,-2.22,93.12
20241007,96.04,96.66,97.4,95.16,2651682,0.19,96.01
20241004,95.86,96.72,97.12,95.62,2232572,0.47,96.13
20241003,95.41,96.01,96.77,94.52,3095825,-1.76,95.53
