trade_date,close,open,high,low,vol,pct_change,vwap
20241231,368.9,370.0,372.7,367.92,1189281,0.03,369.15
20241230,368.8,369.51,369.62,365.04,1081265,-0.61,367.99
20241227,371.07,371.57,374.1,368.54,797852,-0.69,370.79
20241226,373.66,372.03,374.87,370.01,1114630,0.19,373.12
20241224,372.94,368.45,373.28,367.73,467370,0.55,371.62
20241223,370.89,367.63,371.43,366.32,1386345,1.35,369.03
20241220,365.96,365.66,372.0,364.86,3437651,-0.14,367.35
20241219,366.48,365.1,370.9,362.21,2362573,0.06,366.03
20241218,366.26,365.52,374.39,364.71,2207320,-0.01,370.09
20241217,366.3,367.83,374.0,363.54,2926276,-1.88,368.9
20241216,373.3,380.77,384.82,371.83,2595903,-2.13,376.57
20241213,381.41,378.21,387.7,375.29,1888318,0.8,382.75
20241212,378.39,387.65,390.27,377.97,1730151,-1.86,381.6
20241211,385.56,387.57,389.84,380.38,2066917,-1.1,384.39
20241210,389.86,394.56,398.24,387.7,2014917,-1.47,391.15
20241209,395.66,383.69,397.79,383.53,2317855,3.54,392.81
20241206,382.14,393.84,394.39,379.29,2720515,-2.76,383.88
20241205,392.98,399.65,400.14,391.85,1691499,-1.78,394.45
20241204,400.11,407.53,410.0,397.6,1861719,-1.95,401.28
20241203,408.07,411.49,412.34,406.78,1401649,-0.57,409.62
20241202,410.39,408.79,412.21,404.06,1612824,0.84,409.57
20241129,406.96,401.01,409.75,400.44,1580924,1.05,407.26
20241127,402.75,401.47,407.73,401.46,1178754,0.2,403.88
20241126,401.96,408.75,408.75,398.02,1540635,-1.38,401.41
20241125,407.6,404.47,409.77,403.52,2461978,1.25,407.71
20241122,402.55,403.15,406.73,400.34,1178879,-0.26,402.73
20241121,403.6,398.94,403.83,397.74,1368565,1.54,401.75
20241120,397.48,396.14,400.03,391.02,2389028,0.83,397.3
20241119,394.2,397.17,400.0,391.83,1998934,-1.62,395.36
20241118,400.7,400.0,403.68,397.92,1464938,0.0,400.53
20241115,400.69,405.0,408.7,398.43,2612540,-1.56,401.2
20241114,407.04,411.56,414.36,405.15,1783745,-0.94,408.38
20241113,410.89,412.8,415.74,410.19,1448066,-0.49,412.0
20241112,412.92,424.13,425.25,410.32,2027174,-2.93,415.11
20241111,425.39,423.98,431.05,423.43,1513441,0.66,426.93
20241108,422.62,430.13,431.13,421.61,1538072,-1.57,424.34
20241107,429.34,430.81,433.38,425.12,2228222,0.1,427.99
20241106,428.93,412.88,432.48,408.07,3148732,2.67,425.56
20241105,417.77,416.74,421.93,415.0,2046402,-0.02,418.02
20241104,417.86,415.0,419.61,413.62,1845884,0.93,417.14
20241101,414.01,409.01,416.62,408.46,2306843,2.03,414.09
