trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,269.17,271.72,250.51,253.31,3091412,-4.4,255.34
2023-01-04,252.45,256.22,246.76,251.64,3604487,-0.66,251.5
2023-01-05,248.55,251.85,239.41,240.37,4099258,-4.48,243.83
2023-01-06,240.82,241.74,230.1,233.65,5401547,-2.8,234.6
2023-01-09,236.36,243.17,227.14,227.94,4657992,-2.44,234.1
2023-01-10,227.36,233.45,224.45,229.83,3655783,0.83,229.4
2023-01-11,229.22,242.0,229.01,238.82,5298594,3.91,238.13
2023-01-12,240.86,243.22,230.55,241.72,3699830,1.21,238.26
2023-01-13,238.42,251.65,238.42,245.83,3965452,1.7,245.28
2023-01-17,249.08,260.98,245.17,251.06,4427977,2.13,254.22
2023-01-18,255.0,260.0,245.4,250.31,3632192,-0.3,251.38
2023-01-19,245.9,249.25,222.91,222.97,6219688,-10.92,231.17
2023-01-20,224.75,227.9,219.83,222.54,6102238,-0.19,223.1
2023-01-23,223.58,234.33,217.97,228.44,4818285,2.65,228.01
2023-01-24,222.5,223.95,215.28,219.47,5967625,-3.93,219.06
2023-01-25,207.17,211.71,201.68,210.32,6627852,-4.17,207.2
2023-01-26,213.9,214.49,203.61,208.02,3510148,-1.09,208.05
2023-01-27,206.65,213.59,204.67,210.09,3731410,1.0,209.99
2023-01-30,208.43,217.99,206.25,212.22,4017912,1.01,213.51
2023-01-31,212.17,221.58,212.15,221.38,4161949,4.32,218.2
2023-02-01,221.26,229.64,216.91,227.14,4137605,2.6,223.39
2023-02-02,232.7,235.9,222.2,227.7,4405246,0.25,227.89
2023-02-03,220.0,227.9,219.43,222.93,2506050,-2.09,223.63
2023-02-06,224.13,231.68,220.57,222.99,3758653,0.03,225.14
2023-02-07,225.88,230.11,219.56,228.46,6312289,2.45,224.86
2023-02-08,246.9,247.0,214.79,218.87,14098016,-4.2,223.9
2023-02-09,221.71,222.49,202.76,209.6,9220445,-4.24,207.96
2023-02-10,208.91,220.29,206.86,212.07,6710942,1.18,214.35
2023-02-13,212.88,217.07,208.5,212.57,3597030,0.24,213.06
2023-02-14,208.0,211.39,199.03,208.35,6190899,-1.99,205.38
2023-02-15,208.88,218.62,207.17,217.87,4547465,4.57,215.07
2023-02-16,212.5,217.12,202.67,202.8,4941031,-6.92,209.54
2023-02-17,202.65,206.58,202.04,204.99,4082797,1.08,204.27
2023-02-21,203.69,207.0,200.5,201.65,3275578,-1.63,203.98
2023-02-22,202.47,205.0,198.5,203.57,2399699,0.95,202.47
2023-02-23,207.0,208.82,198.13,204.71,2971838,0.56,203.69
2023-02-24,199.46,203.16,196.25,198.96,2776834,-2.81,198.7
2023-02-27,205.47,213.28,203.36,210.78,4119836,5.94,210.25
2023-02-28,209.82,213.49,207.15,210.53,2807004,-0.12,211.33
2023-03-01,212.21,216.39,210.0,212.95,2632958,1.15,213.7
2023-03-02,209.34,212.35,207.44,211.56,1804700,-0.65,210.02
2023-03-03,213.36,219.18,210.77,217.16,2547321,2.65,215.75
2023-03-06,218.57,230.44,217.61,225.35,4529602,3.77,226.59
2023-03-07,225.17,227.67,219.46,224.21,2938489,-0.51,223.97
2023-03-08,222.72,223.58,213.66,218.31,3170379,-2.63,216.74
2023-03-09,219.18,224.41,214.65,215.85,2564006,-1.13,219.22
2023-03-10,217.07,221.52,207.54,210.22,3675692,-2.61,212.96
2023-03-13,209.17,215.59,203.11,211.53,3146932,0.62,210.71
