trade_date,close,open,high,low,vol,pct_change,vwap
20241231,285.44,284.31,285.71,282.25,339564,0.93,284.74
20241230,282.8,282.32,283.62,278.74,249498,-0.57,281.98
20241227,284.43,285.9,288.55,283.43,297187,-1.14,284.75
20241226,287.71,286.18,289.2,285.72,219246,0.32,287.99
20241224,286.79,284.6,286.81,282.27,120735,0.87,285.66
20241223,284.33,282.31,284.94,281.1,386096,0.2,283.8
20241220,283.76,280.42,287.25,280.31,1393263,1.7,283.82
20241219,279.01,283.62,287.0,278.14,448814,-1.75,281.54
20241218,283.99,293.75,297.96,283.7,427100,-3.44,287.78
20241217,294.1,295.0,297.37,292.71,503829,-1.66,294.43
20241216,299.05,300.02,303.52,298.73,304001,-0.25,300.31
20241213,299.79,301.41,303.25,298.55,213387,-0.83,299.88
20241212,302.3,298.23,306.32,296.65,241808,1.43,303.2
20241211,298.04,300.13,302.0,296.82,286463,0.14,298.26
20241210,297.63,301.75,301.76,295.9,352914,-1.12,297.97
20241209,301.0,299.83,301.53,296.83,411624,0.3,299.8
20241206,300.1,301.65,301.66,298.46,310229,0.14,299.87
20241205,299.67,298.96,302.3,298.89,250378,-0.57,300.11
20241204,301.39,301.87,301.87,299.33,271858,0.13,301.06
20241203,301.0,305.5,305.5,300.96,322854,-1.02,302.73
20241202,304.09,308.5,308.5,302.93,294454,-2.05,304.82
20241129,310.46,313.31,313.7,309.66,238721,-0.76,311.33
20241127,312.84,312.0,314.65,311.51,220615,1.0,313.25
20241126,309.75,310.0,311.25,308.24,272618,0.05,309.96
20241125,309.6,306.87,311.74,305.38,404147,1.33,309.46
20241122,305.53,304.63,309.14,304.63,213666,0.39,306.26
20241121,304.34,300.62,306.16,299.91,240715,1.25,304.06
20241120,300.59,299.96,300.97,297.57,238449,-0.39,300.06
20241119,301.78,301.81,302.73,298.66,269342,-0.25,301.66
20241118,302.54,300.63,303.32,300.13,250128,0.26,301.81
20241115,301.76,302.67,303.59,299.67,316714,-0.32,301.57
20241114,302.74,305.72,306.89,302.46,241975,-1.48,303.96
20241113,307.28,303.63,308.37,303.13,248371,2.15,306.88
20241112,300.81,304.05,305.55,300.73,253011,-1.09,301.85
20241111,304.14,304.71,308.14,303.8,234648,-0.17,305.13
20241108,304.66,298.32,305.99,298.04,403413,2.74,304.45
20241107,296.54,293.76,297.58,292.41,340359,0.95,296.1
20241106,293.76,294.23,299.48,290.56,836428,0.95,294.61
20241105,291.0,279.08,291.01,276.22,362681,3.7,288.12
20241104,280.61,275.71,280.71,275.6,360767,1.31,279.29
20241101,276.97,283.23,284.6,276.46,485418,-2.43,278.66
20241031,283.86,291.07,291.42,283.71,594126,-3.46,285.89
20241030,294.02,298.0,298.7,292.0,470711,-1.48,294.61
20241029,298.43,299.76,299.93,295.99,337569,-0.41,298.68
20241028,299.67,298.18,300.43,296.46,267442,1.36,299.39
20241025,295.65,303.49,303.49,295.21,228191,-2.02,297.16
20241024,301.76,301.44,302.26,299.31,336992,0.6,301.35
20241023,299.96,294.39,301.89,294.39,342538,2.24,299.45
20241022,293.4,290.91,294.88,290.91,206517,0.7,293.24
20241021,291.37,293.42,295.12,288.94,346017,-1.73,291.43
20241018,296.5,295.7,297.69,294.6,198513,0.76,296.5
20241017,294.25,297.1,298.74,293.15,291794,-1.09,294.62
20241016,297.48,292.86,297.81,292.86,224946,1.66,296.69
20241015,292.62,292.93,297.1,291.96,457672,0.44,293.92
20241014,291.35,287.88,292.0,286.27,192827,1.14,290.85
20241011,288.08,287.76,288.11,284.86,312231,0.97,286.92
20241010,285.31,286.69,289.45,283.72,247893,-1.0,285.45
20241009,288.19,288.81,289.5,284.9,361998,-0.1,287.56
20241008,288.48,290.0,290.0,285.65,427125,0.2,287.7
20241007,287.91,288.28,288.74,285.79,278050,-0.68,287.65
20241004,289.88,288.9,291.24,286.28,344486,0.05,289.51
20241003,289.73,293.32,293.32,288.25,294727,-1.13,289.61
20241002,293.04,290.14,293.39,289.18,301469,0.11,292.15
20241001,292.71,296.79,296.79,290.33,466774,-0.92,292.55
20240930,295.42,290.1,296.06,290.1,617077,0.28,294.82
20240927,294.6,296.86,296.86,292.99,390099,0.15,294.96
20240926,294.17,297.58,298.32,292.76,470913,-1.12,295.07
20240925,297.5,301.8,303.27,296.75,552633,-0.91,298.64
20240924,300.23,302.0,305.45,300.02,765812,-3.04,301.41
20240923,309.65,308.21,312.39,306.98,584667,1.12,309.41
20240920,306.21,312.51,312.97,305.76,1278135,-1.99,307.31
20240919,312.42,314.06,316.31,309.32,354007,0.06,311.97
20240918,312.24,313.11,316.79,311.32,228487,0.03,312.92
20240917,312.14,314.45,317.73,311.35,317074,-0.96,313.93
20240916,315.15,314.79,316.12,311.51,393620,0.35,315.03
20240913,314.05,311.8,314.31,309.41,371925,1.23,312.33
20240912,310.22,309.1,310.25,305.31,249154,0.64,308.8
20240911,308.26,305.32,308.26,303.17,309174,0.0,307.03
20240910,308.27,301.55,308.6,300.27,266956,2.74,306.74
20240909,300.05,298.98,301.58,297.13,520503,0.62,299.91
20240906,298.21,301.12,301.12,294.8,463008,-1.26,296.94
20240905,302.01,304.04,306.89,299.98,305820,0.13,301.71
20240904,301.63,302.95,307.75,300.23,349479,-0.35,302.35
20240903,302.69,300.65,304.0,299.28,237398,0.3,302.39
20240830,301.79,298.66,302.05,297.42,342212,1.25,300.86
20240829,298.05,295.63,299.71,294.53,320310,0.66,297.68
20240828,296.09,297.0,297.71,294.14,337820,0.19,296.28
20240827,295.54,292.65,295.67,292.0,325548,0.31,293.97
