trade_date,close,open,high,low,vol,pct_change,vwap
20241231,37.64,37.73,37.79,37.39,5347688,0.03,37.6
20241230,37.63,37.45,37.71,37.06,4143563,0.53,37.53
20241227,37.43,37.21,37.63,37.12,3668974,-0.05,37.44
20241226,37.45,37.36,37.54,37.28,3591446,-0.19,37.44
20241224,37.52,37.33,37.55,37.19,1853407,0.51,37.44
20241223,37.33,36.99,37.38,36.8,6071848,0.84,37.25
20241220,37.02,37.09,37.26,36.55,20812442,-0.46,37.0
20241219,37.19,36.62,37.73,36.49,14686157,1.72,37.28
20241218,36.56,36.5,36.77,36.41,8590434,0.11,36.58
20241217,36.52,36.09,36.63,35.94,7369324,0.83,36.49
20241216,36.22,36.89,36.96,36.2,4925078,-1.76,36.45
20241213,36.87,36.67,37.05,36.58,6359977,0.11,36.88
20241212,36.83,37.0,37.11,36.67,7086633,0.19,36.85
20241211,36.76,37.32,37.39,36.6,6006684,-1.5,36.9
20241210,37.32,37.53,37.53,36.91,5170996,-0.32,37.31
20241209,37.44,37.79,37.97,37.41,5982660,-1.08,37.61
20241206,37.85,37.9,38.04,37.73,6917328,-0.34,37.84
20241205,37.98,37.94,38.24,37.81,4652496,0.34,38.04
20241204,37.85,38.07,38.2,37.53,4122484,-0.76,37.85
20241203,38.14,38.39,38.73,38.12,5949973,-0.6,38.32
20241202,38.37,39.48,39.54,38.29,5459297,-3.01,38.47
20241129,39.56,39.5,39.69,39.34,2407408,0.13,39.55
20241127,39.51,39.41,39.88,39.37,4120777,0.05,39.59
20241126,39.49,39.18,39.58,39.16,5085149,0.92,39.43
20241125,39.13,38.95,39.27,38.69,6966422,1.08,39.09
20241122,38.71,39.36,39.56,38.68,3924355,-1.53,38.92
20241121,39.31,38.72,39.36,38.5,7267699,1.5,39.17
20241120,38.73,39.2,39.24,38.26,5512281,-0.95,38.69
20241119,39.1,39.07,39.22,38.71,6069867,-0.33,39.05
20241118,39.23,39.05,39.39,38.74,7260668,0.31,39.19
20241115,39.11,38.11,39.19,38.11,9038438,2.6,38.87
20241114,38.12,38.23,38.39,38.08,4661824,-0.05,38.18
20241113,38.14,38.24,38.4,37.8,6174664,-0.05,38.08
20241112,38.16,38.27,38.54,38.05,3811954,-0.62,38.24
20241111,38.4,38.09,38.51,38.01,6534012,0.76,38.39
20241108,38.11,37.92,38.32,37.83,4920801,0.05,38.14
20241107,38.09,38.33,38.49,38.02,5481586,-0.6,38.19
20241106,38.32,38.25,38.6,37.85,8624727,-0.39,38.31
20241105,38.47,37.97,38.49,37.76,4587281,1.32,38.32
20241104,37.97,38.07,38.4,37.76,7225106,-0.47,38.0
20241101,38.15,39.24,39.59,38.11,5713281,-2.93,38.47
20241031,39.3,39.67,39.83,39.27,9128426,-1.01,39.41
20241030,39.7,39.53,40.06,39.21,7495531,0.38,39.75
20241029,39.55,39.89,40.0,39.45,5496184,-1.69,39.62
20241028,40.23,40.17,40.51,40.17,4288676,0.4,40.29
20241025,40.07,40.97,41.01,39.98,5391012,-1.57,40.25
20241024,40.71,40.8,41.0,40.52,5217512,-0.07,40.71
20241023,40.74,40.39,40.78,40.39,6222449,0.52,40.67
20241022,40.53,40.38,40.65,40.27,5676473,0.07,40.53
20241021,40.5,40.9,41.02,40.49,4860723,-1.1,40.6
20241018,40.95,40.74,41.13,40.45,5784715,0.44,40.91
20241017,40.77,41.03,41.18,40.67,5703934,-0.49,40.81
20241016,40.97,40.61,41.02,40.51,7162551,1.01,40.9
20241015,40.56,40.17,40.8,40.08,5270961,1.58,40.56
20241014,39.93,39.74,40.1,39.71,5398910,0.48,39.89
20241011,39.74,39.24,39.93,39.24,5000145,1.2,39.75
20241010,39.27,39.61,39.87,39.24,3955070,-0.83,39.41
20241009,39.6,39.5,39.78,39.36,3616003,-0.03,39.58
20241008,39.61,39.68,39.99,39.54,4606418,0.18,39.7
20241007,39.54,39.99,40.0,39.5,4300145,-1.67,39.61
20241004,40.21,40.4,40.59,40.06,6297363,-1.4,40.23
20241003,40.78,41.0,41.02,40.62,4092173,-0.42,40.79
20241002,40.95,40.59,41.12,40.58,4702527,0.44,40.86
20241001,40.77,40.55,41.04,40.44,7329250,0.54,40.74
20240930,40.55,40.38,40.68,40.08,8310363,0.42,40.55
20240927,40.38,40.14,40.56,40.05,5676949,1.13,40.42
20240926,39.93,39.82,40.29,39.81,3103519,-0.15,39.98
20240925,39.99,40.22,40.23,39.62,5830508,0.0,39.93
20240924,39.99,40.25,40.49,39.75,9059379,-1.01,40.08
20240923,40.4,40.45,40.45,40.08,5674129,0.32,40.28
20240920,40.27,39.65,40.76,39.52,18779567,2.49,40.25
20240919,39.29,39.34,39.45,38.88,6674317,-0.53,39.23
20240918,39.5,40.18,40.23,39.29,6876477,-1.74,39.67
20240917,40.2,40.36,40.52,40.11,6829067,-0.57,40.27
20240916,40.43,40.41,40.63,40.2,7764098,0.5,40.45
20240913,40.23,39.93,40.27,39.69,6605602,0.93,40.09
20240912,39.86,39.39,39.93,39.12,19386102,1.42,39.63
20240911,39.3,38.89,39.38,38.63,10849383,0.64,39.03
20240910,39.05,38.85,39.21,38.72,7437152,0.83,38.99
20240909,38.73,38.38,38.87,38.2,5626172,1.39,38.71
20240906,38.2,38.45,38.66,38.17,4410828,-0.57,38.32
20240905,38.42,39.11,39.25,38.28,7433676,-1.21,38.51
20240904,38.89,38.67,39.26,38.65,5844703,1.04,38.9
20240903,38.49,38.12,38.68,38.0,7086727,1.05,38.41
20240830,38.09,37.99,38.2,37.82,6376965,0.16,38.05
20240829,38.03,38.0,38.05,37.54,3672087,0.37,37.91
20240828,37.89,37.71,38.27,37.64,4884238,0.56,37.92
20240827,37.68,38.0,38.06,37.63,4488469,-0.76,37.73
20240826,37.97,37.97,38.18,37.9,2859904,0.48,37.99
20240823,37.79,38.0,38.09,37.7,3688168,-0.24,37.83
20240822,37.88,37.75,37.96,37.69,5662695,0.03,37.84
20240821,37.87,37.59,38.17,37.57,4897637,0.88,37.94
