trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,102.7,103.29,101.95,103.12,1109856,1.02,102.84
2023-01-04,103.69,105.21,102.93,104.3,1623145,1.14,104.0
2023-01-05,103.26,104.0,102.38,103.06,1407209,-1.19,103.24
2023-01-06,104.25,106.43,103.48,106.27,1348179,3.11,105.48
2023-01-09,106.33,109.71,106.33,107.91,1407520,1.54,108.45
2023-01-10,108.22,108.94,105.91,106.62,1231308,-1.2,106.78
2023-01-11,106.63,108.54,106.31,108.46,1256622,1.73,107.92
2023-01-12,108.12,108.49,106.42,108.36,1155075,-0.09,107.98
2023-01-13,108.05,108.54,106.57,106.99,991836,-1.26,107.04
2023-01-17,106.2,106.91,105.33,106.1,1739195,-0.83,105.97
2023-01-18,106.71,109.22,105.25,105.39,1467479,-0.67,106.61
2023-01-19,105.12,105.53,102.94,103.64,1512499,-1.66,103.75
2023-01-20,104.23,105.52,103.14,104.84,4668719,1.16,104.75
2023-01-23,104.96,107.68,104.73,106.9,1191172,1.96,106.45
2023-01-24,106.82,107.31,105.77,106.43,875325,-0.44,106.62
2023-01-25,104.76,106.03,103.38,105.84,922810,-0.55,105.09
2023-01-26,106.67,106.83,104.44,106.29,1014721,0.43,105.85
2023-01-27,106.4,107.63,105.73,105.81,873809,-0.45,106.21
2023-01-30,105.28,105.99,103.44,103.65,1014196,-2.04,104.13
2023-01-31,104.11,106.31,103.86,106.24,2329158,2.5,105.71
2023-02-01,106.41,112.7,106.19,111.65,1948501,5.09,110.36
2023-02-02,111.42,117.78,111.42,116.77,4961078,4.59,115.86
2023-02-03,115.02,115.44,113.72,114.96,1116938,-1.55,114.77
2023-02-06,114.7,115.28,111.86,112.33,1579448,-2.29,112.6
2023-02-07,112.32,112.56,110.28,111.95,1174250,-0.34,111.85
2023-02-08,111.98,112.14,109.93,110.99,980190,-0.86,111.06
2023-02-09,112.7,113.07,109.8,109.91,1208872,-0.97,110.85
2023-02-10,108.79,110.63,108.7,109.98,1572469,0.06,110.01
2023-02-13,109.56,111.03,109.25,110.84,1010375,0.78,110.66
2023-02-14,110.66,111.67,109.76,111.11,922993,0.24,110.82
2023-02-15,110.34,111.83,109.83,111.56,1090710,0.41,111.3
2023-02-16,109.72,111.11,109.41,110.21,1053733,-1.21,110.32
2023-02-17,110.13,110.33,108.51,109.43,1231400,-0.71,109.37
2023-02-21,105.6,106.7,102.58,103.34,2390288,-5.57,103.71
2023-02-22,103.72,104.9,102.57,103.34,1155012,0.0,103.65
2023-02-23,104.32,106.0,104.09,105.83,1180295,2.41,105.41
2023-02-24,104.68,105.9,104.2,105.29,927079,-0.51,105.21
2023-02-27,106.72,106.97,103.73,103.91,1340794,-1.31,104.5
2023-02-28,103.53,104.22,102.49,102.71,1884805,-1.15,103.05
2023-03-01,102.95,104.2,102.03,103.51,1398148,0.78,103.41
2023-03-02,102.89,108.23,102.68,108.0,1911977,4.34,106.68
2023-03-03,108.35,108.89,106.91,107.46,1554909,-0.5,107.49
2023-03-06,107.24,109.33,106.94,107.86,1653869,0.37,107.87
