trade_date,close,open,high,low,vol,pct_change,vwap
20241231,149.6,148.23,149.75,147.59,925567,1.6,149.09
20241230,147.25,147.4,147.77,145.71,823796,-0.57,147.01
20241227,148.09,148.55,150.09,147.76,573970,-1.01,148.47
20241226,149.6,148.29,150.01,147.02,561896,0.03,149.55
20241224,149.56,147.16,149.56,146.59,433814,1.11,148.75
20241223,147.92,146.25,148.31,145.6,999450,0.63,147.74
20241220,147.0,144.01,149.48,143.56,3516462,3.27,146.83
20241219,142.35,147.34,148.74,142.09,1463107,-3.6,143.8
20241218,147.66,153.86,154.85,147.5,1023970,-4.42,150.03
20241217,154.49,154.83,156.35,154.13,1082824,-0.71,154.95
20241216,155.6,156.79,158.19,155.4,785056,-1.64,156.61
20241213,158.2,158.73,159.49,157.46,861209,-0.45,158.26
20241212,158.92,159.02,160.94,158.39,876129,-0.38,159.19
20241211,159.52,160.85,162.21,158.31,705779,-0.54,159.36
20241210,160.38,164.51,164.51,159.61,1370498,-2.51,160.58
20241209,164.51,164.09,165.46,162.65,989640,0.59,163.98
20241206,163.54,164.0,165.54,162.42,629099,-0.06,163.34
20241205,163.64,163.33,164.28,162.6,507262,-0.22,163.48
20241204,164.0,165.0,165.56,163.74,567423,-0.93,164.19
20241203,165.54,170.51,170.51,165.05,1060468,-2.47,166.04
20241202,169.73,170.96,171.24,169.15,626770,-0.72,169.98
20241129,170.96,172.41,173.81,170.79,1273975,-1.0,171.76
20241127,172.68,173.31,175.57,172.66,610466,0.58,173.65
20241126,171.68,169.91,172.39,168.62,623053,0.75,171.03
20241125,170.41,169.53,174.2,169.39,1353795,1.35,171.21
20241122,168.14,167.55,168.68,167.09,547090,0.76,168.0
20241121,166.88,165.06,168.19,163.97,683508,1.11,166.89
20241120,165.04,164.23,165.56,162.26,694927,-0.28,164.71
20241119,165.51,164.9,166.5,164.25,901122,0.37,165.47
20241118,164.9,163.48,165.18,163.38,768101,0.21,164.64
20241115,164.56,161.26,165.12,161.26,1130125,0.69,164.04
20241114,163.43,163.44,165.15,161.84,860031,-0.37,163.45
20241113,164.04,165.15,165.31,162.88,706720,0.91,163.98
20241112,162.56,164.38,165.79,161.92,1421781,-1.76,163.41
20241111,165.48,166.84,168.68,165.25,824977,-1.32,166.14
20241108,167.7,165.01,169.38,164.46,707962,2.17,167.91
20241107,164.14,162.4,164.46,161.04,747188,1.92,163.45
20241106,161.04,168.18,169.01,156.79,1678429,-4.45,160.07
20241105,168.54,162.63,168.7,161.57,774103,3.07,167.04
20241104,163.52,162.1,163.73,161.12,1160314,1.48,162.79
20241101,161.13,163.3,165.26,161.12,749569,-1.33,162.22
20241031,163.3,163.69,166.97,162.4,1332185,-0.87,164.56
20241030,164.74,164.64,168.95,163.69,1525073,-0.53,165.4
20241029,165.62,166.53,167.98,165.03,1311564,-1.1,165.93
20241028,167.46,167.95,169.57,166.53,563895,0.64,167.47
20241025,166.4,168.39,169.28,166.02,462136,-1.12,166.91
20241024,168.28,169.15,170.04,168.16,596277,-0.46,168.64
20241023,169.06,166.28,169.92,165.67,813972,1.75,168.91
20241022,166.15,164.6,167.1,164.2,626673,0.82,165.95
20241021,164.8,169.12,170.18,164.6,675706,-3.78,165.62
20241018,171.28,170.92,171.86,169.12,980658,0.74,170.91
20241017,170.03,172.05,172.56,169.51,1260553,-1.21,170.2
20241016,172.12,171.17,172.88,170.91,1016416,0.58,172.27
20241015,171.13,171.97,174.65,170.69,937672,-0.01,172.3
20241014,171.14,169.19,171.56,168.59,527384,0.35,170.89
20241011,170.54,170.37,171.15,169.23,630229,0.45,170.21
20241010,169.77,170.99,172.72,169.45,1178527,-1.3,170.16
20241009,172.01,171.01,172.31,170.21,895873,0.61,171.27
20241008,170.96,170.54,171.56,169.76,1263302,0.92,170.83
20241007,169.4,169.18,169.43,166.78,831364,-0.05,168.59
20241004,169.48,174.63,174.63,169.3,991981,-3.87,170.41
20241003,176.31,177.54,177.67,174.84,641679,-0.52,176.04
20241002,177.23,176.12,177.44,174.53,542751,-0.59,176.55
20241001,178.28,181.42,181.42,177.23,751587,-1.06,178.54
20240930,180.19,176.44,180.66,176.26,1587862,1.67,179.38
20240927,177.23,178.0,178.4,176.38,1558747,0.35,177.34
20240926,176.61,181.32,181.52,175.44,2336495,-2.61,177.87
20240925,181.34,182.54,182.89,180.99,603051,-0.45,181.57
20240924,182.16,182.2,183.08,181.22,727854,-0.54,182.13
20240923,183.14,181.67,183.22,180.35,1086320,1.51,182.1
20240920,180.41,178.34,180.6,177.2,2421629,0.18,179.71
20240919,180.09,183.49,183.49,178.91,1263255,-0.86,180.1
20240918,181.65,181.59,184.87,180.57,1406752,1.61,181.87
20240917,178.78,177.48,179.42,176.28,1635807,0.65,178.63
20240916,177.63,176.97,178.34,175.62,1273994,-0.15,177.62
20240913,177.9,178.14,178.93,176.24,791031,0.35,177.38
20240912,177.28,176.27,177.54,174.75,736618,0.72,176.55
20240911,176.02,174.68,176.29,172.2,853058,-0.81,175.0
20240910,177.45,175.55,178.33,175.34,836854,1.55,177.11
20240909,174.74,174.06,176.34,172.71,906023,0.67,175.19
20240906,173.58,173.46,174.07,171.22,992522,0.01,172.95
20240905,173.56,177.13,178.0,173.15,808065,-1.24,174.25
20240904,175.74,176.26,178.54,174.65,889503,-0.2,175.7
20240903,176.1,176.4,177.91,174.49,751674,-0.51,176.29
20240830,177.0,176.36,177.3,174.3,755477,0.83,176.66
20240829,175.54,174.71,176.89,173.66,516346,0.48,175.4
20240828,174.71,177.4,178.36,173.47,709413,-2.0,175.03
20240827,178.28,176.56,178.94,175.72,507643,0.33,178.18
20240826,177.7,178.96,179.23,176.91,722675,-0.29,177.62
20240823,178.22,174.23,178.63,173.25,791986,2.6,177.26
20240822,173.7,171.83,173.81,171.22,674932,1.57,173.03
20240821,171.02,169.98,171.28,167.58,439269,0.98,170.28
20240820,169.36,169.45,170.0,168.44,476641,0.08,169.14
20240819,169.23,167.8,169.23,166.96,450680,1.17,168.73
20240816,167.27,166.13,168.52,165.16,868849,0.66,166.72
20240815,166.17,166.93,167.92,165.16,814581,-0.31,166.54
20240814,166.68,165.98,167.88,165.57,869952,0.45,166.53
20240813,165.94,165.79,166.18,163.35,494303,1.12,165.42
20240812,164.11,163.83,164.71,162.35,545414,-0.17,163.66
20240809,164.39,163.88,165.18,162.0,500101,0.74,164.05
20240808,163.18,160.89,163.29,159.98,701445,0.96,162.27
20240807,161.63,163.5,165.57,160.53,1155213,-0.96,162.97
20240806,163.2,157.86,165.33,157.04,1500191,2.81,163.03
20240805,158.74,162.73,164.42,157.89,1797304,-3.76,160.74
20240802,164.95,159.89,165.64,159.89,1446245,3.18,163.93
20240801,159.86,162.07,162.8,157.94,1257721,0.15,159.4
20240731,159.62,163.53,164.04,156.67,1687763,-2.13,160.42
20240730,163.1,164.33,165.75,161.95,1141316,-0.54,163.16
20240729,163.99,164.3,165.26,161.74,1010870,-0.38,163.66
20240726,164.61,162.53,165.93,160.73,741623,2.44,164.29
20240725,160.69,163.09,164.39,160.16,1010463,-0.73,161.9
20240724,161.87,166.3,167.6,161.52,849455,-2.77,163.94
20240722,165.77,164.53,165.84,162.35,712706,1.02,164.82
20240719,164.1,167.65,167.65,163.61,754115,-1.87,164.83
20240718,167.22,166.75,171.46,165.38,1053870,-0.35,167.89
20240717,167.81,165.03,167.96,164.79,1034139,1.82,167.02
20240716,164.81,163.46,165.64,162.89,823247,1.48,164.74
20240715,162.4,162.61,162.71,159.28,669037,0.3,161.76
20240712,161.92,160.17,163.15,159.81,801900,1.89,162.0
20240711,158.91,156.18,159.38,155.26,889653,3.38,158.17
20240710,153.72,154.53,154.89,152.36,725955,0.12,153.4
20240709,153.53,154.65,154.65,151.69,583292,-0.67,153.59
20240708,154.57,154.91,155.79,153.95,462017,0.14,154.56
20240705,154.36,154.8,154.8,152.78,484502,0.1,154.15
20240703,154.2,153.72,155.49,152.99,261357,0.31,154.24
20240702,153.72,151.92,154.24,151.65,637100,1.18,153.38
20240701,151.92,154.25,156.05,151.68,794913,-2.25,152.49
20240628,155.41,156.33,157.47,153.48,2260373,-0.21,154.95
20240627,155.74,157.32,158.17,154.32,1317723,-0.8,155.95
20240626,156.99,156.38,157.54,155.42,1114534,-0.13,156.77
20240625,157.2,159.39,159.39,156.37,776225,-1.34,157.32
20240624,159.33,158.35,160.99,157.2,926583,0.25,159.58
20240621,158.93,158.28,159.23,156.88,1576504,0.59,158.48
20240620,158.0,158.48,158.89,156.33,865433,-0.8,157.8
20240618,159.28,155.08,159.92,154.56,1499868,2.82,158.24
20240617,154.91,155.24,157.1,154.11,1311229,-1.06,155.08
20240614,156.57,156.49,158.23,154.78,1284193,-1.24,156.1
20240613,158.53,155.42,159.36,154.81,1233767,2.43,157.84
20240612,154.77,155.0,158.92,154.12,1560911,2.3,156.19
20240611,151.29,148.67,151.95,147.87,1003950,1.0,151.05
20240610,149.79,147.19,150.47,145.58,1182025,1.14,149.24
20240607,148.1,146.17,149.36,145.75,1015322,-0.26,147.92
20240606,148.48,147.34,149.07,146.12,553006,0.01,148.19
20240605,148.46,148.57,149.97,147.0,873367,0.27,148.47
20240604,148.06,144.9,149.54,144.46,738153,2.15,148.26
20240603,144.95,145.76,145.76,143.8,545010,0.12,144.85
20240531,144.77,143.13,145.4,142.59,1203136,2.18,144.68
20240530,141.68,140.05,141.75,139.44,539286,2.37,141.09
20240529,138.4,140.13,140.94,137.55,610193,-2.78,138.41
20240528,142.36,143.94,144.91,142.32,816659,-0.15,143.1
20240524,142.58,143.37,143.44,142.09,459697,-0.04,142.65
20240523,142.63,146.16,146.16,142.42,592441,-2.56,143.22
20240522,146.37,145.87,148.18,145.49,767903,0.2,146.91
20240521,146.08,149.65,150.21,144.49,1856672,-2.8,146.41
20240520,150.29,151.51,152.48,150.21,735438,-1.05,150.92
20240517,151.89,152.41,152.42,150.83,566808,0.36,151.74
20240516,151.35,151.1,153.63,151.1,718587,-0.48,151.87
20240515,152.08,151.83,152.39,150.38,943121,2.31,151.72
20240514,148.65,149.24,151.17,148.18,720302,0.51,149.19
20240513,147.89,147.64,149.08,146.66,608920,0.83,147.64
20240510,146.67,146.44,147.06,145.1,710200,0.31,146.31
20240509,146.22,141.69,146.25,141.12,945095,3.74,144.39
20240508,140.95,142.42,142.52,140.6,630294,-1.64,141.25
20240507,143.3,144.0,144.7,142.96,1123658,0.43,143.55
20240506,142.68,143.36,143.79,140.4,1070413,0.57,141.59
20240503,141.87,142.42,143.84,141.08,969123,1.49,141.92
20240502,139.79,140.03,140.58,137.6,1586453,0.79,139.25
20240501,138.7,138.81,142.79,136.44,2020462,3.29,139.09
20240430,134.28,135.47,137.38,134.17,1800208,-2.26,135.59
20240429,137.38,135.19,137.96,135.19,1101120,2.93,137.06
20240425,133.83,132.75,134.32,131.79,998654,-0.6,133.46
20240424,134.64,132.4,136.0,131.02,1147456,1.02,134.7
20240423,133.28,132.75,135.08,132.6,1162729,0.41,133.85
20240422,132.74,133.19,134.05,131.84,1220767,0.21,132.94
20240419,132.46,134.48,134.8,131.88,1481485,-1.3,132.97
20240418,134.2,136.28,136.86,133.64,1013493,-1.4,134.7
20240417,136.1,136.09,138.25,135.94,891769,0.21,136.71
20240416,135.81,137.19,137.43,134.37,1171073,-1.39,135.65
20240415,137.73,140.5,141.18,136.31,1490029,-2.1,137.91
20240412,140.69,142.29,142.61,140.01,683312,-1.75,140.91
20240411,143.2,143.45,144.07,140.04,824943,0.49,142.41
20240410,142.5,148.1,148.1,141.21,1295980,-6.49,142.84
20240409,152.39,150.0,152.56,149.83,959273,2.23,151.93
20240408,149.07,147.39,149.19,146.51,932234,1.88,148.12
20240405,146.32,144.53,146.55,143.67,946136,1.25,145.86
20240404,144.52,146.0,149.36,143.72,1033449,-0.37,145.96
20240403,145.06,145.42,145.75,142.65,1089168,-0.3,144.39
20240402,145.49,145.24,146.15,143.85,1230094,-0.85,145.0
20240401,146.74,147.01,147.73,145.83,840222,-0.18,146.76
20240328,147.0,147.21,148.62,146.14,1212940,0.17,147.08
20240327,146.75,142.16,147.36,141.83,1114056,4.48,145.89
20240326,140.46,140.6,141.99,140.46,797762,-0.03,141.06
20240325,140.5,141.6,142.54,140.28,922754,-0.61,140.98
20240322,141.36,142.81,142.83,140.34,1200935,-0.7,141.54
20240321,142.35,141.54,143.6,140.34,1368812,1.32,142.15
20240320,140.5,137.67,141.64,137.25,1824332,1.52,140.22
20240319,138.4,137.15,139.67,137.15,839033,0.24,138.56
20240318,138.07,139.28,140.07,137.92,937975,-0.9,138.68
20240315,139.33,140.31,142.53,139.02,2428626,-2.09,139.81
20240314,142.31,145.0,146.22,140.76,1208530,-3.74,142.6
20240313,147.84,150.5,151.57,147.2,1173157,-1.83,148.5
