trade_date,close,open,high,low,vol,pct_change,vwap
20241231,9.9,9.91,10.01,9.84,53653891,0.2,9.91
20241230,9.88,9.95,9.98,9.82,46831809,-1.5,9.9
20241227,10.03,10.03,10.2,9.98,52061235,-0.4,10.06
20241226,10.07,10.0,10.12,9.98,35111090,0.5,10.08
20241224,10.02,9.9,10.06,9.89,29065903,1.21,10.0
20241223,9.9,9.87,9.92,9.75,48608110,0.2,9.84
20241220,9.88,9.7,9.96,9.68,85862313,1.44,9.88
20241219,9.74,9.79,9.94,9.7,81659000,0.52,9.76
20241218,9.69,9.94,10.09,9.66,81715500,-2.81,9.86
20241217,9.97,9.96,10.04,9.88,74947500,-0.2,9.97
20241216,9.99,10.07,10.12,9.88,95453188,-3.85,10.01
20241213,10.39,10.4,10.44,10.32,37865622,0.0,10.37
20241212,10.39,10.38,10.51,10.35,38432618,-0.19,10.41
20241211,10.41,10.61,10.61,10.28,59594649,-1.42,10.38
20241210,10.56,10.72,10.74,10.55,43544282,-0.38,10.63
20241209,10.6,10.56,10.8,10.53,52837047,0.86,10.67
20241206,10.51,10.51,10.6,10.42,55484204,0.67,10.5
20241205,10.44,10.64,10.69,10.39,67840750,-2.79,10.49
20241204,10.74,10.85,10.87,10.59,66293938,-0.74,10.68
20241203,10.82,10.99,11.01,10.82,43662989,-1.46,10.88
20241202,10.98,11.22,11.24,10.96,49176329,-1.35,11.04
20241129,11.13,11.16,11.27,11.12,28919864,0.27,11.18
20241127,11.1,11.13,11.26,11.06,28218579,0.0,11.12
20241126,11.1,11.16,11.23,11.04,46859762,-2.63,11.13
20241125,11.4,11.3,11.52,11.28,60729067,1.97,11.42
20241122,11.18,10.81,11.38,10.8,81822938,3.52,11.19
20241121,10.8,10.78,10.85,10.61,53196387,0.65,10.77
20241120,10.73,11.01,11.05,10.61,67894250,-2.9,10.74
20241119,11.05,11.06,11.32,11.01,53059004,-1.43,11.11
20241118,11.21,11.05,11.27,11.03,47264274,1.82,11.21
20241115,11.01,11.05,11.15,10.98,58378622,-0.54,11.06
20241114,11.07,11.13,11.23,11.02,56521739,-0.27,11.12
20241113,11.1,11.12,11.17,11.02,50889856,0.0,11.1
20241112,11.1,11.14,11.3,10.95,44583633,-1.16,11.08
20241111,11.23,11.07,11.32,11.02,53294567,2.37,11.23
20241108,10.97,10.93,10.97,10.86,42705372,0.09,10.93
20241107,10.96,11.01,11.11,10.83,53835641,-2.06,10.99
20241106,11.19,10.95,11.23,10.84,99961500,5.57,11.08
20241105,10.6,10.33,10.64,10.3,48826700,2.32,10.55
20241104,10.36,10.23,10.57,10.23,55176477,1.37,10.42
20241101,10.22,10.33,10.41,10.2,43114711,-0.68,10.29
20241031,10.29,10.43,10.48,10.24,69610750,-1.72,10.31
20241030,10.47,10.4,10.53,10.33,48489282,0.58,10.44
20241029,10.41,10.53,10.55,10.18,155499440,-8.44,10.38
20241028,11.37,11.16,11.39,11.12,85205438,2.71,11.31
20241025,11.07,11.28,11.33,11.02,37762051,-1.51,11.12
20241024,11.24,11.24,11.25,11.07,44298094,1.63,11.17
20241023,11.06,11.11,11.24,11.02,37130485,-0.45,11.12
20241022,11.11,10.92,11.15,10.92,50485239,2.11,11.06
20241021,10.88,11.08,11.16,10.86,40437223,-1.98,10.96
20241018,11.1,11.16,11.17,11.04,25879340,0.27,11.11
20241017,11.07,11.04,11.13,10.94,37617184,0.36,11.07
20241016,11.03,10.89,11.18,10.89,42641032,1.75,11.05
20241015,10.84,10.91,11.02,10.82,49579672,-0.73,10.92
20241014,10.92,10.71,10.96,10.65,40771778,1.87,10.86
20241011,10.72,10.64,10.8,10.63,30118215,0.37,10.74
20241010,10.68,10.58,10.7,10.54,33977801,0.56,10.65
20241009,10.62,10.49,10.68,10.44,40162801,1.24,10.6
20241008,10.49,10.5,10.58,10.38,45978520,0.0,10.48
20241007,10.49,10.55,10.61,10.45,37794684,-0.76,10.51
