trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,37.04,38.13,36.69,37.01,8576059,-0.22,37.18
2023-01-04,37.09,38.21,36.82,38.07,10415594,2.86,37.75
2023-01-05,37.97,39.31,37.73,38.89,12340954,2.15,38.67
2023-01-06,39.74,41.58,39.57,41.27,16483778,6.12,41.03
2023-01-09,42.17,43.12,41.8,41.8,17009512,1.28,42.45
2023-01-10,42.2,43.75,41.98,43.64,16052512,4.4,43.13
2023-01-11,43.94,44.28,43.17,44.23,18910333,1.35,43.76
2023-01-12,44.59,44.9,43.32,44.17,12834856,-0.14,44.07
2023-01-13,43.83,44.49,43.56,44.12,11109598,-0.11,44.1
2023-01-17,43.76,44.25,43.13,43.24,12643958,-1.99,43.49
2023-01-18,44.34,45.42,42.98,43.01,19797391,-0.53,44.05
2023-01-19,42.18,43.55,42.09,43.23,13731223,0.51,42.82
2023-01-20,42.94,44.5,42.47,44.47,12365137,2.87,43.91
2023-01-23,44.3,44.61,43.21,44.02,11735790,-1.01,43.75
2023-01-24,41.82,44.56,41.82,43.67,9720797,-0.8,43.44
2023-01-25,43.31,45.76,43.06,45.67,18821743,4.58,44.72
2023-01-26,45.31,45.52,43.34,44.51,15945715,-2.54,44.2
2023-01-27,44.06,44.6,43.76,43.89,10871344,-1.39,44.14
2023-01-30,43.45,44.09,43.04,43.07,8850301,-1.87,43.43
2023-01-31,42.8,43.92,42.53,43.7,10931860,1.46,43.51
2023-02-01,43.35,44.38,42.29,43.88,13159918,0.41,43.31
2023-02-02,43.76,44.01,41.93,42.81,14696184,-2.44,42.75
2023-02-03,42.48,43.85,42.07,42.27,13162821,-1.26,42.77
2023-02-06,41.81,42.2,41.29,42.06,11026485,-0.5,41.88
2023-02-07,42.12,42.94,41.46,42.79,12585614,1.74,42.31
2023-02-08,42.39,42.7,42.0,42.13,6826113,-1.54,42.27
2023-02-09,43.06,43.17,41.69,42.05,9417766,-0.19,42.24
2023-02-10,41.82,41.85,40.95,41.48,8030387,-1.36,41.37
2023-02-13,40.93,41.61,40.45,41.24,8600621,-0.58,41.27
2023-02-14,41.1,42.25,40.68,42.09,9376223,2.06,41.7
2023-02-15,40.88,41.51,40.47,41.43,10789473,-1.57,41.16
2023-02-16,41.45,42.57,41.08,41.87,11010297,1.06,42.03
