trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,608.65,617.1,586.11,591.19,165263,-1.23,595.16
2023-01-04,596.54,609.8,596.16,609.04,117334,3.02,606.0
2023-01-05,601.06,606.41,589.5,596.9,146516,-1.99,597.7
2023-01-06,603.6,608.7,583.69,601.94,115677,0.84,600.06
2023-01-09,609.55,611.98,591.8,593.87,193283,-1.34,599.21
2023-01-10,588.48,591.62,575.39,585.86,253026,-1.35,583.2
2023-01-11,588.26,600.92,584.44,598.97,168387,2.24,595.55
2023-01-12,598.4,608.31,586.6,605.58,163850,1.1,603.62
2023-01-13,599.22,620.65,599.22,617.92,128997,2.04,615.82
2023-01-17,616.01,628.26,610.19,627.88,161389,1.61,624.82
2023-01-18,635.29,640.5,619.17,629.97,212055,0.33,629.22
2023-01-19,625.03,636.99,622.47,623.86,178572,-0.97,628.34
2023-01-20,623.39,649.92,623.39,649.18,199706,4.06,642.68
2023-01-23,648.39,658.21,640.53,649.95,217787,0.12,651.04
2023-01-24,653.12,657.58,638.0,640.22,243542,-1.5,644.62
2023-01-25,627.82,646.38,610.67,642.83,188732,0.41,637.41
2023-01-26,646.65,648.89,632.09,646.05,227523,0.5,641.33
2023-01-27,623.79,676.98,617.35,660.25,317427,2.2,657.09
2023-01-30,658.12,659.98,644.27,644.28,186002,-2.42,649.63
2023-01-31,643.52,668.45,640.12,665.95,286040,3.36,656.82
2023-02-01,662.47,686.23,653.19,682.68,204363,2.51,672.3
2023-02-02,693.62,710.0,685.27,690.32,214570,1.12,695.59
2023-02-03,671.73,692.79,671.73,681.32,209905,-1.3,684.47
2023-02-06,677.72,677.72,667.8,673.45,169793,-1.16,672.13
2023-02-07,666.35,680.85,657.2,677.53,162509,0.61,669.46
2023-02-08,677.41,682.47,667.65,676.85,217192,-0.1,676.04
2023-02-09,680.41,698.99,674.92,677.74,244374,0.13,683.39
2023-02-10,670.98,686.24,669.04,679.73,176071,0.29,678.45
2023-02-13,691.8,698.03,684.01,694.24,189645,2.13,693.31
2023-02-14,692.56,701.63,690.29,698.06,191637,0.55,698.03
2023-02-15,691.33,703.86,691.33,698.94,181689,0.13,699.7
2023-02-16,690.0,696.22,687.24,687.8,156479,-1.59,691.54
2023-02-17,674.68,687.24,665.8,682.19,207399,-0.82,678.41
2023-02-21,667.33,676.56,663.02,665.0,213572,-2.52,667.63
2023-02-22,666.62,668.34,654.69,663.48,169895,-0.23,662.97
2023-02-23,666.72,674.54,662.56,671.67,94431,1.23,668.9
2023-02-24,659.87,668.24,658.72,665.94,100101,-0.85,664.24
2023-02-27,671.18,672.72,666.43,670.41,119411,0.67,669.78
2023-02-28,671.85,686.74,671.85,677.39,292775,1.04,679.09
2023-03-01,675.54,682.79,670.32,682.79,194182,0.8,678.6
2023-03-02,681.17,687.77,679.49,687.52,101132,0.69,684.95
2023-03-03,690.84,708.54,688.5,705.23,172176,2.58,701.73
2023-03-06,706.99,711.41,696.58,696.58,278913,-1.23,704.29
2023-03-07,696.57,705.75,693.44,701.73,184989,0.74,701.03
2023-03-08,701.37,705.0,689.48,700.54,192444,-0.17,697.12
2023-03-09,700.94,711.85,696.38,696.43,265761,-0.59,702.82
2023-03-10,694.05,707.31,683.33,695.76,237226,-0.1,695.69
2023-03-13,689.12,693.09,662.19,682.89,486387,-1.85,680.4
2023-03-14,691.04,708.86,689.1,696.89,330437,2.05,696.62
2023-03-15,684.12,691.5,659.33,668.3,321960,-4.1,668.01
2023-03-16,669.4,697.67,666.5,679.97,314687,1.75,684.5
2023-03-17,677.21,693.61,651.08,654.94,5150035,-3.68,656.33
2023-03-20,654.5,684.49,650.0,682.55,309508,4.22,678.34
2023-03-21,686.14,700.37,676.08,696.88,246547,2.1,689.74
2023-03-22,694.06,696.07,677.71,678.7,217294,-2.61,686.75
2023-03-23,682.85,688.29,673.12,680.85,218650,0.32,680.66
2023-03-24,677.55,691.15,672.0,690.94,130569,1.48,684.75
2023-03-27,691.95,699.3,687.24,688.63,215383,-0.33,691.2
2023-03-28,686.25,690.96,674.8,679.52,180143,-1.32,680.02
2023-03-29,685.87,698.96,685.54,698.13,158964,2.74,694.65
2023-03-30,700.9,705.0,692.24,696.4,108508,-0.25,696.77
2023-03-31,696.4,703.02,694.71,702.69,364009,0.9,699.78
2023-04-03,700.0,702.46,686.83,689.84,225989,-1.83,690.14
2023-04-04,689.08,691.5,682.59,689.29,290461,-0.08,687.6
2023-04-05,687.53,693.41,676.6,676.62,102508,-1.84,679.27
2023-04-06,671.3,677.0,668.98,672.42,127596,-0.62,672.18
2023-04-10,668.12,680.19,664.41,679.57,129836,1.06,675.83
2023-04-11,678.54,688.39,675.37,678.96,167650,-0.09,679.51
2023-04-12,682.33,690.89,682.33,684.43,103639,0.81,686.38
2023-04-13,687.05,699.22,687.05,698.78,126523,2.1,696.13
2023-04-14,695.22,702.26,695.22,698.06,133272,-0.1,698.85
2023-04-17,700.68,703.46,686.91,696.47,115291,-0.23,693.72
2023-04-18,700.0,702.29,693.19,697.37,136083,0.13,697.64
2023-04-19,692.16,695.32,686.08,695.31,192053,-0.3,691.69
2023-04-20,693.65,704.15,692.87,703.44,216989,1.17,700.23
2023-04-21,707.62,728.85,707.06,719.23,305426,2.24,719.78
2023-04-24,722.51,726.56,712.65,713.56,232383,-0.79,715.9
2023-04-25,711.35,715.37,708.25,709.52,219849,-0.57,711.44
2023-04-26,710.96,723.89,708.0,714.36,308008,0.68,716.54
2023-04-27,724.16,736.37,719.17,734.68,251190,2.84,730.2
2023-04-28,719.22,758.0,718.22,727.95,412358,-0.92,738.31
2023-05-01,726.72,751.58,714.63,745.99,238770,2.48,743.3
2023-05-02,749.44,749.44,725.29,739.71,251551,-0.84,736.77
2023-05-03,740.47,756.02,732.1,752.39,273140,1.71,748.04
2023-05-04,748.67,760.15,736.0,736.65,208150,-2.09,745.58
2023-05-05,739.92,743.37,730.33,731.98,148264,-0.63,734.33
2023-05-08,729.54,736.78,729.54,736.41,194955,0.61,733.99
2023-05-09,735.42,741.83,733.75,737.24,158601,0.11,736.95
2023-05-10,744.33,758.46,741.43,757.9,171972,2.8,752.12
2023-05-11,759.0,762.73,743.02,749.29,197706,-1.14,751.27
2023-05-12,751.41,758.59,741.28,743.83,305512,-0.73,747.33
2023-05-15,742.58,757.56,739.61,756.14,211815,1.65,752.72
2023-05-16,753.31,756.64,746.0,754.13,146257,-0.27,752.69
2023-05-17,759.74,759.74,748.8,749.21,181442,-0.65,751.33
2023-05-18,749.0,766.15,748.13,765.94,198924,2.23,757.39
2023-05-19,768.06,768.79,754.23,755.79,206532,-1.33,757.83
2023-05-22,766.7,794.02,760.37,776.73,233848,2.77,779.66
2023-05-23,769.57,777.02,759.05,760.21,246039,-2.13,763.94
2023-05-24,758.58,770.0,747.71,765.21,165223,0.66,762.08
2023-05-25,773.5,777.78,766.53,772.13,144603,0.9,772.67
2023-05-26,774.79,792.22,774.27,791.62,211157,2.52,783.28
2023-05-30,795.0,796.5,783.96,790.41,187004,-0.15,790.65
2023-05-31,789.89,794.98,775.11,787.67,409446,-0.35,786.47
2023-06-01,786.3,799.95,786.3,793.24,208759,0.71,794.43
2023-06-02,793.33,800.09,783.06,790.84,176866,-0.3,790.56
2023-06-05,787.21,796.67,781.09,791.6,104567,0.1,791.33
2023-06-06,789.21,795.35,786.03,789.99,155178,-0.2,790.83
2023-06-07,789.54,797.18,745.45,757.18,374896,-4.15,762.22
2023-06-08,756.11,771.01,756.11,766.69,216687,1.26,765.28
2023-06-09,769.67,779.74,765.4,774.71,232705,1.05,774.46
2023-06-12,782.45,800.46,779.37,800.18,154351,3.29,793.23
2023-06-13,804.53,806.45,797.6,801.58,201692,0.17,801.77
2023-06-14,804.07,807.08,785.54,795.25,196205,-0.79,794.01
2023-06-15,791.68,807.41,791.68,802.11,175296,0.86,801.41
2023-06-16,809.69,815.64,795.5,799.96,262951,-0.27,803.23
2023-06-21,794.15,796.76,782.44,790.5,187186,-0.63,789.19
2023-06-22,786.84,795.24,778.65,786.85,130075,-0.46,786.05
2023-06-23,779.79,783.26,770.58,776.05,326104,-1.37,777.98
2023-06-26,772.59,780.98,768.16,768.48,125300,-0.98,772.15
2023-06-27,768.48,778.3,764.49,775.54,228815,0.92,772.1
