trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,30.99,31.19,30.34,30.47,5347828,-0.52,30.64
2023-01-04,30.85,31.37,30.73,31.24,5727770,2.53,31.15
2023-01-05,31.13,31.21,30.65,30.93,5021320,-0.99,30.87
2023-01-06,31.22,32.29,31.02,32.18,7190461,4.04,31.92
2023-01-09,32.33,32.42,31.88,31.95,3607389,-0.71,32.14
2023-01-10,32.0,32.17,31.64,32.17,2802870,0.69,32.0
2023-01-11,32.43,32.43,32.02,32.04,5001363,-0.4,32.19
2023-01-12,32.17,32.76,32.05,32.58,4210219,1.69,32.5
2023-01-13,32.05,32.42,31.37,32.34,4618789,-0.74,31.99
2023-01-17,32.32,32.35,31.76,31.85,4747766,-1.52,31.98
2023-01-18,31.54,31.56,30.52,30.55,8835285,-4.08,30.84
2023-01-19,30.21,31.71,29.73,31.41,10245286,2.82,31.19
2023-01-20,31.4,32.38,31.4,32.31,6921457,2.87,32.15
2023-01-23,32.44,33.28,32.38,33.15,5919641,2.6,32.99
2023-01-24,33.14,33.36,32.82,32.82,6585777,-1.0,33.02
2023-01-25,32.62,33.45,32.55,33.39,5329531,1.74,33.13
2023-01-26,33.61,33.86,33.28,33.63,5715219,0.72,33.52
2023-01-27,33.59,33.9,33.48,33.7,3644206,0.21,33.71
2023-01-30,33.41,33.76,33.37,33.42,3918715,-0.83,33.54
2023-01-31,33.5,33.91,33.29,33.88,11324731,1.38,33.81
2023-02-01,33.42,34.59,33.36,34.34,5609356,1.36,34.11
2023-02-02,34.6,35.53,34.4,35.34,6806109,2.91,35.16
2023-02-03,34.94,35.5,34.94,35.14,4966649,-0.57,35.24
2023-02-06,34.87,35.0,34.55,34.77,3962402,-1.05,34.76
2023-02-07,34.77,35.39,34.52,35.29,5427531,1.5,35.07
2023-02-08,34.9,35.24,34.72,35.18,4917035,-0.31,35.09
2023-02-09,35.31,35.45,34.69,34.79,3458196,-1.11,35.0
2023-02-10,34.63,34.79,34.43,34.7,3994552,-0.26,34.62
2023-02-13,34.54,35.02,34.46,34.96,2689054,0.75,34.91
2023-02-14,34.94,34.99,34.4,34.72,3047115,-0.69,34.71
2023-02-15,34.42,34.91,34.28,34.64,2656779,-0.23,34.65
2023-02-16,34.24,34.54,33.94,34.23,3508990,-1.18,34.29
2023-02-17,34.15,34.59,34.0,34.5,3003344,0.79,34.37
2023-02-21,34.11,34.21,33.46,33.67,4291016,-2.41,33.72
2023-02-22,33.77,33.8,33.31,33.55,3799636,-0.36,33.56
2023-02-23,33.75,33.98,33.25,33.66,4656930,0.33,33.57
2023-02-24,33.3,33.94,33.15,33.9,3728288,0.71,33.67
2023-02-27,34.28,34.34,33.58,33.68,4663152,-0.65,33.81
2023-02-28,33.97,34.2,33.78,33.89,5627363,0.62,34.0
2023-03-01,33.8,34.02,33.55,33.79,3807605,-0.3,33.8
2023-03-02,33.56,33.57,32.8,33.26,4992504,-1.57,33.13
2023-03-03,33.45,33.87,33.27,33.83,4431945,1.71,33.68
2023-03-06,33.93,34.24,33.76,33.76,4273039,-0.21,33.9
2023-03-07,33.93,33.93,31.92,32.01,5971539,-5.18,32.31
2023-03-08,32.06,32.2,31.33,31.45,6381738,-1.75,31.65
2023-03-09,31.15,31.17,29.52,29.59,6313750,-5.91,30.01
2023-03-10,28.69,29.44,27.54,28.35,16479961,-4.19,28.42
2023-03-13,24.94,25.97,20.64,24.51,48287407,-13.54,23.75
2023-03-14,27.22,27.64,23.28,24.63,41568399,0.49,24.72
2023-03-15,23.32,23.87,22.71,23.72,37870051,-3.69,23.37
2023-03-16,23.56,25.1,22.25,24.7,37629114,4.13,23.78
2023-03-17,24.11,24.22,23.02,23.29,29977157,-5.71,23.41
2023-03-20,23.98,25.42,23.9,24.47,22426188,5.07,24.72
2023-03-21,25.54,25.78,24.63,25.57,16432969,4.5,25.38
2023-03-22,25.54,25.61,24.12,24.18,10570629,-5.44,24.88
2023-03-23,24.6,24.7,23.43,23.66,10006723,-2.15,23.95
2023-03-24,23.28,23.94,23.07,23.79,11001747,0.55,23.56
2023-03-27,24.75,25.27,24.19,24.52,9563379,3.07,24.6
2023-03-28,24.37,24.75,24.22,24.59,5926418,0.29,24.49
2023-03-29,24.97,25.29,24.76,25.24,7051082,2.64,25.06
2023-03-30,25.72,25.87,24.8,24.88,7973285,-1.43,25.2
2023-03-31,25.14,25.3,24.83,25.18,7367231,1.21,25.05
2023-04-03,25.46,25.55,24.71,24.95,8100117,-0.91,24.94
2023-04-04,25.08,25.14,23.86,24.21,9332301,-2.97,24.17
2023-04-05,23.73,24.45,23.61,24.36,7879234,0.62,24.16
2023-04-06,25.04,25.22,24.58,24.65,8396414,1.19,24.82
2023-04-10,24.57,25.0,24.37,24.85,7407719,0.81,24.77
2023-04-11,24.97,25.26,24.79,25.08,5048242,0.93,25.06
2023-04-12,25.21,25.37,24.79,24.94,4466766,-0.56,25.0
2023-04-13,25.24,25.28,24.59,25.11,5105520,0.68,25.11
2023-04-14,25.61,25.66,24.83,24.99,5791039,-0.48,25.04
2023-04-17,24.89,25.85,24.5,25.82,8611008,3.32,25.41
2023-04-18,25.96,25.96,25.32,25.68,6875629,-0.54,25.57
2023-04-19,25.75,26.62,25.53,26.48,7984231,3.12,26.22
2023-04-20,26.03,26.63,25.99,26.31,10302594,-0.64,26.36
2023-04-21,26.45,26.45,25.78,25.97,8428746,-1.29,26.11
2023-04-24,25.93,26.0,25.51,25.58,5078676,-1.5,25.67
2023-04-25,25.06,25.24,24.13,24.25,9259051,-5.2,24.51
2023-04-26,24.28,24.73,23.96,24.18,6691020,-0.29,24.33
2023-04-27,24.33,24.78,24.3,24.42,5741430,0.99,24.53
2023-04-28,24.22,24.94,24.1,24.76,6460231,1.39,24.75
2023-05-01,24.72,25.01,24.26,24.4,7371391,-1.45,24.53
2023-05-02,24.24,24.3,22.63,23.17,12006618,-5.04,23.12
2023-05-03,23.27,23.8,22.55,22.65,8887750,-2.24,23.13
2023-05-04,21.9,22.39,21.23,21.97,18801157,-3.0,21.71
2023-05-05,23.18,23.65,22.64,23.55,12580637,7.19,23.3
2023-05-08,24.16,24.22,22.91,23.07,9239059,-2.04,23.24
2023-05-09,22.79,23.44,22.59,23.32,5738715,1.08,23.12
2023-05-10,23.71,23.71,22.62,22.91,7405184,-1.76,22.94
2023-05-11,22.49,22.52,21.87,22.36,11100700,-2.4,22.27
2023-05-12,22.56,22.64,22.0,22.32,8802910,-0.18,22.18
2023-05-15,22.46,22.96,22.33,22.89,5536082,2.55,22.81
2023-05-16,22.88,23.04,22.46,22.48,5322977,-1.79,22.69
2023-05-17,23.08,23.96,23.05,23.88,8862746,6.23,23.71
2023-05-18,23.88,23.93,23.4,23.79,6754469,-0.38,23.68
2023-05-19,23.83,24.0,23.14,23.72,7802984,-0.29,23.62
2023-05-22,23.94,24.22,23.62,24.05,7438063,1.39,24.0
2023-05-23,24.29,24.99,24.11,24.5,6241133,1.87,24.63
2023-05-24,24.11,24.27,23.61,23.96,6580863,-2.2,23.88
2023-05-25,23.7,24.03,23.37,23.68,5896930,-1.17,23.63
2023-05-26,23.68,23.96,23.33,23.87,5101024,0.8,23.71
2023-05-30,24.01,24.06,23.32,24.05,5067055,0.75,23.76
2023-05-31,23.72,23.78,22.9,22.94,9193434,-4.62,23.04
2023-06-01,23.12,23.71,22.7,23.43,6965613,2.14,23.37
2023-06-02,24.05,24.68,23.73,24.53,6776004,4.69,24.37
2023-06-05,24.72,24.74,23.87,24.09,4557766,-1.79,24.15
2023-06-06,24.09,25.45,23.96,25.31,6517410,5.06,25.12
2023-06-07,25.51,25.77,25.01,25.63,5193195,1.26,25.48
2023-06-08,25.6,25.65,25.06,25.49,4533129,-0.55,25.4
2023-06-09,25.38,25.48,24.93,24.96,4780078,-2.08,25.12
2023-06-12,24.85,25.58,24.04,24.5,8790899,-1.84,24.56
2023-06-13,24.57,25.35,24.35,25.18,5985164,2.78,25.09
2023-06-14,24.91,25.48,24.31,24.53,9039840,-2.58,24.76
2023-06-15,24.39,25.48,24.29,25.29,6201707,3.1,25.11
2023-06-16,25.24,25.38,24.9,25.08,11161559,-0.83,25.13
2023-06-21,25.42,25.42,24.88,25.05,4742938,-0.71,25.17
2023-06-22,25.09,25.09,24.22,24.23,5580617,-3.27,24.44
2023-06-23,23.97,24.24,23.84,24.14,4680109,-0.37,24.11
2023-06-26,24.32,24.68,24.3,24.54,5416633,1.66,24.55
2023-06-27,24.52,24.91,24.15,24.74,3801887,0.81,24.72
2023-06-28,24.6,24.93,24.28,24.89,4977602,0.61,24.73
2023-06-29,25.42,25.48,25.0,25.13,4620289,0.96,25.2
2023-06-30,25.42,25.45,25.04,25.09,3912412,-0.16,25.17
2023-07-03,25.26,25.74,25.21,25.61,2272673,2.07,25.6
2023-07-05,25.36,25.66,25.09,25.4,3435772,-0.82,25.42
2023-07-06,25.19,25.24,24.47,25.19,5113551,-0.83,24.94
2023-07-07,25.18,25.85,25.18,25.51,5960445,1.27,25.59
2023-07-10,25.47,25.67,25.26,25.53,5470859,0.08,25.46
2023-07-11,25.73,26.01,25.52,25.9,4963375,1.45,25.85
2023-07-12,26.32,26.75,25.79,26.03,6974516,0.5,26.21
2023-07-13,26.21,26.55,26.02,26.25,5554649,0.85,26.24
2023-07-14,26.51,26.53,25.67,25.82,5171082,-1.64,25.91
2023-07-17,25.8,26.22,25.66,26.14,4547383,1.24,26.09
2023-07-18,26.08,26.77,25.98,26.73,5588309,2.26,26.64
2023-07-19,26.8,27.37,26.61,27.28,8086305,2.06,27.14
2023-07-20,27.95,28.19,27.3,28.01,8613859,2.68,27.84
2023-07-21,28.06,28.09,27.01,27.02,6345215,-3.53,27.28
2023-07-24,27.23,27.64,27.13,27.43,4800430,1.52,27.39
2023-07-25,27.48,27.72,26.79,26.83,5008781,-2.19,27.2
2023-07-26,27.22,27.61,27.17,27.31,4609840,1.79,27.34
2023-07-27,27.34,27.78,27.27,27.35,4462426,0.15,27.47
2023-07-28,27.69,27.77,27.37,27.61,3366948,0.95,27.63
2023-07-31,27.73,27.88,27.51,27.85,4396039,0.87,27.75
2023-08-01,27.77,27.88,27.14,27.58,4257570,-0.97,27.46
2023-08-02,27.19,27.29,26.67,27.15,4677113,-1.56,27.05
2023-08-03,26.97,27.5,26.73,27.26,4886934,0.41,27.21
2023-08-04,27.27,27.62,27.1,27.25,2986980,-0.04,27.34
2023-08-07,27.4,27.58,27.21,27.36,3204107,0.4,27.39
2023-08-08,26.07,26.88,26.03,26.85,4545238,-1.86,26.51
2023-08-09,26.65,26.82,26.29,26.32,3203845,-1.97,26.49
2023-08-10,26.53,26.73,26.26,26.52,3671266,0.76,26.45
2023-08-11,26.33,26.78,26.27,26.6,3541286,0.3,26.59
2023-08-14,26.32,26.32,25.42,25.64,5567891,-3.61,25.7
2023-08-15,25.18,25.28,24.68,24.75,6929192,-3.47,24.83
2023-08-16,24.71,24.75,24.39,24.64,4463227,-0.44,24.61
2023-08-17,24.69,24.95,24.58,24.67,4020803,0.12,24.73
2023-08-18,24.6,24.72,24.31,24.49,3801247,-0.73,24.5
2023-08-21,24.62,24.69,24.31,24.58,3475392,0.37,24.51
2023-08-22,24.51,24.68,23.7,23.81,7320145,-3.13,24.03
2023-08-23,23.81,24.34,23.63,24.34,3874828,2.23,24.19
2023-08-24,24.24,24.83,24.22,24.62,4813699,1.15,24.6
2023-08-25,24.73,24.89,24.18,24.33,3358263,-1.18,24.39
2023-08-28,24.55,24.86,24.48,24.69,2213271,1.48,24.72
2023-08-29,24.68,25.33,24.55,25.32,4381301,2.55,25.16
2023-08-30,25.14,25.36,25.05,25.26,7771875,-0.24,25.22
2023-08-31,25.36,25.51,25.27,25.41,5662609,0.59,25.41
2023-09-01,25.62,26.03,25.61,25.89,5152555,1.89,25.89
2023-09-05,25.75,26.1,25.68,25.91,5116328,0.08,25.9
2023-09-06,25.75,25.9,25.2,25.46,6317438,-1.74,25.45
2023-09-07,25.33,25.58,24.8,24.97,8314352,-1.92,25.02
2023-09-08,25.0,25.33,24.75,25.28,6073594,1.24,25.18
2023-09-11,25.45,25.85,25.21,25.36,5069805,0.32,25.4
