trade_date,close,open,high,low,vol,pct_change,vwap
20241231,48.58,48.71,49.02,48.54,1490782,-0.53,48.67
20241230,48.84,49.28,49.28,48.53,1678988,-1.27,48.86
20241227,49.47,49.83,49.87,49.18,1255433,-0.72,49.46
20241226,49.83,49.66,50.12,49.61,1575817,-0.32,49.85
20241224,49.99,49.6,50.0,49.38,1324446,1.09,49.76
20241223,49.45,49.24,49.83,48.71,2306467,-0.16,49.25
20241220,49.53,48.97,49.63,48.22,9511637,1.41,49.36
20241219,48.84,49.19,49.56,48.4,6317262,-1.19,48.96
20241218,49.43,49.46,50.63,49.28,7795871,0.73,49.88
20241217,49.07,47.69,49.3,47.32,6179871,4.27,48.82
20241216,47.06,47.13,47.29,46.06,5037578,-0.04,47.08
20241213,47.08,47.26,47.67,47.0,2060506,-0.55,47.13
20241212,47.34,46.28,47.57,46.22,4106195,2.76,47.28
20241211,46.07,46.48,46.53,45.91,3221956,-0.65,46.12
20241210,46.37,46.18,46.74,46.14,4889313,0.3,46.4
20241209,46.23,47.18,47.23,45.79,4284484,-1.64,46.22
20241206,47.0,46.65,47.04,46.4,4210992,0.75,46.75
20241205,46.65,46.25,46.68,46.19,5140016,0.76,46.52
20241204,46.3,46.41,46.46,46.09,2542582,-0.24,46.27
20241203,46.41,46.82,46.97,46.21,3132843,-0.77,46.43
20241202,46.77,47.12,47.13,46.63,3313483,-0.74,46.82
20241129,47.12,46.83,47.35,46.75,1456875,0.88,47.08
20241127,46.71,46.16,46.91,46.06,2103924,1.21,46.75
20241126,46.15,46.29,46.31,45.91,3841606,0.15,46.09
20241125,46.08,47.14,47.21,45.84,6152551,-1.64,46.22
20241122,46.85,46.62,47.09,46.52,1962459,0.45,46.85
20241121,46.64,45.7,46.81,45.48,2508461,2.06,46.43
20241120,45.7,45.68,45.84,45.26,4863277,-0.13,45.58
20241119,45.76,45.02,45.77,44.82,4026356,0.84,45.45
20241118,45.38,45.51,45.85,45.3,5981137,-0.57,45.53
20241115,45.64,47.51,47.57,45.57,8087918,-3.88,46.35
20241114,47.48,47.08,47.59,46.99,3787230,1.6,47.4
20241113,46.73,47.11,47.11,46.14,2518114,-0.36,46.62
20241112,46.9,45.86,46.97,45.72,3650800,2.42,46.65
20241111,45.79,44.73,45.81,44.73,3700265,2.67,45.45
20241108,44.6,44.44,44.98,44.15,4563637,-0.16,44.6
