trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,64.35,64.67,63.2,63.87,1623872,0.03,63.63
2023-01-04,64.49,65.26,64.03,64.81,1558556,1.47,64.72
2023-01-05,64.37,64.68,63.41,63.53,1605556,-1.98,63.76
2023-01-06,64.3,65.32,64.15,65.13,1325422,2.52,64.97
2023-01-09,65.49,66.34,65.08,65.4,1513225,0.41,65.72
2023-01-10,65.21,65.87,65.11,65.71,1103880,0.47,65.59
2023-01-11,66.09,66.63,65.62,66.59,1188425,1.34,66.24
2023-01-12,66.95,66.95,66.1,66.66,891310,0.11,66.63
2023-01-13,66.2,67.34,66.2,67.01,1101238,0.53,66.97
2023-01-17,67.22,67.56,66.9,66.91,1606998,-0.15,67.12
2023-01-18,67.13,67.55,65.85,65.93,1639720,-1.46,66.37
2023-01-19,66.37,66.41,64.68,64.71,2220167,-1.85,65.06
2023-01-20,65.05,65.79,62.66,65.04,3902293,0.51,64.57
2023-01-23,65.21,66.61,64.84,66.45,1643942,2.17,66.14
2023-01-24,66.45,67.07,64.91,66.82,1239235,0.56,66.59
2023-01-25,66.05,66.54,64.96,66.34,1414270,-0.72,65.91
2023-01-26,66.89,67.02,65.81,66.5,1082236,0.24,66.22
2023-01-27,66.23,67.1,66.05,66.59,1105041,0.14,66.66
2023-01-30,66.38,66.58,65.64,65.82,1743923,-1.16,66.06
2023-01-31,66.11,67.63,65.79,67.61,3156207,2.72,67.07
2023-02-01,67.59,68.56,64.28,65.46,4822863,-3.18,65.9
2023-02-02,66.33,68.13,65.48,67.39,3760269,2.95,67.32
2023-02-03,66.86,68.77,66.58,68.65,3939046,1.87,68.36
2023-02-06,68.11,69.05,68.08,68.51,2724947,-0.2,68.56
2023-02-07,68.25,69.05,67.82,68.9,2091243,0.57,68.49
2023-02-08,68.43,69.16,67.91,68.67,2185543,-0.33,68.72
2023-02-09,69.23,69.35,67.45,67.79,1554642,-1.28,68.11
2023-02-10,67.66,67.8,67.03,67.7,1077112,-0.13,67.55
2023-02-13,67.73,68.81,67.5,68.75,1557128,1.55,68.46
2023-02-14,68.57,68.76,67.64,68.59,1087367,-0.23,68.44
2023-02-15,68.24,69.29,68.24,69.11,1258420,0.76,68.98
2023-02-16,68.01,68.94,67.97,68.27,1135878,-1.22,68.48
2023-02-17,68.24,68.99,67.72,68.93,1640493,0.97,68.56
2023-02-21,68.37,68.37,66.35,66.54,1507870,-3.47,66.79
2023-02-22,66.68,67.15,65.28,65.72,2376879,-1.23,65.95
2023-02-23,66.05,66.81,65.65,66.75,1789965,1.57,66.32
2023-02-24,66.1,66.73,65.44,66.66,1714673,-0.13,66.27
2023-02-27,67.4,67.59,66.15,66.27,1502598,-0.59,66.51
2023-02-28,66.35,67.0,66.2,66.31,1849190,0.06,66.56
2023-03-01,66.03,66.64,65.95,66.43,1613037,0.18,66.4
2023-03-02,66.27,67.35,65.78,67.34,1783051,1.37,66.92
2023-03-03,65.91,67.91,65.88,67.8,2302011,0.68,67.24
2023-03-06,67.75,68.32,67.45,67.54,1345302,-0.38,67.74
2023-03-07,67.59,67.86,66.8,66.82,1340364,-1.07,67.15
2023-03-08,66.79,67.17,66.33,66.8,1086547,-0.03,66.73
2023-03-09,67.12,67.38,65.73,65.81,1927522,-1.48,66.47
2023-03-10,65.88,65.88,63.7,64.09,1705887,-2.61,64.53
2023-03-13,63.38,64.24,62.91,63.63,1782082,-0.72,63.73
2023-03-14,64.79,66.25,64.69,65.88,2593078,3.54,65.59
2023-03-15,64.58,64.86,62.68,64.05,2567116,-2.78,63.74
2023-03-16,63.7,65.58,63.35,65.18,3244938,1.76,65.1
2023-03-17,64.75,65.04,63.04,63.6,3727975,-2.42,63.68
2023-03-20,64.04,65.22,63.92,65.09,2198418,2.34,64.83
2023-03-21,65.98,66.31,65.03,65.6,1843851,0.78,65.51
2023-03-22,65.43,66.58,64.73,64.74,1782972,-1.31,65.5
2023-03-23,64.68,65.72,63.63,64.2,2188070,-0.83,64.62
2023-03-24,63.67,64.94,63.27,64.92,2640570,1.12,64.32
2023-03-27,66.16,66.51,65.11,65.61,2294093,1.06,65.6
2023-03-28,65.63,66.15,65.33,65.93,1559893,0.49,65.82
2023-03-29,66.58,66.97,66.17,66.92,1442286,1.5,66.66
2023-03-30,67.35,67.51,66.78,66.99,1677923,0.1,67.12
2023-03-31,67.27,67.9,67.18,67.82,2219672,1.24,67.6
2023-04-03,67.76,68.04,67.06,67.45,1605094,-0.55,67.49
2023-04-04,67.43,67.5,64.67,65.18,2102623,-3.37,65.59
2023-04-05,64.77,64.86,64.05,64.37,2393108,-1.24,64.37
2023-04-06,64.14,64.43,63.66,64.03,1617312,-0.53,64.06
2023-04-10,63.64,64.69,63.49,64.64,1173064,0.95,64.51
2023-04-11,64.98,65.25,64.54,64.71,1724913,0.11,64.89
2023-04-12,66.69,67.19,66.25,66.48,4108934,2.74,66.65
2023-04-13,66.45,67.0,65.5,66.88,2929611,0.6,66.49
2023-04-14,66.84,67.88,66.55,66.82,1599556,-0.09,67.21
2023-04-17,67.08,67.08,66.62,66.98,1903063,0.24,66.83
2023-04-18,67.31,67.6,66.68,66.83,1469673,-0.22,66.92
2023-04-19,66.51,66.83,65.68,66.18,1360875,-0.97,66.17
2023-04-20,65.75,66.22,65.55,65.97,2351533,-0.32,65.93
2023-04-21,66.1,66.56,65.63,66.44,2206181,0.71,66.19
2023-04-24,66.18,66.64,65.82,66.52,1839613,0.12,66.41
2023-04-25,66.28,66.45,64.88,64.98,1776886,-2.32,65.41
2023-04-26,64.26,66.01,62.37,62.73,5506067,-3.46,62.95
2023-04-27,63.42,63.53,62.44,63.27,2563582,0.86,63.13
2023-04-28,63.04,63.68,62.57,62.76,2894674,-0.81,62.89
2023-05-01,62.69,63.8,62.64,63.55,2707351,1.26,63.41
2023-05-02,63.51,63.72,62.75,63.53,2184795,-0.03,63.37
2023-05-03,63.96,65.07,63.43,63.67,2411257,0.22,64.19
2023-05-04,63.62,64.12,63.2,63.41,2480468,-0.41,63.61
2023-05-05,64.19,64.78,64.19,64.38,2427689,1.53,64.47
2023-05-08,64.79,64.93,64.25,64.46,1869239,0.12,64.53
2023-05-09,64.16,64.83,63.99,64.2,1837128,-0.4,64.37
2023-05-10,64.59,64.81,63.56,64.21,2205102,0.02,64.18
2023-05-11,63.82,64.2,63.4,63.81,1976983,-0.62,63.77
2023-05-12,64.23,64.52,63.5,64.18,2065314,0.58,63.93
2023-05-15,64.18,65.36,64.01,65.33,2368455,1.79,64.9
2023-05-16,64.86,64.93,63.97,64.18,1315787,-1.76,64.23
2023-05-17,64.58,65.14,64.24,64.77,1476364,0.92,64.75
2023-05-18,64.95,65.74,64.69,65.55,2115490,1.2,65.32
2023-05-19,66.04,66.15,64.93,65.36,1746884,-0.29,65.41
2023-05-22,65.46,66.29,65.37,66.08,2150431,1.1,65.94
2023-05-23,65.83,66.05,64.62,64.69,1908298,-2.1,65.16
2023-05-24,64.17,64.21,63.13,63.47,2260034,-1.89,63.49
2023-05-25,63.81,65.25,63.57,64.85,3042162,2.17,64.64
2023-05-26,65.62,68.03,65.34,67.54,3734432,4.15,67.23
2023-05-30,67.59,68.07,66.85,66.96,2485005,-0.86,67.25
2023-05-31,66.68,66.73,64.44,64.84,7899195,-3.17,64.94
2023-06-01,64.74,65.28,64.39,65.2,3046217,0.56,64.97
2023-06-02,65.78,67.28,65.75,66.99,2384608,2.75,66.89
2023-06-05,67.08,67.14,66.09,66.62,1622434,-0.55,66.65
2023-06-06,66.31,67.17,66.31,66.95,964254,0.5,66.84
2023-06-07,67.2,68.71,66.89,68.54,1868192,2.37,68.2
2023-06-08,68.43,68.68,68.04,68.12,1597967,-0.61,68.23
2023-06-09,68.31,68.38,67.35,67.87,1212845,-0.37,67.92
2023-06-12,67.87,68.45,67.51,68.17,1232776,0.44,68.08
2023-06-13,68.27,69.52,68.27,69.45,1548830,1.88,69.19
2023-06-14,69.69,70.07,68.99,69.22,1519106,-0.33,69.48
2023-06-15,69.41,72.08,69.31,71.68,3734581,3.55,71.45
2023-06-16,72.17,72.54,71.52,71.53,3690477,-0.21,71.75
2023-06-21,70.83,71.3,70.42,70.93,1457109,-0.39,70.97
2023-06-22,70.99,71.18,70.26,70.65,1238504,-0.39,70.7
2023-06-23,69.9,70.8,69.72,70.74,1767293,0.13,70.58
2023-06-26,70.8,71.96,70.8,71.73,1620692,1.4,71.64
2023-06-27,72.07,73.0,71.88,72.76,1681943,1.44,72.62
2023-06-28,72.87,73.06,72.41,72.6,1651898,-0.22,72.66
2023-06-29,72.02,73.28,72.02,73.24,1453313,0.88,72.94
2023-06-30,73.88,74.56,73.66,74.46,1585157,1.67,74.35
2023-07-03,73.74,74.35,73.39,73.62,773209,-1.13,73.7
2023-07-05,72.87,73.48,72.61,72.74,1696093,-1.2,72.84
2023-07-06,72.44,72.52,71.35,71.92,2009291,-1.13,71.83
2023-07-07,71.83,73.11,71.73,72.05,1162190,0.18,72.33
