trade_date,close,open,high,low,vol,pct_change,vwap
20241231,263.49,264.0,265.52,262.15,890880,0.04,263.24
20241230,263.38,263.19,265.11,261.06,1506765,-1.04,263.5
20241227,266.14,264.78,267.59,264.72,989146,-0.24,266.19
20241226,266.78,265.89,268.33,265.25,841907,0.33,266.88
20241224,265.9,264.67,265.9,263.63,500491,0.27,264.98
20241223,265.19,265.8,265.8,262.9,1502543,0.59,264.56
20241220,263.64,259.08,267.44,257.8,3312596,1.29,263.87
20241219,260.28,259.95,262.83,257.88,2169997,-0.76,260.69
20241218,262.27,265.2,269.5,262.1,2212048,-1.11,265.92
20241217,265.22,264.47,267.73,263.79,1962674,-0.32,265.55
20241216,266.07,263.11,269.69,262.71,3060056,1.12,266.79
20241213,263.11,263.0,265.07,261.93,1665868,0.03,263.46
20241212,263.04,260.0,264.15,257.26,2408985,-0.9,262.51
20241211,265.43,269.56,270.02,263.42,2255601,-1.85,265.4
20241210,270.43,269.49,272.09,267.25,1264996,0.32,270.63
20241209,269.57,271.35,272.71,269.4,2111630,-0.82,270.47
20241206,271.8,275.0,275.86,271.05,1865334,-1.22,272.52
20241205,275.15,277.5,278.73,275.15,1505063,-0.9,276.18
20241204,277.66,276.47,278.58,274.99,1291567,0.09,277.61
20241203,277.42,276.48,278.13,274.44,1102735,0.35,277.2
20241202,276.44,282.9,283.16,275.62,1881808,-2.67,276.82
20241129,284.01,283.18,284.41,282.48,538180,0.6,283.76
20241127,282.31,282.92,286.01,282.26,993482,0.1,283.72
20241126,282.02,281.08,283.37,279.56,1057591,0.24,281.8
20241125,281.35,283.26,284.15,279.29,1555735,-0.16,281.29
20241122,281.81,280.76,283.6,279.92,1410041,0.67,281.59
20241121,279.93,280.7,283.5,279.01,1776145,-0.04,280.8
20241120,280.05,281.47,282.0,278.12,1647213,-0.32,279.51
20241119,280.96,287.29,288.0,279.61,1634506,-1.76,282.45
20241118,286.0,287.0,288.0,285.29,1286492,-0.69,286.67
20241115,287.99,290.83,295.0,285.68,1994851,-1.51,288.29
20241114,292.42,314.1,314.85,291.8,1878100,-6.88,295.98
20241113,314.03,313.44,316.9,311.68,900481,0.63,314.78
20241112,312.05,315.0,315.0,310.63,749462,-0.59,312.38
20241111,313.91,312.08,315.93,311.29,841578,1.43,314.33
20241108,309.47,307.5,310.22,306.18,852846,1.13,309.35
20241107,306.0,308.51,309.06,304.52,847014,-0.8,306.3
20241106,308.46,305.03,309.01,302.78,1658837,3.98,306.85
20241105,296.65,294.56,296.99,294.53,749584,1.04,296.14
20241104,293.6,293.62,295.56,292.35,1043617,0.21,293.79
20241101,292.99,292.96,294.87,292.31,1355333,0.47,293.62
20241031,291.61,300.32,301.37,291.31,1703293,-3.24,294.31
20241030,301.37,301.82,304.12,301.16,854946,-0.13,302.33
20241029,301.75,303.23,305.16,301.73,860305,-0.71,302.88
20241028,303.92,303.04,304.71,302.14,911850,0.46,303.96
20241025,302.52,304.52,304.99,302.07,1404138,0.41,303.12
20241024,301.27,301.73,304.99,300.52,1113867,-1.03,302.27
20241023,304.4,304.85,313.11,300.72,1504890,-0.52,304.16
20241022,305.99,307.7,308.77,303.91,1141636,-0.68,305.77
20241021,308.08,309.13,310.85,307.01,1059223,-0.13,308.23
20241018,308.48,310.0,310.58,307.61,1315748,0.08,308.9
20241017,308.23,307.0,308.32,305.64,919149,1.1,307.29
20241016,304.87,300.14,306.06,300.14,837092,1.55,304.42
20241015,300.21,303.59,303.86,299.85,855836,-0.55,301.03
20241014,301.86,299.59,302.36,298.68,574750,0.81,301.28
20241011,299.44,295.0,299.77,294.29,985039,1.15,298.37
20241010,296.05,298.5,298.62,295.02,865223,-0.88,296.42
20241009,298.69,296.1,300.13,295.67,722840,0.6,298.64
20241008,296.9,297.95,298.11,295.05,842732,-0.13,296.52
20241007,297.29,299.3,300.51,296.72,868775,-1.12,297.91
20241004,300.66,300.04,301.24,297.84,874788,0.35,299.86
20241003,299.61,304.04,304.87,299.04,1124345,-1.42,300.92
20241002,303.92,305.5,306.62,303.1,1180393,-0.46,304.11
20241001,305.33,297.64,307.05,294.5,1451506,1.04,304.41
20240930,302.2,300.0,302.26,297.66,1356745,0.69,301.1
20240927,300.13,300.34,302.35,299.97,884256,-0.12,300.93
20240926,300.49,300.93,302.92,299.66,864541,-0.4,300.79
20240925,301.69,305.52,306.55,301.02,914434,-0.98,302.48
20240924,304.67,308.0,308.51,304.07,951787,-1.11,305.18
20240923,308.09,307.31,309.72,306.75,901219,0.4,308.23
20240920,306.87,304.77,307.76,303.19,7899211,0.7,306.75
20240919,304.73,304.84,306.65,302.52,1154035,0.78,305.05
20240918,302.38,303.9,306.9,301.65,1122712,-0.48,303.37
20240917,303.85,304.75,305.7,302.57,1041507,-1.2,304.12
20240916,307.55,307.38,309.97,306.15,874521,0.9,307.77
20240913,304.8,301.08,305.84,301.05,796335,1.37,304.24
20240912,300.67,299.34,300.94,297.41,788451,0.36,299.57
20240911,299.59,301.21,301.21,293.36,1047479,-0.93,297.78
20240910,302.4,303.31,306.51,300.47,1040251,0.28,302.67
20240909,301.56,295.71,303.1,295.71,1856256,3.0,301.46
20240906,292.78,297.0,298.41,292.24,1221085,-1.52,294.14
20240905,297.29,296.51,299.83,294.16,1517725,1.0,296.68
20240904,294.35,295.45,297.76,293.0,711401,-0.19,294.46
20240903,294.92,299.0,300.98,293.34,956230,-1.48,295.49
20240830,299.36,297.53,299.68,295.18,1031676,0.51,298.18
20240829,297.83,298.0,300.95,295.5,1634965,0.4,298.53
20240828,296.64,290.99,297.18,290.5,1550687,2.22,295.4
20240827,290.2,291.01,291.46,289.83,945367,-0.27,290.42
20240826,291.0,292.45,293.18,290.42,814654,-0.15,291.43
20240823,291.45,294.34,294.83,291.29,841684,-0.68,292.39
20240822,293.45,294.25,294.74,292.99,672176,-0.21,293.62
20240821,294.07,296.51,296.51,293.02,1023560,-0.58,294.2
20240820,295.8,295.36,296.12,294.22,582311,0.07,295.52
20240819,295.6,296.93,297.0,294.77,685111,-0.33,295.43
20240816,296.59,296.36,297.1,294.74,846217,0.22,296.24
20240815,295.95,294.99,296.31,293.16,887992,0.76,295.29
20240814,293.73,291.71,295.17,291.71,756911,0.52,294.02
20240813,292.2,291.85,292.79,289.53,879637,0.34,291.74
20240812,291.2,294.0,294.59,290.66,1041422,-0.61,291.76
20240809,292.99,293.29,296.7,291.56,1028221,0.75,293.28
20240808,290.8,287.45,293.0,287.45,823566,1.26,290.9
20240807,287.17,287.21,290.88,286.35,889032,0.63,288.51
20240806,285.38,286.45,290.44,285.2,813811,-0.18,287.39
20240805,285.9,288.92,290.93,282.32,1079916,-2.22,285.33
20240802,292.39,292.69,296.89,289.51,987283,-0.36,292.05
20240801,293.45,300.0,300.75,291.53,1089925,-1.76,293.8
20240731,298.71,294.8,299.96,293.17,1609458,1.95,298.18
20240730,293.01,291.02,293.66,290.06,857664,1.22,292.67
20240729,289.49,290.57,291.04,288.37,1078795,-0.31,289.84
20240726,290.4,290.99,292.7,287.64,1079610,-0.2,290.45
20240725,290.98,286.61,296.19,286.61,1662035,2.22,292.48
20240724,284.67,286.0,286.49,276.79,3094386,-3.32,282.72
20240722,291.21,288.43,291.48,287.54,710623,1.04,290.08
20240719,288.22,294.36,294.36,287.83,973642,-1.72,289.48
20240718,293.27,291.4,295.5,291.17,876654,0.44,293.7
20240717,291.99,292.24,294.77,291.78,850709,0.14,292.94
