trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,80.1,81.11,79.87,80.39,6050633,-0.54,80.44
2023-01-04,81.16,81.44,79.97,80.5,5713867,0.14,80.6
2023-01-05,80.04,81.36,80.03,80.83,5710938,0.41,80.7
2023-01-06,81.54,83.13,81.18,82.93,5939531,2.6,82.64
2023-01-09,82.64,82.76,79.98,80.12,5435711,-3.39,80.87
2023-01-10,80.22,82.41,79.9,82.04,5034520,2.4,81.73
2023-01-11,82.02,82.1,80.99,82.09,5947078,0.06,81.76
2023-01-12,81.44,81.52,80.1,80.71,6013289,-1.68,80.75
2023-01-13,80.54,81.25,80.33,81.22,5305719,0.63,80.92
2023-01-17,81.02,81.31,80.37,80.41,5959789,-1.0,80.69
2023-01-18,80.05,80.15,78.71,78.84,6374848,-1.95,79.2
2023-01-19,79.25,79.63,78.38,78.73,6922527,-0.14,78.88
2023-01-20,78.65,78.9,77.68,78.15,16678602,-0.74,78.07
2023-01-23,77.92,79.44,77.6,78.36,5673156,0.27,78.59
2023-01-24,78.55,79.16,77.31,79.1,4776445,0.94,78.58
2023-01-25,79.23,79.6,78.67,79.15,3892838,0.06,79.04
2023-01-26,78.86,78.91,77.78,78.73,3670867,-0.53,78.46
2023-01-27,78.46,79.06,78.25,78.83,4108410,0.13,78.76
2023-01-30,78.63,78.94,77.51,78.47,7283047,-0.46,78.17
2023-01-31,78.63,79.28,78.36,79.03,9621754,0.71,78.84
2023-02-01,79.1,79.7,77.86,79.09,6673649,0.08,78.86
2023-02-02,77.55,77.67,75.77,76.63,10933778,-3.11,76.38
2023-02-03,79.7,81.88,78.73,79.56,12852403,3.82,79.72
2023-02-06,79.56,82.08,79.56,81.31,7611137,2.2,81.25
2023-02-07,81.53,81.62,80.39,81.02,7298805,-0.36,80.93
2023-02-08,80.4,81.0,80.3,80.66,7376598,-0.44,80.67
2023-02-09,80.81,81.54,80.15,80.53,6656820,-0.16,80.74
2023-02-10,80.55,81.87,80.29,81.63,5522188,1.37,81.27
2023-02-13,81.63,82.68,81.34,82.37,5801727,0.91,82.22
2023-02-14,82.47,82.48,80.05,80.67,7206203,-2.06,80.98
2023-02-15,80.28,80.28,79.5,80.07,5614949,-0.74,79.87
2023-02-16,79.38,79.8,78.49,78.51,5760563,-1.95,78.8
2023-02-17,78.72,80.26,78.41,79.8,6306266,1.64,79.64
